EnergyEmissionFactorKey,EmissionFactorCode,EnergyCarrierKey,PlantKey,EnergySourceKey,EnergyEmissionScopeKey,UnitOfMeasureKey,FactorValue,FactorSourceName,CarbonDioxideEquivalentRatio,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,EEF000010,18,15,16,3,5,0.00100000,Zenith EnergyEmissionFactor 10,11.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eccc57cc26d55aeebc61e3606973ca3deccc57cc26d55aeebc61e3606973ca3d
11,EEF000011,49,213,16,2,1,0.00110000,Keystone EnergyEmissionFactor 11,12.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de186b87d14f5b7192d4a1aa1f58f75ede186b87d14f5b7192d4a1aa1f58f75e
12,EEF000012,30,184,13,2,2,0.00120000,Titan EnergyEmissionFactor 12,13.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de19bfed9f0a58a38daa5ef9694f1078de19bfed9f0a58a38daa5ef9694f1078
13,EEF000013,3,139,6,5,4,0.00130000,Quartz EnergyEmissionFactor 13,14.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ded6e87eb9fc57acb2d0d3d1f142a10bded6e87eb9fc57acb2d0d3d1f142a10b
14,EEF000014,47,176,9,4,7,0.00140000,Evergreen EnergyEmissionFactor 14,15.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8a91e9801745da4a24182692797c558d8a91e9801745da4a24182692797c558
15,EEF000015,14,274,5,2,4,0.00150000,Harbor EnergyEmissionFactor 15,16.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9b4aa3363ef50598449f16b647b7bd5f9b4aa3363ef50598449f16b647b7bd5
16,EEF000016,28,223,2,4,6,0.00160000,Beacon EnergyEmissionFactor 16,17.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d05c5fd951f752c7851f94f2e78abfc4d05c5fd951f752c7851f94f2e78abfc4
17,EEF000017,9,-1,4,4,5,0.00170000,Granite EnergyEmissionFactor 17,18.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69f051361bd551b5b3128d1af9fc7ddd69f051361bd551b5b3128d1af9fc7ddd
18,EEF000018,1,205,14,4,5,0.00180000,Summit EnergyEmissionFactor 18,19.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d4111592f585105980c956c4422603f0d4111592f585105980c956c4422603f
19,EEF000019,16,132,14,3,7,0.00190000,Beacon EnergyEmissionFactor 19,20.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59344e3aabc65d9e8833c80eb9b1172459344e3aabc65d9e8833c80eb9b11724
20,EEF000020,2,207,1,2,3,0.00200000,Northstar EnergyEmissionFactor 20,21.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f8c3c255d0e5aca8130050c1fbeab9e3f8c3c255d0e5aca8130050c1fbeab9e
21,EEF000021,36,42,2,2,2,0.00210000,Keystone EnergyEmissionFactor 21,22.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77b2bead0b9959bfb463530568e57f5677b2bead0b9959bfb463530568e57f56
22,EEF000022,19,206,13,4,2,0.00220000,Delta EnergyEmissionFactor 22,23.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41215f2358fb5f02aa46f44720c2cd2541215f2358fb5f02aa46f44720c2cd25
23,EEF000023,1,145,3,2,7,0.00230000,Orion EnergyEmissionFactor 23,24.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d18fc1bd53dc5c88b1d9a0b167e7b0cdd18fc1bd53dc5c88b1d9a0b167e7b0cd
24,EEF000024,10,128,1,3,1,0.00240000,Quartz EnergyEmissionFactor 24,25.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71fc514f29c35c0da071daad984d234471fc514f29c35c0da071daad984d2344
25,EEF000025,52,329,12,3,1,0.00250000,Summit EnergyEmissionFactor 25,26.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7f350727aab5daea221decd358cccf9b7f350727aab5daea221decd358cccf9
26,EEF000026,17,211,16,5,7,0.00260000,Vertex EnergyEmissionFactor 26,27.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ec2af184d5251cab8eb6abfd0bb20203ec2af184d5251cab8eb6abfd0bb2020
27,EEF000027,19,23,9,1,4,0.00270000,Pioneer EnergyEmissionFactor 27,28.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6c12c0fb75a5177a36b7512d8c627efe6c12c0fb75a5177a36b7512d8c627ef
28,EEF000028,36,137,11,2,7,0.00280000,Summit EnergyEmissionFactor 28,29.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e578d216e7c852efadbddee6f892981ce578d216e7c852efadbddee6f892981c
29,EEF000029,19,273,3,5,6,0.00290000,Harbor EnergyEmissionFactor 29,30.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed3257d7b3235246ad4481df10d95d50ed3257d7b3235246ad4481df10d95d50
30,EEF000030,42,347,4,1,6,0.00300000,Vertex EnergyEmissionFactor 30,31.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6716bc811cbf5dcc952d4d4ba53b91ad6716bc811cbf5dcc952d4d4ba53b91ad
31,EEF000031,32,6,15,2,1,0.00310000,Keystone EnergyEmissionFactor 31,32.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8741c77d306553118c5931db70c7461e8741c77d306553118c5931db70c7461e
32,EEF000032,53,115,4,1,7,0.00320000,Orion EnergyEmissionFactor 32,33.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dfe9ec6ae0b5e80b3bff114758679804dfe9ec6ae0b5e80b3bff11475867980
33,EEF000033,9,135,4,2,1,0.00330000,Northstar EnergyEmissionFactor 33,34.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d665547dfa7574082e6423bda50388f7d665547dfa7574082e6423bda50388f
34,EEF000034,40,-1,12,2,4,0.00340000,Zenith EnergyEmissionFactor 34,35.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a768eab0e5da5ef2a54921ce766d33d5a768eab0e5da5ef2a54921ce766d33d5
35,EEF000035,25,138,16,2,4,0.00350000,Forge EnergyEmissionFactor 35,36.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0269239a7d3e5539b36184c6c31b5f5e0269239a7d3e5539b36184c6c31b5f5e
36,EEF000036,5,54,6,4,1,0.00360000,Willow EnergyEmissionFactor 36,37.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c725c47e71458039329b2bc7ab85ab28c725c47e71458039329b2bc7ab85ab2
37,EEF000037,46,41,1,1,4,0.00370000,Keystone EnergyEmissionFactor 37,38.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e5934aecc155442bee9795c6a8d72d96e5934aecc155442bee9795c6a8d72d9
38,EEF000038,39,284,13,5,3,0.00380000,Zenith EnergyEmissionFactor 38,39.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0627bef579e5e26afc89c7c7d9085d7e0627bef579e5e26afc89c7c7d9085d7
39,EEF000039,21,94,12,5,2,0.00390000,Unity EnergyEmissionFactor 39,40.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbe7c46d543e5c3cb5dbdb2a44542c94fbe7c46d543e5c3cb5dbdb2a44542c94
40,EEF000040,55,53,6,4,2,0.00400000,Unity EnergyEmissionFactor 40,41.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6743e2a8df965286bbd5579aa3e5cc406743e2a8df965286bbd5579aa3e5cc40
41,EEF000041,17,218,6,5,7,0.00410000,Northstar EnergyEmissionFactor 41,42.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0340a1fb70665f21ac5d5fd6767646c80340a1fb70665f21ac5d5fd6767646c8
42,EEF000042,26,205,14,5,5,0.00420000,Riverton EnergyEmissionFactor 42,43.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d8fde3d12ae521182f339267da7c0867d8fde3d12ae521182f339267da7c086
43,EEF000043,24,4,12,3,7,0.00430000,Cedar EnergyEmissionFactor 43,44.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ea03e7c4b015914bbe331d499ec079d6ea03e7c4b015914bbe331d499ec079d
44,EEF000044,54,32,11,5,6,0.00440000,Evergreen EnergyEmissionFactor 44,45.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8d50ada7e3d54e299a363b48b25387de8d50ada7e3d54e299a363b48b25387d
45,EEF000045,20,33,15,4,7,0.00450000,Unity EnergyEmissionFactor 45,46.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,685a5ca238675bce8a270f3ebda34299685a5ca238675bce8a270f3ebda34299
46,EEF000046,55,315,15,2,1,0.00460000,Titan EnergyEmissionFactor 46,47.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f52105e3ef895ff69922325eedcf3e45f52105e3ef895ff69922325eedcf3e45
47,EEF000047,7,142,2,2,4,0.00470000,Ion EnergyEmissionFactor 47,48.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6ab9d0a855b52669f66c6b1ba17bc74d6ab9d0a855b52669f66c6b1ba17bc74
48,EEF000048,44,223,4,5,1,0.00480000,Harbor EnergyEmissionFactor 48,49.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,068829faac675fcf99ec07e6066a9961068829faac675fcf99ec07e6066a9961
49,EEF000049,50,83,15,4,1,0.00490000,Liberty EnergyEmissionFactor 49,50.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a08247570941586f9294ba52501eb42ba08247570941586f9294ba52501eb42b
50,EEF000050,29,249,3,2,3,0.00500000,Granite EnergyEmissionFactor 50,51.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c1ea0b9c6b55b1498218a7dd0e54b5d4c1ea0b9c6b55b1498218a7dd0e54b5d
51,EEF000051,49,-1,3,3,4,0.00510000,Ion EnergyEmissionFactor 51,52.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9448083a6135734bd14e46d4d2b3c1ea9448083a6135734bd14e46d4d2b3c1e
52,EEF000052,53,307,16,5,3,0.00520000,Beacon EnergyEmissionFactor 52,53.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,740a886fbb74522293336556d86d786b740a886fbb74522293336556d86d786b
53,EEF000053,50,313,2,3,7,0.00530000,Atlas EnergyEmissionFactor 53,54.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a05516fde3d503da76b9d7ec49369023a05516fde3d503da76b9d7ec4936902
54,EEF000054,48,138,3,3,2,0.00540000,Quartz EnergyEmissionFactor 54,55.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bde1842c60a5d2f936f5a47495ce62a5bde1842c60a5d2f936f5a47495ce62a
55,EEF000055,8,283,9,1,6,0.00550000,Unity EnergyEmissionFactor 55,56.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17336135749f587cb8bdbee738e4dac417336135749f587cb8bdbee738e4dac4
56,EEF000056,52,204,6,4,7,0.00560000,Vertex EnergyEmissionFactor 56,57.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1576c62c9dd95e0b9c472d5a14f077451576c62c9dd95e0b9c472d5a14f07745
57,EEF000057,42,128,3,5,7,0.00570000,Atlas EnergyEmissionFactor 57,58.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3aa37eee08d5e4baeb6ae9cdd7c2970a3aa37eee08d5e4baeb6ae9cdd7c2970
58,EEF000058,44,219,10,1,7,0.00580000,Delta EnergyEmissionFactor 58,59.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1d64432e95b5d7dbceb47d8375f1f49c1d64432e95b5d7dbceb47d8375f1f49
59,EEF000059,15,119,11,2,5,0.00590000,Meridian EnergyEmissionFactor 59,60.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,363d695e32605a63a0b8e9c7235b2948363d695e32605a63a0b8e9c7235b2948
60,EEF000060,10,150,13,1,4,0.00600000,Ion EnergyEmissionFactor 60,61.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b528d958350b58cea2add0472f7a2f66b528d958350b58cea2add0472f7a2f66
61,EEF000061,32,322,5,1,3,0.00610000,Unity EnergyEmissionFactor 61,62.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d75c5d9d1c25d83a8cec64babfbc76d0d75c5d9d1c25d83a8cec64babfbc76d
62,EEF000062,14,40,13,2,4,0.00620000,Orion EnergyEmissionFactor 62,63.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55aed418991b5f3e9f9f82d85e9e8aa255aed418991b5f3e9f9f82d85e9e8aa2
63,EEF000063,17,116,13,5,6,0.00630000,Granite EnergyEmissionFactor 63,64.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b66243802deb5ca0baeb3228ec250888b66243802deb5ca0baeb3228ec250888
64,EEF000064,7,131,16,4,1,0.00640000,Northstar EnergyEmissionFactor 64,65.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50f5e83d6f1150cfacbd22d81c86ca0450f5e83d6f1150cfacbd22d81c86ca04
65,EEF000065,14,232,3,3,5,0.00650000,Orion EnergyEmissionFactor 65,66.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02bf77692fd356d5ab85a91133d6333802bf77692fd356d5ab85a91133d63338
66,EEF000066,15,246,16,1,3,0.00660000,Junction EnergyEmissionFactor 66,67.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ad76146254152bcbedb15f61ea97dba4ad76146254152bcbedb15f61ea97dba
67,EEF000067,39,118,10,4,6,0.00670000,Titan EnergyEmissionFactor 67,68.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dc211d4ffc350e5bba9fc22f0dd89857dc211d4ffc350e5bba9fc22f0dd8985
68,EEF000068,1,-1,13,5,4,0.00680000,Atlas EnergyEmissionFactor 68,69.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f22e23be3b65a889d32f84e2bac19fa1f22e23be3b65a889d32f84e2bac19fa
69,EEF000069,23,257,15,3,5,0.00690000,Granite EnergyEmissionFactor 69,70.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a84319cf7e33510a8994de08d2a2037ca84319cf7e33510a8994de08d2a2037c
70,EEF000070,21,118,14,5,3,0.00700000,Titan EnergyEmissionFactor 70,71.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,047030aeea035879b11ca8144e0516ee047030aeea035879b11ca8144e0516ee
71,EEF000071,39,95,7,2,4,0.00710000,Harbor EnergyEmissionFactor 71,72.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1f879a90c955776a0eefb92332e32acf1f879a90c955776a0eefb92332e32ac
72,EEF000072,15,172,13,2,4,0.00720000,Orion EnergyEmissionFactor 72,73.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c194f133b9956099c5bfc1bedde34931c194f133b9956099c5bfc1bedde3493
73,EEF000073,3,172,5,4,4,0.00730000,Atlas EnergyEmissionFactor 73,74.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be65527dea3358e4b07f5f97073e0cf6be65527dea3358e4b07f5f97073e0cf6
74,EEF000074,7,286,13,4,3,0.00740000,Keystone EnergyEmissionFactor 74,75.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c249da565625da7a6c1f6fd4945f5e09c249da565625da7a6c1f6fd4945f5e0
75,EEF000075,13,129,16,1,4,0.00750000,Harbor EnergyEmissionFactor 75,76.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9ae43d384405ceb955ec94618448930c9ae43d384405ceb955ec94618448930
76,EEF000076,15,209,7,3,7,0.00760000,Willow EnergyEmissionFactor 76,77.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef77a970916c538bb82ecf0526858857ef77a970916c538bb82ecf0526858857
77,EEF000077,41,234,12,5,1,0.00770000,Ion EnergyEmissionFactor 77,78.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,138524e590de5dd08d7dceeae75c3066138524e590de5dd08d7dceeae75c3066
78,EEF000078,27,331,1,1,2,0.00780000,Unity EnergyEmissionFactor 78,79.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd58124e17e85a0d942142884cbafa67cd58124e17e85a0d942142884cbafa67
79,EEF000079,48,302,7,5,1,0.00790000,Quartz EnergyEmissionFactor 79,80.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c108fe1ad1b53eda6e3ac72b6eb39888c108fe1ad1b53eda6e3ac72b6eb3988
80,EEF000080,10,66,2,4,1,0.00800000,Zenith EnergyEmissionFactor 80,81.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd61a413c9be5cce85eda02c5988afaebd61a413c9be5cce85eda02c5988afae
81,EEF000081,9,223,6,4,1,0.00810000,Riverton EnergyEmissionFactor 81,82.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54edd8b00da75357b2c53e9ec55f273054edd8b00da75357b2c53e9ec55f2730
82,EEF000082,34,76,14,4,3,0.00820000,Keystone EnergyEmissionFactor 82,83.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6835c77bb8d6570dae17a154305530206835c77bb8d6570dae17a15430553020
83,EEF000083,44,212,3,3,3,0.00830000,Cedar EnergyEmissionFactor 83,84.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a081514e50205e72956ba22799aa18c4a081514e50205e72956ba22799aa18c4
84,EEF000084,40,158,11,4,7,0.00840000,Vertex EnergyEmissionFactor 84,85.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5b94ebf481554fc84bba694c63a040db5b94ebf481554fc84bba694c63a040d
85,EEF000085,23,-1,14,5,5,0.00850000,Granite EnergyEmissionFactor 85,86.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1dfd5699da9c50cf8189631c4ce85a821dfd5699da9c50cf8189631c4ce85a82
86,EEF000086,12,198,9,3,3,0.00860000,Delta EnergyEmissionFactor 86,87.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76d615f66a1455afb2272a3a69d5faa476d615f66a1455afb2272a3a69d5faa4
87,EEF000087,5,27,9,1,4,0.00870000,Vertex EnergyEmissionFactor 87,88.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a388e0b4752c559cba4e439a0ee03466a388e0b4752c559cba4e439a0ee03466
88,EEF000088,26,304,4,2,4,0.00880000,Cedar EnergyEmissionFactor 88,89.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,782307dc3f425649aca768f880f5191b782307dc3f425649aca768f880f5191b
89,EEF000089,22,346,16,1,2,0.00890000,Cedar EnergyEmissionFactor 89,90.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06828587317054529aeab7113dbf0e7606828587317054529aeab7113dbf0e76
90,EEF000090,26,220,3,1,5,0.00900000,Titan EnergyEmissionFactor 90,91.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b567fe3ae6b5c5e973b6c876ee885971b567fe3ae6b5c5e973b6c876ee88597
91,EEF000091,50,152,14,3,4,0.00910000,Pioneer EnergyEmissionFactor 91,92.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,767865db3bd754b0832b160e24ea5214767865db3bd754b0832b160e24ea5214
92,EEF000092,54,18,8,1,3,0.00920000,Cedar EnergyEmissionFactor 92,93.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84e58523b2745e63bf8af6ff86b27b3484e58523b2745e63bf8af6ff86b27b34
93,EEF000093,22,145,7,2,1,0.00930000,Forge EnergyEmissionFactor 93,94.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eddd76422ef25b018fb0b2a1ecf8b939eddd76422ef25b018fb0b2a1ecf8b939
94,EEF000094,8,230,2,4,1,0.00940000,Pioneer EnergyEmissionFactor 94,95.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bda366445c85e5b89f43775c6ab65821bda366445c85e5b89f43775c6ab6582
95,EEF000095,7,51,9,1,1,0.00950000,Vertex EnergyEmissionFactor 95,96.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,301948ea69d95c16a1a626e467241742301948ea69d95c16a1a626e467241742
96,EEF000096,27,187,13,1,3,0.00960000,Delta EnergyEmissionFactor 96,97.00000000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,679230471fe054918001403448327f47679230471fe054918001403448327f47
