SafetyRiskAssessmentKey,RiskAssessmentNumber,PlantKey,WorkCenterKey,SafetyHazardConditionKey,RiskAssessmentName,InitialRiskScore,ResidualRiskScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
28,SRA000028,177,117,343,Orion SafetyRiskAssessment 28,29.00,29.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,295d9f66c1a55529b8bc45fff8124d26295d9f66c1a55529b8bc45fff8124d26
29,SRA000029,291,30,9,Unity SafetyRiskAssessment 29,30.00,30.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a5f6424397d55cfa26fad37c2cf4a8a8a5f6424397d55cfa26fad37c2cf4a8a
30,SRA000030,104,405,270,Harbor SafetyRiskAssessment 30,31.00,31.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77c6a5989f90532282fde53e2536b4d477c6a5989f90532282fde53e2536b4d4
31,SRA000031,278,342,379,Delta SafetyRiskAssessment 31,32.00,32.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f52d2dda468a5b08a9011a96eaa3cbc0f52d2dda468a5b08a9011a96eaa3cbc0
32,SRA000032,251,396,99,Granite SafetyRiskAssessment 32,33.00,33.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4af3cdf3d7d5e8196a5e70766457bfcf4af3cdf3d7d5e8196a5e70766457bfc
33,SRA000033,282,462,482,Beacon SafetyRiskAssessment 33,34.00,34.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5b79d84a5295547ace5ce781ffa312aa5b79d84a5295547ace5ce781ffa312a
34,SRA000034,170,-1,276,Unity SafetyRiskAssessment 34,35.00,35.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,686138e4a7905942b91f9cd20584981c686138e4a7905942b91f9cd20584981c
35,SRA000035,136,95,406,Orion SafetyRiskAssessment 35,36.00,36.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa5f207269e9591d9904d24703bbddc5fa5f207269e9591d9904d24703bbddc5
36,SRA000036,193,25,261,Atlas SafetyRiskAssessment 36,37.00,37.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,971a9f242a5951fa8b3c6a3d85c39fac971a9f242a5951fa8b3c6a3d85c39fac
37,SRA000037,80,256,171,Granite SafetyRiskAssessment 37,38.00,38.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87061e81091c57669aa3f4dc372110ff87061e81091c57669aa3f4dc372110ff
38,SRA000038,100,249,207,Keystone SafetyRiskAssessment 38,39.00,39.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83c5d14cd0b95db9b0e73af10564724c83c5d14cd0b95db9b0e73af10564724c
39,SRA000039,167,361,226,Forge SafetyRiskAssessment 39,40.00,40.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,069c8912adae5ac480631e7938c2aaa4069c8912adae5ac480631e7938c2aaa4
40,SRA000040,282,405,120,Orion SafetyRiskAssessment 40,41.00,41.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f870dfcc5f3e542b91740846f54e4ce6f870dfcc5f3e542b91740846f54e4ce6
41,SRA000041,227,237,82,Forge SafetyRiskAssessment 41,42.00,42.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d9f25d75d935e1bbee28ed7f021c01f4d9f25d75d935e1bbee28ed7f021c01f
42,SRA000042,139,81,110,Unity SafetyRiskAssessment 42,43.00,43.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,968122b0ba4b5872b64e1fd73995e80e968122b0ba4b5872b64e1fd73995e80e
43,SRA000043,150,462,403,Northstar SafetyRiskAssessment 43,44.00,44.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29106add726d5bf3b3b51e6efc4cdca829106add726d5bf3b3b51e6efc4cdca8
44,SRA000044,203,451,489,Orion SafetyRiskAssessment 44,45.00,45.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbd637bb6bc858c397e22c9189b44265dbd637bb6bc858c397e22c9189b44265
45,SRA000045,127,37,222,Atlas SafetyRiskAssessment 45,46.00,46.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3847f0ef48d150eba8eb326b3da874a53847f0ef48d150eba8eb326b3da874a5
46,SRA000046,185,258,203,Liberty SafetyRiskAssessment 46,47.00,47.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b25934c50ad5fa99f4b3d00a069b63a5b25934c50ad5fa99f4b3d00a069b63a
47,SRA000047,156,161,244,Forge SafetyRiskAssessment 47,48.00,48.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d028bab801fe5f1c9046bc14a113881cd028bab801fe5f1c9046bc14a113881c
48,SRA000048,165,93,18,Riverton SafetyRiskAssessment 48,49.00,49.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7ebbf90cc0c5ffab492de33cfd758c7b7ebbf90cc0c5ffab492de33cfd758c7
49,SRA000049,28,285,397,Orion SafetyRiskAssessment 49,50.00,50.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d425584a8a0353bc9b140f5231a1be99d425584a8a0353bc9b140f5231a1be99
50,SRA000050,78,368,140,Unity SafetyRiskAssessment 50,51.00,51.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2294089554f5d1491bad2a9a5b30ec0a2294089554f5d1491bad2a9a5b30ec0
51,SRA000051,307,-1,365,Quartz SafetyRiskAssessment 51,52.00,52.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee0d8635d25c5b4699e6f55be904d448ee0d8635d25c5b4699e6f55be904d448
52,SRA000052,16,264,103,Pioneer SafetyRiskAssessment 52,53.00,53.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87f7fe2c4ff7541db3325f39dc33ccea87f7fe2c4ff7541db3325f39dc33ccea
53,SRA000053,174,402,135,Orion SafetyRiskAssessment 53,54.00,54.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce1346330c5c546b86f0827f0593044fce1346330c5c546b86f0827f0593044f
54,SRA000054,197,189,470,Riverton SafetyRiskAssessment 54,55.00,55.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92a0c374b2bf59a2b121e94beb23e8d292a0c374b2bf59a2b121e94beb23e8d2
55,SRA000055,272,435,55,Vertex SafetyRiskAssessment 55,56.00,56.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da204e62713d542882430bdf5b13cd76da204e62713d542882430bdf5b13cd76
56,SRA000056,321,253,115,Northstar SafetyRiskAssessment 56,57.00,57.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14db570879f35838a3a7c08ea9e5b2e814db570879f35838a3a7c08ea9e5b2e8
57,SRA000057,36,333,36,Quartz SafetyRiskAssessment 57,58.00,58.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00b30441de215eae9263b985a48a09ec00b30441de215eae9263b985a48a09ec
58,SRA000058,340,117,279,Northstar SafetyRiskAssessment 58,59.00,59.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ef11e02ac475cb6a128f171aa720b7d6ef11e02ac475cb6a128f171aa720b7d
59,SRA000059,350,310,193,Pioneer SafetyRiskAssessment 59,60.00,60.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d447ad24ffb75226af9df10ec37e4c20d447ad24ffb75226af9df10ec37e4c20
60,SRA000060,75,77,212,Junction SafetyRiskAssessment 60,61.00,61.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68eb44c2005f5d909daf2611a94b5e7b68eb44c2005f5d909daf2611a94b5e7b
61,SRA000061,319,61,475,Atlas SafetyRiskAssessment 61,62.00,62.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13e025c13c185985adf4a8391637d09213e025c13c185985adf4a8391637d092
62,SRA000062,243,448,399,Keystone SafetyRiskAssessment 62,63.00,63.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0f1620274585b2fb111157faecf7602f0f1620274585b2fb111157faecf7602
63,SRA000063,86,2,121,Keystone SafetyRiskAssessment 63,64.00,64.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b120d78e4b305c92a815c73fde8a3868b120d78e4b305c92a815c73fde8a3868
64,SRA000064,162,240,356,Beacon SafetyRiskAssessment 64,65.00,65.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e475aa72cbd65ce18f426ff9269eb534e475aa72cbd65ce18f426ff9269eb534
65,SRA000065,260,30,231,Willow SafetyRiskAssessment 65,66.00,66.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,836179b4e33b58bf8a4049b1024d59d8836179b4e33b58bf8a4049b1024d59d8
66,SRA000066,133,484,411,Granite SafetyRiskAssessment 66,67.00,67.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,789708f4b771536fae0e7a3ea6b5a20d789708f4b771536fae0e7a3ea6b5a20d
67,SRA000067,9,88,261,Riverton SafetyRiskAssessment 67,68.00,68.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b6d975b1fc850a7b2810e4e758a3c7d8b6d975b1fc850a7b2810e4e758a3c7d
68,SRA000068,36,-1,455,Keystone SafetyRiskAssessment 68,69.00,69.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eaf20ff0b0e7527397720b247b85a467eaf20ff0b0e7527397720b247b85a467
69,SRA000069,288,393,282,Willow SafetyRiskAssessment 69,70.00,70.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c83138412e835c9f8aded077634d66ddc83138412e835c9f8aded077634d66dd
70,SRA000070,75,184,413,Pioneer SafetyRiskAssessment 70,71.00,71.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d9221a30918530b8fa128e34be4b7a30d9221a30918530b8fa128e34be4b7a3
71,SRA000071,15,201,370,Delta SafetyRiskAssessment 71,72.00,72.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f182a641aea5a34b7b2db814f8273552f182a641aea5a34b7b2db814f827355
72,SRA000072,195,460,459,Harbor SafetyRiskAssessment 72,73.00,73.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2058c3f34f05683b9e683e4f731ed26b2058c3f34f05683b9e683e4f731ed26
73,SRA000073,320,241,340,Cedar SafetyRiskAssessment 73,74.00,74.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,916262f748ba5466975c51073de0339c916262f748ba5466975c51073de0339c
74,SRA000074,133,150,399,Meridian SafetyRiskAssessment 74,75.00,75.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e16513554bc594f94543eee95940af41e16513554bc594f94543eee95940af4
75,SRA000075,112,111,375,Ion SafetyRiskAssessment 75,76.00,76.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,252133598e73598c96fa094491fed5d7252133598e73598c96fa094491fed5d7
76,SRA000076,192,190,28,Evergreen SafetyRiskAssessment 76,77.00,77.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a5edbe57db15a0984e65b7609ecf5e08a5edbe57db15a0984e65b7609ecf5e0
77,SRA000077,105,212,474,Delta SafetyRiskAssessment 77,78.00,78.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,475c8d3e2808542cab9fee42300f7427475c8d3e2808542cab9fee42300f7427
78,SRA000078,40,145,190,Keystone SafetyRiskAssessment 78,79.00,79.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6c1bcd2123351fdac97fa2b67a68383e6c1bcd2123351fdac97fa2b67a68383
79,SRA000079,260,151,416,Forge SafetyRiskAssessment 79,80.00,80.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dae9483cec15ecc9328b5acde5094087dae9483cec15ecc9328b5acde509408
80,SRA000080,167,216,497,Meridian SafetyRiskAssessment 80,81.00,81.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50838ef2e0035014b04cfa4ff01f362850838ef2e0035014b04cfa4ff01f3628
81,SRA000081,163,264,359,Quartz SafetyRiskAssessment 81,82.00,82.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc57ba918c675139811832b692e8703dfc57ba918c675139811832b692e8703d
82,SRA000082,89,123,312,Beacon SafetyRiskAssessment 82,83.00,83.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d0e07642d035f2d9a6c8af4c71fcf9d5d0e07642d035f2d9a6c8af4c71fcf9d
83,SRA000083,243,261,94,Vertex SafetyRiskAssessment 83,84.00,84.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e61ffb9e362e5ec9859fa8c36a9e9283e61ffb9e362e5ec9859fa8c36a9e9283
84,SRA000084,123,397,161,Northstar SafetyRiskAssessment 84,85.00,85.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ede29b456d305828894d66fae53b8ca2ede29b456d305828894d66fae53b8ca2
85,SRA000085,319,-1,407,Riverton SafetyRiskAssessment 85,86.00,86.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,190af4fe286b599d8aedaf6601c3401f190af4fe286b599d8aedaf6601c3401f
86,SRA000086,245,439,50,Harbor SafetyRiskAssessment 86,87.00,87.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fe156e26d315e8d86ad6af56e91dcdd0fe156e26d315e8d86ad6af56e91dcdd
87,SRA000087,155,158,125,Delta SafetyRiskAssessment 87,88.00,88.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b660e0fc19e5ff39c2537084f96d1ef9b660e0fc19e5ff39c2537084f96d1ef
88,SRA000088,261,117,92,Beacon SafetyRiskAssessment 88,89.00,89.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff550005699a537398809d8607afa361ff550005699a537398809d8607afa361
89,SRA000089,74,240,500,Northstar SafetyRiskAssessment 89,90.00,90.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e001e90eaf15646bd48ffb58faeeabd4e001e90eaf15646bd48ffb58faeeabd
90,SRA000090,82,335,108,Titan SafetyRiskAssessment 90,91.00,91.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57f5d0a0a0b258a48d222d4d4162400b57f5d0a0a0b258a48d222d4d4162400b
91,SRA000091,164,500,158,Forge SafetyRiskAssessment 91,92.00,92.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b23cea43936535fb2acf168dd774c9a4b23cea43936535fb2acf168dd774c9a
92,SRA000092,252,291,323,Junction SafetyRiskAssessment 92,93.00,93.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a29caf96b585ff3980ba211cdde4f3b2a29caf96b585ff3980ba211cdde4f3b
93,SRA000093,231,27,418,Titan SafetyRiskAssessment 93,94.00,94.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bbc86a6d1805e3081de1bb1072324df4bbc86a6d1805e3081de1bb1072324df
94,SRA000094,56,423,138,Quartz SafetyRiskAssessment 94,95.00,95.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d9e3d4f66035844a4df4a56c88e15004d9e3d4f66035844a4df4a56c88e1500
95,SRA000095,74,120,12,Meridian SafetyRiskAssessment 95,96.00,96.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c446430b48d5e51855d1f5c58a8ca949c446430b48d5e51855d1f5c58a8ca94
96,SRA000096,254,170,419,Meridian SafetyRiskAssessment 96,97.00,97.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfe62bcadfbf551ea28883e9e7053f83dfe62bcadfbf551ea28883e9e7053f83
97,SRA000097,316,167,259,Willow SafetyRiskAssessment 97,98.00,98.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,347ac22d98cb53478a1a6efb2209672b347ac22d98cb53478a1a6efb2209672b
98,SRA000098,234,414,374,Liberty SafetyRiskAssessment 98,99.00,99.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78833364add45a11a1008f72acc6702178833364add45a11a1008f72acc67021
99,SRA000099,135,306,237,Titan SafetyRiskAssessment 99,100.00,100.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e18236a8bf7a5e57ad2b0cb3307b09bbe18236a8bf7a5e57ad2b0cb3307b09bb
100,SRA000100,51,198,223,Titan SafetyRiskAssessment 100,101.00,101.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c38b00345035e98995aca63c7c0c58b5c38b00345035e98995aca63c7c0c58b
101,SRA000101,334,229,189,Forge SafetyRiskAssessment 101,102.00,102.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bd0f04004b45794b0e16eb3af0a18975bd0f04004b45794b0e16eb3af0a1897
102,SRA000102,322,-1,429,Forge SafetyRiskAssessment 102,103.00,103.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36ab4abca6895105a4d9fd0502e084a736ab4abca6895105a4d9fd0502e084a7
