EngineeringDocumentCategoryKey,EngineeringDocumentCategoryCode,EngineeringDocumentSubClassKey,EngineeringDocumentCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
74,EDC000074,71,Orion EngineeringDocumentCategory 74,1,1,2026-08-24T00:00:00.000
75,EDC000075,150,Unity EngineeringDocumentCategory 75,1,1,2026-08-24T00:00:00.000
76,EDC000076,173,Northstar EngineeringDocumentCategory 76,1,1,2026-08-24T00:00:00.000
77,EDC000077,86,Zenith EngineeringDocumentCategory 77,1,1,2026-08-24T00:00:00.000
78,EDC000078,180,Harbor EngineeringDocumentCategory 78,1,1,2026-08-24T00:00:00.000
79,EDC000079,68,Beacon EngineeringDocumentCategory 79,1,1,2026-08-24T00:00:00.000
80,EDC000080,68,Granite EngineeringDocumentCategory 80,1,1,2026-08-24T00:00:00.000
81,EDC000081,117,Titan EngineeringDocumentCategory 81,1,1,2026-08-24T00:00:00.000
82,EDC000082,115,Keystone EngineeringDocumentCategory 82,1,1,2026-08-24T00:00:00.000
83,EDC000083,124,Meridian EngineeringDocumentCategory 83,1,1,2026-08-24T00:00:00.000
84,EDC000084,5,Ion EngineeringDocumentCategory 84,1,1,2026-08-24T00:00:00.000
85,EDC000085,151,Evergreen EngineeringDocumentCategory 85,1,1,2026-08-24T00:00:00.000
86,EDC000086,165,Beacon EngineeringDocumentCategory 86,1,1,2026-08-24T00:00:00.000
87,EDC000087,35,Junction EngineeringDocumentCategory 87,1,1,2026-08-24T00:00:00.000
88,EDC000088,106,Northstar EngineeringDocumentCategory 88,1,1,2026-08-24T00:00:00.000
89,EDC000089,30,Atlas EngineeringDocumentCategory 89,1,1,2026-08-24T00:00:00.000
90,EDC000090,77,Beacon EngineeringDocumentCategory 90,1,1,2026-08-24T00:00:00.000
91,EDC000091,94,Delta EngineeringDocumentCategory 91,1,1,2026-08-24T00:00:00.000
92,EDC000092,82,Harbor EngineeringDocumentCategory 92,1,1,2026-08-24T00:00:00.000
93,EDC000093,107,Forge EngineeringDocumentCategory 93,1,1,2026-08-24T00:00:00.000
94,EDC000094,12,Ion EngineeringDocumentCategory 94,1,1,2026-08-24T00:00:00.000
95,EDC000095,166,Pioneer EngineeringDocumentCategory 95,1,1,2026-08-24T00:00:00.000
96,EDC000096,176,Ion EngineeringDocumentCategory 96,1,1,2026-08-24T00:00:00.000
97,EDC000097,127,Titan EngineeringDocumentCategory 97,1,1,2026-08-24T00:00:00.000
98,EDC000098,76,Riverton EngineeringDocumentCategory 98,1,1,2026-08-24T00:00:00.000
99,EDC000099,73,Cedar EngineeringDocumentCategory 99,1,1,2026-08-24T00:00:00.000
100,EDC000100,93,Evergreen EngineeringDocumentCategory 100,1,1,2026-08-24T00:00:00.000
101,EDC000101,94,Unity EngineeringDocumentCategory 101,1,1,2026-08-24T00:00:00.000
102,EDC000102,158,Unity EngineeringDocumentCategory 102,1,1,2026-08-24T00:00:00.000
103,EDC000103,8,Zenith EngineeringDocumentCategory 103,1,1,2026-08-24T00:00:00.000
104,EDC000104,98,Meridian EngineeringDocumentCategory 104,1,1,2026-08-24T00:00:00.000
105,EDC000105,62,Junction EngineeringDocumentCategory 105,1,1,2026-08-24T00:00:00.000
106,EDC000106,124,Keystone EngineeringDocumentCategory 106,1,1,2026-08-24T00:00:00.000
107,EDC000107,77,Evergreen EngineeringDocumentCategory 107,1,1,2026-08-24T00:00:00.000
108,EDC000108,130,Summit EngineeringDocumentCategory 108,1,1,2026-08-24T00:00:00.000
109,EDC000109,141,Delta EngineeringDocumentCategory 109,1,1,2026-08-24T00:00:00.000
110,EDC000110,108,Meridian EngineeringDocumentCategory 110,1,1,2026-08-24T00:00:00.000
111,EDC000111,157,Evergreen EngineeringDocumentCategory 111,1,1,2026-08-24T00:00:00.000
112,EDC000112,113,Forge EngineeringDocumentCategory 112,1,1,2026-08-24T00:00:00.000
113,EDC000113,104,Liberty EngineeringDocumentCategory 113,1,1,2026-08-24T00:00:00.000
114,EDC000114,56,Summit EngineeringDocumentCategory 114,1,1,2026-08-24T00:00:00.000
115,EDC000115,176,Pioneer EngineeringDocumentCategory 115,1,1,2026-08-24T00:00:00.000
116,EDC000116,8,Forge EngineeringDocumentCategory 116,1,1,2026-08-24T00:00:00.000
117,EDC000117,165,Atlas EngineeringDocumentCategory 117,1,1,2026-08-24T00:00:00.000
118,EDC000118,57,Titan EngineeringDocumentCategory 118,1,1,2026-08-24T00:00:00.000
119,EDC000119,106,Unity EngineeringDocumentCategory 119,1,1,2026-08-24T00:00:00.000
120,EDC000120,36,Zenith EngineeringDocumentCategory 120,1,1,2026-08-24T00:00:00.000
121,EDC000121,155,Cedar EngineeringDocumentCategory 121,1,1,2026-08-24T00:00:00.000
122,EDC000122,65,Vertex EngineeringDocumentCategory 122,1,1,2026-08-24T00:00:00.000
123,EDC000123,153,Granite EngineeringDocumentCategory 123,1,1,2026-08-24T00:00:00.000
124,EDC000124,102,Evergreen EngineeringDocumentCategory 124,1,1,2026-08-24T00:00:00.000
125,EDC000125,110,Unity EngineeringDocumentCategory 125,1,1,2026-08-24T00:00:00.000
126,EDC000126,140,Junction EngineeringDocumentCategory 126,1,1,2026-08-24T00:00:00.000
127,EDC000127,71,Harbor EngineeringDocumentCategory 127,1,1,2026-08-24T00:00:00.000
128,EDC000128,97,Riverton EngineeringDocumentCategory 128,1,1,2026-08-24T00:00:00.000
129,EDC000129,151,Keystone EngineeringDocumentCategory 129,1,1,2026-08-24T00:00:00.000
130,EDC000130,150,Harbor EngineeringDocumentCategory 130,1,1,2026-08-24T00:00:00.000
131,EDC000131,114,Unity EngineeringDocumentCategory 131,1,1,2026-08-24T00:00:00.000
132,EDC000132,131,Quartz EngineeringDocumentCategory 132,1,1,2026-08-24T00:00:00.000
133,EDC000133,8,Orion EngineeringDocumentCategory 133,1,1,2026-08-24T00:00:00.000
134,EDC000134,143,Northstar EngineeringDocumentCategory 134,1,1,2026-08-24T00:00:00.000
135,EDC000135,70,Meridian EngineeringDocumentCategory 135,1,1,2026-08-24T00:00:00.000
136,EDC000136,30,Delta EngineeringDocumentCategory 136,1,1,2026-08-24T00:00:00.000
137,EDC000137,123,Vertex EngineeringDocumentCategory 137,1,1,2026-08-24T00:00:00.000
138,EDC000138,101,Vertex EngineeringDocumentCategory 138,1,1,2026-08-24T00:00:00.000
139,EDC000139,45,Beacon EngineeringDocumentCategory 139,1,1,2026-08-24T00:00:00.000
140,EDC000140,96,Harbor EngineeringDocumentCategory 140,1,1,2026-08-24T00:00:00.000
141,EDC000141,89,Zenith EngineeringDocumentCategory 141,1,1,2026-08-24T00:00:00.000
142,EDC000142,41,Unity EngineeringDocumentCategory 142,1,1,2026-08-24T00:00:00.000
143,EDC000143,64,Meridian EngineeringDocumentCategory 143,1,1,2026-08-24T00:00:00.000
144,EDC000144,47,Evergreen EngineeringDocumentCategory 144,1,1,2026-08-24T00:00:00.000
145,EDC000145,104,Riverton EngineeringDocumentCategory 145,1,1,2026-08-24T00:00:00.000
146,EDC000146,168,Keystone EngineeringDocumentCategory 146,1,1,2026-08-24T00:00:00.000
147,EDC000147,174,Harbor EngineeringDocumentCategory 147,1,1,2026-08-24T00:00:00.000
148,EDC000148,16,Cedar EngineeringDocumentCategory 148,1,1,2026-08-24T00:00:00.000
149,EDC000149,157,Zenith EngineeringDocumentCategory 149,1,1,2026-08-24T00:00:00.000
150,EDC000150,150,Forge EngineeringDocumentCategory 150,1,1,2026-08-24T00:00:00.000
151,EDC000151,63,Orion EngineeringDocumentCategory 151,1,1,2026-08-24T00:00:00.000
152,EDC000152,9,Summit EngineeringDocumentCategory 152,1,1,2026-08-24T00:00:00.000
153,EDC000153,46,Beacon EngineeringDocumentCategory 153,1,1,2026-08-24T00:00:00.000
154,EDC000154,96,Unity EngineeringDocumentCategory 154,1,1,2026-08-24T00:00:00.000
155,EDC000155,50,Vertex EngineeringDocumentCategory 155,1,1,2026-08-24T00:00:00.000
156,EDC000156,31,Pioneer EngineeringDocumentCategory 156,1,1,2026-08-24T00:00:00.000
157,EDC000157,55,Willow EngineeringDocumentCategory 157,1,1,2026-08-24T00:00:00.000
158,EDC000158,77,Delta EngineeringDocumentCategory 158,1,1,2026-08-24T00:00:00.000
159,EDC000159,155,Harbor EngineeringDocumentCategory 159,1,1,2026-08-24T00:00:00.000
160,EDC000160,39,Keystone EngineeringDocumentCategory 160,1,1,2026-08-24T00:00:00.000
161,EDC000161,37,Delta EngineeringDocumentCategory 161,1,1,2026-08-24T00:00:00.000
162,EDC000162,22,Northstar EngineeringDocumentCategory 162,1,1,2026-08-24T00:00:00.000
163,EDC000163,22,Evergreen EngineeringDocumentCategory 163,1,1,2026-08-24T00:00:00.000
164,EDC000164,56,Riverton EngineeringDocumentCategory 164,1,1,2026-08-24T00:00:00.000
165,EDC000165,150,Granite EngineeringDocumentCategory 165,1,1,2026-08-24T00:00:00.000
166,EDC000166,119,Pioneer EngineeringDocumentCategory 166,1,1,2026-08-24T00:00:00.000
167,EDC000167,49,Unity EngineeringDocumentCategory 167,1,1,2026-08-24T00:00:00.000
168,EDC000168,73,Harbor EngineeringDocumentCategory 168,1,1,2026-08-24T00:00:00.000
169,EDC000169,12,Titan EngineeringDocumentCategory 169,1,1,2026-08-24T00:00:00.000
170,EDC000170,84,Atlas EngineeringDocumentCategory 170,1,1,2026-08-24T00:00:00.000
171,EDC000171,16,Evergreen EngineeringDocumentCategory 171,1,1,2026-08-24T00:00:00.000
172,EDC000172,24,Northstar EngineeringDocumentCategory 172,1,1,2026-08-24T00:00:00.000
173,EDC000173,168,Riverton EngineeringDocumentCategory 173,1,1,2026-08-24T00:00:00.000
174,EDC000174,18,Delta EngineeringDocumentCategory 174,1,1,2026-08-24T00:00:00.000
175,EDC000175,163,Liberty EngineeringDocumentCategory 175,1,1,2026-08-24T00:00:00.000
176,EDC000176,141,Ion EngineeringDocumentCategory 176,1,1,2026-08-24T00:00:00.000
177,EDC000177,18,Liberty EngineeringDocumentCategory 177,1,1,2026-08-24T00:00:00.000
178,EDC000178,161,Ion EngineeringDocumentCategory 178,1,1,2026-08-24T00:00:00.000
179,EDC000179,31,Keystone EngineeringDocumentCategory 179,1,1,2026-08-24T00:00:00.000
180,EDC000180,59,Ion EngineeringDocumentCategory 180,1,1,2026-08-24T00:00:00.000
181,EDC000181,100,Riverton EngineeringDocumentCategory 181,1,1,2026-08-24T00:00:00.000
182,EDC000182,83,Forge EngineeringDocumentCategory 182,1,1,2026-08-24T00:00:00.000
183,EDC000183,175,Vertex EngineeringDocumentCategory 183,1,1,2026-08-24T00:00:00.000
184,EDC000184,102,Keystone EngineeringDocumentCategory 184,1,1,2026-08-24T00:00:00.000
185,EDC000185,27,Evergreen EngineeringDocumentCategory 185,1,1,2026-08-24T00:00:00.000
186,EDC000186,29,Evergreen EngineeringDocumentCategory 186,1,1,2026-08-24T00:00:00.000
187,EDC000187,64,Unity EngineeringDocumentCategory 187,1,1,2026-08-24T00:00:00.000
188,EDC000188,72,Forge EngineeringDocumentCategory 188,1,1,2026-08-24T00:00:00.000
189,EDC000189,37,Meridian EngineeringDocumentCategory 189,1,1,2026-08-24T00:00:00.000
190,EDC000190,34,Keystone EngineeringDocumentCategory 190,1,1,2026-08-24T00:00:00.000
191,EDC000191,151,Meridian EngineeringDocumentCategory 191,1,1,2026-08-24T00:00:00.000
192,EDC000192,146,Northstar EngineeringDocumentCategory 192,1,1,2026-08-24T00:00:00.000
193,EDC000193,31,Forge EngineeringDocumentCategory 193,1,1,2026-08-24T00:00:00.000
194,EDC000194,129,Titan EngineeringDocumentCategory 194,1,1,2026-08-24T00:00:00.000
195,EDC000195,143,Granite EngineeringDocumentCategory 195,1,1,2026-08-24T00:00:00.000
196,EDC000196,97,Evergreen EngineeringDocumentCategory 196,1,1,2026-08-24T00:00:00.000
197,EDC000197,54,Pioneer EngineeringDocumentCategory 197,1,1,2026-08-24T00:00:00.000
198,EDC000198,173,Pioneer EngineeringDocumentCategory 198,1,1,2026-08-24T00:00:00.000
199,EDC000199,11,Keystone EngineeringDocumentCategory 199,1,1,2026-08-24T00:00:00.000
200,EDC000200,127,Summit EngineeringDocumentCategory 200,1,1,2026-08-24T00:00:00.000
201,EDC000201,157,Quartz EngineeringDocumentCategory 201,1,1,2026-08-24T00:00:00.000
202,EDC000202,77,Quartz EngineeringDocumentCategory 202,1,1,2026-08-24T00:00:00.000
203,EDC000203,175,Willow EngineeringDocumentCategory 203,1,1,2026-08-24T00:00:00.000
204,EDC000204,24,Pioneer EngineeringDocumentCategory 204,1,1,2026-08-24T00:00:00.000
205,EDC000205,67,Forge EngineeringDocumentCategory 205,1,1,2026-08-24T00:00:00.000
206,EDC000206,12,Cedar EngineeringDocumentCategory 206,1,1,2026-08-24T00:00:00.000
207,EDC000207,55,Ion EngineeringDocumentCategory 207,1,1,2026-08-24T00:00:00.000
208,EDC000208,171,Orion EngineeringDocumentCategory 208,1,1,2026-08-24T00:00:00.000
209,EDC000209,89,Ion EngineeringDocumentCategory 209,1,1,2026-08-24T00:00:00.000
210,EDC000210,80,Junction EngineeringDocumentCategory 210,1,1,2026-08-24T00:00:00.000
211,EDC000211,171,Keystone EngineeringDocumentCategory 211,1,1,2026-08-24T00:00:00.000
212,EDC000212,133,Northstar EngineeringDocumentCategory 212,1,1,2026-08-24T00:00:00.000
213,EDC000213,88,Cedar EngineeringDocumentCategory 213,1,1,2026-08-24T00:00:00.000
214,EDC000214,117,Quartz EngineeringDocumentCategory 214,1,1,2026-08-24T00:00:00.000
215,EDC000215,78,Granite EngineeringDocumentCategory 215,1,1,2026-08-24T00:00:00.000
216,EDC000216,72,Forge EngineeringDocumentCategory 216,1,1,2026-08-24T00:00:00.000
217,EDC000217,97,Cedar EngineeringDocumentCategory 217,1,1,2026-08-24T00:00:00.000
218,EDC000218,163,Northstar EngineeringDocumentCategory 218,1,1,2026-08-24T00:00:00.000
219,EDC000219,132,Northstar EngineeringDocumentCategory 219,1,1,2026-08-24T00:00:00.000
220,EDC000220,51,Beacon EngineeringDocumentCategory 220,1,1,2026-08-24T00:00:00.000
221,EDC000221,7,Vertex EngineeringDocumentCategory 221,1,1,2026-08-24T00:00:00.000
222,EDC000222,64,Quartz EngineeringDocumentCategory 222,1,1,2026-08-24T00:00:00.000
223,EDC000223,69,Unity EngineeringDocumentCategory 223,1,1,2026-08-24T00:00:00.000
224,EDC000224,2,Junction EngineeringDocumentCategory 224,1,1,2026-08-24T00:00:00.000
225,EDC000225,11,Orion EngineeringDocumentCategory 225,1,1,2026-08-24T00:00:00.000
226,EDC000226,24,Granite EngineeringDocumentCategory 226,1,1,2026-08-24T00:00:00.000
227,EDC000227,79,Beacon EngineeringDocumentCategory 227,1,1,2026-08-24T00:00:00.000
228,EDC000228,10,Willow EngineeringDocumentCategory 228,1,1,2026-08-24T00:00:00.000
229,EDC000229,53,Quartz EngineeringDocumentCategory 229,1,1,2026-08-24T00:00:00.000
230,EDC000230,72,Pioneer EngineeringDocumentCategory 230,1,1,2026-08-24T00:00:00.000
231,EDC000231,52,Zenith EngineeringDocumentCategory 231,1,1,2026-08-24T00:00:00.000
232,EDC000232,116,Zenith EngineeringDocumentCategory 232,1,1,2026-08-24T00:00:00.000
233,EDC000233,69,Liberty EngineeringDocumentCategory 233,1,1,2026-08-24T00:00:00.000
234,EDC000234,27,Atlas EngineeringDocumentCategory 234,1,1,2026-08-24T00:00:00.000
235,EDC000235,148,Keystone EngineeringDocumentCategory 235,1,1,2026-08-24T00:00:00.000
236,EDC000236,47,Junction EngineeringDocumentCategory 236,1,1,2026-08-24T00:00:00.000
237,EDC000237,162,Granite EngineeringDocumentCategory 237,1,1,2026-08-24T00:00:00.000
238,EDC000238,50,Meridian EngineeringDocumentCategory 238,1,1,2026-08-24T00:00:00.000
239,EDC000239,105,Liberty EngineeringDocumentCategory 239,1,1,2026-08-24T00:00:00.000
240,EDC000240,139,Forge EngineeringDocumentCategory 240,1,1,2026-08-24T00:00:00.000
241,EDC000241,149,Delta EngineeringDocumentCategory 241,1,1,2026-08-24T00:00:00.000
242,EDC000242,111,Beacon EngineeringDocumentCategory 242,1,1,2026-08-24T00:00:00.000
243,EDC000243,33,Summit EngineeringDocumentCategory 243,1,1,2026-08-24T00:00:00.000
244,EDC000244,102,Northstar EngineeringDocumentCategory 244,1,1,2026-08-24T00:00:00.000
245,EDC000245,172,Vertex EngineeringDocumentCategory 245,1,1,2026-08-24T00:00:00.000
246,EDC000246,110,Pioneer EngineeringDocumentCategory 246,1,1,2026-08-24T00:00:00.000
247,EDC000247,150,Vertex EngineeringDocumentCategory 247,1,1,2026-08-24T00:00:00.000
248,EDC000248,15,Forge EngineeringDocumentCategory 248,1,1,2026-08-24T00:00:00.000
249,EDC000249,84,Summit EngineeringDocumentCategory 249,1,1,2026-08-24T00:00:00.000
250,EDC000250,143,Quartz EngineeringDocumentCategory 250,1,1,2026-08-24T00:00:00.000
251,EDC000251,80,Evergreen EngineeringDocumentCategory 251,1,1,2026-08-24T00:00:00.000
252,EDC000252,127,Delta EngineeringDocumentCategory 252,1,1,2026-08-24T00:00:00.000
253,EDC000253,123,Beacon EngineeringDocumentCategory 253,1,1,2026-08-24T00:00:00.000
254,EDC000254,161,Ion EngineeringDocumentCategory 254,1,1,2026-08-24T00:00:00.000
255,EDC000255,151,Northstar EngineeringDocumentCategory 255,1,1,2026-08-24T00:00:00.000
256,EDC000256,115,Evergreen EngineeringDocumentCategory 256,1,1,2026-08-24T00:00:00.000
257,EDC000257,137,Riverton EngineeringDocumentCategory 257,1,1,2026-08-24T00:00:00.000
258,EDC000258,135,Unity EngineeringDocumentCategory 258,1,1,2026-08-24T00:00:00.000
259,EDC000259,29,Keystone EngineeringDocumentCategory 259,1,1,2026-08-24T00:00:00.000
260,EDC000260,101,Ion EngineeringDocumentCategory 260,1,1,2026-08-24T00:00:00.000
261,EDC000261,105,Zenith EngineeringDocumentCategory 261,1,1,2026-08-24T00:00:00.000
262,EDC000262,133,Liberty EngineeringDocumentCategory 262,1,1,2026-08-24T00:00:00.000
263,EDC000263,57,Orion EngineeringDocumentCategory 263,1,1,2026-08-24T00:00:00.000
264,EDC000264,128,Liberty EngineeringDocumentCategory 264,1,1,2026-08-24T00:00:00.000
265,EDC000265,14,Granite EngineeringDocumentCategory 265,1,1,2026-08-24T00:00:00.000
266,EDC000266,100,Riverton EngineeringDocumentCategory 266,1,1,2026-08-24T00:00:00.000
267,EDC000267,159,Willow EngineeringDocumentCategory 267,1,1,2026-08-24T00:00:00.000
268,EDC000268,10,Titan EngineeringDocumentCategory 268,1,1,2026-08-24T00:00:00.000
269,EDC000269,86,Northstar EngineeringDocumentCategory 269,1,1,2026-08-24T00:00:00.000
270,EDC000270,142,Junction EngineeringDocumentCategory 270,1,1,2026-08-24T00:00:00.000
271,EDC000271,153,Harbor EngineeringDocumentCategory 271,1,1,2026-08-24T00:00:00.000
272,EDC000272,150,Ion EngineeringDocumentCategory 272,1,1,2026-08-24T00:00:00.000
273,EDC000273,73,Evergreen EngineeringDocumentCategory 273,1,1,2026-08-24T00:00:00.000
274,EDC000274,171,Unity EngineeringDocumentCategory 274,1,1,2026-08-24T00:00:00.000
275,EDC000275,47,Summit EngineeringDocumentCategory 275,1,1,2026-08-24T00:00:00.000
276,EDC000276,136,Harbor EngineeringDocumentCategory 276,1,1,2026-08-24T00:00:00.000
277,EDC000277,157,Cedar EngineeringDocumentCategory 277,1,1,2026-08-24T00:00:00.000
278,EDC000278,176,Quartz EngineeringDocumentCategory 278,1,1,2026-08-24T00:00:00.000
279,EDC000279,47,Northstar EngineeringDocumentCategory 279,1,1,2026-08-24T00:00:00.000
280,EDC000280,149,Harbor EngineeringDocumentCategory 280,1,1,2026-08-24T00:00:00.000
281,EDC000281,26,Northstar EngineeringDocumentCategory 281,1,1,2026-08-24T00:00:00.000
282,EDC000282,125,Summit EngineeringDocumentCategory 282,1,1,2026-08-24T00:00:00.000
283,EDC000283,113,Keystone EngineeringDocumentCategory 283,1,1,2026-08-24T00:00:00.000
284,EDC000284,33,Unity EngineeringDocumentCategory 284,1,1,2026-08-24T00:00:00.000
285,EDC000285,9,Harbor EngineeringDocumentCategory 285,1,1,2026-08-24T00:00:00.000
286,EDC000286,115,Ion EngineeringDocumentCategory 286,1,1,2026-08-24T00:00:00.000
287,EDC000287,67,Quartz EngineeringDocumentCategory 287,1,1,2026-08-24T00:00:00.000
288,EDC000288,43,Meridian EngineeringDocumentCategory 288,1,1,2026-08-24T00:00:00.000
289,EDC000289,31,Titan EngineeringDocumentCategory 289,1,1,2026-08-24T00:00:00.000
