InventoryReplenishmentGroupKey,InventoryReplenishmentGroupCode,InventoryPlanningSegmentKey,InventoryReplenishmentGroupName,SourceSystemKey,BatchId,LoadedAtUtc
102,IRG000102,52,Willow InventoryReplenishmentGroup 102,1,1,2026-08-24T00:00:00.000
103,IRG000103,68,Harbor InventoryReplenishmentGroup 103,1,1,2026-08-24T00:00:00.000
104,IRG000104,42,Zenith InventoryReplenishmentGroup 104,1,1,2026-08-24T00:00:00.000
105,IRG000105,68,Vertex InventoryReplenishmentGroup 105,1,1,2026-08-24T00:00:00.000
106,IRG000106,28,Pioneer InventoryReplenishmentGroup 106,1,1,2026-08-24T00:00:00.000
107,IRG000107,1,Granite InventoryReplenishmentGroup 107,1,1,2026-08-24T00:00:00.000
108,IRG000108,57,Willow InventoryReplenishmentGroup 108,1,1,2026-08-24T00:00:00.000
109,IRG000109,76,Junction InventoryReplenishmentGroup 109,1,1,2026-08-24T00:00:00.000
110,IRG000110,8,Willow InventoryReplenishmentGroup 110,1,1,2026-08-24T00:00:00.000
111,IRG000111,69,Quartz InventoryReplenishmentGroup 111,1,1,2026-08-24T00:00:00.000
112,IRG000112,49,Zenith InventoryReplenishmentGroup 112,1,1,2026-08-24T00:00:00.000
113,IRG000113,35,Ion InventoryReplenishmentGroup 113,1,1,2026-08-24T00:00:00.000
114,IRG000114,3,Harbor InventoryReplenishmentGroup 114,1,1,2026-08-24T00:00:00.000
115,IRG000115,78,Meridian InventoryReplenishmentGroup 115,1,1,2026-08-24T00:00:00.000
116,IRG000116,22,Titan InventoryReplenishmentGroup 116,1,1,2026-08-24T00:00:00.000
117,IRG000117,70,Zenith InventoryReplenishmentGroup 117,1,1,2026-08-24T00:00:00.000
118,IRG000118,3,Vertex InventoryReplenishmentGroup 118,1,1,2026-08-24T00:00:00.000
119,IRG000119,21,Evergreen InventoryReplenishmentGroup 119,1,1,2026-08-24T00:00:00.000
120,IRG000120,39,Ion InventoryReplenishmentGroup 120,1,1,2026-08-24T00:00:00.000
121,IRG000121,17,Granite InventoryReplenishmentGroup 121,1,1,2026-08-24T00:00:00.000
122,IRG000122,45,Orion InventoryReplenishmentGroup 122,1,1,2026-08-24T00:00:00.000
123,IRG000123,39,Atlas InventoryReplenishmentGroup 123,1,1,2026-08-24T00:00:00.000
124,IRG000124,22,Titan InventoryReplenishmentGroup 124,1,1,2026-08-24T00:00:00.000
125,IRG000125,27,Ion InventoryReplenishmentGroup 125,1,1,2026-08-24T00:00:00.000
126,IRG000126,12,Ion InventoryReplenishmentGroup 126,1,1,2026-08-24T00:00:00.000
127,IRG000127,34,Unity InventoryReplenishmentGroup 127,1,1,2026-08-24T00:00:00.000
128,IRG000128,27,Willow InventoryReplenishmentGroup 128,1,1,2026-08-24T00:00:00.000
129,IRG000129,65,Harbor InventoryReplenishmentGroup 129,1,1,2026-08-24T00:00:00.000
130,IRG000130,47,Atlas InventoryReplenishmentGroup 130,1,1,2026-08-24T00:00:00.000
131,IRG000131,2,Northstar InventoryReplenishmentGroup 131,1,1,2026-08-24T00:00:00.000
132,IRG000132,46,Northstar InventoryReplenishmentGroup 132,1,1,2026-08-24T00:00:00.000
133,IRG000133,43,Willow InventoryReplenishmentGroup 133,1,1,2026-08-24T00:00:00.000
134,IRG000134,17,Granite InventoryReplenishmentGroup 134,1,1,2026-08-24T00:00:00.000
135,IRG000135,57,Ion InventoryReplenishmentGroup 135,1,1,2026-08-24T00:00:00.000
136,IRG000136,60,Willow InventoryReplenishmentGroup 136,1,1,2026-08-24T00:00:00.000
137,IRG000137,27,Vertex InventoryReplenishmentGroup 137,1,1,2026-08-24T00:00:00.000
138,IRG000138,4,Pioneer InventoryReplenishmentGroup 138,1,1,2026-08-24T00:00:00.000
139,IRG000139,38,Quartz InventoryReplenishmentGroup 139,1,1,2026-08-24T00:00:00.000
140,IRG000140,15,Northstar InventoryReplenishmentGroup 140,1,1,2026-08-24T00:00:00.000
141,IRG000141,51,Cedar InventoryReplenishmentGroup 141,1,1,2026-08-24T00:00:00.000
142,IRG000142,6,Summit InventoryReplenishmentGroup 142,1,1,2026-08-24T00:00:00.000
143,IRG000143,52,Junction InventoryReplenishmentGroup 143,1,1,2026-08-24T00:00:00.000
144,IRG000144,27,Ion InventoryReplenishmentGroup 144,1,1,2026-08-24T00:00:00.000
145,IRG000145,18,Quartz InventoryReplenishmentGroup 145,1,1,2026-08-24T00:00:00.000
146,IRG000146,2,Ion InventoryReplenishmentGroup 146,1,1,2026-08-24T00:00:00.000
147,IRG000147,70,Riverton InventoryReplenishmentGroup 147,1,1,2026-08-24T00:00:00.000
148,IRG000148,24,Titan InventoryReplenishmentGroup 148,1,1,2026-08-24T00:00:00.000
149,IRG000149,60,Willow InventoryReplenishmentGroup 149,1,1,2026-08-24T00:00:00.000
150,IRG000150,4,Titan InventoryReplenishmentGroup 150,1,1,2026-08-24T00:00:00.000
151,IRG000151,18,Northstar InventoryReplenishmentGroup 151,1,1,2026-08-24T00:00:00.000
152,IRG000152,12,Zenith InventoryReplenishmentGroup 152,1,1,2026-08-24T00:00:00.000
153,IRG000153,8,Forge InventoryReplenishmentGroup 153,1,1,2026-08-24T00:00:00.000
154,IRG000154,28,Meridian InventoryReplenishmentGroup 154,1,1,2026-08-24T00:00:00.000
155,IRG000155,24,Zenith InventoryReplenishmentGroup 155,1,1,2026-08-24T00:00:00.000
156,IRG000156,42,Harbor InventoryReplenishmentGroup 156,1,1,2026-08-24T00:00:00.000
157,IRG000157,70,Harbor InventoryReplenishmentGroup 157,1,1,2026-08-24T00:00:00.000
158,IRG000158,2,Forge InventoryReplenishmentGroup 158,1,1,2026-08-24T00:00:00.000
159,IRG000159,67,Evergreen InventoryReplenishmentGroup 159,1,1,2026-08-24T00:00:00.000
160,IRG000160,42,Northstar InventoryReplenishmentGroup 160,1,1,2026-08-24T00:00:00.000
161,IRG000161,62,Granite InventoryReplenishmentGroup 161,1,1,2026-08-24T00:00:00.000
162,IRG000162,52,Beacon InventoryReplenishmentGroup 162,1,1,2026-08-24T00:00:00.000
163,IRG000163,11,Northstar InventoryReplenishmentGroup 163,1,1,2026-08-24T00:00:00.000
164,IRG000164,16,Riverton InventoryReplenishmentGroup 164,1,1,2026-08-24T00:00:00.000
165,IRG000165,39,Liberty InventoryReplenishmentGroup 165,1,1,2026-08-24T00:00:00.000
166,IRG000166,56,Quartz InventoryReplenishmentGroup 166,1,1,2026-08-24T00:00:00.000
167,IRG000167,54,Titan InventoryReplenishmentGroup 167,1,1,2026-08-24T00:00:00.000
168,IRG000168,1,Atlas InventoryReplenishmentGroup 168,1,1,2026-08-24T00:00:00.000
169,IRG000169,61,Pioneer InventoryReplenishmentGroup 169,1,1,2026-08-24T00:00:00.000
170,IRG000170,48,Summit InventoryReplenishmentGroup 170,1,1,2026-08-24T00:00:00.000
171,IRG000171,52,Atlas InventoryReplenishmentGroup 171,1,1,2026-08-24T00:00:00.000
172,IRG000172,7,Vertex InventoryReplenishmentGroup 172,1,1,2026-08-24T00:00:00.000
173,IRG000173,56,Pioneer InventoryReplenishmentGroup 173,1,1,2026-08-24T00:00:00.000
174,IRG000174,65,Granite InventoryReplenishmentGroup 174,1,1,2026-08-24T00:00:00.000
175,IRG000175,37,Liberty InventoryReplenishmentGroup 175,1,1,2026-08-24T00:00:00.000
176,IRG000176,27,Delta InventoryReplenishmentGroup 176,1,1,2026-08-24T00:00:00.000
177,IRG000177,36,Delta InventoryReplenishmentGroup 177,1,1,2026-08-24T00:00:00.000
178,IRG000178,53,Atlas InventoryReplenishmentGroup 178,1,1,2026-08-24T00:00:00.000
179,IRG000179,10,Ion InventoryReplenishmentGroup 179,1,1,2026-08-24T00:00:00.000
180,IRG000180,60,Zenith InventoryReplenishmentGroup 180,1,1,2026-08-24T00:00:00.000
181,IRG000181,2,Delta InventoryReplenishmentGroup 181,1,1,2026-08-24T00:00:00.000
182,IRG000182,21,Vertex InventoryReplenishmentGroup 182,1,1,2026-08-24T00:00:00.000
183,IRG000183,34,Summit InventoryReplenishmentGroup 183,1,1,2026-08-24T00:00:00.000
184,IRG000184,61,Atlas InventoryReplenishmentGroup 184,1,1,2026-08-24T00:00:00.000
185,IRG000185,77,Riverton InventoryReplenishmentGroup 185,1,1,2026-08-24T00:00:00.000
186,IRG000186,9,Keystone InventoryReplenishmentGroup 186,1,1,2026-08-24T00:00:00.000
187,IRG000187,45,Cedar InventoryReplenishmentGroup 187,1,1,2026-08-24T00:00:00.000
188,IRG000188,64,Northstar InventoryReplenishmentGroup 188,1,1,2026-08-24T00:00:00.000
189,IRG000189,45,Summit InventoryReplenishmentGroup 189,1,1,2026-08-24T00:00:00.000
190,IRG000190,11,Delta InventoryReplenishmentGroup 190,1,1,2026-08-24T00:00:00.000
191,IRG000191,25,Vertex InventoryReplenishmentGroup 191,1,1,2026-08-24T00:00:00.000
192,IRG000192,37,Ion InventoryReplenishmentGroup 192,1,1,2026-08-24T00:00:00.000
193,IRG000193,41,Meridian InventoryReplenishmentGroup 193,1,1,2026-08-24T00:00:00.000
194,IRG000194,67,Orion InventoryReplenishmentGroup 194,1,1,2026-08-24T00:00:00.000
195,IRG000195,43,Meridian InventoryReplenishmentGroup 195,1,1,2026-08-24T00:00:00.000
196,IRG000196,75,Evergreen InventoryReplenishmentGroup 196,1,1,2026-08-24T00:00:00.000
197,IRG000197,78,Orion InventoryReplenishmentGroup 197,1,1,2026-08-24T00:00:00.000
198,IRG000198,46,Summit InventoryReplenishmentGroup 198,1,1,2026-08-24T00:00:00.000
199,IRG000199,70,Unity InventoryReplenishmentGroup 199,1,1,2026-08-24T00:00:00.000
200,IRG000200,26,Northstar InventoryReplenishmentGroup 200,1,1,2026-08-24T00:00:00.000
201,IRG000201,59,Willow InventoryReplenishmentGroup 201,1,1,2026-08-24T00:00:00.000
202,IRG000202,10,Forge InventoryReplenishmentGroup 202,1,1,2026-08-24T00:00:00.000
203,IRG000203,80,Willow InventoryReplenishmentGroup 203,1,1,2026-08-24T00:00:00.000
204,IRG000204,71,Liberty InventoryReplenishmentGroup 204,1,1,2026-08-24T00:00:00.000
205,IRG000205,61,Harbor InventoryReplenishmentGroup 205,1,1,2026-08-24T00:00:00.000
206,IRG000206,12,Summit InventoryReplenishmentGroup 206,1,1,2026-08-24T00:00:00.000
207,IRG000207,52,Harbor InventoryReplenishmentGroup 207,1,1,2026-08-24T00:00:00.000
208,IRG000208,23,Junction InventoryReplenishmentGroup 208,1,1,2026-08-24T00:00:00.000
209,IRG000209,60,Forge InventoryReplenishmentGroup 209,1,1,2026-08-24T00:00:00.000
210,IRG000210,40,Zenith InventoryReplenishmentGroup 210,1,1,2026-08-24T00:00:00.000
211,IRG000211,55,Beacon InventoryReplenishmentGroup 211,1,1,2026-08-24T00:00:00.000
212,IRG000212,78,Cedar InventoryReplenishmentGroup 212,1,1,2026-08-24T00:00:00.000
213,IRG000213,39,Unity InventoryReplenishmentGroup 213,1,1,2026-08-24T00:00:00.000
214,IRG000214,63,Quartz InventoryReplenishmentGroup 214,1,1,2026-08-24T00:00:00.000
215,IRG000215,74,Cedar InventoryReplenishmentGroup 215,1,1,2026-08-24T00:00:00.000
216,IRG000216,21,Orion InventoryReplenishmentGroup 216,1,1,2026-08-24T00:00:00.000
217,IRG000217,65,Titan InventoryReplenishmentGroup 217,1,1,2026-08-24T00:00:00.000
218,IRG000218,71,Forge InventoryReplenishmentGroup 218,1,1,2026-08-24T00:00:00.000
219,IRG000219,48,Atlas InventoryReplenishmentGroup 219,1,1,2026-08-24T00:00:00.000
220,IRG000220,37,Junction InventoryReplenishmentGroup 220,1,1,2026-08-24T00:00:00.000
221,IRG000221,70,Ion InventoryReplenishmentGroup 221,1,1,2026-08-24T00:00:00.000
222,IRG000222,32,Cedar InventoryReplenishmentGroup 222,1,1,2026-08-24T00:00:00.000
223,IRG000223,8,Junction InventoryReplenishmentGroup 223,1,1,2026-08-24T00:00:00.000
224,IRG000224,75,Keystone InventoryReplenishmentGroup 224,1,1,2026-08-24T00:00:00.000
225,IRG000225,21,Northstar InventoryReplenishmentGroup 225,1,1,2026-08-24T00:00:00.000
226,IRG000226,14,Zenith InventoryReplenishmentGroup 226,1,1,2026-08-24T00:00:00.000
227,IRG000227,24,Keystone InventoryReplenishmentGroup 227,1,1,2026-08-24T00:00:00.000
228,IRG000228,52,Evergreen InventoryReplenishmentGroup 228,1,1,2026-08-24T00:00:00.000
229,IRG000229,44,Granite InventoryReplenishmentGroup 229,1,1,2026-08-24T00:00:00.000
230,IRG000230,45,Beacon InventoryReplenishmentGroup 230,1,1,2026-08-24T00:00:00.000
231,IRG000231,68,Forge InventoryReplenishmentGroup 231,1,1,2026-08-24T00:00:00.000
232,IRG000232,21,Riverton InventoryReplenishmentGroup 232,1,1,2026-08-24T00:00:00.000
233,IRG000233,1,Evergreen InventoryReplenishmentGroup 233,1,1,2026-08-24T00:00:00.000
234,IRG000234,68,Quartz InventoryReplenishmentGroup 234,1,1,2026-08-24T00:00:00.000
235,IRG000235,4,Beacon InventoryReplenishmentGroup 235,1,1,2026-08-24T00:00:00.000
236,IRG000236,15,Vertex InventoryReplenishmentGroup 236,1,1,2026-08-24T00:00:00.000
237,IRG000237,1,Summit InventoryReplenishmentGroup 237,1,1,2026-08-24T00:00:00.000
238,IRG000238,55,Northstar InventoryReplenishmentGroup 238,1,1,2026-08-24T00:00:00.000
239,IRG000239,29,Atlas InventoryReplenishmentGroup 239,1,1,2026-08-24T00:00:00.000
240,IRG000240,11,Granite InventoryReplenishmentGroup 240,1,1,2026-08-24T00:00:00.000
241,IRG000241,43,Titan InventoryReplenishmentGroup 241,1,1,2026-08-24T00:00:00.000
242,IRG000242,57,Vertex InventoryReplenishmentGroup 242,1,1,2026-08-24T00:00:00.000
243,IRG000243,34,Zenith InventoryReplenishmentGroup 243,1,1,2026-08-24T00:00:00.000
244,IRG000244,60,Harbor InventoryReplenishmentGroup 244,1,1,2026-08-24T00:00:00.000
245,IRG000245,39,Cedar InventoryReplenishmentGroup 245,1,1,2026-08-24T00:00:00.000
246,IRG000246,6,Unity InventoryReplenishmentGroup 246,1,1,2026-08-24T00:00:00.000
247,IRG000247,42,Evergreen InventoryReplenishmentGroup 247,1,1,2026-08-24T00:00:00.000
248,IRG000248,10,Granite InventoryReplenishmentGroup 248,1,1,2026-08-24T00:00:00.000
249,IRG000249,14,Riverton InventoryReplenishmentGroup 249,1,1,2026-08-24T00:00:00.000
250,IRG000250,78,Unity InventoryReplenishmentGroup 250,1,1,2026-08-24T00:00:00.000
251,IRG000251,26,Willow InventoryReplenishmentGroup 251,1,1,2026-08-24T00:00:00.000
252,IRG000252,49,Beacon InventoryReplenishmentGroup 252,1,1,2026-08-24T00:00:00.000
253,IRG000253,76,Quartz InventoryReplenishmentGroup 253,1,1,2026-08-24T00:00:00.000
254,IRG000254,8,Willow InventoryReplenishmentGroup 254,1,1,2026-08-24T00:00:00.000
255,IRG000255,32,Cedar InventoryReplenishmentGroup 255,1,1,2026-08-24T00:00:00.000
256,IRG000256,14,Atlas InventoryReplenishmentGroup 256,1,1,2026-08-24T00:00:00.000
257,IRG000257,42,Willow InventoryReplenishmentGroup 257,1,1,2026-08-24T00:00:00.000
258,IRG000258,73,Zenith InventoryReplenishmentGroup 258,1,1,2026-08-24T00:00:00.000
259,IRG000259,30,Harbor InventoryReplenishmentGroup 259,1,1,2026-08-24T00:00:00.000
260,IRG000260,3,Unity InventoryReplenishmentGroup 260,1,1,2026-08-24T00:00:00.000
261,IRG000261,20,Unity InventoryReplenishmentGroup 261,1,1,2026-08-24T00:00:00.000
262,IRG000262,51,Meridian InventoryReplenishmentGroup 262,1,1,2026-08-24T00:00:00.000
263,IRG000263,55,Granite InventoryReplenishmentGroup 263,1,1,2026-08-24T00:00:00.000
264,IRG000264,16,Atlas InventoryReplenishmentGroup 264,1,1,2026-08-24T00:00:00.000
265,IRG000265,24,Pioneer InventoryReplenishmentGroup 265,1,1,2026-08-24T00:00:00.000
266,IRG000266,38,Junction InventoryReplenishmentGroup 266,1,1,2026-08-24T00:00:00.000
267,IRG000267,11,Northstar InventoryReplenishmentGroup 267,1,1,2026-08-24T00:00:00.000
268,IRG000268,45,Delta InventoryReplenishmentGroup 268,1,1,2026-08-24T00:00:00.000
269,IRG000269,1,Ion InventoryReplenishmentGroup 269,1,1,2026-08-24T00:00:00.000
270,IRG000270,62,Ion InventoryReplenishmentGroup 270,1,1,2026-08-24T00:00:00.000
271,IRG000271,18,Willow InventoryReplenishmentGroup 271,1,1,2026-08-24T00:00:00.000
272,IRG000272,41,Zenith InventoryReplenishmentGroup 272,1,1,2026-08-24T00:00:00.000
273,IRG000273,63,Titan InventoryReplenishmentGroup 273,1,1,2026-08-24T00:00:00.000
274,IRG000274,79,Atlas InventoryReplenishmentGroup 274,1,1,2026-08-24T00:00:00.000
275,IRG000275,35,Titan InventoryReplenishmentGroup 275,1,1,2026-08-24T00:00:00.000
276,IRG000276,12,Keystone InventoryReplenishmentGroup 276,1,1,2026-08-24T00:00:00.000
277,IRG000277,10,Cedar InventoryReplenishmentGroup 277,1,1,2026-08-24T00:00:00.000
278,IRG000278,16,Keystone InventoryReplenishmentGroup 278,1,1,2026-08-24T00:00:00.000
279,IRG000279,56,Northstar InventoryReplenishmentGroup 279,1,1,2026-08-24T00:00:00.000
280,IRG000280,28,Forge InventoryReplenishmentGroup 280,1,1,2026-08-24T00:00:00.000
281,IRG000281,10,Quartz InventoryReplenishmentGroup 281,1,1,2026-08-24T00:00:00.000
282,IRG000282,34,Unity InventoryReplenishmentGroup 282,1,1,2026-08-24T00:00:00.000
283,IRG000283,8,Forge InventoryReplenishmentGroup 283,1,1,2026-08-24T00:00:00.000
