WarrantyComplaintTypeKey,ComplaintTypeCode,ServiceRepairCategoryKey,PriorityKey,ComplaintTypeName,RequiresFollowUp,SourceSystemKey,BatchId,LoadedAtUtc
19,WCT000019,31,3,Harbor WarrantyComplaintType 19,1,1,1,2026-08-24T00:00:00.000
20,WCT000020,10,1,Unity WarrantyComplaintType 20,0,1,1,2026-08-24T00:00:00.000
21,WCT000021,31,3,Quartz WarrantyComplaintType 21,1,1,1,2026-08-24T00:00:00.000
22,WCT000022,18,3,Keystone WarrantyComplaintType 22,0,1,1,2026-08-24T00:00:00.000
23,WCT000023,33,3,Delta WarrantyComplaintType 23,1,1,1,2026-08-24T00:00:00.000
24,WCT000024,20,2,Titan WarrantyComplaintType 24,0,1,1,2026-08-24T00:00:00.000
25,WCT000025,32,3,Junction WarrantyComplaintType 25,1,1,1,2026-08-24T00:00:00.000
26,WCT000026,15,4,Harbor WarrantyComplaintType 26,0,1,1,2026-08-24T00:00:00.000
27,WCT000027,20,5,Quartz WarrantyComplaintType 27,1,1,1,2026-08-24T00:00:00.000
28,WCT000028,26,1,Pioneer WarrantyComplaintType 28,0,1,1,2026-08-24T00:00:00.000
29,WCT000029,29,5,Forge WarrantyComplaintType 29,1,1,1,2026-08-24T00:00:00.000
30,WCT000030,27,1,Delta WarrantyComplaintType 30,0,1,1,2026-08-24T00:00:00.000
31,WCT000031,26,4,Delta WarrantyComplaintType 31,1,1,1,2026-08-24T00:00:00.000
32,WCT000032,29,3,Cedar WarrantyComplaintType 32,0,1,1,2026-08-24T00:00:00.000
33,WCT000033,29,5,Titan WarrantyComplaintType 33,1,1,1,2026-08-24T00:00:00.000
34,WCT000034,29,5,Riverton WarrantyComplaintType 34,0,1,1,2026-08-24T00:00:00.000
35,WCT000035,29,4,Titan WarrantyComplaintType 35,1,1,1,2026-08-24T00:00:00.000
36,WCT000036,11,4,Atlas WarrantyComplaintType 36,0,1,1,2026-08-24T00:00:00.000
37,WCT000037,27,1,Ion WarrantyComplaintType 37,1,1,1,2026-08-24T00:00:00.000
38,WCT000038,9,4,Meridian WarrantyComplaintType 38,0,1,1,2026-08-24T00:00:00.000
39,WCT000039,7,1,Quartz WarrantyComplaintType 39,1,1,1,2026-08-24T00:00:00.000
40,WCT000040,10,2,Evergreen WarrantyComplaintType 40,0,1,1,2026-08-24T00:00:00.000
41,WCT000041,3,4,Unity WarrantyComplaintType 41,1,1,1,2026-08-24T00:00:00.000
42,WCT000042,25,2,Meridian WarrantyComplaintType 42,0,1,1,2026-08-24T00:00:00.000
43,WCT000043,17,1,Evergreen WarrantyComplaintType 43,1,1,1,2026-08-24T00:00:00.000
44,WCT000044,7,4,Granite WarrantyComplaintType 44,0,1,1,2026-08-24T00:00:00.000
45,WCT000045,15,1,Northstar WarrantyComplaintType 45,1,1,1,2026-08-24T00:00:00.000
46,WCT000046,7,1,Beacon WarrantyComplaintType 46,0,1,1,2026-08-24T00:00:00.000
47,WCT000047,6,1,Quartz WarrantyComplaintType 47,1,1,1,2026-08-24T00:00:00.000
48,WCT000048,8,1,Meridian WarrantyComplaintType 48,0,1,1,2026-08-24T00:00:00.000
49,WCT000049,20,3,Riverton WarrantyComplaintType 49,1,1,1,2026-08-24T00:00:00.000
50,WCT000050,33,3,Beacon WarrantyComplaintType 50,0,1,1,2026-08-24T00:00:00.000
51,WCT000051,11,3,Titan WarrantyComplaintType 51,1,1,1,2026-08-24T00:00:00.000
52,WCT000052,2,1,Riverton WarrantyComplaintType 52,0,1,1,2026-08-24T00:00:00.000
53,WCT000053,15,3,Atlas WarrantyComplaintType 53,1,1,1,2026-08-24T00:00:00.000
54,WCT000054,1,2,Delta WarrantyComplaintType 54,0,1,1,2026-08-24T00:00:00.000
55,WCT000055,35,3,Forge WarrantyComplaintType 55,1,1,1,2026-08-24T00:00:00.000
56,WCT000056,24,1,Unity WarrantyComplaintType 56,0,1,1,2026-08-24T00:00:00.000
57,WCT000057,2,5,Unity WarrantyComplaintType 57,1,1,1,2026-08-24T00:00:00.000
58,WCT000058,11,5,Pioneer WarrantyComplaintType 58,0,1,1,2026-08-24T00:00:00.000
59,WCT000059,25,4,Forge WarrantyComplaintType 59,1,1,1,2026-08-24T00:00:00.000
60,WCT000060,26,1,Unity WarrantyComplaintType 60,0,1,1,2026-08-24T00:00:00.000
61,WCT000061,33,1,Unity WarrantyComplaintType 61,1,1,1,2026-08-24T00:00:00.000
62,WCT000062,12,3,Unity WarrantyComplaintType 62,0,1,1,2026-08-24T00:00:00.000
63,WCT000063,33,2,Ion WarrantyComplaintType 63,1,1,1,2026-08-24T00:00:00.000
64,WCT000064,18,4,Harbor WarrantyComplaintType 64,0,1,1,2026-08-24T00:00:00.000
65,WCT000065,30,5,Atlas WarrantyComplaintType 65,1,1,1,2026-08-24T00:00:00.000
66,WCT000066,22,3,Cedar WarrantyComplaintType 66,0,1,1,2026-08-24T00:00:00.000
67,WCT000067,33,1,Atlas WarrantyComplaintType 67,1,1,1,2026-08-24T00:00:00.000
68,WCT000068,33,5,Pioneer WarrantyComplaintType 68,0,1,1,2026-08-24T00:00:00.000
69,WCT000069,28,3,Willow WarrantyComplaintType 69,1,1,1,2026-08-24T00:00:00.000
70,WCT000070,1,5,Orion WarrantyComplaintType 70,0,1,1,2026-08-24T00:00:00.000
71,WCT000071,14,1,Vertex WarrantyComplaintType 71,1,1,1,2026-08-24T00:00:00.000
72,WCT000072,32,1,Vertex WarrantyComplaintType 72,0,1,1,2026-08-24T00:00:00.000
73,WCT000073,29,3,Willow WarrantyComplaintType 73,1,1,1,2026-08-24T00:00:00.000
74,WCT000074,27,3,Northstar WarrantyComplaintType 74,0,1,1,2026-08-24T00:00:00.000
75,WCT000075,34,2,Ion WarrantyComplaintType 75,1,1,1,2026-08-24T00:00:00.000
76,WCT000076,27,1,Atlas WarrantyComplaintType 76,0,1,1,2026-08-24T00:00:00.000
77,WCT000077,33,1,Liberty WarrantyComplaintType 77,1,1,1,2026-08-24T00:00:00.000
78,WCT000078,9,4,Quartz WarrantyComplaintType 78,0,1,1,2026-08-24T00:00:00.000
79,WCT000079,30,5,Junction WarrantyComplaintType 79,1,1,1,2026-08-24T00:00:00.000
80,WCT000080,24,4,Keystone WarrantyComplaintType 80,0,1,1,2026-08-24T00:00:00.000
81,WCT000081,33,1,Willow WarrantyComplaintType 81,1,1,1,2026-08-24T00:00:00.000
82,WCT000082,4,2,Unity WarrantyComplaintType 82,0,1,1,2026-08-24T00:00:00.000
83,WCT000083,29,3,Granite WarrantyComplaintType 83,1,1,1,2026-08-24T00:00:00.000
84,WCT000084,5,4,Evergreen WarrantyComplaintType 84,0,1,1,2026-08-24T00:00:00.000
85,WCT000085,9,5,Willow WarrantyComplaintType 85,1,1,1,2026-08-24T00:00:00.000
86,WCT000086,20,2,Unity WarrantyComplaintType 86,0,1,1,2026-08-24T00:00:00.000
87,WCT000087,15,1,Quartz WarrantyComplaintType 87,1,1,1,2026-08-24T00:00:00.000
88,WCT000088,6,4,Cedar WarrantyComplaintType 88,0,1,1,2026-08-24T00:00:00.000
89,WCT000089,1,4,Meridian WarrantyComplaintType 89,1,1,1,2026-08-24T00:00:00.000
90,WCT000090,33,2,Pioneer WarrantyComplaintType 90,0,1,1,2026-08-24T00:00:00.000
91,WCT000091,2,2,Atlas WarrantyComplaintType 91,1,1,1,2026-08-24T00:00:00.000
92,WCT000092,1,4,Forge WarrantyComplaintType 92,0,1,1,2026-08-24T00:00:00.000
93,WCT000093,16,1,Vertex WarrantyComplaintType 93,1,1,1,2026-08-24T00:00:00.000
94,WCT000094,14,5,Liberty WarrantyComplaintType 94,0,1,1,2026-08-24T00:00:00.000
95,WCT000095,30,5,Unity WarrantyComplaintType 95,1,1,1,2026-08-24T00:00:00.000
96,WCT000096,24,5,Keystone WarrantyComplaintType 96,0,1,1,2026-08-24T00:00:00.000
97,WCT000097,12,5,Riverton WarrantyComplaintType 97,1,1,1,2026-08-24T00:00:00.000
98,WCT000098,3,5,Granite WarrantyComplaintType 98,0,1,1,2026-08-24T00:00:00.000
99,WCT000099,25,2,Zenith WarrantyComplaintType 99,1,1,1,2026-08-24T00:00:00.000
100,WCT000100,8,3,Riverton WarrantyComplaintType 100,0,1,1,2026-08-24T00:00:00.000
101,WCT000101,15,1,Atlas WarrantyComplaintType 101,1,1,1,2026-08-24T00:00:00.000
102,WCT000102,19,2,Junction WarrantyComplaintType 102,0,1,1,2026-08-24T00:00:00.000
103,WCT000103,28,3,Cedar WarrantyComplaintType 103,1,1,1,2026-08-24T00:00:00.000
104,WCT000104,23,4,Cedar WarrantyComplaintType 104,0,1,1,2026-08-24T00:00:00.000
105,WCT000105,10,2,Forge WarrantyComplaintType 105,1,1,1,2026-08-24T00:00:00.000
106,WCT000106,31,4,Atlas WarrantyComplaintType 106,0,1,1,2026-08-24T00:00:00.000
107,WCT000107,15,2,Unity WarrantyComplaintType 107,1,1,1,2026-08-24T00:00:00.000
108,WCT000108,13,3,Orion WarrantyComplaintType 108,0,1,1,2026-08-24T00:00:00.000
109,WCT000109,1,2,Orion WarrantyComplaintType 109,1,1,1,2026-08-24T00:00:00.000
110,WCT000110,25,4,Harbor WarrantyComplaintType 110,0,1,1,2026-08-24T00:00:00.000
111,WCT000111,28,1,Granite WarrantyComplaintType 111,1,1,1,2026-08-24T00:00:00.000
112,WCT000112,32,1,Atlas WarrantyComplaintType 112,0,1,1,2026-08-24T00:00:00.000
113,WCT000113,3,4,Ion WarrantyComplaintType 113,1,1,1,2026-08-24T00:00:00.000
114,WCT000114,15,5,Beacon WarrantyComplaintType 114,0,1,1,2026-08-24T00:00:00.000
115,WCT000115,13,4,Quartz WarrantyComplaintType 115,1,1,1,2026-08-24T00:00:00.000
116,WCT000116,35,2,Orion WarrantyComplaintType 116,0,1,1,2026-08-24T00:00:00.000
117,WCT000117,4,4,Cedar WarrantyComplaintType 117,1,1,1,2026-08-24T00:00:00.000
118,WCT000118,5,4,Riverton WarrantyComplaintType 118,0,1,1,2026-08-24T00:00:00.000
119,WCT000119,1,1,Orion WarrantyComplaintType 119,1,1,1,2026-08-24T00:00:00.000
120,WCT000120,14,2,Unity WarrantyComplaintType 120,0,1,1,2026-08-24T00:00:00.000
121,WCT000121,34,3,Pioneer WarrantyComplaintType 121,1,1,1,2026-08-24T00:00:00.000
122,WCT000122,10,2,Unity WarrantyComplaintType 122,0,1,1,2026-08-24T00:00:00.000
123,WCT000123,13,5,Evergreen WarrantyComplaintType 123,1,1,1,2026-08-24T00:00:00.000
124,WCT000124,35,5,Zenith WarrantyComplaintType 124,0,1,1,2026-08-24T00:00:00.000
125,WCT000125,9,4,Northstar WarrantyComplaintType 125,1,1,1,2026-08-24T00:00:00.000
126,WCT000126,30,5,Keystone WarrantyComplaintType 126,0,1,1,2026-08-24T00:00:00.000
127,WCT000127,13,3,Titan WarrantyComplaintType 127,1,1,1,2026-08-24T00:00:00.000
128,WCT000128,3,1,Unity WarrantyComplaintType 128,0,1,1,2026-08-24T00:00:00.000
129,WCT000129,21,4,Liberty WarrantyComplaintType 129,1,1,1,2026-08-24T00:00:00.000
130,WCT000130,20,1,Ion WarrantyComplaintType 130,0,1,1,2026-08-24T00:00:00.000
131,WCT000131,28,1,Vertex WarrantyComplaintType 131,1,1,1,2026-08-24T00:00:00.000
132,WCT000132,23,4,Evergreen WarrantyComplaintType 132,0,1,1,2026-08-24T00:00:00.000
133,WCT000133,25,2,Keystone WarrantyComplaintType 133,1,1,1,2026-08-24T00:00:00.000
134,WCT000134,10,1,Orion WarrantyComplaintType 134,0,1,1,2026-08-24T00:00:00.000
135,WCT000135,3,3,Forge WarrantyComplaintType 135,1,1,1,2026-08-24T00:00:00.000
136,WCT000136,4,5,Harbor WarrantyComplaintType 136,0,1,1,2026-08-24T00:00:00.000
137,WCT000137,26,3,Zenith WarrantyComplaintType 137,1,1,1,2026-08-24T00:00:00.000
138,WCT000138,20,4,Delta WarrantyComplaintType 138,0,1,1,2026-08-24T00:00:00.000
139,WCT000139,24,3,Pioneer WarrantyComplaintType 139,1,1,1,2026-08-24T00:00:00.000
140,WCT000140,28,1,Liberty WarrantyComplaintType 140,0,1,1,2026-08-24T00:00:00.000
141,WCT000141,28,2,Titan WarrantyComplaintType 141,1,1,1,2026-08-24T00:00:00.000
142,WCT000142,35,5,Titan WarrantyComplaintType 142,0,1,1,2026-08-24T00:00:00.000
143,WCT000143,24,4,Cedar WarrantyComplaintType 143,1,1,1,2026-08-24T00:00:00.000
144,WCT000144,17,3,Summit WarrantyComplaintType 144,0,1,1,2026-08-24T00:00:00.000
145,WCT000145,5,3,Vertex WarrantyComplaintType 145,1,1,1,2026-08-24T00:00:00.000
146,WCT000146,7,4,Pioneer WarrantyComplaintType 146,0,1,1,2026-08-24T00:00:00.000
147,WCT000147,22,1,Beacon WarrantyComplaintType 147,1,1,1,2026-08-24T00:00:00.000
148,WCT000148,22,3,Forge WarrantyComplaintType 148,0,1,1,2026-08-24T00:00:00.000
149,WCT000149,9,4,Unity WarrantyComplaintType 149,1,1,1,2026-08-24T00:00:00.000
150,WCT000150,24,5,Summit WarrantyComplaintType 150,0,1,1,2026-08-24T00:00:00.000
151,WCT000151,10,4,Forge WarrantyComplaintType 151,1,1,1,2026-08-24T00:00:00.000
152,WCT000152,29,1,Vertex WarrantyComplaintType 152,0,1,1,2026-08-24T00:00:00.000
153,WCT000153,18,3,Keystone WarrantyComplaintType 153,1,1,1,2026-08-24T00:00:00.000
154,WCT000154,5,1,Zenith WarrantyComplaintType 154,0,1,1,2026-08-24T00:00:00.000
155,WCT000155,11,5,Willow WarrantyComplaintType 155,1,1,1,2026-08-24T00:00:00.000
156,WCT000156,9,2,Delta WarrantyComplaintType 156,0,1,1,2026-08-24T00:00:00.000
157,WCT000157,13,4,Summit WarrantyComplaintType 157,1,1,1,2026-08-24T00:00:00.000
158,WCT000158,10,1,Evergreen WarrantyComplaintType 158,0,1,1,2026-08-24T00:00:00.000
159,WCT000159,6,3,Liberty WarrantyComplaintType 159,1,1,1,2026-08-24T00:00:00.000
160,WCT000160,29,2,Junction WarrantyComplaintType 160,0,1,1,2026-08-24T00:00:00.000
161,WCT000161,1,1,Keystone WarrantyComplaintType 161,1,1,1,2026-08-24T00:00:00.000
162,WCT000162,26,4,Unity WarrantyComplaintType 162,0,1,1,2026-08-24T00:00:00.000
163,WCT000163,29,2,Liberty WarrantyComplaintType 163,1,1,1,2026-08-24T00:00:00.000
164,WCT000164,16,4,Forge WarrantyComplaintType 164,0,1,1,2026-08-24T00:00:00.000
165,WCT000165,34,2,Ion WarrantyComplaintType 165,1,1,1,2026-08-24T00:00:00.000
166,WCT000166,19,3,Titan WarrantyComplaintType 166,0,1,1,2026-08-24T00:00:00.000
167,WCT000167,12,3,Titan WarrantyComplaintType 167,1,1,1,2026-08-24T00:00:00.000
168,WCT000168,15,3,Unity WarrantyComplaintType 168,0,1,1,2026-08-24T00:00:00.000
169,WCT000169,1,4,Cedar WarrantyComplaintType 169,1,1,1,2026-08-24T00:00:00.000
170,WCT000170,21,4,Delta WarrantyComplaintType 170,0,1,1,2026-08-24T00:00:00.000
171,WCT000171,33,4,Harbor WarrantyComplaintType 171,1,1,1,2026-08-24T00:00:00.000
172,WCT000172,29,2,Atlas WarrantyComplaintType 172,0,1,1,2026-08-24T00:00:00.000
173,WCT000173,8,4,Orion WarrantyComplaintType 173,1,1,1,2026-08-24T00:00:00.000
174,WCT000174,25,4,Willow WarrantyComplaintType 174,0,1,1,2026-08-24T00:00:00.000
175,WCT000175,1,5,Unity WarrantyComplaintType 175,1,1,1,2026-08-24T00:00:00.000
176,WCT000176,18,4,Atlas WarrantyComplaintType 176,0,1,1,2026-08-24T00:00:00.000
177,WCT000177,18,4,Ion WarrantyComplaintType 177,1,1,1,2026-08-24T00:00:00.000
178,WCT000178,23,1,Unity WarrantyComplaintType 178,0,1,1,2026-08-24T00:00:00.000
179,WCT000179,4,5,Quartz WarrantyComplaintType 179,1,1,1,2026-08-24T00:00:00.000
180,WCT000180,29,4,Junction WarrantyComplaintType 180,0,1,1,2026-08-24T00:00:00.000
181,WCT000181,27,2,Keystone WarrantyComplaintType 181,1,1,1,2026-08-24T00:00:00.000
182,WCT000182,29,3,Titan WarrantyComplaintType 182,0,1,1,2026-08-24T00:00:00.000
183,WCT000183,25,4,Liberty WarrantyComplaintType 183,1,1,1,2026-08-24T00:00:00.000
184,WCT000184,10,3,Northstar WarrantyComplaintType 184,0,1,1,2026-08-24T00:00:00.000
185,WCT000185,18,1,Cedar WarrantyComplaintType 185,1,1,1,2026-08-24T00:00:00.000
186,WCT000186,17,3,Orion WarrantyComplaintType 186,0,1,1,2026-08-24T00:00:00.000
187,WCT000187,21,2,Zenith WarrantyComplaintType 187,1,1,1,2026-08-24T00:00:00.000
188,WCT000188,30,4,Northstar WarrantyComplaintType 188,0,1,1,2026-08-24T00:00:00.000
189,WCT000189,13,3,Vertex WarrantyComplaintType 189,1,1,1,2026-08-24T00:00:00.000
190,WCT000190,22,5,Cedar WarrantyComplaintType 190,0,1,1,2026-08-24T00:00:00.000
191,WCT000191,13,5,Ion WarrantyComplaintType 191,1,1,1,2026-08-24T00:00:00.000
192,WCT000192,22,5,Evergreen WarrantyComplaintType 192,0,1,1,2026-08-24T00:00:00.000
193,WCT000193,17,1,Orion WarrantyComplaintType 193,1,1,1,2026-08-24T00:00:00.000
194,WCT000194,26,4,Forge WarrantyComplaintType 194,0,1,1,2026-08-24T00:00:00.000
195,WCT000195,16,2,Granite WarrantyComplaintType 195,1,1,1,2026-08-24T00:00:00.000
196,WCT000196,29,4,Riverton WarrantyComplaintType 196,0,1,1,2026-08-24T00:00:00.000
197,WCT000197,5,1,Granite WarrantyComplaintType 197,1,1,1,2026-08-24T00:00:00.000
198,WCT000198,12,4,Zenith WarrantyComplaintType 198,0,1,1,2026-08-24T00:00:00.000
199,WCT000199,4,1,Cedar WarrantyComplaintType 199,1,1,1,2026-08-24T00:00:00.000
200,WCT000200,24,4,Riverton WarrantyComplaintType 200,0,1,1,2026-08-24T00:00:00.000
201,WCT000201,3,4,Granite WarrantyComplaintType 201,1,1,1,2026-08-24T00:00:00.000
202,WCT000202,11,5,Cedar WarrantyComplaintType 202,0,1,1,2026-08-24T00:00:00.000
203,WCT000203,28,5,Zenith WarrantyComplaintType 203,1,1,1,2026-08-24T00:00:00.000
204,WCT000204,6,4,Pioneer WarrantyComplaintType 204,0,1,1,2026-08-24T00:00:00.000
205,WCT000205,35,5,Summit WarrantyComplaintType 205,1,1,1,2026-08-24T00:00:00.000
206,WCT000206,17,4,Junction WarrantyComplaintType 206,0,1,1,2026-08-24T00:00:00.000
207,WCT000207,27,5,Vertex WarrantyComplaintType 207,1,1,1,2026-08-24T00:00:00.000
208,WCT000208,4,3,Orion WarrantyComplaintType 208,0,1,1,2026-08-24T00:00:00.000
209,WCT000209,24,2,Liberty WarrantyComplaintType 209,1,1,1,2026-08-24T00:00:00.000
210,WCT000210,3,1,Harbor WarrantyComplaintType 210,0,1,1,2026-08-24T00:00:00.000
211,WCT000211,20,2,Summit WarrantyComplaintType 211,1,1,1,2026-08-24T00:00:00.000
212,WCT000212,1,1,Ion WarrantyComplaintType 212,0,1,1,2026-08-24T00:00:00.000
213,WCT000213,22,3,Ion WarrantyComplaintType 213,1,1,1,2026-08-24T00:00:00.000
214,WCT000214,1,3,Forge WarrantyComplaintType 214,0,1,1,2026-08-24T00:00:00.000
215,WCT000215,27,3,Vertex WarrantyComplaintType 215,1,1,1,2026-08-24T00:00:00.000
216,WCT000216,15,4,Summit WarrantyComplaintType 216,0,1,1,2026-08-24T00:00:00.000
217,WCT000217,11,5,Cedar WarrantyComplaintType 217,1,1,1,2026-08-24T00:00:00.000
218,WCT000218,11,1,Unity WarrantyComplaintType 218,0,1,1,2026-08-24T00:00:00.000
219,WCT000219,24,3,Granite WarrantyComplaintType 219,1,1,1,2026-08-24T00:00:00.000
220,WCT000220,17,5,Pioneer WarrantyComplaintType 220,0,1,1,2026-08-24T00:00:00.000
221,WCT000221,33,3,Titan WarrantyComplaintType 221,1,1,1,2026-08-24T00:00:00.000
222,WCT000222,9,1,Granite WarrantyComplaintType 222,0,1,1,2026-08-24T00:00:00.000
223,WCT000223,29,3,Harbor WarrantyComplaintType 223,1,1,1,2026-08-24T00:00:00.000
224,WCT000224,23,5,Granite WarrantyComplaintType 224,0,1,1,2026-08-24T00:00:00.000
225,WCT000225,28,5,Harbor WarrantyComplaintType 225,1,1,1,2026-08-24T00:00:00.000
226,WCT000226,35,4,Liberty WarrantyComplaintType 226,0,1,1,2026-08-24T00:00:00.000
227,WCT000227,9,3,Vertex WarrantyComplaintType 227,1,1,1,2026-08-24T00:00:00.000
228,WCT000228,29,3,Quartz WarrantyComplaintType 228,0,1,1,2026-08-24T00:00:00.000
229,WCT000229,30,1,Unity WarrantyComplaintType 229,1,1,1,2026-08-24T00:00:00.000
230,WCT000230,22,2,Zenith WarrantyComplaintType 230,0,1,1,2026-08-24T00:00:00.000
231,WCT000231,30,3,Delta WarrantyComplaintType 231,1,1,1,2026-08-24T00:00:00.000
232,WCT000232,35,5,Beacon WarrantyComplaintType 232,0,1,1,2026-08-24T00:00:00.000
233,WCT000233,35,2,Summit WarrantyComplaintType 233,1,1,1,2026-08-24T00:00:00.000
234,WCT000234,11,3,Beacon WarrantyComplaintType 234,0,1,1,2026-08-24T00:00:00.000
235,WCT000235,1,3,Orion WarrantyComplaintType 235,1,1,1,2026-08-24T00:00:00.000
236,WCT000236,33,4,Northstar WarrantyComplaintType 236,0,1,1,2026-08-24T00:00:00.000
237,WCT000237,32,3,Vertex WarrantyComplaintType 237,1,1,1,2026-08-24T00:00:00.000
238,WCT000238,27,2,Delta WarrantyComplaintType 238,0,1,1,2026-08-24T00:00:00.000
239,WCT000239,33,5,Titan WarrantyComplaintType 239,1,1,1,2026-08-24T00:00:00.000
240,WCT000240,17,4,Zenith WarrantyComplaintType 240,0,1,1,2026-08-24T00:00:00.000
241,WCT000241,24,1,Meridian WarrantyComplaintType 241,1,1,1,2026-08-24T00:00:00.000
242,WCT000242,13,5,Liberty WarrantyComplaintType 242,0,1,1,2026-08-24T00:00:00.000
243,WCT000243,12,2,Zenith WarrantyComplaintType 243,1,1,1,2026-08-24T00:00:00.000
244,WCT000244,33,2,Riverton WarrantyComplaintType 244,0,1,1,2026-08-24T00:00:00.000
245,WCT000245,3,3,Evergreen WarrantyComplaintType 245,1,1,1,2026-08-24T00:00:00.000
246,WCT000246,14,4,Unity WarrantyComplaintType 246,0,1,1,2026-08-24T00:00:00.000
247,WCT000247,12,1,Liberty WarrantyComplaintType 247,1,1,1,2026-08-24T00:00:00.000
248,WCT000248,33,2,Beacon WarrantyComplaintType 248,0,1,1,2026-08-24T00:00:00.000
249,WCT000249,21,4,Junction WarrantyComplaintType 249,1,1,1,2026-08-24T00:00:00.000
250,WCT000250,7,3,Granite WarrantyComplaintType 250,0,1,1,2026-08-24T00:00:00.000
251,WCT000251,10,3,Meridian WarrantyComplaintType 251,1,1,1,2026-08-24T00:00:00.000
252,WCT000252,25,4,Zenith WarrantyComplaintType 252,0,1,1,2026-08-24T00:00:00.000
253,WCT000253,15,3,Evergreen WarrantyComplaintType 253,1,1,1,2026-08-24T00:00:00.000
254,WCT000254,19,2,Forge WarrantyComplaintType 254,0,1,1,2026-08-24T00:00:00.000
255,WCT000255,13,5,Delta WarrantyComplaintType 255,1,1,1,2026-08-24T00:00:00.000
256,WCT000256,2,3,Harbor WarrantyComplaintType 256,0,1,1,2026-08-24T00:00:00.000
257,WCT000257,16,5,Riverton WarrantyComplaintType 257,1,1,1,2026-08-24T00:00:00.000
258,WCT000258,22,2,Titan WarrantyComplaintType 258,0,1,1,2026-08-24T00:00:00.000
259,WCT000259,1,5,Zenith WarrantyComplaintType 259,1,1,1,2026-08-24T00:00:00.000
260,WCT000260,7,1,Titan WarrantyComplaintType 260,0,1,1,2026-08-24T00:00:00.000
261,WCT000261,15,1,Granite WarrantyComplaintType 261,1,1,1,2026-08-24T00:00:00.000
262,WCT000262,34,4,Pioneer WarrantyComplaintType 262,0,1,1,2026-08-24T00:00:00.000
263,WCT000263,7,2,Unity WarrantyComplaintType 263,1,1,1,2026-08-24T00:00:00.000
264,WCT000264,27,3,Orion WarrantyComplaintType 264,0,1,1,2026-08-24T00:00:00.000
265,WCT000265,33,3,Forge WarrantyComplaintType 265,1,1,1,2026-08-24T00:00:00.000
266,WCT000266,3,3,Keystone WarrantyComplaintType 266,0,1,1,2026-08-24T00:00:00.000
267,WCT000267,30,1,Ion WarrantyComplaintType 267,1,1,1,2026-08-24T00:00:00.000
268,WCT000268,28,5,Junction WarrantyComplaintType 268,0,1,1,2026-08-24T00:00:00.000
269,WCT000269,17,5,Pioneer WarrantyComplaintType 269,1,1,1,2026-08-24T00:00:00.000
270,WCT000270,9,3,Atlas WarrantyComplaintType 270,0,1,1,2026-08-24T00:00:00.000
271,WCT000271,13,4,Unity WarrantyComplaintType 271,1,1,1,2026-08-24T00:00:00.000
272,WCT000272,22,5,Harbor WarrantyComplaintType 272,0,1,1,2026-08-24T00:00:00.000
273,WCT000273,14,1,Pioneer WarrantyComplaintType 273,1,1,1,2026-08-24T00:00:00.000
274,WCT000274,35,5,Pioneer WarrantyComplaintType 274,0,1,1,2026-08-24T00:00:00.000
275,WCT000275,24,1,Unity WarrantyComplaintType 275,1,1,1,2026-08-24T00:00:00.000
276,WCT000276,24,3,Keystone WarrantyComplaintType 276,0,1,1,2026-08-24T00:00:00.000
277,WCT000277,6,1,Orion WarrantyComplaintType 277,1,1,1,2026-08-24T00:00:00.000
