LogisticsTransportLoadKey,TransportLoadNumber,LogisticsCarrierServiceOptionKey,LogisticsLaneSegmentKey,PlannerEmployeeKey,LogisticsShipmentStatusKey,TransportLoadName,PlannedDepartureDate,PlannedArrivalDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
33,LTL000033,205,8,373,13,Atlas LogisticsTransportLoad 33,2020-02-03,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d46714e8a4c5be195145fc853b0d5b76d46714e8a4c5be195145fc853b0d5b7
34,LTL000034,255,281,-1,11,Pioneer LogisticsTransportLoad 34,2020-02-04,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd43316685035adb80fe660ca7113a1bfd43316685035adb80fe660ca7113a1b
35,LTL000035,172,137,24,1,Pioneer LogisticsTransportLoad 35,2020-02-05,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c40ec521bdc5c3ea586d6191ad1c3de9c40ec521bdc5c3ea586d6191ad1c3de
36,LTL000036,210,234,37,12,Forge LogisticsTransportLoad 36,2020-02-06,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e110ede0c87955e4bba2c3e2f5167ee2e110ede0c87955e4bba2c3e2f5167ee2
37,LTL000037,397,408,404,5,Cedar LogisticsTransportLoad 37,2020-02-07,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a23ba5f84d65f62adc6670e0e71d8af4a23ba5f84d65f62adc6670e0e71d8af
38,LTL000038,226,136,51,12,Cedar LogisticsTransportLoad 38,2020-02-08,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7c91bfc781758d6b7f1860edb5948abb7c91bfc781758d6b7f1860edb5948ab
39,LTL000039,306,351,268,5,Meridian LogisticsTransportLoad 39,2020-02-09,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2e40af1926450ca9db53ab465290275c2e40af1926450ca9db53ab465290275
40,LTL000040,392,454,107,4,Orion LogisticsTransportLoad 40,2020-02-10,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea752afa695c5e51a6e1aa05b15df943ea752afa695c5e51a6e1aa05b15df943
41,LTL000041,448,163,73,1,Meridian LogisticsTransportLoad 41,2020-02-11,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8513fe23111f58f3aebdef7a939bb9fb8513fe23111f58f3aebdef7a939bb9fb
42,LTL000042,160,159,73,3,Harbor LogisticsTransportLoad 42,2020-02-12,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50a0325b04315a6083610ec1397ebb9950a0325b04315a6083610ec1397ebb99
43,LTL000043,160,456,295,6,Orion LogisticsTransportLoad 43,2020-02-13,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,668063ed96a15daa85f3176498503409668063ed96a15daa85f3176498503409
44,LTL000044,240,172,266,14,Zenith LogisticsTransportLoad 44,2020-02-14,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f099f8c9bf985d27825e961be2f75bb0f099f8c9bf985d27825e961be2f75bb0
45,LTL000045,460,391,437,9,Liberty LogisticsTransportLoad 45,2020-02-15,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b32328ce1b3f5a5d9a1a11449736bd6db32328ce1b3f5a5d9a1a11449736bd6d
46,LTL000046,218,405,33,2,Zenith LogisticsTransportLoad 46,2020-02-16,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7906ca796445e8dae3e0e22e2612f04c7906ca796445e8dae3e0e22e2612f04
47,LTL000047,135,489,215,2,Junction LogisticsTransportLoad 47,2020-02-17,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70f9ebd85b135174ac3071786fdbeac370f9ebd85b135174ac3071786fdbeac3
48,LTL000048,271,218,32,14,Meridian LogisticsTransportLoad 48,2020-02-18,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e53e063abad5acc883e3d1e0c5bdf818e53e063abad5acc883e3d1e0c5bdf81
49,LTL000049,271,137,482,7,Vertex LogisticsTransportLoad 49,2020-02-19,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ade1d077190452d7bbbc0c5e06b62aa1ade1d077190452d7bbbc0c5e06b62aa1
50,LTL000050,365,291,202,8,Meridian LogisticsTransportLoad 50,2020-02-20,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c470c1526e8d5d8a922a84c0e7229a83c470c1526e8d5d8a922a84c0e7229a83
51,LTL000051,459,297,-1,14,Atlas LogisticsTransportLoad 51,2020-02-21,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b206edc9f865bcdb12b6f67940738935b206edc9f865bcdb12b6f6794073893
52,LTL000052,187,109,250,4,Quartz LogisticsTransportLoad 52,2020-02-22,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,839a28bdc69253f49bfb0f215d342a4e839a28bdc69253f49bfb0f215d342a4e
53,LTL000053,154,337,68,2,Zenith LogisticsTransportLoad 53,2020-02-23,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e3752b69b1c50a9bee8e85b4cf8583d4e3752b69b1c50a9bee8e85b4cf8583d
54,LTL000054,71,332,170,6,Harbor LogisticsTransportLoad 54,2020-02-24,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c35d79f18f9652b2834b50243100e681c35d79f18f9652b2834b50243100e681
55,LTL000055,144,35,459,10,Forge LogisticsTransportLoad 55,2020-02-25,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b447e44444025b5185370ff29da127b4b447e44444025b5185370ff29da127b4
56,LTL000056,8,244,218,12,Summit LogisticsTransportLoad 56,2020-02-26,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c3a60fb1d0458b2b47eddd5ddf682b16c3a60fb1d0458b2b47eddd5ddf682b1
57,LTL000057,187,291,173,4,Orion LogisticsTransportLoad 57,2020-02-27,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,503bccec2d515aec86b61ba9234acb34503bccec2d515aec86b61ba9234acb34
58,LTL000058,263,417,7,9,Delta LogisticsTransportLoad 58,2020-02-28,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bff1b9793ac15e889ef25bcf54a8107bbff1b9793ac15e889ef25bcf54a8107b
59,LTL000059,60,155,497,14,Willow LogisticsTransportLoad 59,2020-02-29,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fd86a5bf18350cb9153546e7d1f76e57fd86a5bf18350cb9153546e7d1f76e5
60,LTL000060,418,346,132,4,Ion LogisticsTransportLoad 60,2020-03-01,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b769419ac1f5548cacc1a403b2a362b6b769419ac1f5548cacc1a403b2a362b6
61,LTL000061,398,329,424,1,Atlas LogisticsTransportLoad 61,2020-03-02,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea14a7aad07c57689e365514916fb467ea14a7aad07c57689e365514916fb467
62,LTL000062,490,180,62,2,Quartz LogisticsTransportLoad 62,2020-03-03,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,511fb04340cc59fca62977ee82be14dc511fb04340cc59fca62977ee82be14dc
63,LTL000063,472,323,71,12,Beacon LogisticsTransportLoad 63,2020-03-04,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b81df4b58c6a5ce28fd337a7cf259b88b81df4b58c6a5ce28fd337a7cf259b88
64,LTL000064,288,260,132,3,Harbor LogisticsTransportLoad 64,2020-03-05,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6d985536bfa59e08cc068dbd311bc15c6d985536bfa59e08cc068dbd311bc15
65,LTL000065,458,231,458,1,Zenith LogisticsTransportLoad 65,2020-03-06,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,659ad286398e58d4bb2b8a9788d5bf8d659ad286398e58d4bb2b8a9788d5bf8d
66,LTL000066,181,487,253,6,Beacon LogisticsTransportLoad 66,2020-03-07,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3896aa74dd075ead844a009f13b55ab53896aa74dd075ead844a009f13b55ab5
67,LTL000067,322,12,96,3,Atlas LogisticsTransportLoad 67,2020-03-08,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96f3647bd3095982b2d5dacb16c43a1296f3647bd3095982b2d5dacb16c43a12
68,LTL000068,433,496,-1,3,Cedar LogisticsTransportLoad 68,2020-03-09,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c03763a150b5ba195db7990e22a3fcc2c03763a150b5ba195db7990e22a3fcc
69,LTL000069,440,303,318,14,Delta LogisticsTransportLoad 69,2020-03-10,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cca8e69d0e65d20ad00851ee43222ca8cca8e69d0e65d20ad00851ee43222ca
70,LTL000070,408,141,60,4,Granite LogisticsTransportLoad 70,2020-03-11,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70ebde519d105034b80d4312a3e2bf5a70ebde519d105034b80d4312a3e2bf5a
71,LTL000071,433,117,141,3,Titan LogisticsTransportLoad 71,2020-03-12,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad15209c715d56bd9a27f6e8722d53e0ad15209c715d56bd9a27f6e8722d53e0
72,LTL000072,69,99,354,1,Atlas LogisticsTransportLoad 72,2020-03-13,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a81a134344957ccbfb39391cb2150917a81a134344957ccbfb39391cb215091
73,LTL000073,270,386,352,4,Vertex LogisticsTransportLoad 73,2020-03-14,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a12249706595fae969f8eff487447d35a12249706595fae969f8eff487447d3
74,LTL000074,10,446,178,11,Atlas LogisticsTransportLoad 74,2020-03-15,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea378656893c5df6b4a56a013689e824ea378656893c5df6b4a56a013689e824
75,LTL000075,233,327,228,5,Ion LogisticsTransportLoad 75,2020-03-16,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,543af1ad472253d6b0711d5986b54dca543af1ad472253d6b0711d5986b54dca
76,LTL000076,244,491,111,2,Zenith LogisticsTransportLoad 76,2020-03-17,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd4916095f425d7297fc20031a5590d1bd4916095f425d7297fc20031a5590d1
77,LTL000077,244,479,238,13,Vertex LogisticsTransportLoad 77,2020-03-18,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40ca8c8cb4e954a6af36f5ee1067bd6740ca8c8cb4e954a6af36f5ee1067bd67
78,LTL000078,54,25,280,9,Northstar LogisticsTransportLoad 78,2020-03-19,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c0006d54e575c63a5ab07e71868b53b6c0006d54e575c63a5ab07e71868b53b
79,LTL000079,368,14,32,11,Quartz LogisticsTransportLoad 79,2020-03-20,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21e0db4d39695a82815ca41a2946a88521e0db4d39695a82815ca41a2946a885
80,LTL000080,121,446,5,6,Summit LogisticsTransportLoad 80,2020-03-21,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96bcbac655b15d76a7946c2b88c4e8a196bcbac655b15d76a7946c2b88c4e8a1
81,LTL000081,374,486,231,14,Meridian LogisticsTransportLoad 81,2020-03-22,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e95ec2c5d2954c58791a0171de6651e8e95ec2c5d2954c58791a0171de6651e
82,LTL000082,451,318,118,9,Keystone LogisticsTransportLoad 82,2020-03-23,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fc7fa8c072b55a9be261216677fcfe67fc7fa8c072b55a9be261216677fcfe6
83,LTL000083,423,46,36,11,Delta LogisticsTransportLoad 83,2020-03-24,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b060437b06015aeea08b8dee0237772db060437b06015aeea08b8dee0237772d
84,LTL000084,175,69,251,4,Quartz LogisticsTransportLoad 84,2020-03-25,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e7ecbe1e03f5f7f976811605f7cb6393e7ecbe1e03f5f7f976811605f7cb639
85,LTL000085,207,110,-1,2,Beacon LogisticsTransportLoad 85,2020-03-26,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f032e93fdd6d5f21a8dd66424632dedbf032e93fdd6d5f21a8dd66424632dedb
86,LTL000086,319,422,363,9,Vertex LogisticsTransportLoad 86,2020-03-27,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a69df36271657ddb675708a8a4e73bf8a69df36271657ddb675708a8a4e73bf
87,LTL000087,138,490,401,1,Unity LogisticsTransportLoad 87,2020-03-28,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5863c54bb805c72baa3f460a867e3d1c5863c54bb805c72baa3f460a867e3d1
88,LTL000088,250,51,386,1,Delta LogisticsTransportLoad 88,2020-03-29,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62a4936c2d635b0d8480910c1f8b51b962a4936c2d635b0d8480910c1f8b51b9
89,LTL000089,193,387,250,6,Atlas LogisticsTransportLoad 89,2020-03-30,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35986d36c6e051eb9a6186eb8cb845b735986d36c6e051eb9a6186eb8cb845b7
90,LTL000090,496,431,48,4,Pioneer LogisticsTransportLoad 90,2020-03-31,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9024c7a8982850fdbe527f9e5a0a6e809024c7a8982850fdbe527f9e5a0a6e80
91,LTL000091,330,97,175,13,Vertex LogisticsTransportLoad 91,2020-04-01,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11ed003b796e57babf96c0a61d62001311ed003b796e57babf96c0a61d620013
92,LTL000092,14,227,486,11,Orion LogisticsTransportLoad 92,2020-04-02,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bddde7fc50a539a98c6edeedcc2cf065bddde7fc50a539a98c6edeedcc2cf06
93,LTL000093,166,218,128,8,Beacon LogisticsTransportLoad 93,2020-04-03,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d7e18dd54855779b3a177b8708ce5dd1d7e18dd54855779b3a177b8708ce5dd
94,LTL000094,346,24,231,6,Zenith LogisticsTransportLoad 94,2020-04-04,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30c818addc7951c69b96e0acc3e7a0a130c818addc7951c69b96e0acc3e7a0a1
95,LTL000095,158,165,173,12,Summit LogisticsTransportLoad 95,2020-04-05,2020-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,caeaea73e7ae5ff0adf11ca750cee953caeaea73e7ae5ff0adf11ca750cee953
