PurchaseBuyerAssignmentKey,PurchaseBuyerAssignmentCode,PurchaseSourcingDeskKey,PurchaseBuyerAssignmentName,SourceSystemKey,BatchId,LoadedAtUtc
138,PBA000138,47,Forge PurchaseBuyerAssignment 138,1,1,2026-08-24T00:00:00.000
139,PBA000139,215,Quartz PurchaseBuyerAssignment 139,1,1,2026-08-24T00:00:00.000
140,PBA000140,191,Zenith PurchaseBuyerAssignment 140,1,1,2026-08-24T00:00:00.000
141,PBA000141,85,Junction PurchaseBuyerAssignment 141,1,1,2026-08-24T00:00:00.000
142,PBA000142,14,Summit PurchaseBuyerAssignment 142,1,1,2026-08-24T00:00:00.000
143,PBA000143,96,Atlas PurchaseBuyerAssignment 143,1,1,2026-08-24T00:00:00.000
144,PBA000144,73,Unity PurchaseBuyerAssignment 144,1,1,2026-08-24T00:00:00.000
145,PBA000145,116,Vertex PurchaseBuyerAssignment 145,1,1,2026-08-24T00:00:00.000
146,PBA000146,149,Keystone PurchaseBuyerAssignment 146,1,1,2026-08-24T00:00:00.000
147,PBA000147,47,Orion PurchaseBuyerAssignment 147,1,1,2026-08-24T00:00:00.000
148,PBA000148,4,Granite PurchaseBuyerAssignment 148,1,1,2026-08-24T00:00:00.000
149,PBA000149,142,Unity PurchaseBuyerAssignment 149,1,1,2026-08-24T00:00:00.000
150,PBA000150,238,Junction PurchaseBuyerAssignment 150,1,1,2026-08-24T00:00:00.000
151,PBA000151,149,Unity PurchaseBuyerAssignment 151,1,1,2026-08-24T00:00:00.000
152,PBA000152,44,Unity PurchaseBuyerAssignment 152,1,1,2026-08-24T00:00:00.000
153,PBA000153,117,Keystone PurchaseBuyerAssignment 153,1,1,2026-08-24T00:00:00.000
154,PBA000154,52,Orion PurchaseBuyerAssignment 154,1,1,2026-08-24T00:00:00.000
155,PBA000155,83,Titan PurchaseBuyerAssignment 155,1,1,2026-08-24T00:00:00.000
156,PBA000156,161,Vertex PurchaseBuyerAssignment 156,1,1,2026-08-24T00:00:00.000
157,PBA000157,12,Cedar PurchaseBuyerAssignment 157,1,1,2026-08-24T00:00:00.000
158,PBA000158,71,Liberty PurchaseBuyerAssignment 158,1,1,2026-08-24T00:00:00.000
159,PBA000159,130,Orion PurchaseBuyerAssignment 159,1,1,2026-08-24T00:00:00.000
160,PBA000160,134,Evergreen PurchaseBuyerAssignment 160,1,1,2026-08-24T00:00:00.000
161,PBA000161,151,Beacon PurchaseBuyerAssignment 161,1,1,2026-08-24T00:00:00.000
162,PBA000162,119,Meridian PurchaseBuyerAssignment 162,1,1,2026-08-24T00:00:00.000
163,PBA000163,27,Summit PurchaseBuyerAssignment 163,1,1,2026-08-24T00:00:00.000
164,PBA000164,14,Vertex PurchaseBuyerAssignment 164,1,1,2026-08-24T00:00:00.000
165,PBA000165,188,Keystone PurchaseBuyerAssignment 165,1,1,2026-08-24T00:00:00.000
166,PBA000166,188,Ion PurchaseBuyerAssignment 166,1,1,2026-08-24T00:00:00.000
167,PBA000167,105,Keystone PurchaseBuyerAssignment 167,1,1,2026-08-24T00:00:00.000
168,PBA000168,150,Zenith PurchaseBuyerAssignment 168,1,1,2026-08-24T00:00:00.000
169,PBA000169,211,Riverton PurchaseBuyerAssignment 169,1,1,2026-08-24T00:00:00.000
170,PBA000170,86,Unity PurchaseBuyerAssignment 170,1,1,2026-08-24T00:00:00.000
171,PBA000171,65,Riverton PurchaseBuyerAssignment 171,1,1,2026-08-24T00:00:00.000
172,PBA000172,152,Harbor PurchaseBuyerAssignment 172,1,1,2026-08-24T00:00:00.000
173,PBA000173,78,Quartz PurchaseBuyerAssignment 173,1,1,2026-08-24T00:00:00.000
174,PBA000174,106,Orion PurchaseBuyerAssignment 174,1,1,2026-08-24T00:00:00.000
175,PBA000175,14,Orion PurchaseBuyerAssignment 175,1,1,2026-08-24T00:00:00.000
176,PBA000176,99,Beacon PurchaseBuyerAssignment 176,1,1,2026-08-24T00:00:00.000
177,PBA000177,195,Cedar PurchaseBuyerAssignment 177,1,1,2026-08-24T00:00:00.000
178,PBA000178,63,Orion PurchaseBuyerAssignment 178,1,1,2026-08-24T00:00:00.000
179,PBA000179,184,Granite PurchaseBuyerAssignment 179,1,1,2026-08-24T00:00:00.000
180,PBA000180,7,Keystone PurchaseBuyerAssignment 180,1,1,2026-08-24T00:00:00.000
181,PBA000181,13,Titan PurchaseBuyerAssignment 181,1,1,2026-08-24T00:00:00.000
182,PBA000182,6,Vertex PurchaseBuyerAssignment 182,1,1,2026-08-24T00:00:00.000
183,PBA000183,120,Atlas PurchaseBuyerAssignment 183,1,1,2026-08-24T00:00:00.000
184,PBA000184,116,Summit PurchaseBuyerAssignment 184,1,1,2026-08-24T00:00:00.000
185,PBA000185,60,Summit PurchaseBuyerAssignment 185,1,1,2026-08-24T00:00:00.000
186,PBA000186,83,Delta PurchaseBuyerAssignment 186,1,1,2026-08-24T00:00:00.000
187,PBA000187,207,Forge PurchaseBuyerAssignment 187,1,1,2026-08-24T00:00:00.000
188,PBA000188,46,Harbor PurchaseBuyerAssignment 188,1,1,2026-08-24T00:00:00.000
189,PBA000189,25,Granite PurchaseBuyerAssignment 189,1,1,2026-08-24T00:00:00.000
190,PBA000190,81,Zenith PurchaseBuyerAssignment 190,1,1,2026-08-24T00:00:00.000
191,PBA000191,38,Unity PurchaseBuyerAssignment 191,1,1,2026-08-24T00:00:00.000
192,PBA000192,84,Forge PurchaseBuyerAssignment 192,1,1,2026-08-24T00:00:00.000
193,PBA000193,233,Orion PurchaseBuyerAssignment 193,1,1,2026-08-24T00:00:00.000
194,PBA000194,239,Beacon PurchaseBuyerAssignment 194,1,1,2026-08-24T00:00:00.000
195,PBA000195,49,Quartz PurchaseBuyerAssignment 195,1,1,2026-08-24T00:00:00.000
196,PBA000196,202,Zenith PurchaseBuyerAssignment 196,1,1,2026-08-24T00:00:00.000
197,PBA000197,128,Meridian PurchaseBuyerAssignment 197,1,1,2026-08-24T00:00:00.000
198,PBA000198,179,Liberty PurchaseBuyerAssignment 198,1,1,2026-08-24T00:00:00.000
199,PBA000199,167,Delta PurchaseBuyerAssignment 199,1,1,2026-08-24T00:00:00.000
200,PBA000200,163,Northstar PurchaseBuyerAssignment 200,1,1,2026-08-24T00:00:00.000
201,PBA000201,7,Beacon PurchaseBuyerAssignment 201,1,1,2026-08-24T00:00:00.000
202,PBA000202,226,Delta PurchaseBuyerAssignment 202,1,1,2026-08-24T00:00:00.000
203,PBA000203,7,Atlas PurchaseBuyerAssignment 203,1,1,2026-08-24T00:00:00.000
204,PBA000204,89,Ion PurchaseBuyerAssignment 204,1,1,2026-08-24T00:00:00.000
205,PBA000205,159,Delta PurchaseBuyerAssignment 205,1,1,2026-08-24T00:00:00.000
206,PBA000206,147,Summit PurchaseBuyerAssignment 206,1,1,2026-08-24T00:00:00.000
207,PBA000207,240,Granite PurchaseBuyerAssignment 207,1,1,2026-08-24T00:00:00.000
208,PBA000208,142,Summit PurchaseBuyerAssignment 208,1,1,2026-08-24T00:00:00.000
209,PBA000209,5,Delta PurchaseBuyerAssignment 209,1,1,2026-08-24T00:00:00.000
210,PBA000210,115,Orion PurchaseBuyerAssignment 210,1,1,2026-08-24T00:00:00.000
211,PBA000211,54,Orion PurchaseBuyerAssignment 211,1,1,2026-08-24T00:00:00.000
212,PBA000212,91,Northstar PurchaseBuyerAssignment 212,1,1,2026-08-24T00:00:00.000
213,PBA000213,78,Zenith PurchaseBuyerAssignment 213,1,1,2026-08-24T00:00:00.000
214,PBA000214,228,Pioneer PurchaseBuyerAssignment 214,1,1,2026-08-24T00:00:00.000
215,PBA000215,220,Orion PurchaseBuyerAssignment 215,1,1,2026-08-24T00:00:00.000
216,PBA000216,4,Keystone PurchaseBuyerAssignment 216,1,1,2026-08-24T00:00:00.000
217,PBA000217,109,Zenith PurchaseBuyerAssignment 217,1,1,2026-08-24T00:00:00.000
218,PBA000218,208,Forge PurchaseBuyerAssignment 218,1,1,2026-08-24T00:00:00.000
219,PBA000219,129,Delta PurchaseBuyerAssignment 219,1,1,2026-08-24T00:00:00.000
220,PBA000220,239,Cedar PurchaseBuyerAssignment 220,1,1,2026-08-24T00:00:00.000
221,PBA000221,189,Granite PurchaseBuyerAssignment 221,1,1,2026-08-24T00:00:00.000
222,PBA000222,35,Riverton PurchaseBuyerAssignment 222,1,1,2026-08-24T00:00:00.000
223,PBA000223,227,Harbor PurchaseBuyerAssignment 223,1,1,2026-08-24T00:00:00.000
224,PBA000224,236,Riverton PurchaseBuyerAssignment 224,1,1,2026-08-24T00:00:00.000
225,PBA000225,36,Unity PurchaseBuyerAssignment 225,1,1,2026-08-24T00:00:00.000
226,PBA000226,62,Titan PurchaseBuyerAssignment 226,1,1,2026-08-24T00:00:00.000
227,PBA000227,150,Granite PurchaseBuyerAssignment 227,1,1,2026-08-24T00:00:00.000
228,PBA000228,63,Keystone PurchaseBuyerAssignment 228,1,1,2026-08-24T00:00:00.000
229,PBA000229,81,Liberty PurchaseBuyerAssignment 229,1,1,2026-08-24T00:00:00.000
230,PBA000230,89,Meridian PurchaseBuyerAssignment 230,1,1,2026-08-24T00:00:00.000
231,PBA000231,90,Forge PurchaseBuyerAssignment 231,1,1,2026-08-24T00:00:00.000
232,PBA000232,139,Ion PurchaseBuyerAssignment 232,1,1,2026-08-24T00:00:00.000
233,PBA000233,203,Unity PurchaseBuyerAssignment 233,1,1,2026-08-24T00:00:00.000
234,PBA000234,115,Junction PurchaseBuyerAssignment 234,1,1,2026-08-24T00:00:00.000
235,PBA000235,25,Meridian PurchaseBuyerAssignment 235,1,1,2026-08-24T00:00:00.000
236,PBA000236,122,Northstar PurchaseBuyerAssignment 236,1,1,2026-08-24T00:00:00.000
237,PBA000237,160,Delta PurchaseBuyerAssignment 237,1,1,2026-08-24T00:00:00.000
238,PBA000238,215,Orion PurchaseBuyerAssignment 238,1,1,2026-08-24T00:00:00.000
239,PBA000239,48,Evergreen PurchaseBuyerAssignment 239,1,1,2026-08-24T00:00:00.000
240,PBA000240,92,Unity PurchaseBuyerAssignment 240,1,1,2026-08-24T00:00:00.000
241,PBA000241,179,Evergreen PurchaseBuyerAssignment 241,1,1,2026-08-24T00:00:00.000
242,PBA000242,111,Titan PurchaseBuyerAssignment 242,1,1,2026-08-24T00:00:00.000
243,PBA000243,37,Vertex PurchaseBuyerAssignment 243,1,1,2026-08-24T00:00:00.000
244,PBA000244,26,Riverton PurchaseBuyerAssignment 244,1,1,2026-08-24T00:00:00.000
245,PBA000245,167,Harbor PurchaseBuyerAssignment 245,1,1,2026-08-24T00:00:00.000
246,PBA000246,174,Liberty PurchaseBuyerAssignment 246,1,1,2026-08-24T00:00:00.000
247,PBA000247,61,Vertex PurchaseBuyerAssignment 247,1,1,2026-08-24T00:00:00.000
248,PBA000248,188,Meridian PurchaseBuyerAssignment 248,1,1,2026-08-24T00:00:00.000
249,PBA000249,159,Ion PurchaseBuyerAssignment 249,1,1,2026-08-24T00:00:00.000
250,PBA000250,112,Cedar PurchaseBuyerAssignment 250,1,1,2026-08-24T00:00:00.000
251,PBA000251,219,Atlas PurchaseBuyerAssignment 251,1,1,2026-08-24T00:00:00.000
252,PBA000252,210,Delta PurchaseBuyerAssignment 252,1,1,2026-08-24T00:00:00.000
253,PBA000253,37,Quartz PurchaseBuyerAssignment 253,1,1,2026-08-24T00:00:00.000
254,PBA000254,186,Orion PurchaseBuyerAssignment 254,1,1,2026-08-24T00:00:00.000
255,PBA000255,69,Delta PurchaseBuyerAssignment 255,1,1,2026-08-24T00:00:00.000
256,PBA000256,232,Harbor PurchaseBuyerAssignment 256,1,1,2026-08-24T00:00:00.000
257,PBA000257,109,Zenith PurchaseBuyerAssignment 257,1,1,2026-08-24T00:00:00.000
258,PBA000258,143,Junction PurchaseBuyerAssignment 258,1,1,2026-08-24T00:00:00.000
259,PBA000259,26,Northstar PurchaseBuyerAssignment 259,1,1,2026-08-24T00:00:00.000
260,PBA000260,125,Willow PurchaseBuyerAssignment 260,1,1,2026-08-24T00:00:00.000
261,PBA000261,182,Orion PurchaseBuyerAssignment 261,1,1,2026-08-24T00:00:00.000
262,PBA000262,160,Vertex PurchaseBuyerAssignment 262,1,1,2026-08-24T00:00:00.000
263,PBA000263,9,Harbor PurchaseBuyerAssignment 263,1,1,2026-08-24T00:00:00.000
264,PBA000264,204,Ion PurchaseBuyerAssignment 264,1,1,2026-08-24T00:00:00.000
265,PBA000265,123,Titan PurchaseBuyerAssignment 265,1,1,2026-08-24T00:00:00.000
266,PBA000266,2,Junction PurchaseBuyerAssignment 266,1,1,2026-08-24T00:00:00.000
267,PBA000267,116,Forge PurchaseBuyerAssignment 267,1,1,2026-08-24T00:00:00.000
268,PBA000268,96,Quartz PurchaseBuyerAssignment 268,1,1,2026-08-24T00:00:00.000
269,PBA000269,82,Willow PurchaseBuyerAssignment 269,1,1,2026-08-24T00:00:00.000
270,PBA000270,153,Ion PurchaseBuyerAssignment 270,1,1,2026-08-24T00:00:00.000
271,PBA000271,48,Quartz PurchaseBuyerAssignment 271,1,1,2026-08-24T00:00:00.000
272,PBA000272,239,Harbor PurchaseBuyerAssignment 272,1,1,2026-08-24T00:00:00.000
273,PBA000273,232,Zenith PurchaseBuyerAssignment 273,1,1,2026-08-24T00:00:00.000
274,PBA000274,156,Cedar PurchaseBuyerAssignment 274,1,1,2026-08-24T00:00:00.000
275,PBA000275,176,Riverton PurchaseBuyerAssignment 275,1,1,2026-08-24T00:00:00.000
276,PBA000276,226,Forge PurchaseBuyerAssignment 276,1,1,2026-08-24T00:00:00.000
277,PBA000277,188,Summit PurchaseBuyerAssignment 277,1,1,2026-08-24T00:00:00.000
278,PBA000278,62,Beacon PurchaseBuyerAssignment 278,1,1,2026-08-24T00:00:00.000
279,PBA000279,198,Orion PurchaseBuyerAssignment 279,1,1,2026-08-24T00:00:00.000
280,PBA000280,2,Orion PurchaseBuyerAssignment 280,1,1,2026-08-24T00:00:00.000
281,PBA000281,206,Zenith PurchaseBuyerAssignment 281,1,1,2026-08-24T00:00:00.000
282,PBA000282,146,Meridian PurchaseBuyerAssignment 282,1,1,2026-08-24T00:00:00.000
283,PBA000283,181,Keystone PurchaseBuyerAssignment 283,1,1,2026-08-24T00:00:00.000
