EmployeeJobFamilyKey,JobFamilyCode,RecordStatusKey,JobFamilyName,JobFamilyDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
53,EJF000053,2,Forge EmployeeJobFamily 53,EmployeeJobFamily starter record 53,Taylor Patel,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,EJF000054,3,Junction EmployeeJobFamily 54,EmployeeJobFamily starter record 54,Harper Evans,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,EJF000055,4,Harbor EmployeeJobFamily 55,EmployeeJobFamily starter record 55,Morgan Reed,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,EJF000056,3,Ion EmployeeJobFamily 56,EmployeeJobFamily starter record 56,Casey Hughes,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,EJF000057,1,Ion EmployeeJobFamily 57,EmployeeJobFamily starter record 57,Quinn Evans,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,EJF000058,2,Riverton EmployeeJobFamily 58,EmployeeJobFamily starter record 58,Jordan Adams,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,EJF000059,1,Keystone EmployeeJobFamily 59,EmployeeJobFamily starter record 59,Jordan Hughes,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,EJF000060,4,Zenith EmployeeJobFamily 60,EmployeeJobFamily starter record 60,Jordan Garcia,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,EJF000061,2,Ion EmployeeJobFamily 61,EmployeeJobFamily starter record 61,Morgan Bennett,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,EJF000062,1,Unity EmployeeJobFamily 62,EmployeeJobFamily starter record 62,Jordan Hughes,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,EJF000063,3,Atlas EmployeeJobFamily 63,EmployeeJobFamily starter record 63,Harper Patel,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,EJF000064,4,Quartz EmployeeJobFamily 64,EmployeeJobFamily starter record 64,Devon Martin,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,EJF000065,3,Granite EmployeeJobFamily 65,EmployeeJobFamily starter record 65,Alex Hughes,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,EJF000066,2,Keystone EmployeeJobFamily 66,EmployeeJobFamily starter record 66,Casey Garcia,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,EJF000067,2,Vertex EmployeeJobFamily 67,EmployeeJobFamily starter record 67,Harper Martin,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,EJF000068,2,Riverton EmployeeJobFamily 68,EmployeeJobFamily starter record 68,Emerson Martin,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,EJF000069,3,Junction EmployeeJobFamily 69,EmployeeJobFamily starter record 69,Taylor Chen,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,EJF000070,3,Willow EmployeeJobFamily 70,EmployeeJobFamily starter record 70,Taylor Patel,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,EJF000071,4,Northstar EmployeeJobFamily 71,EmployeeJobFamily starter record 71,Jordan Diaz,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,EJF000072,3,Cedar EmployeeJobFamily 72,EmployeeJobFamily starter record 72,Harper Garcia,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,EJF000073,2,Summit EmployeeJobFamily 73,EmployeeJobFamily starter record 73,Devon Bennett,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,EJF000074,3,Ion EmployeeJobFamily 74,EmployeeJobFamily starter record 74,Riley Patel,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,EJF000075,1,Summit EmployeeJobFamily 75,EmployeeJobFamily starter record 75,Casey Evans,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,EJF000076,4,Liberty EmployeeJobFamily 76,EmployeeJobFamily starter record 76,Taylor Chen,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,EJF000077,2,Harbor EmployeeJobFamily 77,EmployeeJobFamily starter record 77,Casey Diaz,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,EJF000078,3,Ion EmployeeJobFamily 78,EmployeeJobFamily starter record 78,Jordan Singh,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,EJF000079,1,Quartz EmployeeJobFamily 79,EmployeeJobFamily starter record 79,Morgan Reed,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,EJF000080,2,Harbor EmployeeJobFamily 80,EmployeeJobFamily starter record 80,Devon Singh,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
