LaborLeaveEntitlementKey,LeaveEntitlementCode,LaborJobGradeKey,LaborAbsenceReasonKey,LeaveEntitlementName,AnnualHours,CarryoverHours,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,LLE000011,6,16,Summit LaborLeaveEntitlement 11,12.00,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3993b368b985ffdb5e296d287478938a3993b368b985ffdb5e296d287478938
12,LLE000012,6,14,Northstar LaborLeaveEntitlement 12,13.00,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8bdf31565335ec191d2c9c9bc973d22d8bdf31565335ec191d2c9c9bc973d22
13,LLE000013,5,15,Riverton LaborLeaveEntitlement 13,14.00,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31ff3428360f551fbaaec1f366d3417b31ff3428360f551fbaaec1f366d3417b
14,LLE000014,23,9,Quartz LaborLeaveEntitlement 14,15.00,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd0be407dace5a2290671811184779f4bd0be407dace5a2290671811184779f4
15,LLE000015,23,13,Beacon LaborLeaveEntitlement 15,16.00,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f851d0518505158ba324213a87eb9962f851d0518505158ba324213a87eb996
16,LLE000016,12,3,Riverton LaborLeaveEntitlement 16,17.00,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,712df9daf96f5e3ca0a33152ee72c6b8712df9daf96f5e3ca0a33152ee72c6b8
17,LLE000017,14,14,Beacon LaborLeaveEntitlement 17,18.00,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d467aff9f22e5b4cb1485291fe573d81d467aff9f22e5b4cb1485291fe573d81
18,LLE000018,17,5,Atlas LaborLeaveEntitlement 18,19.00,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0494cac88a01517f80e61adb09fd40710494cac88a01517f80e61adb09fd4071
19,LLE000019,16,14,Willow LaborLeaveEntitlement 19,20.00,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7498ce41aaff532b877707dda2d8823b7498ce41aaff532b877707dda2d8823b
20,LLE000020,29,18,Riverton LaborLeaveEntitlement 20,21.00,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,932098d4eb905d30a5725a594b0293e2932098d4eb905d30a5725a594b0293e2
21,LLE000021,10,8,Willow LaborLeaveEntitlement 21,22.00,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3388b5e124e95266a1a3008bd318cad13388b5e124e95266a1a3008bd318cad1
22,LLE000022,10,4,Cedar LaborLeaveEntitlement 22,23.00,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84ca28a5d0395ec9aa7fe118100cf45d84ca28a5d0395ec9aa7fe118100cf45d
23,LLE000023,27,9,Summit LaborLeaveEntitlement 23,24.00,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,131bd62507ea5525a9c12ecea2387666131bd62507ea5525a9c12ecea2387666
24,LLE000024,18,6,Pioneer LaborLeaveEntitlement 24,1.00,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68c8372dcd5e5e4691d0205b2a6c909e68c8372dcd5e5e4691d0205b2a6c909e
25,LLE000025,3,18,Northstar LaborLeaveEntitlement 25,2.00,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9b9107ed796588393b7aaa1bc2fdfa4d9b9107ed796588393b7aaa1bc2fdfa4
26,LLE000026,20,10,Northstar LaborLeaveEntitlement 26,3.00,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,896f4fae65805ef9ac09a068e9211ab4896f4fae65805ef9ac09a068e9211ab4
27,LLE000027,3,12,Vertex LaborLeaveEntitlement 27,4.00,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9404dca83e6b5ace8ba77aa9c454568e9404dca83e6b5ace8ba77aa9c454568e
28,LLE000028,22,8,Summit LaborLeaveEntitlement 28,5.00,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4afcec6f36e15411a97ef33e3049b60b4afcec6f36e15411a97ef33e3049b60b
29,LLE000029,30,9,Pioneer LaborLeaveEntitlement 29,6.00,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edf9e7f9ed095b82917e5c0734f9786cedf9e7f9ed095b82917e5c0734f9786c
30,LLE000030,3,13,Harbor LaborLeaveEntitlement 30,7.00,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51ea11381f85500aa8408d5ccf6e05a251ea11381f85500aa8408d5ccf6e05a2
31,LLE000031,30,5,Vertex LaborLeaveEntitlement 31,8.00,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c74e1a813c3155f9a52dce410f8be5c5c74e1a813c3155f9a52dce410f8be5c5
32,LLE000032,11,11,Riverton LaborLeaveEntitlement 32,9.00,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fafe612a79ae5de8ac9b3bbd7a8e2416fafe612a79ae5de8ac9b3bbd7a8e2416
33,LLE000033,14,14,Willow LaborLeaveEntitlement 33,10.00,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d96f9810c5e256fdb602c95f4836488dd96f9810c5e256fdb602c95f4836488d
34,LLE000034,20,14,Vertex LaborLeaveEntitlement 34,11.00,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87b63a692d775e4792a8e20d618b3e2987b63a692d775e4792a8e20d618b3e29
35,LLE000035,32,3,Unity LaborLeaveEntitlement 35,12.00,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94534789c79d5cd1bb81f100a34b89fc94534789c79d5cd1bb81f100a34b89fc
36,LLE000036,10,15,Granite LaborLeaveEntitlement 36,13.00,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a48b17d41566549a920d3f3ae9711255a48b17d41566549a920d3f3ae9711255
37,LLE000037,12,14,Northstar LaborLeaveEntitlement 37,14.00,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abd86823716e51ebac074d095f7d4e06abd86823716e51ebac074d095f7d4e06
38,LLE000038,26,3,Willow LaborLeaveEntitlement 38,15.00,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a858c25d211258bc81cd40465026233da858c25d211258bc81cd40465026233d
39,LLE000039,20,6,Northstar LaborLeaveEntitlement 39,16.00,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af37df96d153556096ce380c48de9958af37df96d153556096ce380c48de9958
40,LLE000040,9,11,Ion LaborLeaveEntitlement 40,17.00,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6df79192476156ba83851ba79962ca3f6df79192476156ba83851ba79962ca3f
41,LLE000041,11,9,Summit LaborLeaveEntitlement 41,18.00,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00a7530fc373529c951470346967549a00a7530fc373529c951470346967549a
42,LLE000042,21,6,Vertex LaborLeaveEntitlement 42,19.00,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e0e16b2d1425e1d9e283af0699636511e0e16b2d1425e1d9e283af069963651
43,LLE000043,17,3,Harbor LaborLeaveEntitlement 43,20.00,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,536c4a53f02651feae175ff1bcf9ec17536c4a53f02651feae175ff1bcf9ec17
44,LLE000044,25,14,Northstar LaborLeaveEntitlement 44,21.00,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,855efa004002536e9f69b7eebd417185855efa004002536e9f69b7eebd417185
45,LLE000045,34,2,Delta LaborLeaveEntitlement 45,22.00,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9a1976e09df547c80da1d79eff36a6be9a1976e09df547c80da1d79eff36a6b
46,LLE000046,30,15,Zenith LaborLeaveEntitlement 46,23.00,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d3723465bc35ee7801a5663df5fcb052d3723465bc35ee7801a5663df5fcb05
47,LLE000047,13,3,Junction LaborLeaveEntitlement 47,24.00,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34f2869ac98058158c2d6071d30abaef34f2869ac98058158c2d6071d30abaef
48,LLE000048,30,4,Unity LaborLeaveEntitlement 48,1.00,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f8622772bf857409bca4f741795170c1f8622772bf857409bca4f741795170c
49,LLE000049,31,3,Forge LaborLeaveEntitlement 49,2.00,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c19a0c5b9aa5989814df5708c00e5fb0c19a0c5b9aa5989814df5708c00e5fb
50,LLE000050,24,13,Orion LaborLeaveEntitlement 50,3.00,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bd2d508f22d5814b1f0170d41794c083bd2d508f22d5814b1f0170d41794c08
51,LLE000051,33,11,Orion LaborLeaveEntitlement 51,4.00,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c701905598b25401999b3c38ee26e739c701905598b25401999b3c38ee26e739
52,LLE000052,17,1,Quartz LaborLeaveEntitlement 52,5.00,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8eee2c83ef615abf8f68ee261be42c968eee2c83ef615abf8f68ee261be42c96
53,LLE000053,27,2,Granite LaborLeaveEntitlement 53,6.00,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f218f48560655bc6b20314a3e1df9ad3f218f48560655bc6b20314a3e1df9ad3
54,LLE000054,8,16,Northstar LaborLeaveEntitlement 54,7.00,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08c747911fcc5fde82cfc0d2ca03ed7208c747911fcc5fde82cfc0d2ca03ed72
55,LLE000055,22,13,Northstar LaborLeaveEntitlement 55,8.00,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17655b594fd859af9c4109ee9c7c066317655b594fd859af9c4109ee9c7c0663
56,LLE000056,19,1,Liberty LaborLeaveEntitlement 56,9.00,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bb50401ab515a2a99d72e796efc04c17bb50401ab515a2a99d72e796efc04c1
57,LLE000057,10,17,Northstar LaborLeaveEntitlement 57,10.00,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9d223ceeee55e65bde8d32768f6b7bce9d223ceeee55e65bde8d32768f6b7bc
58,LLE000058,30,11,Granite LaborLeaveEntitlement 58,11.00,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30fc2e38a70c52eaa162d98d0c898ec530fc2e38a70c52eaa162d98d0c898ec5
59,LLE000059,18,9,Northstar LaborLeaveEntitlement 59,12.00,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34a919273c485f8c8aaf98af595c0e9f34a919273c485f8c8aaf98af595c0e9f
60,LLE000060,27,16,Zenith LaborLeaveEntitlement 60,13.00,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0922e392c44f5300a4fa95a18b4aa2b70922e392c44f5300a4fa95a18b4aa2b7
61,LLE000061,24,18,Cedar LaborLeaveEntitlement 61,14.00,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97503edd3eea505181afd0f3b7826d2c97503edd3eea505181afd0f3b7826d2c
62,LLE000062,6,5,Unity LaborLeaveEntitlement 62,15.00,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17c22e5a9f98525f8ab8afd5592e4e1017c22e5a9f98525f8ab8afd5592e4e10
63,LLE000063,8,17,Ion LaborLeaveEntitlement 63,16.00,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56e8cbf08a635048b31bd8c883c179db56e8cbf08a635048b31bd8c883c179db
64,LLE000064,9,14,Quartz LaborLeaveEntitlement 64,17.00,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b245d805e34e5b8aaec7b6db0f065689b245d805e34e5b8aaec7b6db0f065689
65,LLE000065,12,4,Zenith LaborLeaveEntitlement 65,18.00,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6d113087a0b59f8bdd174689126231ae6d113087a0b59f8bdd174689126231a
66,LLE000066,16,2,Orion LaborLeaveEntitlement 66,19.00,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16064d81b27d51de91a5bb03959d000316064d81b27d51de91a5bb03959d0003
67,LLE000067,22,16,Orion LaborLeaveEntitlement 67,20.00,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7723cfd64fed5001a7fc34480b9da8f67723cfd64fed5001a7fc34480b9da8f6
68,LLE000068,15,15,Forge LaborLeaveEntitlement 68,21.00,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed57653493055b5ba4f3e017fae13bb8ed57653493055b5ba4f3e017fae13bb8
69,LLE000069,25,17,Liberty LaborLeaveEntitlement 69,22.00,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23ab4e9d73505c25b0d8279e5265e09e23ab4e9d73505c25b0d8279e5265e09e
70,LLE000070,17,5,Willow LaborLeaveEntitlement 70,23.00,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e96aaf6910a58e885f80a943e1895194e96aaf6910a58e885f80a943e189519
71,LLE000071,5,5,Summit LaborLeaveEntitlement 71,24.00,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a557bd358678535b83a57d29261ec2b2a557bd358678535b83a57d29261ec2b2
72,LLE000072,29,1,Meridian LaborLeaveEntitlement 72,1.00,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd3f77c4352d5164bd8028a129df6cfacd3f77c4352d5164bd8028a129df6cfa
73,LLE000073,11,2,Pioneer LaborLeaveEntitlement 73,2.00,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,096e4949a2305af388bee2f858d7a669096e4949a2305af388bee2f858d7a669
74,LLE000074,34,17,Orion LaborLeaveEntitlement 74,3.00,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,730e018e3c665cb3b7d9b98c24cd4e0a730e018e3c665cb3b7d9b98c24cd4e0a
75,LLE000075,22,11,Keystone LaborLeaveEntitlement 75,4.00,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b81ddf76eec546f8755b5c11e980deb6b81ddf76eec546f8755b5c11e980deb
76,LLE000076,6,2,Zenith LaborLeaveEntitlement 76,5.00,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de430c5f392b53a9a26cece1ea1a790fde430c5f392b53a9a26cece1ea1a790f
77,LLE000077,17,11,Titan LaborLeaveEntitlement 77,6.00,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,baa9a3edfd4955a09d976f8f8c149e26baa9a3edfd4955a09d976f8f8c149e26
78,LLE000078,11,17,Meridian LaborLeaveEntitlement 78,7.00,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,526d06ab1fbb59ae8cf49770470894d0526d06ab1fbb59ae8cf49770470894d0
79,LLE000079,27,3,Forge LaborLeaveEntitlement 79,8.00,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3263ff55f47f5030917cbe816a5abf493263ff55f47f5030917cbe816a5abf49
80,LLE000080,6,5,Vertex LaborLeaveEntitlement 80,9.00,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfb2b0ff43c758aab4904ed4f5220921bfb2b0ff43c758aab4904ed4f5220921
81,LLE000081,14,8,Granite LaborLeaveEntitlement 81,10.00,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e8ef1783d1457a18456173a7885580a4e8ef1783d1457a18456173a7885580a
82,LLE000082,25,18,Granite LaborLeaveEntitlement 82,11.00,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4464d6460e815cafbd670e1c384e5df74464d6460e815cafbd670e1c384e5df7
83,LLE000083,2,9,Vertex LaborLeaveEntitlement 83,12.00,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a727e2f7d2653e8950556772863ce011a727e2f7d2653e8950556772863ce01
84,LLE000084,27,15,Granite LaborLeaveEntitlement 84,13.00,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d36bc56e1d945a628be7cf10c07e1370d36bc56e1d945a628be7cf10c07e1370
85,LLE000085,5,14,Atlas LaborLeaveEntitlement 85,14.00,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94c1fffec09f5323a8055a7ddcbc469294c1fffec09f5323a8055a7ddcbc4692
86,LLE000086,30,14,Granite LaborLeaveEntitlement 86,15.00,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0b15134ccca5ac89a721eeb4dcad4def0b15134ccca5ac89a721eeb4dcad4de
87,LLE000087,4,17,Junction LaborLeaveEntitlement 87,16.00,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e2b989534ae51d68a4dc3565800e3591e2b989534ae51d68a4dc3565800e359
88,LLE000088,18,13,Junction LaborLeaveEntitlement 88,17.00,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ab13721ea26536eb82a46d8696dac1f9ab13721ea26536eb82a46d8696dac1f
89,LLE000089,20,7,Willow LaborLeaveEntitlement 89,18.00,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,142e2ee4695d5e6090e6d15b3dfafa65142e2ee4695d5e6090e6d15b3dfafa65
90,LLE000090,22,13,Keystone LaborLeaveEntitlement 90,19.00,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13f633eea3245adea555dbce588ac84c13f633eea3245adea555dbce588ac84c
91,LLE000091,24,2,Orion LaborLeaveEntitlement 91,20.00,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,038645054b7a572a902a61e9e7192436038645054b7a572a902a61e9e7192436
92,LLE000092,19,2,Liberty LaborLeaveEntitlement 92,21.00,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75e7eab47fe85c31911df4c6ccdab62e75e7eab47fe85c31911df4c6ccdab62e
93,LLE000093,11,2,Quartz LaborLeaveEntitlement 93,22.00,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9be8b66395b45e5091b1287425e510cc9be8b66395b45e5091b1287425e510cc
94,LLE000094,33,8,Ion LaborLeaveEntitlement 94,23.00,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f240a48b8a55110b1d370b0c28af7aa6f240a48b8a55110b1d370b0c28af7aa
95,LLE000095,34,2,Evergreen LaborLeaveEntitlement 95,24.00,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a33808770ba5083a353a3d9de2a94c11a33808770ba5083a353a3d9de2a94c1
96,LLE000096,33,11,Beacon LaborLeaveEntitlement 96,1.00,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ce663e7ce9050ca971d9f40e5d74ded2ce663e7ce9050ca971d9f40e5d74ded
97,LLE000097,10,7,Keystone LaborLeaveEntitlement 97,2.00,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed4cee1ffba25a97ad1455c578ab139bed4cee1ffba25a97ad1455c578ab139b
98,LLE000098,4,9,Liberty LaborLeaveEntitlement 98,3.00,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bbbc206851f5c049b37f8d7a8d80e8d0bbbc206851f5c049b37f8d7a8d80e8d
99,LLE000099,17,13,Junction LaborLeaveEntitlement 99,4.00,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88a525eaf98f56ed83db51fd50d222b688a525eaf98f56ed83db51fd50d222b6
100,LLE000100,9,7,Forge LaborLeaveEntitlement 100,5.00,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1067f1367b25cf6b4f57ab5740825e7a1067f1367b25cf6b4f57ab5740825e7
101,LLE000101,32,15,Beacon LaborLeaveEntitlement 101,6.00,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34f7a292dd5a5717be315e0cf75415b834f7a292dd5a5717be315e0cf75415b8
102,LLE000102,31,16,Riverton LaborLeaveEntitlement 102,7.00,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15395184cbf053e0b68663a641e6e1ef15395184cbf053e0b68663a641e6e1ef
103,LLE000103,29,11,Junction LaborLeaveEntitlement 103,8.00,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c4452f97c945821bfff6cd263a2f0bd6c4452f97c945821bfff6cd263a2f0bd
