InventoryStorageProfileKey,InventoryStorageProfileCode,InventoryStorageSubtypeKey,InventoryStorageProfileName,SourceSystemKey,BatchId,LoadedAtUtc
98,ISP000098,37,Keystone InventoryStorageProfile 98,1,1,2026-08-24T00:00:00.000
99,ISP000099,12,Liberty InventoryStorageProfile 99,1,1,2026-08-24T00:00:00.000
100,ISP000100,191,Meridian InventoryStorageProfile 100,1,1,2026-08-24T00:00:00.000
101,ISP000101,78,Forge InventoryStorageProfile 101,1,1,2026-08-24T00:00:00.000
102,ISP000102,109,Riverton InventoryStorageProfile 102,1,1,2026-08-24T00:00:00.000
103,ISP000103,143,Cedar InventoryStorageProfile 103,1,1,2026-08-24T00:00:00.000
104,ISP000104,86,Evergreen InventoryStorageProfile 104,1,1,2026-08-24T00:00:00.000
105,ISP000105,240,Granite InventoryStorageProfile 105,1,1,2026-08-24T00:00:00.000
106,ISP000106,174,Willow InventoryStorageProfile 106,1,1,2026-08-24T00:00:00.000
107,ISP000107,177,Keystone InventoryStorageProfile 107,1,1,2026-08-24T00:00:00.000
108,ISP000108,7,Pioneer InventoryStorageProfile 108,1,1,2026-08-24T00:00:00.000
109,ISP000109,132,Northstar InventoryStorageProfile 109,1,1,2026-08-24T00:00:00.000
110,ISP000110,46,Beacon InventoryStorageProfile 110,1,1,2026-08-24T00:00:00.000
111,ISP000111,38,Junction InventoryStorageProfile 111,1,1,2026-08-24T00:00:00.000
112,ISP000112,38,Zenith InventoryStorageProfile 112,1,1,2026-08-24T00:00:00.000
113,ISP000113,68,Ion InventoryStorageProfile 113,1,1,2026-08-24T00:00:00.000
114,ISP000114,72,Pioneer InventoryStorageProfile 114,1,1,2026-08-24T00:00:00.000
115,ISP000115,221,Quartz InventoryStorageProfile 115,1,1,2026-08-24T00:00:00.000
116,ISP000116,228,Junction InventoryStorageProfile 116,1,1,2026-08-24T00:00:00.000
117,ISP000117,34,Junction InventoryStorageProfile 117,1,1,2026-08-24T00:00:00.000
118,ISP000118,28,Keystone InventoryStorageProfile 118,1,1,2026-08-24T00:00:00.000
119,ISP000119,228,Unity InventoryStorageProfile 119,1,1,2026-08-24T00:00:00.000
120,ISP000120,124,Zenith InventoryStorageProfile 120,1,1,2026-08-24T00:00:00.000
121,ISP000121,158,Willow InventoryStorageProfile 121,1,1,2026-08-24T00:00:00.000
122,ISP000122,57,Zenith InventoryStorageProfile 122,1,1,2026-08-24T00:00:00.000
123,ISP000123,10,Titan InventoryStorageProfile 123,1,1,2026-08-24T00:00:00.000
124,ISP000124,103,Beacon InventoryStorageProfile 124,1,1,2026-08-24T00:00:00.000
125,ISP000125,237,Junction InventoryStorageProfile 125,1,1,2026-08-24T00:00:00.000
126,ISP000126,31,Granite InventoryStorageProfile 126,1,1,2026-08-24T00:00:00.000
127,ISP000127,118,Riverton InventoryStorageProfile 127,1,1,2026-08-24T00:00:00.000
128,ISP000128,33,Northstar InventoryStorageProfile 128,1,1,2026-08-24T00:00:00.000
129,ISP000129,82,Zenith InventoryStorageProfile 129,1,1,2026-08-24T00:00:00.000
130,ISP000130,12,Evergreen InventoryStorageProfile 130,1,1,2026-08-24T00:00:00.000
131,ISP000131,207,Evergreen InventoryStorageProfile 131,1,1,2026-08-24T00:00:00.000
132,ISP000132,139,Riverton InventoryStorageProfile 132,1,1,2026-08-24T00:00:00.000
133,ISP000133,27,Unity InventoryStorageProfile 133,1,1,2026-08-24T00:00:00.000
134,ISP000134,173,Beacon InventoryStorageProfile 134,1,1,2026-08-24T00:00:00.000
135,ISP000135,8,Riverton InventoryStorageProfile 135,1,1,2026-08-24T00:00:00.000
136,ISP000136,26,Titan InventoryStorageProfile 136,1,1,2026-08-24T00:00:00.000
137,ISP000137,165,Cedar InventoryStorageProfile 137,1,1,2026-08-24T00:00:00.000
138,ISP000138,2,Evergreen InventoryStorageProfile 138,1,1,2026-08-24T00:00:00.000
139,ISP000139,223,Granite InventoryStorageProfile 139,1,1,2026-08-24T00:00:00.000
140,ISP000140,233,Junction InventoryStorageProfile 140,1,1,2026-08-24T00:00:00.000
141,ISP000141,51,Titan InventoryStorageProfile 141,1,1,2026-08-24T00:00:00.000
142,ISP000142,126,Keystone InventoryStorageProfile 142,1,1,2026-08-24T00:00:00.000
143,ISP000143,11,Orion InventoryStorageProfile 143,1,1,2026-08-24T00:00:00.000
144,ISP000144,103,Evergreen InventoryStorageProfile 144,1,1,2026-08-24T00:00:00.000
145,ISP000145,157,Granite InventoryStorageProfile 145,1,1,2026-08-24T00:00:00.000
146,ISP000146,42,Northstar InventoryStorageProfile 146,1,1,2026-08-24T00:00:00.000
147,ISP000147,81,Evergreen InventoryStorageProfile 147,1,1,2026-08-24T00:00:00.000
148,ISP000148,165,Zenith InventoryStorageProfile 148,1,1,2026-08-24T00:00:00.000
149,ISP000149,161,Harbor InventoryStorageProfile 149,1,1,2026-08-24T00:00:00.000
150,ISP000150,170,Liberty InventoryStorageProfile 150,1,1,2026-08-24T00:00:00.000
151,ISP000151,237,Zenith InventoryStorageProfile 151,1,1,2026-08-24T00:00:00.000
152,ISP000152,192,Northstar InventoryStorageProfile 152,1,1,2026-08-24T00:00:00.000
153,ISP000153,197,Atlas InventoryStorageProfile 153,1,1,2026-08-24T00:00:00.000
154,ISP000154,216,Willow InventoryStorageProfile 154,1,1,2026-08-24T00:00:00.000
155,ISP000155,141,Vertex InventoryStorageProfile 155,1,1,2026-08-24T00:00:00.000
156,ISP000156,43,Zenith InventoryStorageProfile 156,1,1,2026-08-24T00:00:00.000
157,ISP000157,211,Summit InventoryStorageProfile 157,1,1,2026-08-24T00:00:00.000
158,ISP000158,22,Zenith InventoryStorageProfile 158,1,1,2026-08-24T00:00:00.000
159,ISP000159,185,Vertex InventoryStorageProfile 159,1,1,2026-08-24T00:00:00.000
160,ISP000160,46,Liberty InventoryStorageProfile 160,1,1,2026-08-24T00:00:00.000
161,ISP000161,82,Ion InventoryStorageProfile 161,1,1,2026-08-24T00:00:00.000
162,ISP000162,130,Zenith InventoryStorageProfile 162,1,1,2026-08-24T00:00:00.000
163,ISP000163,53,Meridian InventoryStorageProfile 163,1,1,2026-08-24T00:00:00.000
164,ISP000164,195,Evergreen InventoryStorageProfile 164,1,1,2026-08-24T00:00:00.000
165,ISP000165,192,Titan InventoryStorageProfile 165,1,1,2026-08-24T00:00:00.000
166,ISP000166,140,Keystone InventoryStorageProfile 166,1,1,2026-08-24T00:00:00.000
167,ISP000167,32,Orion InventoryStorageProfile 167,1,1,2026-08-24T00:00:00.000
168,ISP000168,85,Delta InventoryStorageProfile 168,1,1,2026-08-24T00:00:00.000
169,ISP000169,224,Quartz InventoryStorageProfile 169,1,1,2026-08-24T00:00:00.000
170,ISP000170,218,Meridian InventoryStorageProfile 170,1,1,2026-08-24T00:00:00.000
171,ISP000171,18,Keystone InventoryStorageProfile 171,1,1,2026-08-24T00:00:00.000
172,ISP000172,154,Granite InventoryStorageProfile 172,1,1,2026-08-24T00:00:00.000
173,ISP000173,117,Forge InventoryStorageProfile 173,1,1,2026-08-24T00:00:00.000
174,ISP000174,175,Junction InventoryStorageProfile 174,1,1,2026-08-24T00:00:00.000
175,ISP000175,163,Meridian InventoryStorageProfile 175,1,1,2026-08-24T00:00:00.000
176,ISP000176,232,Liberty InventoryStorageProfile 176,1,1,2026-08-24T00:00:00.000
177,ISP000177,113,Delta InventoryStorageProfile 177,1,1,2026-08-24T00:00:00.000
178,ISP000178,232,Unity InventoryStorageProfile 178,1,1,2026-08-24T00:00:00.000
179,ISP000179,33,Ion InventoryStorageProfile 179,1,1,2026-08-24T00:00:00.000
180,ISP000180,200,Delta InventoryStorageProfile 180,1,1,2026-08-24T00:00:00.000
181,ISP000181,213,Keystone InventoryStorageProfile 181,1,1,2026-08-24T00:00:00.000
182,ISP000182,35,Zenith InventoryStorageProfile 182,1,1,2026-08-24T00:00:00.000
183,ISP000183,110,Northstar InventoryStorageProfile 183,1,1,2026-08-24T00:00:00.000
184,ISP000184,230,Harbor InventoryStorageProfile 184,1,1,2026-08-24T00:00:00.000
185,ISP000185,119,Vertex InventoryStorageProfile 185,1,1,2026-08-24T00:00:00.000
186,ISP000186,57,Pioneer InventoryStorageProfile 186,1,1,2026-08-24T00:00:00.000
187,ISP000187,45,Granite InventoryStorageProfile 187,1,1,2026-08-24T00:00:00.000
188,ISP000188,224,Granite InventoryStorageProfile 188,1,1,2026-08-24T00:00:00.000
189,ISP000189,145,Riverton InventoryStorageProfile 189,1,1,2026-08-24T00:00:00.000
190,ISP000190,200,Willow InventoryStorageProfile 190,1,1,2026-08-24T00:00:00.000
191,ISP000191,75,Unity InventoryStorageProfile 191,1,1,2026-08-24T00:00:00.000
192,ISP000192,31,Northstar InventoryStorageProfile 192,1,1,2026-08-24T00:00:00.000
193,ISP000193,204,Vertex InventoryStorageProfile 193,1,1,2026-08-24T00:00:00.000
194,ISP000194,174,Northstar InventoryStorageProfile 194,1,1,2026-08-24T00:00:00.000
195,ISP000195,74,Summit InventoryStorageProfile 195,1,1,2026-08-24T00:00:00.000
196,ISP000196,125,Summit InventoryStorageProfile 196,1,1,2026-08-24T00:00:00.000
197,ISP000197,233,Junction InventoryStorageProfile 197,1,1,2026-08-24T00:00:00.000
198,ISP000198,94,Cedar InventoryStorageProfile 198,1,1,2026-08-24T00:00:00.000
199,ISP000199,128,Junction InventoryStorageProfile 199,1,1,2026-08-24T00:00:00.000
200,ISP000200,32,Junction InventoryStorageProfile 200,1,1,2026-08-24T00:00:00.000
201,ISP000201,91,Quartz InventoryStorageProfile 201,1,1,2026-08-24T00:00:00.000
202,ISP000202,237,Willow InventoryStorageProfile 202,1,1,2026-08-24T00:00:00.000
203,ISP000203,189,Northstar InventoryStorageProfile 203,1,1,2026-08-24T00:00:00.000
204,ISP000204,27,Unity InventoryStorageProfile 204,1,1,2026-08-24T00:00:00.000
205,ISP000205,169,Junction InventoryStorageProfile 205,1,1,2026-08-24T00:00:00.000
206,ISP000206,173,Titan InventoryStorageProfile 206,1,1,2026-08-24T00:00:00.000
207,ISP000207,47,Zenith InventoryStorageProfile 207,1,1,2026-08-24T00:00:00.000
208,ISP000208,221,Meridian InventoryStorageProfile 208,1,1,2026-08-24T00:00:00.000
209,ISP000209,220,Orion InventoryStorageProfile 209,1,1,2026-08-24T00:00:00.000
210,ISP000210,74,Pioneer InventoryStorageProfile 210,1,1,2026-08-24T00:00:00.000
211,ISP000211,60,Junction InventoryStorageProfile 211,1,1,2026-08-24T00:00:00.000
212,ISP000212,49,Atlas InventoryStorageProfile 212,1,1,2026-08-24T00:00:00.000
213,ISP000213,9,Keystone InventoryStorageProfile 213,1,1,2026-08-24T00:00:00.000
214,ISP000214,50,Atlas InventoryStorageProfile 214,1,1,2026-08-24T00:00:00.000
215,ISP000215,55,Pioneer InventoryStorageProfile 215,1,1,2026-08-24T00:00:00.000
216,ISP000216,102,Willow InventoryStorageProfile 216,1,1,2026-08-24T00:00:00.000
217,ISP000217,223,Liberty InventoryStorageProfile 217,1,1,2026-08-24T00:00:00.000
218,ISP000218,142,Pioneer InventoryStorageProfile 218,1,1,2026-08-24T00:00:00.000
219,ISP000219,90,Delta InventoryStorageProfile 219,1,1,2026-08-24T00:00:00.000
220,ISP000220,72,Riverton InventoryStorageProfile 220,1,1,2026-08-24T00:00:00.000
221,ISP000221,180,Delta InventoryStorageProfile 221,1,1,2026-08-24T00:00:00.000
222,ISP000222,90,Liberty InventoryStorageProfile 222,1,1,2026-08-24T00:00:00.000
223,ISP000223,128,Beacon InventoryStorageProfile 223,1,1,2026-08-24T00:00:00.000
224,ISP000224,186,Meridian InventoryStorageProfile 224,1,1,2026-08-24T00:00:00.000
225,ISP000225,12,Meridian InventoryStorageProfile 225,1,1,2026-08-24T00:00:00.000
226,ISP000226,95,Pioneer InventoryStorageProfile 226,1,1,2026-08-24T00:00:00.000
227,ISP000227,224,Willow InventoryStorageProfile 227,1,1,2026-08-24T00:00:00.000
228,ISP000228,55,Unity InventoryStorageProfile 228,1,1,2026-08-24T00:00:00.000
229,ISP000229,22,Zenith InventoryStorageProfile 229,1,1,2026-08-24T00:00:00.000
230,ISP000230,77,Unity InventoryStorageProfile 230,1,1,2026-08-24T00:00:00.000
231,ISP000231,239,Keystone InventoryStorageProfile 231,1,1,2026-08-24T00:00:00.000
232,ISP000232,136,Willow InventoryStorageProfile 232,1,1,2026-08-24T00:00:00.000
233,ISP000233,123,Northstar InventoryStorageProfile 233,1,1,2026-08-24T00:00:00.000
234,ISP000234,176,Zenith InventoryStorageProfile 234,1,1,2026-08-24T00:00:00.000
235,ISP000235,228,Pioneer InventoryStorageProfile 235,1,1,2026-08-24T00:00:00.000
236,ISP000236,151,Riverton InventoryStorageProfile 236,1,1,2026-08-24T00:00:00.000
237,ISP000237,156,Junction InventoryStorageProfile 237,1,1,2026-08-24T00:00:00.000
238,ISP000238,178,Summit InventoryStorageProfile 238,1,1,2026-08-24T00:00:00.000
239,ISP000239,28,Atlas InventoryStorageProfile 239,1,1,2026-08-24T00:00:00.000
240,ISP000240,115,Orion InventoryStorageProfile 240,1,1,2026-08-24T00:00:00.000
241,ISP000241,219,Vertex InventoryStorageProfile 241,1,1,2026-08-24T00:00:00.000
242,ISP000242,96,Riverton InventoryStorageProfile 242,1,1,2026-08-24T00:00:00.000
243,ISP000243,105,Northstar InventoryStorageProfile 243,1,1,2026-08-24T00:00:00.000
244,ISP000244,28,Cedar InventoryStorageProfile 244,1,1,2026-08-24T00:00:00.000
245,ISP000245,105,Orion InventoryStorageProfile 245,1,1,2026-08-24T00:00:00.000
246,ISP000246,149,Riverton InventoryStorageProfile 246,1,1,2026-08-24T00:00:00.000
247,ISP000247,7,Atlas InventoryStorageProfile 247,1,1,2026-08-24T00:00:00.000
248,ISP000248,217,Delta InventoryStorageProfile 248,1,1,2026-08-24T00:00:00.000
249,ISP000249,4,Granite InventoryStorageProfile 249,1,1,2026-08-24T00:00:00.000
250,ISP000250,78,Zenith InventoryStorageProfile 250,1,1,2026-08-24T00:00:00.000
251,ISP000251,41,Vertex InventoryStorageProfile 251,1,1,2026-08-24T00:00:00.000
252,ISP000252,184,Titan InventoryStorageProfile 252,1,1,2026-08-24T00:00:00.000
253,ISP000253,108,Quartz InventoryStorageProfile 253,1,1,2026-08-24T00:00:00.000
254,ISP000254,230,Riverton InventoryStorageProfile 254,1,1,2026-08-24T00:00:00.000
255,ISP000255,11,Quartz InventoryStorageProfile 255,1,1,2026-08-24T00:00:00.000
256,ISP000256,20,Delta InventoryStorageProfile 256,1,1,2026-08-24T00:00:00.000
257,ISP000257,155,Riverton InventoryStorageProfile 257,1,1,2026-08-24T00:00:00.000
258,ISP000258,233,Evergreen InventoryStorageProfile 258,1,1,2026-08-24T00:00:00.000
259,ISP000259,169,Northstar InventoryStorageProfile 259,1,1,2026-08-24T00:00:00.000
260,ISP000260,58,Delta InventoryStorageProfile 260,1,1,2026-08-24T00:00:00.000
261,ISP000261,107,Pioneer InventoryStorageProfile 261,1,1,2026-08-24T00:00:00.000
262,ISP000262,103,Harbor InventoryStorageProfile 262,1,1,2026-08-24T00:00:00.000
263,ISP000263,224,Keystone InventoryStorageProfile 263,1,1,2026-08-24T00:00:00.000
264,ISP000264,225,Riverton InventoryStorageProfile 264,1,1,2026-08-24T00:00:00.000
265,ISP000265,204,Keystone InventoryStorageProfile 265,1,1,2026-08-24T00:00:00.000
266,ISP000266,114,Summit InventoryStorageProfile 266,1,1,2026-08-24T00:00:00.000
267,ISP000267,164,Riverton InventoryStorageProfile 267,1,1,2026-08-24T00:00:00.000
268,ISP000268,197,Quartz InventoryStorageProfile 268,1,1,2026-08-24T00:00:00.000
269,ISP000269,12,Keystone InventoryStorageProfile 269,1,1,2026-08-24T00:00:00.000
270,ISP000270,167,Granite InventoryStorageProfile 270,1,1,2026-08-24T00:00:00.000
271,ISP000271,5,Delta InventoryStorageProfile 271,1,1,2026-08-24T00:00:00.000
272,ISP000272,29,Harbor InventoryStorageProfile 272,1,1,2026-08-24T00:00:00.000
273,ISP000273,69,Orion InventoryStorageProfile 273,1,1,2026-08-24T00:00:00.000
274,ISP000274,69,Liberty InventoryStorageProfile 274,1,1,2026-08-24T00:00:00.000
275,ISP000275,5,Junction InventoryStorageProfile 275,1,1,2026-08-24T00:00:00.000
276,ISP000276,17,Quartz InventoryStorageProfile 276,1,1,2026-08-24T00:00:00.000
277,ISP000277,108,Orion InventoryStorageProfile 277,1,1,2026-08-24T00:00:00.000
278,ISP000278,210,Zenith InventoryStorageProfile 278,1,1,2026-08-24T00:00:00.000
279,ISP000279,172,Titan InventoryStorageProfile 279,1,1,2026-08-24T00:00:00.000
280,ISP000280,31,Northstar InventoryStorageProfile 280,1,1,2026-08-24T00:00:00.000
281,ISP000281,1,Beacon InventoryStorageProfile 281,1,1,2026-08-24T00:00:00.000
282,ISP000282,120,Ion InventoryStorageProfile 282,1,1,2026-08-24T00:00:00.000
283,ISP000283,61,Evergreen InventoryStorageProfile 283,1,1,2026-08-24T00:00:00.000
284,ISP000284,160,Delta InventoryStorageProfile 284,1,1,2026-08-24T00:00:00.000
285,ISP000285,205,Titan InventoryStorageProfile 285,1,1,2026-08-24T00:00:00.000
286,ISP000286,187,Pioneer InventoryStorageProfile 286,1,1,2026-08-24T00:00:00.000
287,ISP000287,214,Pioneer InventoryStorageProfile 287,1,1,2026-08-24T00:00:00.000
288,ISP000288,174,Meridian InventoryStorageProfile 288,1,1,2026-08-24T00:00:00.000
289,ISP000289,205,Pioneer InventoryStorageProfile 289,1,1,2026-08-24T00:00:00.000
290,ISP000290,126,Riverton InventoryStorageProfile 290,1,1,2026-08-24T00:00:00.000
291,ISP000291,125,Willow InventoryStorageProfile 291,1,1,2026-08-24T00:00:00.000
292,ISP000292,153,Liberty InventoryStorageProfile 292,1,1,2026-08-24T00:00:00.000
293,ISP000293,180,Harbor InventoryStorageProfile 293,1,1,2026-08-24T00:00:00.000
294,ISP000294,77,Beacon InventoryStorageProfile 294,1,1,2026-08-24T00:00:00.000
295,ISP000295,51,Delta InventoryStorageProfile 295,1,1,2026-08-24T00:00:00.000
296,ISP000296,204,Ion InventoryStorageProfile 296,1,1,2026-08-24T00:00:00.000
297,ISP000297,27,Cedar InventoryStorageProfile 297,1,1,2026-08-24T00:00:00.000
298,ISP000298,144,Beacon InventoryStorageProfile 298,1,1,2026-08-24T00:00:00.000
299,ISP000299,120,Beacon InventoryStorageProfile 299,1,1,2026-08-24T00:00:00.000
300,ISP000300,110,Evergreen InventoryStorageProfile 300,1,1,2026-08-24T00:00:00.000
301,ISP000301,24,Beacon InventoryStorageProfile 301,1,1,2026-08-24T00:00:00.000
