PurchaseSupplierContractKey,SupplierContractNumber,SupplierKey,PurchaseContractLineFamilyKey,ContractOwnerEmployeeKey,CurrencyKey,PurchasePaymentTermKey,ApprovalStatusKey,SupplierContractName,EffectiveDate,ExpirationDate,MinimumCommitmentAmount,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
15,PSC000015,119,429,26,2,24,3,Keystone PurchaseSupplierContract 15,2020-01-16,2020-01-16,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1166b6fb40685006b41352c2094ff5371166b6fb40685006b41352c2094ff537
16,PSC000016,215,216,418,1,4,2,Pioneer PurchaseSupplierContract 16,2020-01-17,2020-01-17,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd8f721c9f0f543e969476ecb806288ecd8f721c9f0f543e969476ecb806288e
17,PSC000017,379,353,-1,3,9,5,Vertex PurchaseSupplierContract 17,2020-01-18,2020-01-18,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aac780c8e7095ab3af7f3997535ca7d6aac780c8e7095ab3af7f3997535ca7d6
18,PSC000018,199,435,212,3,31,5,Meridian PurchaseSupplierContract 18,2020-01-19,2020-01-19,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,672c4a3dd763554ea60834a5f75fdca9672c4a3dd763554ea60834a5f75fdca9
19,PSC000019,357,413,155,4,39,4,Junction PurchaseSupplierContract 19,2020-01-20,2020-01-20,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cde06ab543c855f0acf5868cdb35bf4dcde06ab543c855f0acf5868cdb35bf4d
20,PSC000020,324,156,217,5,4,5,Summit PurchaseSupplierContract 20,2020-01-21,2020-01-21,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a958a729cf805d3ea19a478f78251b34a958a729cf805d3ea19a478f78251b34
21,PSC000021,288,91,136,4,22,3,Junction PurchaseSupplierContract 21,2020-01-22,2020-01-22,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dd0667f295c55b1859b9110512b613d0dd0667f295c55b1859b9110512b613d
22,PSC000022,497,39,59,4,4,1,Liberty PurchaseSupplierContract 22,2020-01-23,2020-01-23,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bbf8ccce3695eeabd18d721b1255d0a6bbf8ccce3695eeabd18d721b1255d0a
23,PSC000023,93,234,311,2,31,5,Zenith PurchaseSupplierContract 23,2020-01-24,2020-01-24,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc4a4b301c585400b15cb8200c8f013afc4a4b301c585400b15cb8200c8f013a
24,PSC000024,351,437,418,5,35,2,Granite PurchaseSupplierContract 24,2020-01-25,2020-01-25,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23464bc80d015fd8b9bd65f43822a27623464bc80d015fd8b9bd65f43822a276
25,PSC000025,221,209,355,2,5,5,Harbor PurchaseSupplierContract 25,2020-01-26,2020-01-26,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c10f27ab1cd150639a98fea00446e770c10f27ab1cd150639a98fea00446e770
26,PSC000026,141,226,267,3,35,2,Pioneer PurchaseSupplierContract 26,2020-01-27,2020-01-27,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dc647c396da5b9e8ac39f578e4ce25d4dc647c396da5b9e8ac39f578e4ce25d
27,PSC000027,294,78,331,5,13,1,Junction PurchaseSupplierContract 27,2020-01-28,2020-01-28,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b4672224b0255ab944f3f05edb5a2478b4672224b0255ab944f3f05edb5a247
28,PSC000028,103,247,83,2,17,2,Junction PurchaseSupplierContract 28,2020-01-29,2020-01-29,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d2796b21d2d5b67ab99b4d7b04330196d2796b21d2d5b67ab99b4d7b0433019
29,PSC000029,262,299,257,2,11,1,Orion PurchaseSupplierContract 29,2020-01-30,2020-01-30,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44f159fe810157c887e3fc974b1bd21844f159fe810157c887e3fc974b1bd218
30,PSC000030,296,140,349,4,38,4,Titan PurchaseSupplierContract 30,2020-01-31,2020-01-31,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,783afdefbbe45a7f95542c5b4b639bf9783afdefbbe45a7f95542c5b4b639bf9
31,PSC000031,104,176,298,2,22,4,Northstar PurchaseSupplierContract 31,2020-02-01,2020-02-01,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ad4530d7bec56f6b075088626fcf23a7ad4530d7bec56f6b075088626fcf23a
32,PSC000032,477,80,64,3,31,1,Delta PurchaseSupplierContract 32,2020-02-02,2020-02-02,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff5e8ed7b4f25f2190d00c698203697dff5e8ed7b4f25f2190d00c698203697d
33,PSC000033,233,382,131,2,25,3,Delta PurchaseSupplierContract 33,2020-02-03,2020-02-03,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5fce11b796ba59fb9addf8eede54406f5fce11b796ba59fb9addf8eede54406f
34,PSC000034,468,149,-1,3,30,4,Pioneer PurchaseSupplierContract 34,2020-02-04,2020-02-04,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45461854535955f8b37b15a8bc71484645461854535955f8b37b15a8bc714846
35,PSC000035,134,69,105,1,23,1,Northstar PurchaseSupplierContract 35,2020-02-05,2020-02-05,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,963a0620cbc25bba874be38afb60c2b6963a0620cbc25bba874be38afb60c2b6
36,PSC000036,32,183,26,2,8,2,Riverton PurchaseSupplierContract 36,2020-02-06,2020-02-06,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9de0d4f59ca5e8ab9697e5fb977ffb3c9de0d4f59ca5e8ab9697e5fb977ffb3
37,PSC000037,136,337,448,4,39,1,Summit PurchaseSupplierContract 37,2020-02-07,2020-02-07,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37114ad660495ac0a0a4b23ad446c01737114ad660495ac0a0a4b23ad446c017
38,PSC000038,391,290,274,4,39,3,Delta PurchaseSupplierContract 38,2020-02-08,2020-02-08,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad568310335d5b91904fec54c23ebac3ad568310335d5b91904fec54c23ebac3
39,PSC000039,201,43,359,4,40,1,Keystone PurchaseSupplierContract 39,2020-02-09,2020-02-09,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93e9d21c67945759a144e81444fa812f93e9d21c67945759a144e81444fa812f
40,PSC000040,335,355,384,4,28,2,Riverton PurchaseSupplierContract 40,2020-02-10,2020-02-10,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd5083c28d1c5caa8bc360833edf7dbbbd5083c28d1c5caa8bc360833edf7dbb
41,PSC000041,208,462,338,1,36,1,Unity PurchaseSupplierContract 41,2020-02-11,2020-02-11,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,088bae116e7c542d830b4169901657e0088bae116e7c542d830b4169901657e0
42,PSC000042,17,123,379,5,1,1,Quartz PurchaseSupplierContract 42,2020-02-12,2020-02-12,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,575f510661085747b218d2f3ac3b0565575f510661085747b218d2f3ac3b0565
43,PSC000043,304,182,128,3,17,5,Beacon PurchaseSupplierContract 43,2020-02-13,2020-02-13,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c7e6fc2839d5a4f9d0b87557b16e8d22c7e6fc2839d5a4f9d0b87557b16e8d2
44,PSC000044,268,291,81,4,2,1,Pioneer PurchaseSupplierContract 44,2020-02-14,2020-02-14,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97ff4cddd345565a877fc6ffbb027ca497ff4cddd345565a877fc6ffbb027ca4
45,PSC000045,127,352,53,2,4,2,Meridian PurchaseSupplierContract 45,2020-02-15,2020-02-15,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d7b3c85d61e5f68b9520a6a02006f6b4d7b3c85d61e5f68b9520a6a02006f6b
46,PSC000046,357,385,384,1,30,2,Pioneer PurchaseSupplierContract 46,2020-02-16,2020-02-16,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98d2ba31c907555f902507ea4a22c4e598d2ba31c907555f902507ea4a22c4e5
47,PSC000047,198,439,494,3,35,2,Forge PurchaseSupplierContract 47,2020-02-17,2020-02-17,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,144fc2e1933e51efb9c8017d19adeca8144fc2e1933e51efb9c8017d19adeca8
48,PSC000048,233,123,6,2,11,1,Granite PurchaseSupplierContract 48,2020-02-18,2020-02-18,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e42b5701ca65e4b8b9f50162b5abbf80e42b5701ca65e4b8b9f50162b5abbf8
49,PSC000049,229,44,258,1,19,3,Unity PurchaseSupplierContract 49,2020-02-19,2020-02-19,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86587a5def07597fbec48be76b9ae59386587a5def07597fbec48be76b9ae593
50,PSC000050,297,41,211,2,14,1,Evergreen PurchaseSupplierContract 50,2020-02-20,2020-02-20,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9772400a26bd5df8a30eea5b680ae7c09772400a26bd5df8a30eea5b680ae7c0
51,PSC000051,268,368,-1,1,23,2,Forge PurchaseSupplierContract 51,2020-02-21,2020-02-21,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,555476812fc951928eddf056562d8d3a555476812fc951928eddf056562d8d3a
52,PSC000052,443,488,221,4,18,3,Liberty PurchaseSupplierContract 52,2020-02-22,2020-02-22,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,428a8e2d9db25e65b7dee0b2a1120ac5428a8e2d9db25e65b7dee0b2a1120ac5
53,PSC000053,151,18,346,4,32,4,Delta PurchaseSupplierContract 53,2020-02-23,2020-02-23,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3dcc16941bfb526b9b440d341b670a163dcc16941bfb526b9b440d341b670a16
54,PSC000054,316,311,85,2,28,4,Granite PurchaseSupplierContract 54,2020-02-24,2020-02-24,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2bd0329032f56f8a24f7f79e3bf0d56c2bd0329032f56f8a24f7f79e3bf0d56
55,PSC000055,262,197,84,5,37,1,Keystone PurchaseSupplierContract 55,2020-02-25,2020-02-25,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fc70f6e05d55818a0066e7ebbb0dccd7fc70f6e05d55818a0066e7ebbb0dccd
56,PSC000056,135,53,136,5,13,5,Junction PurchaseSupplierContract 56,2020-02-26,2020-02-26,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35dd6b6bbe6a5c74b8ff4719e3913c4735dd6b6bbe6a5c74b8ff4719e3913c47
57,PSC000057,414,72,118,4,28,1,Zenith PurchaseSupplierContract 57,2020-02-27,2020-02-27,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe9a3bb7663354639eb13bc1fa0e6020fe9a3bb7663354639eb13bc1fa0e6020
58,PSC000058,53,345,123,1,40,1,Willow PurchaseSupplierContract 58,2020-02-28,2020-02-28,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a815c76bd00b55dbab386648079d9cc9a815c76bd00b55dbab386648079d9cc9
59,PSC000059,138,87,490,2,39,4,Beacon PurchaseSupplierContract 59,2020-02-29,2020-02-29,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b076e93814e5d4d8ce2dae5c4620e029b076e93814e5d4d8ce2dae5c4620e02
60,PSC000060,231,169,204,4,13,4,Meridian PurchaseSupplierContract 60,2020-03-01,2020-03-01,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62aa7680e4c8599a848aff4f49dd7cbc62aa7680e4c8599a848aff4f49dd7cbc
61,PSC000061,3,349,116,3,31,5,Riverton PurchaseSupplierContract 61,2020-03-02,2020-03-02,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e864fc0e6a73569788bef3427faf8c2be864fc0e6a73569788bef3427faf8c2b
62,PSC000062,375,113,313,5,34,1,Meridian PurchaseSupplierContract 62,2020-03-03,2020-03-03,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71ea7d8c1a3750c0a768a4774d8cfb4671ea7d8c1a3750c0a768a4774d8cfb46
63,PSC000063,487,147,168,5,32,5,Granite PurchaseSupplierContract 63,2020-03-04,2020-03-04,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,520b80c1cc65518684fe6397db8f9905520b80c1cc65518684fe6397db8f9905
64,PSC000064,170,365,467,4,23,3,Willow PurchaseSupplierContract 64,2020-03-05,2020-03-05,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c718c23dad775b01b78edb897f363c57c718c23dad775b01b78edb897f363c57
65,PSC000065,162,340,316,4,32,4,Cedar PurchaseSupplierContract 65,2020-03-06,2020-03-06,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6fbf3afef0e50e7be2273f19297d966d6fbf3afef0e50e7be2273f19297d966
66,PSC000066,75,259,97,2,32,4,Orion PurchaseSupplierContract 66,2020-03-07,2020-03-07,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aab904b3b40455d0a387c048138c6d19aab904b3b40455d0a387c048138c6d19
67,PSC000067,346,304,350,2,32,5,Keystone PurchaseSupplierContract 67,2020-03-08,2020-03-08,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7be62fb87a8c55a5a7739317a5c55bd57be62fb87a8c55a5a7739317a5c55bd5
68,PSC000068,289,380,-1,3,1,2,Willow PurchaseSupplierContract 68,2020-03-09,2020-03-09,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b176c0ff27b458ed871839b89550d3d7b176c0ff27b458ed871839b89550d3d7
69,PSC000069,238,217,446,3,18,3,Summit PurchaseSupplierContract 69,2020-03-10,2020-03-10,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e5b0859b06059b389adcce38321a5106e5b0859b06059b389adcce38321a510
70,PSC000070,74,107,5,1,3,5,Forge PurchaseSupplierContract 70,2020-03-11,2020-03-11,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0751ef1040a65e3484698f720db24a880751ef1040a65e3484698f720db24a88
71,PSC000071,55,208,181,3,39,5,Titan PurchaseSupplierContract 71,2020-03-12,2020-03-12,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d914d2db605151d2b11adc83af441372d914d2db605151d2b11adc83af441372
72,PSC000072,48,462,184,3,30,3,Delta PurchaseSupplierContract 72,2020-03-13,2020-03-13,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a1796d8c66551aa8c552fb5476bdabe0a1796d8c66551aa8c552fb5476bdabe
73,PSC000073,266,127,78,3,9,2,Zenith PurchaseSupplierContract 73,2020-03-14,2020-03-14,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83011ddf05415422a7f788054293f38083011ddf05415422a7f788054293f380
74,PSC000074,456,264,21,3,6,2,Evergreen PurchaseSupplierContract 74,2020-03-15,2020-03-15,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a307b3a7399a565bad46668e5284b711a307b3a7399a565bad46668e5284b711
75,PSC000075,417,110,58,4,40,5,Beacon PurchaseSupplierContract 75,2020-03-16,2020-03-16,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c880a728a8075d2fa63a886ab47f6003c880a728a8075d2fa63a886ab47f6003
76,PSC000076,442,408,293,2,7,3,Titan PurchaseSupplierContract 76,2020-03-17,2020-03-17,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c816a82a0b954a09d77c528bead7e092c816a82a0b954a09d77c528bead7e09
77,PSC000077,121,92,326,2,19,5,Quartz PurchaseSupplierContract 77,2020-03-18,2020-03-18,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83c7c8a48ad1544ab9ab2bc31f629e5983c7c8a48ad1544ab9ab2bc31f629e59
78,PSC000078,107,333,55,4,8,4,Zenith PurchaseSupplierContract 78,2020-03-19,2020-03-19,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e59944f6f7c15bb8960a87ff3a5e4498e59944f6f7c15bb8960a87ff3a5e4498
79,PSC000079,402,252,68,1,39,5,Granite PurchaseSupplierContract 79,2020-03-20,2020-03-20,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4de4e7ad540457b393895eb210afcde14de4e7ad540457b393895eb210afcde1
80,PSC000080,412,485,60,1,39,3,Cedar PurchaseSupplierContract 80,2020-03-21,2020-03-21,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cfe025bc573554fa0a9f2e6a5c008b36cfe025bc573554fa0a9f2e6a5c008b3
81,PSC000081,354,163,21,4,8,4,Titan PurchaseSupplierContract 81,2020-03-22,2020-03-22,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1722d0e56f605d29b1370da7654576c21722d0e56f605d29b1370da7654576c2
82,PSC000082,380,374,70,1,15,3,Riverton PurchaseSupplierContract 82,2020-03-23,2020-03-23,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ac6ad1481f4507ca6244ab2d657a23a0ac6ad1481f4507ca6244ab2d657a23a
83,PSC000083,136,382,229,3,20,2,Forge PurchaseSupplierContract 83,2020-03-24,2020-03-24,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a517669a9b265071a57928dbb626d2a0a517669a9b265071a57928dbb626d2a0
84,PSC000084,277,486,388,3,21,2,Orion PurchaseSupplierContract 84,2020-03-25,2020-03-25,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c77cf8c1ce375ff6b049bbd60661ce39c77cf8c1ce375ff6b049bbd60661ce39
85,PSC000085,357,403,-1,5,24,1,Riverton PurchaseSupplierContract 85,2020-03-26,2020-03-26,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,978e3a1ffafc5726864d376f64080adc978e3a1ffafc5726864d376f64080adc
86,PSC000086,396,179,280,4,35,4,Atlas PurchaseSupplierContract 86,2020-03-27,2020-03-27,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8153514780c053a689911ec4b83d2e868153514780c053a689911ec4b83d2e86
87,PSC000087,126,230,287,3,1,1,Titan PurchaseSupplierContract 87,2020-03-28,2020-03-28,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d5ee1673e725230a2780d52c9f7f2e15d5ee1673e725230a2780d52c9f7f2e1
88,PSC000088,149,459,280,3,3,2,Junction PurchaseSupplierContract 88,2020-03-29,2020-03-29,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29e99a2f6c8f5f15892f992caf100c2129e99a2f6c8f5f15892f992caf100c21
89,PSC000089,359,369,368,1,5,5,Zenith PurchaseSupplierContract 89,2020-03-30,2020-03-30,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b566b839d33258a2a7f109fbe59761d7b566b839d33258a2a7f109fbe59761d7
