MaintenanceSparePartKey,SparePartNumber,ProductKey,MaintenanceAssetComponentTypeKey,UnitOfMeasureKey,HazardClassKey,MaintenanceSparePartName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,MSP000010,288,302,4,3,Zenith MaintenanceSparePart 10,MSP000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8332049078945b84aab24cab53b264c28332049078945b84aab24cab53b264c2
11,MSP000011,65,163,7,12,Harbor MaintenanceSparePart 11,MSP000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48a09ae36bde5bea8c9f80f3526fb5f648a09ae36bde5bea8c9f80f3526fb5f6
12,MSP000012,366,61,4,5,Willow MaintenanceSparePart 12,MSP000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe25224cf0625a1fbaaf952403b1ecf9fe25224cf0625a1fbaaf952403b1ecf9
13,MSP000013,283,270,4,7,Harbor MaintenanceSparePart 13,MSP000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03fe9b8c8ba45490b9e1890607f4520b03fe9b8c8ba45490b9e1890607f4520b
14,MSP000014,80,139,5,5,Granite MaintenanceSparePart 14,MSP000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,367e6d03ba3a5dac8a18eedb0293d35d367e6d03ba3a5dac8a18eedb0293d35d
15,MSP000015,424,315,5,6,Meridian MaintenanceSparePart 15,MSP000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86bca95c36c350f68e30b2283588f51586bca95c36c350f68e30b2283588f515
16,MSP000016,173,483,5,2,Quartz MaintenanceSparePart 16,MSP000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aca0566a23af51c39e6b8b3851f7a873aca0566a23af51c39e6b8b3851f7a873
17,MSP000017,90,392,1,17,Vertex MaintenanceSparePart 17,MSP000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17a90fca07895af8aa6bbf239383a81217a90fca07895af8aa6bbf239383a812
18,MSP000018,231,354,5,2,Orion MaintenanceSparePart 18,MSP000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d76b6e0f07f560993f68a248631605e6d76b6e0f07f560993f68a248631605e
19,MSP000019,182,162,5,18,Willow MaintenanceSparePart 19,MSP000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1cee1fd64265151845af685f6d5268fb1cee1fd64265151845af685f6d5268f
20,MSP000020,270,241,2,16,Orion MaintenanceSparePart 20,MSP000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ce2a5a97fd659ffb6e516c84d4eccf14ce2a5a97fd659ffb6e516c84d4eccf1
21,MSP000021,436,305,3,5,Delta MaintenanceSparePart 21,MSP000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f86733328b3b550c98adc36d400a2d45f86733328b3b550c98adc36d400a2d45
22,MSP000022,117,261,1,9,Vertex MaintenanceSparePart 22,MSP000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff8140e1777c517f9c58bc86876094c8ff8140e1777c517f9c58bc86876094c8
23,MSP000023,232,255,1,6,Willow MaintenanceSparePart 23,MSP000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e4ecc3a4cf159d3ac8cc892dbb43bd04e4ecc3a4cf159d3ac8cc892dbb43bd0
24,MSP000024,205,393,7,18,Keystone MaintenanceSparePart 24,MSP000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9309de8f92cb59cdbab828ce20b3c07a9309de8f92cb59cdbab828ce20b3c07a
25,MSP000025,67,471,7,3,Vertex MaintenanceSparePart 25,MSP000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11d387e178d55d9e8ab35217c7cdd7db11d387e178d55d9e8ab35217c7cdd7db
26,MSP000026,453,210,5,11,Delta MaintenanceSparePart 26,MSP000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd488774199a56f8951f890c1474043bfd488774199a56f8951f890c1474043b
27,MSP000027,3,287,3,14,Quartz MaintenanceSparePart 27,MSP000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,057bc0861c235fb280c223d3cbf2774e057bc0861c235fb280c223d3cbf2774e
28,MSP000028,87,438,2,2,Quartz MaintenanceSparePart 28,MSP000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd9eae9ea3bb53f89429c15a073bb404fd9eae9ea3bb53f89429c15a073bb404
29,MSP000029,246,240,2,14,Liberty MaintenanceSparePart 29,MSP000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65cf548f129f578c870a301ee45a014265cf548f129f578c870a301ee45a0142
30,MSP000030,116,324,7,16,Zenith MaintenanceSparePart 30,MSP000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3398ac424b4b5a61ae8ca20f8922bb9a3398ac424b4b5a61ae8ca20f8922bb9a
31,MSP000031,387,261,3,13,Riverton MaintenanceSparePart 31,MSP000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f08f6a779ba25059996d2d2190bb5591f08f6a779ba25059996d2d2190bb5591
32,MSP000032,184,244,3,1,Summit MaintenanceSparePart 32,MSP000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f64fb3b6a0052898c2bff07056dfa027f64fb3b6a0052898c2bff07056dfa02
33,MSP000033,342,492,4,9,Forge MaintenanceSparePart 33,MSP000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbcd21939e3e5825ae74dc35f717f12ffbcd21939e3e5825ae74dc35f717f12f
34,MSP000034,207,358,1,5,Junction MaintenanceSparePart 34,MSP000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbbc5694b185574cb7fa13104dbd60cfcbbc5694b185574cb7fa13104dbd60cf
35,MSP000035,332,202,3,18,Cedar MaintenanceSparePart 35,MSP000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbcffc6be3e05a459c1205284cab1d01bbcffc6be3e05a459c1205284cab1d01
36,MSP000036,19,86,5,6,Orion MaintenanceSparePart 36,MSP000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f783c8824cb45eaeb63a6cdd643414a9f783c8824cb45eaeb63a6cdd643414a9
37,MSP000037,206,96,4,10,Cedar MaintenanceSparePart 37,MSP000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7367f9ec81105edfb6ee5df967baac9f7367f9ec81105edfb6ee5df967baac9f
38,MSP000038,83,187,2,18,Unity MaintenanceSparePart 38,MSP000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7c61982f32950ec828cad06aca263fec7c61982f32950ec828cad06aca263fe
39,MSP000039,389,333,7,14,Harbor MaintenanceSparePart 39,MSP000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d6ff96479135795b6e5e5c3a1a23ef76d6ff96479135795b6e5e5c3a1a23ef7
40,MSP000040,317,184,3,10,Summit MaintenanceSparePart 40,MSP000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ce7165d8637557cbf63953633c7df5c5ce7165d8637557cbf63953633c7df5c
41,MSP000041,60,229,7,14,Cedar MaintenanceSparePart 41,MSP000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13cfdf24f2bc596089a32d401e3eba2d13cfdf24f2bc596089a32d401e3eba2d
42,MSP000042,343,252,2,11,Orion MaintenanceSparePart 42,MSP000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,530a55df8f395a41bbc5ec8d5393005d530a55df8f395a41bbc5ec8d5393005d
43,MSP000043,4,70,3,11,Northstar MaintenanceSparePart 43,MSP000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c64e6ce39b750babb5ca98f9831adad7c64e6ce39b750babb5ca98f9831adad
44,MSP000044,82,217,6,8,Northstar MaintenanceSparePart 44,MSP000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36564dddcadc576880eff17f0ab02b7436564dddcadc576880eff17f0ab02b74
45,MSP000045,191,309,5,8,Forge MaintenanceSparePart 45,MSP000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40c72882ec0d56e7adf502c4fd04c8ee40c72882ec0d56e7adf502c4fd04c8ee
46,MSP000046,119,31,3,13,Summit MaintenanceSparePart 46,MSP000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c38a5fcc3375fdb99d7ce65f4ea38455c38a5fcc3375fdb99d7ce65f4ea3845
47,MSP000047,55,186,2,2,Zenith MaintenanceSparePart 47,MSP000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d0bf17efc28559b92a74cad793340a36d0bf17efc28559b92a74cad793340a3
48,MSP000048,369,365,6,11,Zenith MaintenanceSparePart 48,MSP000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57d0fc5c25fc506b963f988cfa09785b57d0fc5c25fc506b963f988cfa09785b
49,MSP000049,239,256,2,4,Meridian MaintenanceSparePart 49,MSP000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec6205e1444556d09b1070cff78b0492ec6205e1444556d09b1070cff78b0492
50,MSP000050,362,68,2,1,Keystone MaintenanceSparePart 50,MSP000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,144752b760b95fc8ad7d05306ec97d95144752b760b95fc8ad7d05306ec97d95
51,MSP000051,377,311,3,6,Forge MaintenanceSparePart 51,MSP000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b62c9a4bea245c0faa64d3ea5f028a51b62c9a4bea245c0faa64d3ea5f028a51
52,MSP000052,72,442,2,4,Forge MaintenanceSparePart 52,MSP000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f60fb771e4cd5fa8848911a64e372626f60fb771e4cd5fa8848911a64e372626
53,MSP000053,260,364,6,14,Unity MaintenanceSparePart 53,MSP000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46905b728b4a56bdae07c356f1ee9f7146905b728b4a56bdae07c356f1ee9f71
54,MSP000054,347,44,5,10,Unity MaintenanceSparePart 54,MSP000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6859987f0f85072a3c73710183c8952e6859987f0f85072a3c73710183c8952
55,MSP000055,90,98,2,1,Atlas MaintenanceSparePart 55,MSP000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6ca9b9754905c308db39ada1aaf9738a6ca9b9754905c308db39ada1aaf9738
56,MSP000056,361,251,5,1,Cedar MaintenanceSparePart 56,MSP000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccc56dae72645a4c8519644762567a9dccc56dae72645a4c8519644762567a9d
57,MSP000057,225,158,7,11,Cedar MaintenanceSparePart 57,MSP000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b525552350a4586da3e1131697c7b21eb525552350a4586da3e1131697c7b21e
58,MSP000058,312,96,5,9,Harbor MaintenanceSparePart 58,MSP000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b348952e1e095b0298447fff2bea868db348952e1e095b0298447fff2bea868d
59,MSP000059,424,464,3,16,Titan MaintenanceSparePart 59,MSP000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,444a55bf2f3f59f881b1066b1a5a6669444a55bf2f3f59f881b1066b1a5a6669
60,MSP000060,155,288,6,12,Evergreen MaintenanceSparePart 60,MSP000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60116cd4b1b85123b1dc0227e479487b60116cd4b1b85123b1dc0227e479487b
61,MSP000061,50,338,5,5,Evergreen MaintenanceSparePart 61,MSP000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f0a0722c1bf5108bda1d675171fe1f52f0a0722c1bf5108bda1d675171fe1f5
62,MSP000062,51,209,7,11,Forge MaintenanceSparePart 62,MSP000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,08c6c5989c1454ddb69762ff0f28245c08c6c5989c1454ddb69762ff0f28245c
63,MSP000063,391,18,7,9,Beacon MaintenanceSparePart 63,MSP000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37051beea1fc518880756b31a66f8f7337051beea1fc518880756b31a66f8f73
64,MSP000064,436,286,5,18,Harbor MaintenanceSparePart 64,MSP000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34941da7409e508c8f77e490ba3cd42c34941da7409e508c8f77e490ba3cd42c
65,MSP000065,140,496,7,3,Atlas MaintenanceSparePart 65,MSP000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c8ba6e5ef2b5342b43c1069e0ff8e134c8ba6e5ef2b5342b43c1069e0ff8e13
66,MSP000066,329,182,4,5,Junction MaintenanceSparePart 66,MSP000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00e41787f1465e67952fbf7e51b64c4700e41787f1465e67952fbf7e51b64c47
67,MSP000067,453,199,4,7,Willow MaintenanceSparePart 67,MSP000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,020767fe33ae58babb1dee29bbd010db020767fe33ae58babb1dee29bbd010db
68,MSP000068,131,411,3,8,Quartz MaintenanceSparePart 68,MSP000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acbf16ab9fa85b9ba6871b096dbf8fd2acbf16ab9fa85b9ba6871b096dbf8fd2
69,MSP000069,475,399,1,11,Willow MaintenanceSparePart 69,MSP000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33428c441df35a699949ef7d80289abd33428c441df35a699949ef7d80289abd
70,MSP000070,148,242,2,16,Junction MaintenanceSparePart 70,MSP000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,003e559cb666520fb250aedd2094148a003e559cb666520fb250aedd2094148a
71,MSP000071,436,122,2,2,Liberty MaintenanceSparePart 71,MSP000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0798a2962ea45349b2134f3ec9d626960798a2962ea45349b2134f3ec9d62696
72,MSP000072,44,57,2,14,Zenith MaintenanceSparePart 72,MSP000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,531f0e9231b75084aebedd751be4b7af531f0e9231b75084aebedd751be4b7af
73,MSP000073,312,5,6,11,Cedar MaintenanceSparePart 73,MSP000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,852adc9381b35441a0353fde08dfb777852adc9381b35441a0353fde08dfb777
74,MSP000074,330,380,5,13,Meridian MaintenanceSparePart 74,MSP000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29bfaae8a11158c1a929680a086fc2e329bfaae8a11158c1a929680a086fc2e3
75,MSP000075,251,18,4,15,Delta MaintenanceSparePart 75,MSP000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce3fd2798057590f83a392803f05ffeace3fd2798057590f83a392803f05ffea
76,MSP000076,160,334,2,6,Evergreen MaintenanceSparePart 76,MSP000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d540dc5cc75755ab9ea257da22b7e54cd540dc5cc75755ab9ea257da22b7e54c
77,MSP000077,360,51,7,10,Liberty MaintenanceSparePart 77,MSP000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c0e78151dd15f61aad0bddcfbc4225a8c0e78151dd15f61aad0bddcfbc4225a
78,MSP000078,204,68,3,18,Harbor MaintenanceSparePart 78,MSP000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d32d0bd4d09d537b9e0089f0cff3f851d32d0bd4d09d537b9e0089f0cff3f851
79,MSP000079,41,198,7,6,Forge MaintenanceSparePart 79,MSP000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39270b2ba8665547b18555c93e39c60639270b2ba8665547b18555c93e39c606
80,MSP000080,81,372,3,3,Titan MaintenanceSparePart 80,MSP000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,954d358df55c5515bc9cb2f302e700e0954d358df55c5515bc9cb2f302e700e0
81,MSP000081,321,429,1,6,Cedar MaintenanceSparePart 81,MSP000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9eca9579e7b6562ba83d294d5450d59a9eca9579e7b6562ba83d294d5450d59a
82,MSP000082,381,6,7,18,Ion MaintenanceSparePart 82,MSP000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80e235f3d7db558aa8004bef9404476e80e235f3d7db558aa8004bef9404476e
83,MSP000083,306,2,1,5,Junction MaintenanceSparePart 83,MSP000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f1c9f1739ad5989a761def8478e7d994f1c9f1739ad5989a761def8478e7d99
84,MSP000084,430,467,4,11,Zenith MaintenanceSparePart 84,MSP000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b31b61f846835d7f9faf374c588bccefb31b61f846835d7f9faf374c588bccef
85,MSP000085,462,368,5,2,Cedar MaintenanceSparePart 85,MSP000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06ac4d4e9eb55139b53f059669033d8b06ac4d4e9eb55139b53f059669033d8b
86,MSP000086,108,31,3,2,Willow MaintenanceSparePart 86,MSP000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d148e1154ad5271a61b0035ba2db31e7d148e1154ad5271a61b0035ba2db31e
87,MSP000087,275,16,6,1,Keystone MaintenanceSparePart 87,MSP000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35e938d8773f58fe8f00cb2d96311f8f35e938d8773f58fe8f00cb2d96311f8f
88,MSP000088,100,61,1,9,Keystone MaintenanceSparePart 88,MSP000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f2ddb0bcccd53d2a0948300d16e45af7f2ddb0bcccd53d2a0948300d16e45af
89,MSP000089,319,376,5,1,Delta MaintenanceSparePart 89,MSP000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd4a31be84705d1eaf230ddfaa8dc29add4a31be84705d1eaf230ddfaa8dc29a
90,MSP000090,27,75,6,4,Pioneer MaintenanceSparePart 90,MSP000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09be7b63885b5d8fa255af1e4dfedc0c09be7b63885b5d8fa255af1e4dfedc0c
91,MSP000091,469,224,4,14,Meridian MaintenanceSparePart 91,MSP000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e77fbad471af5c17bc68ea70a004a0b4e77fbad471af5c17bc68ea70a004a0b4
92,MSP000092,203,275,6,13,Harbor MaintenanceSparePart 92,MSP000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,115b7b17b3cb5b4cbb73d28ed3c39740115b7b17b3cb5b4cbb73d28ed3c39740
93,MSP000093,241,417,5,15,Evergreen MaintenanceSparePart 93,MSP000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bf76aa19e615f89a06578f3203af5ee3bf76aa19e615f89a06578f3203af5ee
94,MSP000094,276,248,1,16,Orion MaintenanceSparePart 94,MSP000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b550dd1a0da65c27847cf9ca298ece34b550dd1a0da65c27847cf9ca298ece34
95,MSP000095,66,443,4,4,Zenith MaintenanceSparePart 95,MSP000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f7a6ea567ddb5199881c668ff313c704f7a6ea567ddb5199881c668ff313c704
96,MSP000096,287,358,2,2,Cedar MaintenanceSparePart 96,MSP000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,336f566469b55d7ea45bbb043a283df9336f566469b55d7ea45bbb043a283df9
97,MSP000097,475,93,1,11,Willow MaintenanceSparePart 97,MSP000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c758b8a0209e5555b5bee9fdf1c8700dc758b8a0209e5555b5bee9fdf1c8700d
