InventoryPolicySegmentKey,InventoryPolicySegmentCode,InventoryReplenishmentGroupKey,InventoryPolicySegmentName,SourceSystemKey,BatchId,LoadedAtUtc
193,IPS000193,111,Orion InventoryPolicySegment 193,1,1,2026-08-24T00:00:00.000
194,IPS000194,215,Summit InventoryPolicySegment 194,1,1,2026-08-24T00:00:00.000
195,IPS000195,59,Riverton InventoryPolicySegment 195,1,1,2026-08-24T00:00:00.000
196,IPS000196,135,Titan InventoryPolicySegment 196,1,1,2026-08-24T00:00:00.000
197,IPS000197,109,Granite InventoryPolicySegment 197,1,1,2026-08-24T00:00:00.000
198,IPS000198,54,Evergreen InventoryPolicySegment 198,1,1,2026-08-24T00:00:00.000
199,IPS000199,229,Vertex InventoryPolicySegment 199,1,1,2026-08-24T00:00:00.000
200,IPS000200,25,Harbor InventoryPolicySegment 200,1,1,2026-08-24T00:00:00.000
201,IPS000201,96,Forge InventoryPolicySegment 201,1,1,2026-08-24T00:00:00.000
202,IPS000202,350,Orion InventoryPolicySegment 202,1,1,2026-08-24T00:00:00.000
203,IPS000203,354,Junction InventoryPolicySegment 203,1,1,2026-08-24T00:00:00.000
204,IPS000204,110,Cedar InventoryPolicySegment 204,1,1,2026-08-24T00:00:00.000
205,IPS000205,128,Harbor InventoryPolicySegment 205,1,1,2026-08-24T00:00:00.000
206,IPS000206,223,Summit InventoryPolicySegment 206,1,1,2026-08-24T00:00:00.000
207,IPS000207,252,Granite InventoryPolicySegment 207,1,1,2026-08-24T00:00:00.000
208,IPS000208,38,Unity InventoryPolicySegment 208,1,1,2026-08-24T00:00:00.000
209,IPS000209,266,Willow InventoryPolicySegment 209,1,1,2026-08-24T00:00:00.000
210,IPS000210,63,Meridian InventoryPolicySegment 210,1,1,2026-08-24T00:00:00.000
211,IPS000211,212,Atlas InventoryPolicySegment 211,1,1,2026-08-24T00:00:00.000
212,IPS000212,19,Ion InventoryPolicySegment 212,1,1,2026-08-24T00:00:00.000
213,IPS000213,231,Evergreen InventoryPolicySegment 213,1,1,2026-08-24T00:00:00.000
214,IPS000214,292,Granite InventoryPolicySegment 214,1,1,2026-08-24T00:00:00.000
215,IPS000215,60,Titan InventoryPolicySegment 215,1,1,2026-08-24T00:00:00.000
216,IPS000216,169,Titan InventoryPolicySegment 216,1,1,2026-08-24T00:00:00.000
217,IPS000217,118,Orion InventoryPolicySegment 217,1,1,2026-08-24T00:00:00.000
218,IPS000218,254,Riverton InventoryPolicySegment 218,1,1,2026-08-24T00:00:00.000
219,IPS000219,228,Orion InventoryPolicySegment 219,1,1,2026-08-24T00:00:00.000
220,IPS000220,223,Zenith InventoryPolicySegment 220,1,1,2026-08-24T00:00:00.000
221,IPS000221,115,Summit InventoryPolicySegment 221,1,1,2026-08-24T00:00:00.000
222,IPS000222,98,Delta InventoryPolicySegment 222,1,1,2026-08-24T00:00:00.000
223,IPS000223,200,Cedar InventoryPolicySegment 223,1,1,2026-08-24T00:00:00.000
224,IPS000224,213,Granite InventoryPolicySegment 224,1,1,2026-08-24T00:00:00.000
225,IPS000225,61,Granite InventoryPolicySegment 225,1,1,2026-08-24T00:00:00.000
226,IPS000226,44,Meridian InventoryPolicySegment 226,1,1,2026-08-24T00:00:00.000
227,IPS000227,54,Beacon InventoryPolicySegment 227,1,1,2026-08-24T00:00:00.000
228,IPS000228,235,Evergreen InventoryPolicySegment 228,1,1,2026-08-24T00:00:00.000
229,IPS000229,14,Evergreen InventoryPolicySegment 229,1,1,2026-08-24T00:00:00.000
230,IPS000230,143,Evergreen InventoryPolicySegment 230,1,1,2026-08-24T00:00:00.000
231,IPS000231,133,Riverton InventoryPolicySegment 231,1,1,2026-08-24T00:00:00.000
232,IPS000232,196,Ion InventoryPolicySegment 232,1,1,2026-08-24T00:00:00.000
233,IPS000233,143,Harbor InventoryPolicySegment 233,1,1,2026-08-24T00:00:00.000
234,IPS000234,346,Granite InventoryPolicySegment 234,1,1,2026-08-24T00:00:00.000
235,IPS000235,300,Northstar InventoryPolicySegment 235,1,1,2026-08-24T00:00:00.000
236,IPS000236,42,Cedar InventoryPolicySegment 236,1,1,2026-08-24T00:00:00.000
237,IPS000237,307,Vertex InventoryPolicySegment 237,1,1,2026-08-24T00:00:00.000
238,IPS000238,126,Harbor InventoryPolicySegment 238,1,1,2026-08-24T00:00:00.000
239,IPS000239,229,Keystone InventoryPolicySegment 239,1,1,2026-08-24T00:00:00.000
240,IPS000240,170,Keystone InventoryPolicySegment 240,1,1,2026-08-24T00:00:00.000
241,IPS000241,124,Liberty InventoryPolicySegment 241,1,1,2026-08-24T00:00:00.000
242,IPS000242,161,Cedar InventoryPolicySegment 242,1,1,2026-08-24T00:00:00.000
243,IPS000243,263,Delta InventoryPolicySegment 243,1,1,2026-08-24T00:00:00.000
244,IPS000244,94,Delta InventoryPolicySegment 244,1,1,2026-08-24T00:00:00.000
245,IPS000245,109,Cedar InventoryPolicySegment 245,1,1,2026-08-24T00:00:00.000
246,IPS000246,102,Cedar InventoryPolicySegment 246,1,1,2026-08-24T00:00:00.000
247,IPS000247,274,Granite InventoryPolicySegment 247,1,1,2026-08-24T00:00:00.000
248,IPS000248,79,Quartz InventoryPolicySegment 248,1,1,2026-08-24T00:00:00.000
249,IPS000249,12,Atlas InventoryPolicySegment 249,1,1,2026-08-24T00:00:00.000
250,IPS000250,37,Quartz InventoryPolicySegment 250,1,1,2026-08-24T00:00:00.000
251,IPS000251,246,Granite InventoryPolicySegment 251,1,1,2026-08-24T00:00:00.000
252,IPS000252,62,Vertex InventoryPolicySegment 252,1,1,2026-08-24T00:00:00.000
253,IPS000253,249,Orion InventoryPolicySegment 253,1,1,2026-08-24T00:00:00.000
254,IPS000254,46,Atlas InventoryPolicySegment 254,1,1,2026-08-24T00:00:00.000
255,IPS000255,26,Unity InventoryPolicySegment 255,1,1,2026-08-24T00:00:00.000
256,IPS000256,146,Orion InventoryPolicySegment 256,1,1,2026-08-24T00:00:00.000
257,IPS000257,29,Harbor InventoryPolicySegment 257,1,1,2026-08-24T00:00:00.000
258,IPS000258,356,Meridian InventoryPolicySegment 258,1,1,2026-08-24T00:00:00.000
259,IPS000259,89,Pioneer InventoryPolicySegment 259,1,1,2026-08-24T00:00:00.000
260,IPS000260,249,Harbor InventoryPolicySegment 260,1,1,2026-08-24T00:00:00.000
261,IPS000261,126,Meridian InventoryPolicySegment 261,1,1,2026-08-24T00:00:00.000
262,IPS000262,15,Beacon InventoryPolicySegment 262,1,1,2026-08-24T00:00:00.000
263,IPS000263,15,Liberty InventoryPolicySegment 263,1,1,2026-08-24T00:00:00.000
264,IPS000264,47,Beacon InventoryPolicySegment 264,1,1,2026-08-24T00:00:00.000
265,IPS000265,40,Quartz InventoryPolicySegment 265,1,1,2026-08-24T00:00:00.000
266,IPS000266,280,Harbor InventoryPolicySegment 266,1,1,2026-08-24T00:00:00.000
267,IPS000267,278,Vertex InventoryPolicySegment 267,1,1,2026-08-24T00:00:00.000
268,IPS000268,45,Summit InventoryPolicySegment 268,1,1,2026-08-24T00:00:00.000
269,IPS000269,331,Zenith InventoryPolicySegment 269,1,1,2026-08-24T00:00:00.000
270,IPS000270,344,Cedar InventoryPolicySegment 270,1,1,2026-08-24T00:00:00.000
271,IPS000271,168,Vertex InventoryPolicySegment 271,1,1,2026-08-24T00:00:00.000
272,IPS000272,145,Pioneer InventoryPolicySegment 272,1,1,2026-08-24T00:00:00.000
273,IPS000273,18,Evergreen InventoryPolicySegment 273,1,1,2026-08-24T00:00:00.000
274,IPS000274,45,Junction InventoryPolicySegment 274,1,1,2026-08-24T00:00:00.000
275,IPS000275,349,Evergreen InventoryPolicySegment 275,1,1,2026-08-24T00:00:00.000
276,IPS000276,69,Granite InventoryPolicySegment 276,1,1,2026-08-24T00:00:00.000
277,IPS000277,88,Keystone InventoryPolicySegment 277,1,1,2026-08-24T00:00:00.000
278,IPS000278,99,Forge InventoryPolicySegment 278,1,1,2026-08-24T00:00:00.000
279,IPS000279,31,Ion InventoryPolicySegment 279,1,1,2026-08-24T00:00:00.000
280,IPS000280,262,Pioneer InventoryPolicySegment 280,1,1,2026-08-24T00:00:00.000
281,IPS000281,28,Quartz InventoryPolicySegment 281,1,1,2026-08-24T00:00:00.000
282,IPS000282,112,Beacon InventoryPolicySegment 282,1,1,2026-08-24T00:00:00.000
283,IPS000283,250,Ion InventoryPolicySegment 283,1,1,2026-08-24T00:00:00.000
284,IPS000284,104,Vertex InventoryPolicySegment 284,1,1,2026-08-24T00:00:00.000
285,IPS000285,115,Cedar InventoryPolicySegment 285,1,1,2026-08-24T00:00:00.000
286,IPS000286,63,Beacon InventoryPolicySegment 286,1,1,2026-08-24T00:00:00.000
287,IPS000287,220,Harbor InventoryPolicySegment 287,1,1,2026-08-24T00:00:00.000
288,IPS000288,153,Summit InventoryPolicySegment 288,1,1,2026-08-24T00:00:00.000
289,IPS000289,130,Unity InventoryPolicySegment 289,1,1,2026-08-24T00:00:00.000
290,IPS000290,60,Summit InventoryPolicySegment 290,1,1,2026-08-24T00:00:00.000
291,IPS000291,68,Cedar InventoryPolicySegment 291,1,1,2026-08-24T00:00:00.000
292,IPS000292,107,Harbor InventoryPolicySegment 292,1,1,2026-08-24T00:00:00.000
293,IPS000293,251,Junction InventoryPolicySegment 293,1,1,2026-08-24T00:00:00.000
294,IPS000294,84,Delta InventoryPolicySegment 294,1,1,2026-08-24T00:00:00.000
295,IPS000295,264,Quartz InventoryPolicySegment 295,1,1,2026-08-24T00:00:00.000
296,IPS000296,172,Harbor InventoryPolicySegment 296,1,1,2026-08-24T00:00:00.000
297,IPS000297,180,Junction InventoryPolicySegment 297,1,1,2026-08-24T00:00:00.000
298,IPS000298,334,Liberty InventoryPolicySegment 298,1,1,2026-08-24T00:00:00.000
299,IPS000299,313,Keystone InventoryPolicySegment 299,1,1,2026-08-24T00:00:00.000
300,IPS000300,14,Junction InventoryPolicySegment 300,1,1,2026-08-24T00:00:00.000
301,IPS000301,185,Beacon InventoryPolicySegment 301,1,1,2026-08-24T00:00:00.000
302,IPS000302,337,Summit InventoryPolicySegment 302,1,1,2026-08-24T00:00:00.000
