MaintenanceAssetSubClassKey,MaintenanceAssetSubClassCode,MaintenanceAssetClassKey,MaintenanceAssetSubClassName,SourceSystemKey,BatchId,LoadedAtUtc
214,MASC000214,7,Quartz MaintenanceAssetSubClass 214,1,1,2026-08-24T00:00:00.000
215,MASC000215,98,Summit MaintenanceAssetSubClass 215,1,1,2026-08-24T00:00:00.000
216,MASC000216,41,Pioneer MaintenanceAssetSubClass 216,1,1,2026-08-24T00:00:00.000
217,MASC000217,58,Evergreen MaintenanceAssetSubClass 217,1,1,2026-08-24T00:00:00.000
218,MASC000218,6,Delta MaintenanceAssetSubClass 218,1,1,2026-08-24T00:00:00.000
219,MASC000219,12,Evergreen MaintenanceAssetSubClass 219,1,1,2026-08-24T00:00:00.000
220,MASC000220,49,Ion MaintenanceAssetSubClass 220,1,1,2026-08-24T00:00:00.000
221,MASC000221,77,Pioneer MaintenanceAssetSubClass 221,1,1,2026-08-24T00:00:00.000
222,MASC000222,30,Summit MaintenanceAssetSubClass 222,1,1,2026-08-24T00:00:00.000
223,MASC000223,64,Forge MaintenanceAssetSubClass 223,1,1,2026-08-24T00:00:00.000
224,MASC000224,93,Quartz MaintenanceAssetSubClass 224,1,1,2026-08-24T00:00:00.000
225,MASC000225,61,Ion MaintenanceAssetSubClass 225,1,1,2026-08-24T00:00:00.000
226,MASC000226,43,Vertex MaintenanceAssetSubClass 226,1,1,2026-08-24T00:00:00.000
227,MASC000227,95,Orion MaintenanceAssetSubClass 227,1,1,2026-08-24T00:00:00.000
228,MASC000228,25,Delta MaintenanceAssetSubClass 228,1,1,2026-08-24T00:00:00.000
229,MASC000229,35,Granite MaintenanceAssetSubClass 229,1,1,2026-08-24T00:00:00.000
230,MASC000230,43,Beacon MaintenanceAssetSubClass 230,1,1,2026-08-24T00:00:00.000
231,MASC000231,46,Beacon MaintenanceAssetSubClass 231,1,1,2026-08-24T00:00:00.000
232,MASC000232,26,Willow MaintenanceAssetSubClass 232,1,1,2026-08-24T00:00:00.000
233,MASC000233,54,Pioneer MaintenanceAssetSubClass 233,1,1,2026-08-24T00:00:00.000
234,MASC000234,94,Cedar MaintenanceAssetSubClass 234,1,1,2026-08-24T00:00:00.000
235,MASC000235,38,Meridian MaintenanceAssetSubClass 235,1,1,2026-08-24T00:00:00.000
236,MASC000236,6,Junction MaintenanceAssetSubClass 236,1,1,2026-08-24T00:00:00.000
237,MASC000237,37,Cedar MaintenanceAssetSubClass 237,1,1,2026-08-24T00:00:00.000
238,MASC000238,54,Summit MaintenanceAssetSubClass 238,1,1,2026-08-24T00:00:00.000
239,MASC000239,48,Harbor MaintenanceAssetSubClass 239,1,1,2026-08-24T00:00:00.000
240,MASC000240,45,Beacon MaintenanceAssetSubClass 240,1,1,2026-08-24T00:00:00.000
241,MASC000241,22,Meridian MaintenanceAssetSubClass 241,1,1,2026-08-24T00:00:00.000
242,MASC000242,26,Junction MaintenanceAssetSubClass 242,1,1,2026-08-24T00:00:00.000
243,MASC000243,14,Harbor MaintenanceAssetSubClass 243,1,1,2026-08-24T00:00:00.000
244,MASC000244,15,Atlas MaintenanceAssetSubClass 244,1,1,2026-08-24T00:00:00.000
245,MASC000245,73,Willow MaintenanceAssetSubClass 245,1,1,2026-08-24T00:00:00.000
246,MASC000246,21,Keystone MaintenanceAssetSubClass 246,1,1,2026-08-24T00:00:00.000
247,MASC000247,92,Harbor MaintenanceAssetSubClass 247,1,1,2026-08-24T00:00:00.000
248,MASC000248,95,Vertex MaintenanceAssetSubClass 248,1,1,2026-08-24T00:00:00.000
249,MASC000249,83,Titan MaintenanceAssetSubClass 249,1,1,2026-08-24T00:00:00.000
250,MASC000250,41,Beacon MaintenanceAssetSubClass 250,1,1,2026-08-24T00:00:00.000
251,MASC000251,95,Riverton MaintenanceAssetSubClass 251,1,1,2026-08-24T00:00:00.000
252,MASC000252,20,Summit MaintenanceAssetSubClass 252,1,1,2026-08-24T00:00:00.000
253,MASC000253,40,Liberty MaintenanceAssetSubClass 253,1,1,2026-08-24T00:00:00.000
254,MASC000254,52,Pioneer MaintenanceAssetSubClass 254,1,1,2026-08-24T00:00:00.000
255,MASC000255,84,Granite MaintenanceAssetSubClass 255,1,1,2026-08-24T00:00:00.000
256,MASC000256,85,Vertex MaintenanceAssetSubClass 256,1,1,2026-08-24T00:00:00.000
257,MASC000257,28,Willow MaintenanceAssetSubClass 257,1,1,2026-08-24T00:00:00.000
258,MASC000258,85,Quartz MaintenanceAssetSubClass 258,1,1,2026-08-24T00:00:00.000
259,MASC000259,29,Meridian MaintenanceAssetSubClass 259,1,1,2026-08-24T00:00:00.000
260,MASC000260,23,Forge MaintenanceAssetSubClass 260,1,1,2026-08-24T00:00:00.000
261,MASC000261,48,Junction MaintenanceAssetSubClass 261,1,1,2026-08-24T00:00:00.000
262,MASC000262,25,Northstar MaintenanceAssetSubClass 262,1,1,2026-08-24T00:00:00.000
263,MASC000263,2,Beacon MaintenanceAssetSubClass 263,1,1,2026-08-24T00:00:00.000
264,MASC000264,29,Meridian MaintenanceAssetSubClass 264,1,1,2026-08-24T00:00:00.000
265,MASC000265,69,Northstar MaintenanceAssetSubClass 265,1,1,2026-08-24T00:00:00.000
266,MASC000266,4,Meridian MaintenanceAssetSubClass 266,1,1,2026-08-24T00:00:00.000
267,MASC000267,66,Keystone MaintenanceAssetSubClass 267,1,1,2026-08-24T00:00:00.000
268,MASC000268,13,Riverton MaintenanceAssetSubClass 268,1,1,2026-08-24T00:00:00.000
269,MASC000269,43,Ion MaintenanceAssetSubClass 269,1,1,2026-08-24T00:00:00.000
270,MASC000270,2,Willow MaintenanceAssetSubClass 270,1,1,2026-08-24T00:00:00.000
271,MASC000271,60,Delta MaintenanceAssetSubClass 271,1,1,2026-08-24T00:00:00.000
272,MASC000272,33,Evergreen MaintenanceAssetSubClass 272,1,1,2026-08-24T00:00:00.000
273,MASC000273,38,Summit MaintenanceAssetSubClass 273,1,1,2026-08-24T00:00:00.000
274,MASC000274,77,Orion MaintenanceAssetSubClass 274,1,1,2026-08-24T00:00:00.000
275,MASC000275,77,Keystone MaintenanceAssetSubClass 275,1,1,2026-08-24T00:00:00.000
276,MASC000276,51,Vertex MaintenanceAssetSubClass 276,1,1,2026-08-24T00:00:00.000
277,MASC000277,11,Junction MaintenanceAssetSubClass 277,1,1,2026-08-24T00:00:00.000
278,MASC000278,23,Evergreen MaintenanceAssetSubClass 278,1,1,2026-08-24T00:00:00.000
279,MASC000279,38,Riverton MaintenanceAssetSubClass 279,1,1,2026-08-24T00:00:00.000
280,MASC000280,74,Evergreen MaintenanceAssetSubClass 280,1,1,2026-08-24T00:00:00.000
281,MASC000281,89,Willow MaintenanceAssetSubClass 281,1,1,2026-08-24T00:00:00.000
282,MASC000282,78,Northstar MaintenanceAssetSubClass 282,1,1,2026-08-24T00:00:00.000
283,MASC000283,14,Summit MaintenanceAssetSubClass 283,1,1,2026-08-24T00:00:00.000
