QualityLabCellKey,QualityLabCellCode,QualityLabGroupKey,QualityLabCellName,SourceSystemKey,BatchId,LoadedAtUtc
94,QLC000094,76,Delta QualityLabCell 94,1,1,2026-08-24T00:00:00.000
95,QLC000095,71,Northstar QualityLabCell 95,1,1,2026-08-24T00:00:00.000
96,QLC000096,55,Quartz QualityLabCell 96,1,1,2026-08-24T00:00:00.000
97,QLC000097,41,Zenith QualityLabCell 97,1,1,2026-08-24T00:00:00.000
98,QLC000098,11,Riverton QualityLabCell 98,1,1,2026-08-24T00:00:00.000
99,QLC000099,110,Liberty QualityLabCell 99,1,1,2026-08-24T00:00:00.000
100,QLC000100,133,Vertex QualityLabCell 100,1,1,2026-08-24T00:00:00.000
101,QLC000101,39,Vertex QualityLabCell 101,1,1,2026-08-24T00:00:00.000
102,QLC000102,13,Pioneer QualityLabCell 102,1,1,2026-08-24T00:00:00.000
103,QLC000103,70,Zenith QualityLabCell 103,1,1,2026-08-24T00:00:00.000
104,QLC000104,61,Junction QualityLabCell 104,1,1,2026-08-24T00:00:00.000
105,QLC000105,103,Willow QualityLabCell 105,1,1,2026-08-24T00:00:00.000
106,QLC000106,157,Liberty QualityLabCell 106,1,1,2026-08-24T00:00:00.000
107,QLC000107,141,Orion QualityLabCell 107,1,1,2026-08-24T00:00:00.000
108,QLC000108,116,Cedar QualityLabCell 108,1,1,2026-08-24T00:00:00.000
109,QLC000109,91,Titan QualityLabCell 109,1,1,2026-08-24T00:00:00.000
110,QLC000110,112,Quartz QualityLabCell 110,1,1,2026-08-24T00:00:00.000
111,QLC000111,99,Summit QualityLabCell 111,1,1,2026-08-24T00:00:00.000
112,QLC000112,60,Zenith QualityLabCell 112,1,1,2026-08-24T00:00:00.000
113,QLC000113,2,Forge QualityLabCell 113,1,1,2026-08-24T00:00:00.000
114,QLC000114,73,Atlas QualityLabCell 114,1,1,2026-08-24T00:00:00.000
115,QLC000115,102,Quartz QualityLabCell 115,1,1,2026-08-24T00:00:00.000
116,QLC000116,145,Delta QualityLabCell 116,1,1,2026-08-24T00:00:00.000
117,QLC000117,48,Pioneer QualityLabCell 117,1,1,2026-08-24T00:00:00.000
118,QLC000118,115,Titan QualityLabCell 118,1,1,2026-08-24T00:00:00.000
119,QLC000119,51,Meridian QualityLabCell 119,1,1,2026-08-24T00:00:00.000
120,QLC000120,40,Orion QualityLabCell 120,1,1,2026-08-24T00:00:00.000
121,QLC000121,44,Delta QualityLabCell 121,1,1,2026-08-24T00:00:00.000
122,QLC000122,43,Summit QualityLabCell 122,1,1,2026-08-24T00:00:00.000
123,QLC000123,53,Forge QualityLabCell 123,1,1,2026-08-24T00:00:00.000
124,QLC000124,95,Delta QualityLabCell 124,1,1,2026-08-24T00:00:00.000
125,QLC000125,148,Cedar QualityLabCell 125,1,1,2026-08-24T00:00:00.000
126,QLC000126,152,Harbor QualityLabCell 126,1,1,2026-08-24T00:00:00.000
127,QLC000127,72,Junction QualityLabCell 127,1,1,2026-08-24T00:00:00.000
128,QLC000128,96,Unity QualityLabCell 128,1,1,2026-08-24T00:00:00.000
129,QLC000129,54,Keystone QualityLabCell 129,1,1,2026-08-24T00:00:00.000
130,QLC000130,82,Willow QualityLabCell 130,1,1,2026-08-24T00:00:00.000
131,QLC000131,96,Northstar QualityLabCell 131,1,1,2026-08-24T00:00:00.000
132,QLC000132,133,Beacon QualityLabCell 132,1,1,2026-08-24T00:00:00.000
133,QLC000133,7,Liberty QualityLabCell 133,1,1,2026-08-24T00:00:00.000
134,QLC000134,139,Liberty QualityLabCell 134,1,1,2026-08-24T00:00:00.000
135,QLC000135,53,Northstar QualityLabCell 135,1,1,2026-08-24T00:00:00.000
136,QLC000136,29,Vertex QualityLabCell 136,1,1,2026-08-24T00:00:00.000
137,QLC000137,61,Zenith QualityLabCell 137,1,1,2026-08-24T00:00:00.000
138,QLC000138,37,Harbor QualityLabCell 138,1,1,2026-08-24T00:00:00.000
139,QLC000139,158,Atlas QualityLabCell 139,1,1,2026-08-24T00:00:00.000
140,QLC000140,155,Atlas QualityLabCell 140,1,1,2026-08-24T00:00:00.000
141,QLC000141,85,Granite QualityLabCell 141,1,1,2026-08-24T00:00:00.000
142,QLC000142,45,Junction QualityLabCell 142,1,1,2026-08-24T00:00:00.000
143,QLC000143,157,Pioneer QualityLabCell 143,1,1,2026-08-24T00:00:00.000
144,QLC000144,78,Ion QualityLabCell 144,1,1,2026-08-24T00:00:00.000
145,QLC000145,26,Junction QualityLabCell 145,1,1,2026-08-24T00:00:00.000
146,QLC000146,61,Unity QualityLabCell 146,1,1,2026-08-24T00:00:00.000
147,QLC000147,91,Meridian QualityLabCell 147,1,1,2026-08-24T00:00:00.000
148,QLC000148,151,Liberty QualityLabCell 148,1,1,2026-08-24T00:00:00.000
149,QLC000149,21,Willow QualityLabCell 149,1,1,2026-08-24T00:00:00.000
150,QLC000150,143,Delta QualityLabCell 150,1,1,2026-08-24T00:00:00.000
151,QLC000151,88,Beacon QualityLabCell 151,1,1,2026-08-24T00:00:00.000
152,QLC000152,130,Titan QualityLabCell 152,1,1,2026-08-24T00:00:00.000
153,QLC000153,55,Delta QualityLabCell 153,1,1,2026-08-24T00:00:00.000
154,QLC000154,138,Quartz QualityLabCell 154,1,1,2026-08-24T00:00:00.000
155,QLC000155,66,Unity QualityLabCell 155,1,1,2026-08-24T00:00:00.000
156,QLC000156,134,Northstar QualityLabCell 156,1,1,2026-08-24T00:00:00.000
157,QLC000157,53,Northstar QualityLabCell 157,1,1,2026-08-24T00:00:00.000
158,QLC000158,17,Beacon QualityLabCell 158,1,1,2026-08-24T00:00:00.000
159,QLC000159,37,Pioneer QualityLabCell 159,1,1,2026-08-24T00:00:00.000
160,QLC000160,35,Junction QualityLabCell 160,1,1,2026-08-24T00:00:00.000
161,QLC000161,80,Delta QualityLabCell 161,1,1,2026-08-24T00:00:00.000
162,QLC000162,32,Pioneer QualityLabCell 162,1,1,2026-08-24T00:00:00.000
163,QLC000163,15,Granite QualityLabCell 163,1,1,2026-08-24T00:00:00.000
164,QLC000164,123,Forge QualityLabCell 164,1,1,2026-08-24T00:00:00.000
165,QLC000165,153,Orion QualityLabCell 165,1,1,2026-08-24T00:00:00.000
166,QLC000166,124,Forge QualityLabCell 166,1,1,2026-08-24T00:00:00.000
167,QLC000167,66,Zenith QualityLabCell 167,1,1,2026-08-24T00:00:00.000
168,QLC000168,10,Vertex QualityLabCell 168,1,1,2026-08-24T00:00:00.000
169,QLC000169,3,Pioneer QualityLabCell 169,1,1,2026-08-24T00:00:00.000
170,QLC000170,73,Forge QualityLabCell 170,1,1,2026-08-24T00:00:00.000
171,QLC000171,114,Meridian QualityLabCell 171,1,1,2026-08-24T00:00:00.000
172,QLC000172,4,Ion QualityLabCell 172,1,1,2026-08-24T00:00:00.000
173,QLC000173,107,Beacon QualityLabCell 173,1,1,2026-08-24T00:00:00.000
174,QLC000174,92,Atlas QualityLabCell 174,1,1,2026-08-24T00:00:00.000
175,QLC000175,100,Ion QualityLabCell 175,1,1,2026-08-24T00:00:00.000
176,QLC000176,35,Ion QualityLabCell 176,1,1,2026-08-24T00:00:00.000
177,QLC000177,81,Forge QualityLabCell 177,1,1,2026-08-24T00:00:00.000
178,QLC000178,76,Unity QualityLabCell 178,1,1,2026-08-24T00:00:00.000
179,QLC000179,30,Titan QualityLabCell 179,1,1,2026-08-24T00:00:00.000
180,QLC000180,22,Meridian QualityLabCell 180,1,1,2026-08-24T00:00:00.000
181,QLC000181,40,Ion QualityLabCell 181,1,1,2026-08-24T00:00:00.000
182,QLC000182,130,Beacon QualityLabCell 182,1,1,2026-08-24T00:00:00.000
183,QLC000183,156,Summit QualityLabCell 183,1,1,2026-08-24T00:00:00.000
184,QLC000184,127,Pioneer QualityLabCell 184,1,1,2026-08-24T00:00:00.000
185,QLC000185,145,Liberty QualityLabCell 185,1,1,2026-08-24T00:00:00.000
186,QLC000186,38,Delta QualityLabCell 186,1,1,2026-08-24T00:00:00.000
187,QLC000187,131,Pioneer QualityLabCell 187,1,1,2026-08-24T00:00:00.000
188,QLC000188,27,Beacon QualityLabCell 188,1,1,2026-08-24T00:00:00.000
189,QLC000189,89,Pioneer QualityLabCell 189,1,1,2026-08-24T00:00:00.000
190,QLC000190,103,Harbor QualityLabCell 190,1,1,2026-08-24T00:00:00.000
191,QLC000191,91,Unity QualityLabCell 191,1,1,2026-08-24T00:00:00.000
192,QLC000192,159,Atlas QualityLabCell 192,1,1,2026-08-24T00:00:00.000
193,QLC000193,157,Granite QualityLabCell 193,1,1,2026-08-24T00:00:00.000
194,QLC000194,36,Beacon QualityLabCell 194,1,1,2026-08-24T00:00:00.000
195,QLC000195,87,Meridian QualityLabCell 195,1,1,2026-08-24T00:00:00.000
196,QLC000196,30,Quartz QualityLabCell 196,1,1,2026-08-24T00:00:00.000
197,QLC000197,41,Atlas QualityLabCell 197,1,1,2026-08-24T00:00:00.000
198,QLC000198,67,Pioneer QualityLabCell 198,1,1,2026-08-24T00:00:00.000
199,QLC000199,143,Summit QualityLabCell 199,1,1,2026-08-24T00:00:00.000
200,QLC000200,57,Harbor QualityLabCell 200,1,1,2026-08-24T00:00:00.000
201,QLC000201,159,Titan QualityLabCell 201,1,1,2026-08-24T00:00:00.000
202,QLC000202,43,Titan QualityLabCell 202,1,1,2026-08-24T00:00:00.000
203,QLC000203,82,Quartz QualityLabCell 203,1,1,2026-08-24T00:00:00.000
204,QLC000204,99,Atlas QualityLabCell 204,1,1,2026-08-24T00:00:00.000
205,QLC000205,74,Ion QualityLabCell 205,1,1,2026-08-24T00:00:00.000
206,QLC000206,137,Pioneer QualityLabCell 206,1,1,2026-08-24T00:00:00.000
207,QLC000207,12,Northstar QualityLabCell 207,1,1,2026-08-24T00:00:00.000
208,QLC000208,114,Zenith QualityLabCell 208,1,1,2026-08-24T00:00:00.000
209,QLC000209,31,Evergreen QualityLabCell 209,1,1,2026-08-24T00:00:00.000
210,QLC000210,77,Harbor QualityLabCell 210,1,1,2026-08-24T00:00:00.000
211,QLC000211,136,Zenith QualityLabCell 211,1,1,2026-08-24T00:00:00.000
212,QLC000212,160,Delta QualityLabCell 212,1,1,2026-08-24T00:00:00.000
213,QLC000213,122,Unity QualityLabCell 213,1,1,2026-08-24T00:00:00.000
214,QLC000214,107,Riverton QualityLabCell 214,1,1,2026-08-24T00:00:00.000
215,QLC000215,9,Atlas QualityLabCell 215,1,1,2026-08-24T00:00:00.000
216,QLC000216,108,Vertex QualityLabCell 216,1,1,2026-08-24T00:00:00.000
217,QLC000217,52,Zenith QualityLabCell 217,1,1,2026-08-24T00:00:00.000
218,QLC000218,11,Quartz QualityLabCell 218,1,1,2026-08-24T00:00:00.000
219,QLC000219,140,Titan QualityLabCell 219,1,1,2026-08-24T00:00:00.000
220,QLC000220,30,Northstar QualityLabCell 220,1,1,2026-08-24T00:00:00.000
221,QLC000221,130,Forge QualityLabCell 221,1,1,2026-08-24T00:00:00.000
222,QLC000222,80,Liberty QualityLabCell 222,1,1,2026-08-24T00:00:00.000
223,QLC000223,46,Granite QualityLabCell 223,1,1,2026-08-24T00:00:00.000
224,QLC000224,81,Delta QualityLabCell 224,1,1,2026-08-24T00:00:00.000
225,QLC000225,158,Quartz QualityLabCell 225,1,1,2026-08-24T00:00:00.000
226,QLC000226,109,Junction QualityLabCell 226,1,1,2026-08-24T00:00:00.000
227,QLC000227,4,Junction QualityLabCell 227,1,1,2026-08-24T00:00:00.000
228,QLC000228,15,Beacon QualityLabCell 228,1,1,2026-08-24T00:00:00.000
229,QLC000229,127,Zenith QualityLabCell 229,1,1,2026-08-24T00:00:00.000
230,QLC000230,30,Meridian QualityLabCell 230,1,1,2026-08-24T00:00:00.000
231,QLC000231,115,Titan QualityLabCell 231,1,1,2026-08-24T00:00:00.000
232,QLC000232,8,Atlas QualityLabCell 232,1,1,2026-08-24T00:00:00.000
233,QLC000233,157,Quartz QualityLabCell 233,1,1,2026-08-24T00:00:00.000
234,QLC000234,81,Harbor QualityLabCell 234,1,1,2026-08-24T00:00:00.000
235,QLC000235,27,Pioneer QualityLabCell 235,1,1,2026-08-24T00:00:00.000
236,QLC000236,83,Harbor QualityLabCell 236,1,1,2026-08-24T00:00:00.000
237,QLC000237,80,Titan QualityLabCell 237,1,1,2026-08-24T00:00:00.000
238,QLC000238,136,Northstar QualityLabCell 238,1,1,2026-08-24T00:00:00.000
239,QLC000239,106,Riverton QualityLabCell 239,1,1,2026-08-24T00:00:00.000
240,QLC000240,39,Quartz QualityLabCell 240,1,1,2026-08-24T00:00:00.000
241,QLC000241,116,Quartz QualityLabCell 241,1,1,2026-08-24T00:00:00.000
242,QLC000242,89,Evergreen QualityLabCell 242,1,1,2026-08-24T00:00:00.000
243,QLC000243,38,Zenith QualityLabCell 243,1,1,2026-08-24T00:00:00.000
244,QLC000244,28,Delta QualityLabCell 244,1,1,2026-08-24T00:00:00.000
245,QLC000245,47,Cedar QualityLabCell 245,1,1,2026-08-24T00:00:00.000
246,QLC000246,31,Vertex QualityLabCell 246,1,1,2026-08-24T00:00:00.000
247,QLC000247,139,Titan QualityLabCell 247,1,1,2026-08-24T00:00:00.000
248,QLC000248,21,Junction QualityLabCell 248,1,1,2026-08-24T00:00:00.000
249,QLC000249,37,Willow QualityLabCell 249,1,1,2026-08-24T00:00:00.000
250,QLC000250,39,Riverton QualityLabCell 250,1,1,2026-08-24T00:00:00.000
251,QLC000251,128,Orion QualityLabCell 251,1,1,2026-08-24T00:00:00.000
252,QLC000252,74,Zenith QualityLabCell 252,1,1,2026-08-24T00:00:00.000
253,QLC000253,62,Beacon QualityLabCell 253,1,1,2026-08-24T00:00:00.000
254,QLC000254,2,Meridian QualityLabCell 254,1,1,2026-08-24T00:00:00.000
255,QLC000255,128,Granite QualityLabCell 255,1,1,2026-08-24T00:00:00.000
256,QLC000256,62,Zenith QualityLabCell 256,1,1,2026-08-24T00:00:00.000
257,QLC000257,142,Ion QualityLabCell 257,1,1,2026-08-24T00:00:00.000
258,QLC000258,8,Cedar QualityLabCell 258,1,1,2026-08-24T00:00:00.000
259,QLC000259,101,Keystone QualityLabCell 259,1,1,2026-08-24T00:00:00.000
260,QLC000260,80,Keystone QualityLabCell 260,1,1,2026-08-24T00:00:00.000
261,QLC000261,140,Summit QualityLabCell 261,1,1,2026-08-24T00:00:00.000
262,QLC000262,103,Evergreen QualityLabCell 262,1,1,2026-08-24T00:00:00.000
263,QLC000263,148,Vertex QualityLabCell 263,1,1,2026-08-24T00:00:00.000
264,QLC000264,31,Keystone QualityLabCell 264,1,1,2026-08-24T00:00:00.000
265,QLC000265,75,Liberty QualityLabCell 265,1,1,2026-08-24T00:00:00.000
266,QLC000266,118,Beacon QualityLabCell 266,1,1,2026-08-24T00:00:00.000
267,QLC000267,130,Beacon QualityLabCell 267,1,1,2026-08-24T00:00:00.000
268,QLC000268,149,Quartz QualityLabCell 268,1,1,2026-08-24T00:00:00.000
269,QLC000269,140,Riverton QualityLabCell 269,1,1,2026-08-24T00:00:00.000
270,QLC000270,9,Junction QualityLabCell 270,1,1,2026-08-24T00:00:00.000
271,QLC000271,21,Northstar QualityLabCell 271,1,1,2026-08-24T00:00:00.000
272,QLC000272,127,Junction QualityLabCell 272,1,1,2026-08-24T00:00:00.000
273,QLC000273,9,Titan QualityLabCell 273,1,1,2026-08-24T00:00:00.000
274,QLC000274,107,Forge QualityLabCell 274,1,1,2026-08-24T00:00:00.000
275,QLC000275,26,Delta QualityLabCell 275,1,1,2026-08-24T00:00:00.000
276,QLC000276,94,Pioneer QualityLabCell 276,1,1,2026-08-24T00:00:00.000
277,QLC000277,75,Granite QualityLabCell 277,1,1,2026-08-24T00:00:00.000
278,QLC000278,68,Ion QualityLabCell 278,1,1,2026-08-24T00:00:00.000
279,QLC000279,139,Meridian QualityLabCell 279,1,1,2026-08-24T00:00:00.000
280,QLC000280,47,Willow QualityLabCell 280,1,1,2026-08-24T00:00:00.000
281,QLC000281,13,Meridian QualityLabCell 281,1,1,2026-08-24T00:00:00.000
282,QLC000282,41,Atlas QualityLabCell 282,1,1,2026-08-24T00:00:00.000
283,QLC000283,70,Riverton QualityLabCell 283,1,1,2026-08-24T00:00:00.000
284,QLC000284,116,Harbor QualityLabCell 284,1,1,2026-08-24T00:00:00.000
285,QLC000285,142,Delta QualityLabCell 285,1,1,2026-08-24T00:00:00.000
286,QLC000286,11,Riverton QualityLabCell 286,1,1,2026-08-24T00:00:00.000
287,QLC000287,61,Delta QualityLabCell 287,1,1,2026-08-24T00:00:00.000
288,QLC000288,93,Delta QualityLabCell 288,1,1,2026-08-24T00:00:00.000
289,QLC000289,72,Pioneer QualityLabCell 289,1,1,2026-08-24T00:00:00.000
290,QLC000290,139,Atlas QualityLabCell 290,1,1,2026-08-24T00:00:00.000
291,QLC000291,151,Evergreen QualityLabCell 291,1,1,2026-08-24T00:00:00.000
292,QLC000292,64,Delta QualityLabCell 292,1,1,2026-08-24T00:00:00.000
293,QLC000293,156,Ion QualityLabCell 293,1,1,2026-08-24T00:00:00.000
294,QLC000294,114,Meridian QualityLabCell 294,1,1,2026-08-24T00:00:00.000
295,QLC000295,156,Summit QualityLabCell 295,1,1,2026-08-24T00:00:00.000
296,QLC000296,149,Orion QualityLabCell 296,1,1,2026-08-24T00:00:00.000
297,QLC000297,16,Keystone QualityLabCell 297,1,1,2026-08-24T00:00:00.000
298,QLC000298,28,Evergreen QualityLabCell 298,1,1,2026-08-24T00:00:00.000
299,QLC000299,158,Pioneer QualityLabCell 299,1,1,2026-08-24T00:00:00.000
300,QLC000300,62,Harbor QualityLabCell 300,1,1,2026-08-24T00:00:00.000
301,QLC000301,96,Beacon QualityLabCell 301,1,1,2026-08-24T00:00:00.000
302,QLC000302,111,Cedar QualityLabCell 302,1,1,2026-08-24T00:00:00.000
303,QLC000303,23,Junction QualityLabCell 303,1,1,2026-08-24T00:00:00.000
304,QLC000304,45,Northstar QualityLabCell 304,1,1,2026-08-24T00:00:00.000
305,QLC000305,73,Junction QualityLabCell 305,1,1,2026-08-24T00:00:00.000
306,QLC000306,12,Riverton QualityLabCell 306,1,1,2026-08-24T00:00:00.000
307,QLC000307,14,Delta QualityLabCell 307,1,1,2026-08-24T00:00:00.000
308,QLC000308,84,Pioneer QualityLabCell 308,1,1,2026-08-24T00:00:00.000
309,QLC000309,23,Titan QualityLabCell 309,1,1,2026-08-24T00:00:00.000
310,QLC000310,115,Liberty QualityLabCell 310,1,1,2026-08-24T00:00:00.000
311,QLC000311,26,Keystone QualityLabCell 311,1,1,2026-08-24T00:00:00.000
312,QLC000312,19,Keystone QualityLabCell 312,1,1,2026-08-24T00:00:00.000
313,QLC000313,17,Orion QualityLabCell 313,1,1,2026-08-24T00:00:00.000
314,QLC000314,133,Orion QualityLabCell 314,1,1,2026-08-24T00:00:00.000
315,QLC000315,27,Junction QualityLabCell 315,1,1,2026-08-24T00:00:00.000
316,QLC000316,129,Riverton QualityLabCell 316,1,1,2026-08-24T00:00:00.000
317,QLC000317,32,Granite QualityLabCell 317,1,1,2026-08-24T00:00:00.000
318,QLC000318,56,Vertex QualityLabCell 318,1,1,2026-08-24T00:00:00.000
319,QLC000319,13,Liberty QualityLabCell 319,1,1,2026-08-24T00:00:00.000
320,QLC000320,121,Harbor QualityLabCell 320,1,1,2026-08-24T00:00:00.000
321,QLC000321,56,Northstar QualityLabCell 321,1,1,2026-08-24T00:00:00.000
322,QLC000322,123,Beacon QualityLabCell 322,1,1,2026-08-24T00:00:00.000
323,QLC000323,9,Evergreen QualityLabCell 323,1,1,2026-08-24T00:00:00.000
324,QLC000324,87,Harbor QualityLabCell 324,1,1,2026-08-24T00:00:00.000
