MachineChangeoverKey,ChangeoverCode,MachineKey,FromProductKey,ToProductKey,OeeCalculationMethodKey,MachineChangeoverName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,MC000010,394,249,38,11,Forge MachineChangeover 10,MC000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bdf6c7407a2552280fe68e1f4c2d3bd8bdf6c7407a2552280fe68e1f4c2d3bd
11,MC000011,430,454,181,9,Keystone MachineChangeover 11,MC000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,355cca5fd7645767bc1057ce962529fe355cca5fd7645767bc1057ce962529fe
12,MC000012,43,332,334,1,Unity MachineChangeover 12,MC000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9ad78721e405bef9cf064638feb743ea9ad78721e405bef9cf064638feb743e
13,MC000013,366,447,101,8,Willow MachineChangeover 13,MC000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1f136a3ecdf5979b652335a728f362ea1f136a3ecdf5979b652335a728f362e
14,MC000014,210,125,431,2,Evergreen MachineChangeover 14,MC000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e49474dff7858f1b061fa3da3851a372e49474dff7858f1b061fa3da3851a37
15,MC000015,198,139,466,8,Orion MachineChangeover 15,MC000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,225066155a635067b141f24ee7c0eba3225066155a635067b141f24ee7c0eba3
16,MC000016,456,489,474,8,Evergreen MachineChangeover 16,MC000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc7e582e5040596192a17beb664eda1ccc7e582e5040596192a17beb664eda1c
17,MC000017,270,-1,-1,3,Zenith MachineChangeover 17,MC000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cff69337363f5a208dc3d99a97095a9acff69337363f5a208dc3d99a97095a9a
18,MC000018,166,480,120,3,Harbor MachineChangeover 18,MC000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fae26a7871a56f195cc1e16fd43da523fae26a7871a56f195cc1e16fd43da52
19,MC000019,131,45,426,11,Meridian MachineChangeover 19,MC000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,778a81e1dcf7587180ad991c3c58f907778a81e1dcf7587180ad991c3c58f907
20,MC000020,45,47,281,8,Northstar MachineChangeover 20,MC000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a01ae58291015b828029dab78526ef11a01ae58291015b828029dab78526ef11
21,MC000021,183,225,218,2,Riverton MachineChangeover 21,MC000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8af589659f65dcbb316d8095f11475be8af589659f65dcbb316d8095f11475b
22,MC000022,409,161,149,1,Zenith MachineChangeover 22,MC000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2449729eaf40599ab1161364fc6b4a4a2449729eaf40599ab1161364fc6b4a4a
23,MC000023,240,232,271,10,Harbor MachineChangeover 23,MC000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88bbe718014f5c4c91cc0f4a005a146b88bbe718014f5c4c91cc0f4a005a146b
24,MC000024,454,281,23,10,Evergreen MachineChangeover 24,MC000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cb5f721d127590d9f4e2967d9f30f046cb5f721d127590d9f4e2967d9f30f04
25,MC000025,365,98,300,1,Summit MachineChangeover 25,MC000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0a41e0a06d051ab8f480cee0e099690c0a41e0a06d051ab8f480cee0e099690
26,MC000026,398,479,31,9,Northstar MachineChangeover 26,MC000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,732a5f4227485381903b7fa0051def33732a5f4227485381903b7fa0051def33
27,MC000027,55,10,125,10,Zenith MachineChangeover 27,MC000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff7c366ddec855448536ca96251235faff7c366ddec855448536ca96251235fa
28,MC000028,221,60,242,8,Ion MachineChangeover 28,MC000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,138bfa491e8d58a4b26c0a84626e62dc138bfa491e8d58a4b26c0a84626e62dc
29,MC000029,135,391,318,6,Pioneer MachineChangeover 29,MC000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,949843aa84c352628545c379e4b335e2949843aa84c352628545c379e4b335e2
30,MC000030,282,159,183,10,Riverton MachineChangeover 30,MC000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1a31eebedee58ff89f21792fe917f7ed1a31eebedee58ff89f21792fe917f7e
31,MC000031,186,453,275,2,Pioneer MachineChangeover 31,MC000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adf8931bb5c65d4d90b97e30c2481d77adf8931bb5c65d4d90b97e30c2481d77
32,MC000032,219,147,146,4,Cedar MachineChangeover 32,MC000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,113945c204be58d29669b5c4f09985fe113945c204be58d29669b5c4f09985fe
33,MC000033,230,134,38,1,Meridian MachineChangeover 33,MC000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53848a190b3d543181c1e843eef71aa153848a190b3d543181c1e843eef71aa1
34,MC000034,361,-1,-1,3,Liberty MachineChangeover 34,MC000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,734291dc8dc4569d8a26f656c65b6195734291dc8dc4569d8a26f656c65b6195
35,MC000035,105,184,345,10,Harbor MachineChangeover 35,MC000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,33cf33ddf91a5774ab498a28f53b545633cf33ddf91a5774ab498a28f53b5456
36,MC000036,97,486,405,8,Vertex MachineChangeover 36,MC000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bcbda1adc06755b4962ecd5164ee2d5ebcbda1adc06755b4962ecd5164ee2d5e
37,MC000037,120,430,334,3,Titan MachineChangeover 37,MC000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffe4591248ab5041b887b68748ac01c2ffe4591248ab5041b887b68748ac01c2
38,MC000038,468,77,302,12,Unity MachineChangeover 38,MC000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f00405cdef41523fb20b4e8913971d16f00405cdef41523fb20b4e8913971d16
39,MC000039,341,244,13,9,Orion MachineChangeover 39,MC000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b965cecd14b52eabe7280aa733aeb746b965cecd14b52eabe7280aa733aeb74
40,MC000040,457,19,398,7,Harbor MachineChangeover 40,MC000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be9d5fd99af25b94a63223cd9972b4e4be9d5fd99af25b94a63223cd9972b4e4
41,MC000041,32,99,257,9,Northstar MachineChangeover 41,MC000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cdea902a3dd592cbfbd4db83dd2b7323cdea902a3dd592cbfbd4db83dd2b732
42,MC000042,102,255,276,4,Unity MachineChangeover 42,MC000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c57cce4558495ee1911f8e7e73a5fb5dc57cce4558495ee1911f8e7e73a5fb5d
43,MC000043,492,280,354,10,Liberty MachineChangeover 43,MC000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ea874219e225f4584159e996181d42f4ea874219e225f4584159e996181d42f
44,MC000044,255,232,283,2,Zenith MachineChangeover 44,MC000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96a096642bd15b36a9d59ea893a95a5f96a096642bd15b36a9d59ea893a95a5f
45,MC000045,454,327,395,1,Liberty MachineChangeover 45,MC000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,557757f5099e5c5b81bc0c245678debc557757f5099e5c5b81bc0c245678debc
46,MC000046,138,475,302,9,Delta MachineChangeover 46,MC000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c02e6e08b435006a7b1941e117ac87f1c02e6e08b435006a7b1941e117ac87f
47,MC000047,259,126,86,5,Zenith MachineChangeover 47,MC000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,322cb108997150c0b4d5856a3a1a4a0c322cb108997150c0b4d5856a3a1a4a0c
48,MC000048,402,227,252,12,Delta MachineChangeover 48,MC000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afb51ef304d7580984172c1fcce8b6a8afb51ef304d7580984172c1fcce8b6a8
49,MC000049,456,401,369,5,Summit MachineChangeover 49,MC000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3627c3723d3b570fa784657615cdd05e3627c3723d3b570fa784657615cdd05e
50,MC000050,140,170,468,12,Pioneer MachineChangeover 50,MC000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,280134e63f00571caf2ae46136e0e709280134e63f00571caf2ae46136e0e709
51,MC000051,305,-1,-1,6,Willow MachineChangeover 51,MC000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,916453c8f9405bd2bcc793177bdd69a4916453c8f9405bd2bcc793177bdd69a4
52,MC000052,439,141,307,4,Orion MachineChangeover 52,MC000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ed8847be0095f5892fada5013a36b832ed8847be0095f5892fada5013a36b83
53,MC000053,456,136,134,5,Quartz MachineChangeover 53,MC000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,264868a179a2541c9cfe5d1c10aa1520264868a179a2541c9cfe5d1c10aa1520
54,MC000054,357,372,82,10,Atlas MachineChangeover 54,MC000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a561300def2155429db58fc4b97eefb9a561300def2155429db58fc4b97eefb9
55,MC000055,401,194,307,2,Liberty MachineChangeover 55,MC000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,625aa3ebb6d755da9a9da3e0abde5dba625aa3ebb6d755da9a9da3e0abde5dba
56,MC000056,55,11,138,5,Delta MachineChangeover 56,MC000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,061820fcc56959a5ae1d5210b5c35189061820fcc56959a5ae1d5210b5c35189
57,MC000057,71,192,332,2,Orion MachineChangeover 57,MC000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74c73be657fe5a509ac617693d40d47074c73be657fe5a509ac617693d40d470
58,MC000058,196,99,293,12,Beacon MachineChangeover 58,MC000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bc9b105f51e5851a5c98e5c33b901419bc9b105f51e5851a5c98e5c33b90141
59,MC000059,135,65,446,1,Riverton MachineChangeover 59,MC000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce6dba5db7755936a8aa95780566385ece6dba5db7755936a8aa95780566385e
60,MC000060,226,156,420,9,Junction MachineChangeover 60,MC000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51e48d3858505fea916511266a3e109751e48d3858505fea916511266a3e1097
61,MC000061,248,360,54,6,Granite MachineChangeover 61,MC000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4dca6e9f5f85b54b3453d50e1ac2905d4dca6e9f5f85b54b3453d50e1ac2905
62,MC000062,8,297,216,4,Zenith MachineChangeover 62,MC000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccc4bfd2d9f9559abfaf982113c29742ccc4bfd2d9f9559abfaf982113c29742
63,MC000063,259,111,472,9,Willow MachineChangeover 63,MC000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59aac03ad01a5fda9d143394dcb0ce8e59aac03ad01a5fda9d143394dcb0ce8e
64,MC000064,259,371,357,5,Titan MachineChangeover 64,MC000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf39e2e0a38e566b85fbb7b37b791c1bbf39e2e0a38e566b85fbb7b37b791c1b
65,MC000065,46,97,273,6,Riverton MachineChangeover 65,MC000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f500ff35d4115bac81b686c1ede23212f500ff35d4115bac81b686c1ede23212
66,MC000066,177,371,60,3,Riverton MachineChangeover 66,MC000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e47b2ebc48653a6bbade0c97f816d7d6e47b2ebc48653a6bbade0c97f816d7d
67,MC000067,436,143,363,2,Ion MachineChangeover 67,MC000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c6f38e2dbb9539484014bfc076fed168c6f38e2dbb9539484014bfc076fed16
68,MC000068,446,-1,-1,1,Northstar MachineChangeover 68,MC000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd1d7799bd33513e9fbc7bfcef1cd411dd1d7799bd33513e9fbc7bfcef1cd411
69,MC000069,476,465,198,10,Riverton MachineChangeover 69,MC000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1465fdb516959ba895fa36d192e0452e1465fdb516959ba895fa36d192e0452
70,MC000070,319,1,202,4,Summit MachineChangeover 70,MC000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb2570c1174359b8ba85ed9e672c79ecfb2570c1174359b8ba85ed9e672c79ec
71,MC000071,496,322,365,4,Granite MachineChangeover 71,MC000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55cc54a37ff4534ea21242375b79561c55cc54a37ff4534ea21242375b79561c
72,MC000072,330,427,38,12,Cedar MachineChangeover 72,MC000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3f9e1cbdd1a5814a996d9499356d995e3f9e1cbdd1a5814a996d9499356d995
73,MC000073,74,318,409,3,Willow MachineChangeover 73,MC000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97384ad2d6745351936d2fed176685fd97384ad2d6745351936d2fed176685fd
74,MC000074,77,455,437,7,Quartz MachineChangeover 74,MC000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa36e80b8e955ff8b712b3ecd3b889d8aa36e80b8e955ff8b712b3ecd3b889d8
75,MC000075,133,436,396,3,Titan MachineChangeover 75,MC000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4573343fd2950ab9898a2ac17ca4285b4573343fd2950ab9898a2ac17ca4285
76,MC000076,256,272,423,2,Unity MachineChangeover 76,MC000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88013c17f09752fc98a55d06ed11117888013c17f09752fc98a55d06ed111178
77,MC000077,373,430,256,5,Summit MachineChangeover 77,MC000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,353379f0f92b5c1aad8085978632a586353379f0f92b5c1aad8085978632a586
78,MC000078,276,131,382,7,Forge MachineChangeover 78,MC000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2eb4e1180c7c55f78c3b8fa6016b8bdd2eb4e1180c7c55f78c3b8fa6016b8bdd
79,MC000079,52,409,466,1,Quartz MachineChangeover 79,MC000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,497dc5532cab594b8ad3fffa4960dcb0497dc5532cab594b8ad3fffa4960dcb0
80,MC000080,484,413,348,2,Ion MachineChangeover 80,MC000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4a1e65f72595ed38762bd418f9bc9bca4a1e65f72595ed38762bd418f9bc9bc
81,MC000081,75,472,353,6,Quartz MachineChangeover 81,MC000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbd60139783e5ad89a9b3aa63b39a3abbbd60139783e5ad89a9b3aa63b39a3ab
82,MC000082,342,260,409,9,Pioneer MachineChangeover 82,MC000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0b5f40269d85600b706a87d4cb50769e0b5f40269d85600b706a87d4cb50769
83,MC000083,273,318,35,8,Forge MachineChangeover 83,MC000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86f28f7ca9c153aaa026b3b1ecb490f786f28f7ca9c153aaa026b3b1ecb490f7
84,MC000084,208,118,495,5,Unity MachineChangeover 84,MC000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab6d68970c5051418861498b2c72e16fab6d68970c5051418861498b2c72e16f
85,MC000085,190,-1,-1,1,Forge MachineChangeover 85,MC000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,098f7c033d6a5efd9789521732a9aee8098f7c033d6a5efd9789521732a9aee8
86,MC000086,48,453,35,12,Evergreen MachineChangeover 86,MC000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94e5de0534f25d99923368d45f6204f894e5de0534f25d99923368d45f6204f8
87,MC000087,353,169,164,7,Orion MachineChangeover 87,MC000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e92b5a03ad1f5548b29aaebceb200c90e92b5a03ad1f5548b29aaebceb200c90
88,MC000088,108,230,476,12,Northstar MachineChangeover 88,MC000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,116ed3a5af845825b72d7ee319ddd546116ed3a5af845825b72d7ee319ddd546
89,MC000089,347,266,189,4,Willow MachineChangeover 89,MC000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4091657f14a5530c871ff2827f81ac8c4091657f14a5530c871ff2827f81ac8c
90,MC000090,353,107,169,4,Unity MachineChangeover 90,MC000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fa4b6b1dc995cf5921a72b0471f20ca8fa4b6b1dc995cf5921a72b0471f20ca
91,MC000091,86,223,80,11,Titan MachineChangeover 91,MC000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbb3cd589d795904b0e492d92161a2c8dbb3cd589d795904b0e492d92161a2c8
92,MC000092,334,423,69,11,Summit MachineChangeover 92,MC000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d60dfd4b1a15ace92b9fd8ba6f98bcc6d60dfd4b1a15ace92b9fd8ba6f98bcc
93,MC000093,379,75,383,7,Granite MachineChangeover 93,MC000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77687fc4b62d53569d33963ff10e5b4277687fc4b62d53569d33963ff10e5b42
94,MC000094,198,236,469,4,Forge MachineChangeover 94,MC000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff8b927737f65c1ba05eb40a817d92edff8b927737f65c1ba05eb40a817d92ed
95,MC000095,424,500,288,5,Pioneer MachineChangeover 95,MC000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad0ac51603a650849cafee22a368d0e8ad0ac51603a650849cafee22a368d0e8
96,MC000096,362,199,425,10,Keystone MachineChangeover 96,MC000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61366f92d88b593dab6888dc4a183e2461366f92d88b593dab6888dc4a183e24
97,MC000097,34,112,92,8,Granite MachineChangeover 97,MC000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2362ce07f9335b68bea6a0b7efeb51852362ce07f9335b68bea6a0b7efeb5185
98,MC000098,32,144,149,3,Vertex MachineChangeover 98,MC000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4b0949d417c5812a2889ed1a766810cb4b0949d417c5812a2889ed1a766810c
99,MC000099,23,462,289,11,Zenith MachineChangeover 99,MC000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12f3dc3b4e075634bab5420782c15e0412f3dc3b4e075634bab5420782c15e04
100,MC000100,166,255,354,12,Evergreen MachineChangeover 100,MC000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fff0b437a0955d1da69546f963e1b721fff0b437a0955d1da69546f963e1b721
101,MC000101,188,373,219,8,Atlas MachineChangeover 101,MC000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be4700e41b4d59c19a4a7132cf1686d3be4700e41b4d59c19a4a7132cf1686d3
