FinanceCostElementGroupKey,FinanceCostElementGroupCode,FinanceCostElementClassKey,FinanceCostElementGroupName,SourceSystemKey,BatchId,LoadedAtUtc
23,FCEG000023,12,Cedar FinanceCostElementGroup 23,1,1,2026-08-24T00:00:00.000
24,FCEG000024,15,Evergreen FinanceCostElementGroup 24,1,1,2026-08-24T00:00:00.000
25,FCEG000025,10,Quartz FinanceCostElementGroup 25,1,1,2026-08-24T00:00:00.000
26,FCEG000026,12,Summit FinanceCostElementGroup 26,1,1,2026-08-24T00:00:00.000
27,FCEG000027,3,Meridian FinanceCostElementGroup 27,1,1,2026-08-24T00:00:00.000
28,FCEG000028,6,Willow FinanceCostElementGroup 28,1,1,2026-08-24T00:00:00.000
29,FCEG000029,2,Delta FinanceCostElementGroup 29,1,1,2026-08-24T00:00:00.000
30,FCEG000030,3,Riverton FinanceCostElementGroup 30,1,1,2026-08-24T00:00:00.000
31,FCEG000031,6,Forge FinanceCostElementGroup 31,1,1,2026-08-24T00:00:00.000
32,FCEG000032,6,Granite FinanceCostElementGroup 32,1,1,2026-08-24T00:00:00.000
33,FCEG000033,4,Evergreen FinanceCostElementGroup 33,1,1,2026-08-24T00:00:00.000
34,FCEG000034,15,Harbor FinanceCostElementGroup 34,1,1,2026-08-24T00:00:00.000
35,FCEG000035,6,Pioneer FinanceCostElementGroup 35,1,1,2026-08-24T00:00:00.000
36,FCEG000036,12,Harbor FinanceCostElementGroup 36,1,1,2026-08-24T00:00:00.000
37,FCEG000037,2,Northstar FinanceCostElementGroup 37,1,1,2026-08-24T00:00:00.000
38,FCEG000038,3,Ion FinanceCostElementGroup 38,1,1,2026-08-24T00:00:00.000
39,FCEG000039,6,Liberty FinanceCostElementGroup 39,1,1,2026-08-24T00:00:00.000
40,FCEG000040,8,Atlas FinanceCostElementGroup 40,1,1,2026-08-24T00:00:00.000
41,FCEG000041,10,Forge FinanceCostElementGroup 41,1,1,2026-08-24T00:00:00.000
42,FCEG000042,14,Cedar FinanceCostElementGroup 42,1,1,2026-08-24T00:00:00.000
43,FCEG000043,9,Titan FinanceCostElementGroup 43,1,1,2026-08-24T00:00:00.000
44,FCEG000044,6,Orion FinanceCostElementGroup 44,1,1,2026-08-24T00:00:00.000
45,FCEG000045,10,Meridian FinanceCostElementGroup 45,1,1,2026-08-24T00:00:00.000
46,FCEG000046,2,Liberty FinanceCostElementGroup 46,1,1,2026-08-24T00:00:00.000
47,FCEG000047,10,Beacon FinanceCostElementGroup 47,1,1,2026-08-24T00:00:00.000
48,FCEG000048,2,Quartz FinanceCostElementGroup 48,1,1,2026-08-24T00:00:00.000
49,FCEG000049,1,Atlas FinanceCostElementGroup 49,1,1,2026-08-24T00:00:00.000
50,FCEG000050,15,Willow FinanceCostElementGroup 50,1,1,2026-08-24T00:00:00.000
51,FCEG000051,12,Junction FinanceCostElementGroup 51,1,1,2026-08-24T00:00:00.000
52,FCEG000052,5,Zenith FinanceCostElementGroup 52,1,1,2026-08-24T00:00:00.000
53,FCEG000053,11,Meridian FinanceCostElementGroup 53,1,1,2026-08-24T00:00:00.000
54,FCEG000054,12,Northstar FinanceCostElementGroup 54,1,1,2026-08-24T00:00:00.000
55,FCEG000055,10,Northstar FinanceCostElementGroup 55,1,1,2026-08-24T00:00:00.000
56,FCEG000056,14,Summit FinanceCostElementGroup 56,1,1,2026-08-24T00:00:00.000
57,FCEG000057,12,Titan FinanceCostElementGroup 57,1,1,2026-08-24T00:00:00.000
58,FCEG000058,15,Meridian FinanceCostElementGroup 58,1,1,2026-08-24T00:00:00.000
59,FCEG000059,2,Summit FinanceCostElementGroup 59,1,1,2026-08-24T00:00:00.000
60,FCEG000060,9,Northstar FinanceCostElementGroup 60,1,1,2026-08-24T00:00:00.000
61,FCEG000061,14,Beacon FinanceCostElementGroup 61,1,1,2026-08-24T00:00:00.000
62,FCEG000062,11,Granite FinanceCostElementGroup 62,1,1,2026-08-24T00:00:00.000
63,FCEG000063,1,Ion FinanceCostElementGroup 63,1,1,2026-08-24T00:00:00.000
64,FCEG000064,14,Keystone FinanceCostElementGroup 64,1,1,2026-08-24T00:00:00.000
65,FCEG000065,3,Evergreen FinanceCostElementGroup 65,1,1,2026-08-24T00:00:00.000
66,FCEG000066,2,Northstar FinanceCostElementGroup 66,1,1,2026-08-24T00:00:00.000
67,FCEG000067,14,Liberty FinanceCostElementGroup 67,1,1,2026-08-24T00:00:00.000
68,FCEG000068,1,Quartz FinanceCostElementGroup 68,1,1,2026-08-24T00:00:00.000
69,FCEG000069,1,Orion FinanceCostElementGroup 69,1,1,2026-08-24T00:00:00.000
70,FCEG000070,2,Unity FinanceCostElementGroup 70,1,1,2026-08-24T00:00:00.000
71,FCEG000071,8,Orion FinanceCostElementGroup 71,1,1,2026-08-24T00:00:00.000
72,FCEG000072,7,Atlas FinanceCostElementGroup 72,1,1,2026-08-24T00:00:00.000
73,FCEG000073,13,Unity FinanceCostElementGroup 73,1,1,2026-08-24T00:00:00.000
74,FCEG000074,1,Summit FinanceCostElementGroup 74,1,1,2026-08-24T00:00:00.000
75,FCEG000075,7,Meridian FinanceCostElementGroup 75,1,1,2026-08-24T00:00:00.000
76,FCEG000076,1,Keystone FinanceCostElementGroup 76,1,1,2026-08-24T00:00:00.000
77,FCEG000077,13,Evergreen FinanceCostElementGroup 77,1,1,2026-08-24T00:00:00.000
78,FCEG000078,15,Ion FinanceCostElementGroup 78,1,1,2026-08-24T00:00:00.000
79,FCEG000079,6,Riverton FinanceCostElementGroup 79,1,1,2026-08-24T00:00:00.000
80,FCEG000080,3,Beacon FinanceCostElementGroup 80,1,1,2026-08-24T00:00:00.000
81,FCEG000081,5,Orion FinanceCostElementGroup 81,1,1,2026-08-24T00:00:00.000
82,FCEG000082,2,Atlas FinanceCostElementGroup 82,1,1,2026-08-24T00:00:00.000
83,FCEG000083,13,Vertex FinanceCostElementGroup 83,1,1,2026-08-24T00:00:00.000
84,FCEG000084,10,Zenith FinanceCostElementGroup 84,1,1,2026-08-24T00:00:00.000
85,FCEG000085,13,Beacon FinanceCostElementGroup 85,1,1,2026-08-24T00:00:00.000
86,FCEG000086,9,Keystone FinanceCostElementGroup 86,1,1,2026-08-24T00:00:00.000
87,FCEG000087,11,Quartz FinanceCostElementGroup 87,1,1,2026-08-24T00:00:00.000
88,FCEG000088,4,Orion FinanceCostElementGroup 88,1,1,2026-08-24T00:00:00.000
89,FCEG000089,7,Meridian FinanceCostElementGroup 89,1,1,2026-08-24T00:00:00.000
90,FCEG000090,11,Willow FinanceCostElementGroup 90,1,1,2026-08-24T00:00:00.000
