FinanceCostComponentGroupKey,FinanceCostComponentGroupCode,FinanceCostComponentClassKey,FinanceCostComponentGroupName,SourceSystemKey,BatchId,LoadedAtUtc
40,FCCG000040,8,Pioneer FinanceCostComponentGroup 40,1,1,2026-08-24T00:00:00.000
41,FCCG000041,4,Northstar FinanceCostComponentGroup 41,1,1,2026-08-24T00:00:00.000
42,FCCG000042,8,Harbor FinanceCostComponentGroup 42,1,1,2026-08-24T00:00:00.000
43,FCCG000043,6,Vertex FinanceCostComponentGroup 43,1,1,2026-08-24T00:00:00.000
44,FCCG000044,3,Vertex FinanceCostComponentGroup 44,1,1,2026-08-24T00:00:00.000
45,FCCG000045,8,Unity FinanceCostComponentGroup 45,1,1,2026-08-24T00:00:00.000
46,FCCG000046,9,Riverton FinanceCostComponentGroup 46,1,1,2026-08-24T00:00:00.000
47,FCCG000047,8,Willow FinanceCostComponentGroup 47,1,1,2026-08-24T00:00:00.000
48,FCCG000048,1,Harbor FinanceCostComponentGroup 48,1,1,2026-08-24T00:00:00.000
49,FCCG000049,2,Atlas FinanceCostComponentGroup 49,1,1,2026-08-24T00:00:00.000
50,FCCG000050,7,Orion FinanceCostComponentGroup 50,1,1,2026-08-24T00:00:00.000
51,FCCG000051,8,Quartz FinanceCostComponentGroup 51,1,1,2026-08-24T00:00:00.000
52,FCCG000052,10,Pioneer FinanceCostComponentGroup 52,1,1,2026-08-24T00:00:00.000
53,FCCG000053,1,Junction FinanceCostComponentGroup 53,1,1,2026-08-24T00:00:00.000
54,FCCG000054,2,Vertex FinanceCostComponentGroup 54,1,1,2026-08-24T00:00:00.000
55,FCCG000055,1,Riverton FinanceCostComponentGroup 55,1,1,2026-08-24T00:00:00.000
56,FCCG000056,10,Zenith FinanceCostComponentGroup 56,1,1,2026-08-24T00:00:00.000
57,FCCG000057,7,Orion FinanceCostComponentGroup 57,1,1,2026-08-24T00:00:00.000
58,FCCG000058,1,Atlas FinanceCostComponentGroup 58,1,1,2026-08-24T00:00:00.000
59,FCCG000059,1,Orion FinanceCostComponentGroup 59,1,1,2026-08-24T00:00:00.000
60,FCCG000060,5,Harbor FinanceCostComponentGroup 60,1,1,2026-08-24T00:00:00.000
61,FCCG000061,1,Pioneer FinanceCostComponentGroup 61,1,1,2026-08-24T00:00:00.000
62,FCCG000062,9,Delta FinanceCostComponentGroup 62,1,1,2026-08-24T00:00:00.000
63,FCCG000063,2,Granite FinanceCostComponentGroup 63,1,1,2026-08-24T00:00:00.000
64,FCCG000064,1,Unity FinanceCostComponentGroup 64,1,1,2026-08-24T00:00:00.000
65,FCCG000065,2,Pioneer FinanceCostComponentGroup 65,1,1,2026-08-24T00:00:00.000
66,FCCG000066,1,Meridian FinanceCostComponentGroup 66,1,1,2026-08-24T00:00:00.000
67,FCCG000067,2,Ion FinanceCostComponentGroup 67,1,1,2026-08-24T00:00:00.000
68,FCCG000068,3,Atlas FinanceCostComponentGroup 68,1,1,2026-08-24T00:00:00.000
69,FCCG000069,4,Keystone FinanceCostComponentGroup 69,1,1,2026-08-24T00:00:00.000
70,FCCG000070,3,Granite FinanceCostComponentGroup 70,1,1,2026-08-24T00:00:00.000
71,FCCG000071,3,Harbor FinanceCostComponentGroup 71,1,1,2026-08-24T00:00:00.000
72,FCCG000072,10,Granite FinanceCostComponentGroup 72,1,1,2026-08-24T00:00:00.000
73,FCCG000073,8,Evergreen FinanceCostComponentGroup 73,1,1,2026-08-24T00:00:00.000
74,FCCG000074,5,Willow FinanceCostComponentGroup 74,1,1,2026-08-24T00:00:00.000
75,FCCG000075,3,Harbor FinanceCostComponentGroup 75,1,1,2026-08-24T00:00:00.000
76,FCCG000076,1,Beacon FinanceCostComponentGroup 76,1,1,2026-08-24T00:00:00.000
77,FCCG000077,4,Atlas FinanceCostComponentGroup 77,1,1,2026-08-24T00:00:00.000
78,FCCG000078,6,Delta FinanceCostComponentGroup 78,1,1,2026-08-24T00:00:00.000
79,FCCG000079,8,Liberty FinanceCostComponentGroup 79,1,1,2026-08-24T00:00:00.000
80,FCCG000080,3,Keystone FinanceCostComponentGroup 80,1,1,2026-08-24T00:00:00.000
