ServicePartDispositionKey,ServicePartDispositionCode,TransactionTypeKey,ServicePartDispositionName,RequiresSupplierRecovery,SourceSystemKey,BatchId,LoadedAtUtc
49,SPD000049,3,Granite ServicePartDisposition 49,1,1,1,2026-08-24T00:00:00.000
50,SPD000050,2,Granite ServicePartDisposition 50,0,1,1,2026-08-24T00:00:00.000
51,SPD000051,3,Meridian ServicePartDisposition 51,1,1,1,2026-08-24T00:00:00.000
52,SPD000052,3,Unity ServicePartDisposition 52,0,1,1,2026-08-24T00:00:00.000
53,SPD000053,2,Riverton ServicePartDisposition 53,1,1,1,2026-08-24T00:00:00.000
54,SPD000054,2,Granite ServicePartDisposition 54,0,1,1,2026-08-24T00:00:00.000
55,SPD000055,4,Keystone ServicePartDisposition 55,1,1,1,2026-08-24T00:00:00.000
56,SPD000056,1,Evergreen ServicePartDisposition 56,0,1,1,2026-08-24T00:00:00.000
57,SPD000057,1,Orion ServicePartDisposition 57,1,1,1,2026-08-24T00:00:00.000
58,SPD000058,1,Summit ServicePartDisposition 58,0,1,1,2026-08-24T00:00:00.000
59,SPD000059,3,Junction ServicePartDisposition 59,1,1,1,2026-08-24T00:00:00.000
60,SPD000060,4,Evergreen ServicePartDisposition 60,0,1,1,2026-08-24T00:00:00.000
61,SPD000061,4,Summit ServicePartDisposition 61,1,1,1,2026-08-24T00:00:00.000
62,SPD000062,1,Keystone ServicePartDisposition 62,0,1,1,2026-08-24T00:00:00.000
63,SPD000063,3,Unity ServicePartDisposition 63,1,1,1,2026-08-24T00:00:00.000
64,SPD000064,1,Meridian ServicePartDisposition 64,0,1,1,2026-08-24T00:00:00.000
65,SPD000065,2,Riverton ServicePartDisposition 65,1,1,1,2026-08-24T00:00:00.000
66,SPD000066,3,Beacon ServicePartDisposition 66,0,1,1,2026-08-24T00:00:00.000
67,SPD000067,4,Forge ServicePartDisposition 67,1,1,1,2026-08-24T00:00:00.000
68,SPD000068,1,Summit ServicePartDisposition 68,0,1,1,2026-08-24T00:00:00.000
69,SPD000069,4,Harbor ServicePartDisposition 69,1,1,1,2026-08-24T00:00:00.000
70,SPD000070,1,Orion ServicePartDisposition 70,0,1,1,2026-08-24T00:00:00.000
71,SPD000071,1,Northstar ServicePartDisposition 71,1,1,1,2026-08-24T00:00:00.000
72,SPD000072,3,Riverton ServicePartDisposition 72,0,1,1,2026-08-24T00:00:00.000
73,SPD000073,1,Harbor ServicePartDisposition 73,1,1,1,2026-08-24T00:00:00.000
74,SPD000074,3,Quartz ServicePartDisposition 74,0,1,1,2026-08-24T00:00:00.000
75,SPD000075,2,Northstar ServicePartDisposition 75,1,1,1,2026-08-24T00:00:00.000
76,SPD000076,1,Willow ServicePartDisposition 76,0,1,1,2026-08-24T00:00:00.000
77,SPD000077,2,Harbor ServicePartDisposition 77,1,1,1,2026-08-24T00:00:00.000
78,SPD000078,2,Unity ServicePartDisposition 78,0,1,1,2026-08-24T00:00:00.000
79,SPD000079,1,Summit ServicePartDisposition 79,1,1,1,2026-08-24T00:00:00.000
80,SPD000080,1,Forge ServicePartDisposition 80,0,1,1,2026-08-24T00:00:00.000
81,SPD000081,1,Harbor ServicePartDisposition 81,1,1,1,2026-08-24T00:00:00.000
82,SPD000082,3,Keystone ServicePartDisposition 82,0,1,1,2026-08-24T00:00:00.000
83,SPD000083,2,Pioneer ServicePartDisposition 83,1,1,1,2026-08-24T00:00:00.000
84,SPD000084,3,Vertex ServicePartDisposition 84,0,1,1,2026-08-24T00:00:00.000
85,SPD000085,2,Titan ServicePartDisposition 85,1,1,1,2026-08-24T00:00:00.000
86,SPD000086,2,Willow ServicePartDisposition 86,0,1,1,2026-08-24T00:00:00.000
87,SPD000087,4,Keystone ServicePartDisposition 87,1,1,1,2026-08-24T00:00:00.000
88,SPD000088,1,Cedar ServicePartDisposition 88,0,1,1,2026-08-24T00:00:00.000
89,SPD000089,3,Atlas ServicePartDisposition 89,1,1,1,2026-08-24T00:00:00.000
90,SPD000090,4,Orion ServicePartDisposition 90,0,1,1,2026-08-24T00:00:00.000
91,SPD000091,1,Unity ServicePartDisposition 91,1,1,1,2026-08-24T00:00:00.000
92,SPD000092,3,Unity ServicePartDisposition 92,0,1,1,2026-08-24T00:00:00.000
93,SPD000093,1,Ion ServicePartDisposition 93,1,1,1,2026-08-24T00:00:00.000
94,SPD000094,1,Evergreen ServicePartDisposition 94,0,1,1,2026-08-24T00:00:00.000
95,SPD000095,2,Meridian ServicePartDisposition 95,1,1,1,2026-08-24T00:00:00.000
96,SPD000096,2,Harbor ServicePartDisposition 96,0,1,1,2026-08-24T00:00:00.000
97,SPD000097,1,Atlas ServicePartDisposition 97,1,1,1,2026-08-24T00:00:00.000
98,SPD000098,2,Summit ServicePartDisposition 98,0,1,1,2026-08-24T00:00:00.000
99,SPD000099,4,Atlas ServicePartDisposition 99,1,1,1,2026-08-24T00:00:00.000
100,SPD000100,1,Willow ServicePartDisposition 100,0,1,1,2026-08-24T00:00:00.000
101,SPD000101,4,Delta ServicePartDisposition 101,1,1,1,2026-08-24T00:00:00.000
102,SPD000102,4,Willow ServicePartDisposition 102,0,1,1,2026-08-24T00:00:00.000
103,SPD000103,3,Quartz ServicePartDisposition 103,1,1,1,2026-08-24T00:00:00.000
104,SPD000104,2,Pioneer ServicePartDisposition 104,0,1,1,2026-08-24T00:00:00.000
105,SPD000105,3,Evergreen ServicePartDisposition 105,1,1,1,2026-08-24T00:00:00.000
106,SPD000106,4,Pioneer ServicePartDisposition 106,0,1,1,2026-08-24T00:00:00.000
107,SPD000107,4,Liberty ServicePartDisposition 107,1,1,1,2026-08-24T00:00:00.000
108,SPD000108,1,Willow ServicePartDisposition 108,0,1,1,2026-08-24T00:00:00.000
109,SPD000109,2,Orion ServicePartDisposition 109,1,1,1,2026-08-24T00:00:00.000
110,SPD000110,1,Delta ServicePartDisposition 110,0,1,1,2026-08-24T00:00:00.000
111,SPD000111,1,Harbor ServicePartDisposition 111,1,1,1,2026-08-24T00:00:00.000
112,SPD000112,1,Summit ServicePartDisposition 112,0,1,1,2026-08-24T00:00:00.000
113,SPD000113,2,Delta ServicePartDisposition 113,1,1,1,2026-08-24T00:00:00.000
114,SPD000114,3,Ion ServicePartDisposition 114,0,1,1,2026-08-24T00:00:00.000
115,SPD000115,2,Titan ServicePartDisposition 115,1,1,1,2026-08-24T00:00:00.000
116,SPD000116,1,Pioneer ServicePartDisposition 116,0,1,1,2026-08-24T00:00:00.000
117,SPD000117,2,Delta ServicePartDisposition 117,1,1,1,2026-08-24T00:00:00.000
118,SPD000118,1,Zenith ServicePartDisposition 118,0,1,1,2026-08-24T00:00:00.000
119,SPD000119,2,Harbor ServicePartDisposition 119,1,1,1,2026-08-24T00:00:00.000
120,SPD000120,4,Riverton ServicePartDisposition 120,0,1,1,2026-08-24T00:00:00.000
121,SPD000121,4,Liberty ServicePartDisposition 121,1,1,1,2026-08-24T00:00:00.000
122,SPD000122,3,Junction ServicePartDisposition 122,0,1,1,2026-08-24T00:00:00.000
123,SPD000123,4,Meridian ServicePartDisposition 123,1,1,1,2026-08-24T00:00:00.000
124,SPD000124,1,Forge ServicePartDisposition 124,0,1,1,2026-08-24T00:00:00.000
125,SPD000125,3,Keystone ServicePartDisposition 125,1,1,1,2026-08-24T00:00:00.000
126,SPD000126,3,Pioneer ServicePartDisposition 126,0,1,1,2026-08-24T00:00:00.000
127,SPD000127,2,Unity ServicePartDisposition 127,1,1,1,2026-08-24T00:00:00.000
128,SPD000128,2,Granite ServicePartDisposition 128,0,1,1,2026-08-24T00:00:00.000
129,SPD000129,3,Orion ServicePartDisposition 129,1,1,1,2026-08-24T00:00:00.000
130,SPD000130,2,Riverton ServicePartDisposition 130,0,1,1,2026-08-24T00:00:00.000
131,SPD000131,2,Titan ServicePartDisposition 131,1,1,1,2026-08-24T00:00:00.000
132,SPD000132,4,Meridian ServicePartDisposition 132,0,1,1,2026-08-24T00:00:00.000
133,SPD000133,4,Riverton ServicePartDisposition 133,1,1,1,2026-08-24T00:00:00.000
134,SPD000134,2,Unity ServicePartDisposition 134,0,1,1,2026-08-24T00:00:00.000
135,SPD000135,1,Harbor ServicePartDisposition 135,1,1,1,2026-08-24T00:00:00.000
136,SPD000136,4,Atlas ServicePartDisposition 136,0,1,1,2026-08-24T00:00:00.000
137,SPD000137,4,Vertex ServicePartDisposition 137,1,1,1,2026-08-24T00:00:00.000
138,SPD000138,4,Vertex ServicePartDisposition 138,0,1,1,2026-08-24T00:00:00.000
139,SPD000139,1,Quartz ServicePartDisposition 139,1,1,1,2026-08-24T00:00:00.000
140,SPD000140,3,Liberty ServicePartDisposition 140,0,1,1,2026-08-24T00:00:00.000
141,SPD000141,2,Evergreen ServicePartDisposition 141,1,1,1,2026-08-24T00:00:00.000
142,SPD000142,3,Forge ServicePartDisposition 142,0,1,1,2026-08-24T00:00:00.000
143,SPD000143,4,Pioneer ServicePartDisposition 143,1,1,1,2026-08-24T00:00:00.000
144,SPD000144,1,Pioneer ServicePartDisposition 144,0,1,1,2026-08-24T00:00:00.000
145,SPD000145,4,Cedar ServicePartDisposition 145,1,1,1,2026-08-24T00:00:00.000
146,SPD000146,3,Orion ServicePartDisposition 146,0,1,1,2026-08-24T00:00:00.000
147,SPD000147,4,Zenith ServicePartDisposition 147,1,1,1,2026-08-24T00:00:00.000
148,SPD000148,4,Riverton ServicePartDisposition 148,0,1,1,2026-08-24T00:00:00.000
149,SPD000149,1,Harbor ServicePartDisposition 149,1,1,1,2026-08-24T00:00:00.000
150,SPD000150,4,Summit ServicePartDisposition 150,0,1,1,2026-08-24T00:00:00.000
151,SPD000151,2,Northstar ServicePartDisposition 151,1,1,1,2026-08-24T00:00:00.000
152,SPD000152,4,Titan ServicePartDisposition 152,0,1,1,2026-08-24T00:00:00.000
153,SPD000153,2,Summit ServicePartDisposition 153,1,1,1,2026-08-24T00:00:00.000
154,SPD000154,3,Harbor ServicePartDisposition 154,0,1,1,2026-08-24T00:00:00.000
155,SPD000155,4,Harbor ServicePartDisposition 155,1,1,1,2026-08-24T00:00:00.000
156,SPD000156,4,Titan ServicePartDisposition 156,0,1,1,2026-08-24T00:00:00.000
157,SPD000157,3,Atlas ServicePartDisposition 157,1,1,1,2026-08-24T00:00:00.000
158,SPD000158,2,Ion ServicePartDisposition 158,0,1,1,2026-08-24T00:00:00.000
159,SPD000159,2,Beacon ServicePartDisposition 159,1,1,1,2026-08-24T00:00:00.000
160,SPD000160,3,Willow ServicePartDisposition 160,0,1,1,2026-08-24T00:00:00.000
161,SPD000161,4,Granite ServicePartDisposition 161,1,1,1,2026-08-24T00:00:00.000
162,SPD000162,2,Titan ServicePartDisposition 162,0,1,1,2026-08-24T00:00:00.000
163,SPD000163,2,Meridian ServicePartDisposition 163,1,1,1,2026-08-24T00:00:00.000
164,SPD000164,4,Meridian ServicePartDisposition 164,0,1,1,2026-08-24T00:00:00.000
165,SPD000165,1,Riverton ServicePartDisposition 165,1,1,1,2026-08-24T00:00:00.000
166,SPD000166,2,Junction ServicePartDisposition 166,0,1,1,2026-08-24T00:00:00.000
167,SPD000167,4,Beacon ServicePartDisposition 167,1,1,1,2026-08-24T00:00:00.000
168,SPD000168,3,Granite ServicePartDisposition 168,0,1,1,2026-08-24T00:00:00.000
169,SPD000169,1,Keystone ServicePartDisposition 169,1,1,1,2026-08-24T00:00:00.000
170,SPD000170,1,Forge ServicePartDisposition 170,0,1,1,2026-08-24T00:00:00.000
171,SPD000171,2,Unity ServicePartDisposition 171,1,1,1,2026-08-24T00:00:00.000
172,SPD000172,4,Zenith ServicePartDisposition 172,0,1,1,2026-08-24T00:00:00.000
173,SPD000173,4,Willow ServicePartDisposition 173,1,1,1,2026-08-24T00:00:00.000
174,SPD000174,2,Keystone ServicePartDisposition 174,0,1,1,2026-08-24T00:00:00.000
175,SPD000175,1,Riverton ServicePartDisposition 175,1,1,1,2026-08-24T00:00:00.000
176,SPD000176,3,Harbor ServicePartDisposition 176,0,1,1,2026-08-24T00:00:00.000
177,SPD000177,2,Harbor ServicePartDisposition 177,1,1,1,2026-08-24T00:00:00.000
178,SPD000178,1,Meridian ServicePartDisposition 178,0,1,1,2026-08-24T00:00:00.000
179,SPD000179,2,Unity ServicePartDisposition 179,1,1,1,2026-08-24T00:00:00.000
180,SPD000180,4,Quartz ServicePartDisposition 180,0,1,1,2026-08-24T00:00:00.000
181,SPD000181,2,Forge ServicePartDisposition 181,1,1,1,2026-08-24T00:00:00.000
182,SPD000182,3,Quartz ServicePartDisposition 182,0,1,1,2026-08-24T00:00:00.000
183,SPD000183,2,Granite ServicePartDisposition 183,1,1,1,2026-08-24T00:00:00.000
184,SPD000184,4,Titan ServicePartDisposition 184,0,1,1,2026-08-24T00:00:00.000
185,SPD000185,4,Junction ServicePartDisposition 185,1,1,1,2026-08-24T00:00:00.000
186,SPD000186,1,Summit ServicePartDisposition 186,0,1,1,2026-08-24T00:00:00.000
187,SPD000187,4,Ion ServicePartDisposition 187,1,1,1,2026-08-24T00:00:00.000
188,SPD000188,1,Evergreen ServicePartDisposition 188,0,1,1,2026-08-24T00:00:00.000
189,SPD000189,1,Riverton ServicePartDisposition 189,1,1,1,2026-08-24T00:00:00.000
190,SPD000190,4,Titan ServicePartDisposition 190,0,1,1,2026-08-24T00:00:00.000
191,SPD000191,4,Delta ServicePartDisposition 191,1,1,1,2026-08-24T00:00:00.000
192,SPD000192,4,Granite ServicePartDisposition 192,0,1,1,2026-08-24T00:00:00.000
193,SPD000193,3,Titan ServicePartDisposition 193,1,1,1,2026-08-24T00:00:00.000
194,SPD000194,1,Junction ServicePartDisposition 194,0,1,1,2026-08-24T00:00:00.000
195,SPD000195,2,Zenith ServicePartDisposition 195,1,1,1,2026-08-24T00:00:00.000
196,SPD000196,1,Orion ServicePartDisposition 196,0,1,1,2026-08-24T00:00:00.000
197,SPD000197,1,Ion ServicePartDisposition 197,1,1,1,2026-08-24T00:00:00.000
198,SPD000198,4,Keystone ServicePartDisposition 198,0,1,1,2026-08-24T00:00:00.000
199,SPD000199,2,Vertex ServicePartDisposition 199,1,1,1,2026-08-24T00:00:00.000
200,SPD000200,2,Unity ServicePartDisposition 200,0,1,1,2026-08-24T00:00:00.000
201,SPD000201,1,Zenith ServicePartDisposition 201,1,1,1,2026-08-24T00:00:00.000
202,SPD000202,4,Zenith ServicePartDisposition 202,0,1,1,2026-08-24T00:00:00.000
203,SPD000203,2,Summit ServicePartDisposition 203,1,1,1,2026-08-24T00:00:00.000
204,SPD000204,3,Vertex ServicePartDisposition 204,0,1,1,2026-08-24T00:00:00.000
205,SPD000205,3,Junction ServicePartDisposition 205,1,1,1,2026-08-24T00:00:00.000
206,SPD000206,3,Cedar ServicePartDisposition 206,0,1,1,2026-08-24T00:00:00.000
207,SPD000207,2,Unity ServicePartDisposition 207,1,1,1,2026-08-24T00:00:00.000
208,SPD000208,2,Quartz ServicePartDisposition 208,0,1,1,2026-08-24T00:00:00.000
209,SPD000209,4,Junction ServicePartDisposition 209,1,1,1,2026-08-24T00:00:00.000
210,SPD000210,2,Liberty ServicePartDisposition 210,0,1,1,2026-08-24T00:00:00.000
211,SPD000211,3,Quartz ServicePartDisposition 211,1,1,1,2026-08-24T00:00:00.000
212,SPD000212,3,Summit ServicePartDisposition 212,0,1,1,2026-08-24T00:00:00.000
213,SPD000213,3,Summit ServicePartDisposition 213,1,1,1,2026-08-24T00:00:00.000
214,SPD000214,2,Quartz ServicePartDisposition 214,0,1,1,2026-08-24T00:00:00.000
215,SPD000215,3,Zenith ServicePartDisposition 215,1,1,1,2026-08-24T00:00:00.000
216,SPD000216,3,Summit ServicePartDisposition 216,0,1,1,2026-08-24T00:00:00.000
217,SPD000217,2,Pioneer ServicePartDisposition 217,1,1,1,2026-08-24T00:00:00.000
218,SPD000218,1,Liberty ServicePartDisposition 218,0,1,1,2026-08-24T00:00:00.000
219,SPD000219,1,Forge ServicePartDisposition 219,1,1,1,2026-08-24T00:00:00.000
220,SPD000220,2,Vertex ServicePartDisposition 220,0,1,1,2026-08-24T00:00:00.000
221,SPD000221,3,Liberty ServicePartDisposition 221,1,1,1,2026-08-24T00:00:00.000
222,SPD000222,2,Keystone ServicePartDisposition 222,0,1,1,2026-08-24T00:00:00.000
223,SPD000223,2,Ion ServicePartDisposition 223,1,1,1,2026-08-24T00:00:00.000
224,SPD000224,1,Granite ServicePartDisposition 224,0,1,1,2026-08-24T00:00:00.000
225,SPD000225,1,Harbor ServicePartDisposition 225,1,1,1,2026-08-24T00:00:00.000
226,SPD000226,3,Pioneer ServicePartDisposition 226,0,1,1,2026-08-24T00:00:00.000
227,SPD000227,1,Willow ServicePartDisposition 227,1,1,1,2026-08-24T00:00:00.000
228,SPD000228,1,Orion ServicePartDisposition 228,0,1,1,2026-08-24T00:00:00.000
229,SPD000229,3,Unity ServicePartDisposition 229,1,1,1,2026-08-24T00:00:00.000
230,SPD000230,3,Pioneer ServicePartDisposition 230,0,1,1,2026-08-24T00:00:00.000
231,SPD000231,2,Ion ServicePartDisposition 231,1,1,1,2026-08-24T00:00:00.000
232,SPD000232,1,Northstar ServicePartDisposition 232,0,1,1,2026-08-24T00:00:00.000
233,SPD000233,2,Junction ServicePartDisposition 233,1,1,1,2026-08-24T00:00:00.000
234,SPD000234,1,Atlas ServicePartDisposition 234,0,1,1,2026-08-24T00:00:00.000
235,SPD000235,4,Zenith ServicePartDisposition 235,1,1,1,2026-08-24T00:00:00.000
236,SPD000236,3,Granite ServicePartDisposition 236,0,1,1,2026-08-24T00:00:00.000
237,SPD000237,3,Cedar ServicePartDisposition 237,1,1,1,2026-08-24T00:00:00.000
238,SPD000238,1,Keystone ServicePartDisposition 238,0,1,1,2026-08-24T00:00:00.000
239,SPD000239,2,Summit ServicePartDisposition 239,1,1,1,2026-08-24T00:00:00.000
240,SPD000240,1,Willow ServicePartDisposition 240,0,1,1,2026-08-24T00:00:00.000
241,SPD000241,3,Quartz ServicePartDisposition 241,1,1,1,2026-08-24T00:00:00.000
242,SPD000242,1,Beacon ServicePartDisposition 242,0,1,1,2026-08-24T00:00:00.000
243,SPD000243,4,Harbor ServicePartDisposition 243,1,1,1,2026-08-24T00:00:00.000
244,SPD000244,2,Granite ServicePartDisposition 244,0,1,1,2026-08-24T00:00:00.000
245,SPD000245,2,Meridian ServicePartDisposition 245,1,1,1,2026-08-24T00:00:00.000
246,SPD000246,4,Cedar ServicePartDisposition 246,0,1,1,2026-08-24T00:00:00.000
247,SPD000247,1,Cedar ServicePartDisposition 247,1,1,1,2026-08-24T00:00:00.000
248,SPD000248,1,Junction ServicePartDisposition 248,0,1,1,2026-08-24T00:00:00.000
249,SPD000249,3,Harbor ServicePartDisposition 249,1,1,1,2026-08-24T00:00:00.000
250,SPD000250,1,Titan ServicePartDisposition 250,0,1,1,2026-08-24T00:00:00.000
251,SPD000251,1,Orion ServicePartDisposition 251,1,1,1,2026-08-24T00:00:00.000
252,SPD000252,3,Harbor ServicePartDisposition 252,0,1,1,2026-08-24T00:00:00.000
253,SPD000253,4,Forge ServicePartDisposition 253,1,1,1,2026-08-24T00:00:00.000
254,SPD000254,4,Vertex ServicePartDisposition 254,0,1,1,2026-08-24T00:00:00.000
255,SPD000255,4,Titan ServicePartDisposition 255,1,1,1,2026-08-24T00:00:00.000
256,SPD000256,3,Beacon ServicePartDisposition 256,0,1,1,2026-08-24T00:00:00.000
257,SPD000257,1,Meridian ServicePartDisposition 257,1,1,1,2026-08-24T00:00:00.000
258,SPD000258,1,Zenith ServicePartDisposition 258,0,1,1,2026-08-24T00:00:00.000
259,SPD000259,2,Granite ServicePartDisposition 259,1,1,1,2026-08-24T00:00:00.000
260,SPD000260,4,Zenith ServicePartDisposition 260,0,1,1,2026-08-24T00:00:00.000
261,SPD000261,3,Liberty ServicePartDisposition 261,1,1,1,2026-08-24T00:00:00.000
262,SPD000262,3,Unity ServicePartDisposition 262,0,1,1,2026-08-24T00:00:00.000
263,SPD000263,1,Unity ServicePartDisposition 263,1,1,1,2026-08-24T00:00:00.000
264,SPD000264,2,Titan ServicePartDisposition 264,0,1,1,2026-08-24T00:00:00.000
265,SPD000265,1,Beacon ServicePartDisposition 265,1,1,1,2026-08-24T00:00:00.000
266,SPD000266,3,Delta ServicePartDisposition 266,0,1,1,2026-08-24T00:00:00.000
267,SPD000267,3,Vertex ServicePartDisposition 267,1,1,1,2026-08-24T00:00:00.000
268,SPD000268,4,Atlas ServicePartDisposition 268,0,1,1,2026-08-24T00:00:00.000
269,SPD000269,3,Evergreen ServicePartDisposition 269,1,1,1,2026-08-24T00:00:00.000
270,SPD000270,2,Harbor ServicePartDisposition 270,0,1,1,2026-08-24T00:00:00.000
271,SPD000271,1,Forge ServicePartDisposition 271,1,1,1,2026-08-24T00:00:00.000
272,SPD000272,1,Orion ServicePartDisposition 272,0,1,1,2026-08-24T00:00:00.000
273,SPD000273,4,Vertex ServicePartDisposition 273,1,1,1,2026-08-24T00:00:00.000
274,SPD000274,3,Orion ServicePartDisposition 274,0,1,1,2026-08-24T00:00:00.000
275,SPD000275,1,Keystone ServicePartDisposition 275,1,1,1,2026-08-24T00:00:00.000
276,SPD000276,4,Keystone ServicePartDisposition 276,0,1,1,2026-08-24T00:00:00.000
277,SPD000277,3,Delta ServicePartDisposition 277,1,1,1,2026-08-24T00:00:00.000
278,SPD000278,2,Cedar ServicePartDisposition 278,0,1,1,2026-08-24T00:00:00.000
279,SPD000279,4,Pioneer ServicePartDisposition 279,1,1,1,2026-08-24T00:00:00.000
280,SPD000280,2,Willow ServicePartDisposition 280,0,1,1,2026-08-24T00:00:00.000
281,SPD000281,3,Ion ServicePartDisposition 281,1,1,1,2026-08-24T00:00:00.000
282,SPD000282,3,Harbor ServicePartDisposition 282,0,1,1,2026-08-24T00:00:00.000
283,SPD000283,4,Pioneer ServicePartDisposition 283,1,1,1,2026-08-24T00:00:00.000
284,SPD000284,3,Evergreen ServicePartDisposition 284,0,1,1,2026-08-24T00:00:00.000
285,SPD000285,4,Delta ServicePartDisposition 285,1,1,1,2026-08-24T00:00:00.000
286,SPD000286,3,Delta ServicePartDisposition 286,0,1,1,2026-08-24T00:00:00.000
287,SPD000287,1,Meridian ServicePartDisposition 287,1,1,1,2026-08-24T00:00:00.000
288,SPD000288,3,Atlas ServicePartDisposition 288,0,1,1,2026-08-24T00:00:00.000
289,SPD000289,3,Evergreen ServicePartDisposition 289,1,1,1,2026-08-24T00:00:00.000
290,SPD000290,1,Delta ServicePartDisposition 290,0,1,1,2026-08-24T00:00:00.000
291,SPD000291,4,Pioneer ServicePartDisposition 291,1,1,1,2026-08-24T00:00:00.000
292,SPD000292,1,Willow ServicePartDisposition 292,0,1,1,2026-08-24T00:00:00.000
293,SPD000293,4,Ion ServicePartDisposition 293,1,1,1,2026-08-24T00:00:00.000
294,SPD000294,4,Forge ServicePartDisposition 294,0,1,1,2026-08-24T00:00:00.000
295,SPD000295,1,Forge ServicePartDisposition 295,1,1,1,2026-08-24T00:00:00.000
