EnergyDemandContractKey,DemandContractNumber,EnergyUtilityAccountKey,EnergyTariffKey,UnitOfMeasureKey,ContractDemandQuantity,DemandPenaltyAmount,MinimumBillingQuantity,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
22,EDC000022,347,135,3,15.5000,40.1400,15.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad2ce45bc57c51b68d881404dff01dbbad2ce45bc57c51b68d881404dff01dbb
23,EDC000023,93,381,3,16.2000,41.5100,16.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9281e20c2c575d0f9bbc20099f20f9fd9281e20c2c575d0f9bbc20099f20f9fd
24,EDC000024,164,230,5,16.9000,42.8800,16.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bff3e71bd0415a558148cdcfc3e27ce3bff3e71bd0415a558148cdcfc3e27ce3
25,EDC000025,308,227,6,17.6000,44.2500,17.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,079f111fb7e2537887403d74709d7b3b079f111fb7e2537887403d74709d7b3b
26,EDC000026,68,4,3,18.3000,45.6200,18.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3eda3d6f1f58552b961b414db80ea6573eda3d6f1f58552b961b414db80ea657
27,EDC000027,262,50,6,19.0000,46.9900,19.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ce6e403dc1e5e3281975b1309a35ef60ce6e403dc1e5e3281975b1309a35ef6
28,EDC000028,383,244,4,19.7000,48.3600,19.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2992b0464f6255f4b7ffc9616db081e42992b0464f6255f4b7ffc9616db081e4
29,EDC000029,303,376,5,20.4000,49.7300,20.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a6d11539f2356a69810c0181126e2893a6d11539f2356a69810c0181126e289
30,EDC000030,435,474,5,21.1000,51.1000,21.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b32995d87c75992a4d844685860a2423b32995d87c75992a4d844685860a242
31,EDC000031,176,484,2,21.8000,52.4700,21.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb51f781215f534390b6421677de773dfb51f781215f534390b6421677de773d
32,EDC000032,177,297,6,22.5000,53.8400,22.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2f63d1f8c7f5548bac6712d144f52b9d2f63d1f8c7f5548bac6712d144f52b9
33,EDC000033,242,182,7,23.2000,55.2100,23.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8be20329df25615a2593e34c0a218e2c8be20329df25615a2593e34c0a218e2
34,EDC000034,255,131,2,23.9000,56.5800,23.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa92712cc2fe561c93a1deb99b27af2baa92712cc2fe561c93a1deb99b27af2b
35,EDC000035,222,117,5,24.6000,57.9500,24.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,634fbfd4b2eb5faea9d6c846e8621e9b634fbfd4b2eb5faea9d6c846e8621e9b
36,EDC000036,67,174,4,25.3000,59.3200,25.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40e45851556e52ea95725f0e66a2402a40e45851556e52ea95725f0e66a2402a
37,EDC000037,139,425,6,26.0000,60.6900,26.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68432973562157538ad60f475f84027d68432973562157538ad60f475f84027d
38,EDC000038,225,265,5,26.7000,62.0600,26.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5b12e32f00f5549bc5237ab30d28a12a5b12e32f00f5549bc5237ab30d28a12
39,EDC000039,217,353,6,27.4000,63.4300,27.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0918e627887f51f58ab006a113490d580918e627887f51f58ab006a113490d58
40,EDC000040,11,481,3,28.1000,64.8000,28.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4c4d1c7df525534a8cd7cd10ffa7ba6b4c4d1c7df525534a8cd7cd10ffa7ba6
41,EDC000041,78,161,7,28.8000,66.1700,28.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb7d5d99bef95947817bcac95f995650bb7d5d99bef95947817bcac95f995650
42,EDC000042,33,161,2,29.5000,67.5400,29.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb9cbff0fb885c06a8924dddad759943bb9cbff0fb885c06a8924dddad759943
43,EDC000043,18,486,6,30.2000,68.9100,30.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f8ee20507db55d385826bc6d6bd7d953f8ee20507db55d385826bc6d6bd7d95
44,EDC000044,140,298,2,30.9000,70.2800,30.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ded953565987575f9188a6a46fd57f1fded953565987575f9188a6a46fd57f1f
45,EDC000045,476,348,7,31.6000,71.6500,31.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23ceff6ef8a05852a49a86bd54cd18ef23ceff6ef8a05852a49a86bd54cd18ef
46,EDC000046,36,28,2,32.3000,73.0200,32.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0be75b188a215adc82aa759e0dcc6fc70be75b188a215adc82aa759e0dcc6fc7
47,EDC000047,426,451,7,33.0000,74.3900,33.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff6774af0218577ca2d89cabd938854cff6774af0218577ca2d89cabd938854c
48,EDC000048,240,27,4,33.7000,75.7600,33.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79f4bbc9c0535f229c434993b46d998079f4bbc9c0535f229c434993b46d9980
49,EDC000049,163,324,1,34.4000,77.1300,34.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acebd73d7e595138b46598c436f9c388acebd73d7e595138b46598c436f9c388
50,EDC000050,495,104,4,35.1000,78.5000,35.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94a92840dc5f5930899d2e79f9b60f5194a92840dc5f5930899d2e79f9b60f51
51,EDC000051,363,65,4,35.8000,79.8700,35.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ea8139a2dbc507b8a75909c5d7178b10ea8139a2dbc507b8a75909c5d7178b1
52,EDC000052,496,173,3,36.5000,81.2400,36.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,233aeebab8b350a8a525e7581cf91c07233aeebab8b350a8a525e7581cf91c07
53,EDC000053,232,265,1,37.2000,82.6100,37.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,732abce9d27553c28fd2a92a9083818d732abce9d27553c28fd2a92a9083818d
54,EDC000054,263,354,6,37.9000,83.9800,37.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,096de5ad7a755167a38a3b67e0e01e22096de5ad7a755167a38a3b67e0e01e22
55,EDC000055,286,280,1,38.6000,85.3500,38.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e3f845a39b55a659cfc2604fb9840fb3e3f845a39b55a659cfc2604fb9840fb
56,EDC000056,373,310,7,39.3000,86.7200,39.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37ba80632ac754598e87cbda0ecf1f1237ba80632ac754598e87cbda0ecf1f12
57,EDC000057,375,195,5,40.0000,88.0900,40.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06ba4d7e7d6c5eea93a4e488cb169b8306ba4d7e7d6c5eea93a4e488cb169b83
58,EDC000058,328,173,2,40.7000,89.4600,40.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c143a2ba2c5548f947b9a5557b0be026c143a2ba2c5548f947b9a5557b0be02
59,EDC000059,290,421,7,41.4000,90.8300,41.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c92876fad58553ebf25e2adbd5294f66c92876fad58553ebf25e2adbd5294f6
60,EDC000060,413,235,6,42.1000,92.2000,42.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66ddad3b75c051eca505ed73fbb54bbc66ddad3b75c051eca505ed73fbb54bbc
61,EDC000061,272,196,4,42.8000,93.5700,42.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,523adfbe433a510bbdbfa55f55bbbfa4523adfbe433a510bbdbfa55f55bbbfa4
62,EDC000062,311,499,3,43.5000,94.9400,43.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d97c1600e895e868622f5609f9db3572d97c1600e895e868622f5609f9db357
63,EDC000063,366,98,2,44.2000,96.3100,44.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,629f84b594c85ac5a7759b01c3b1e2cd629f84b594c85ac5a7759b01c3b1e2cd
64,EDC000064,349,274,3,44.9000,97.6800,44.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f588b513ab25f648da28241ebbf76026f588b513ab25f648da28241ebbf7602
65,EDC000065,161,499,5,45.6000,99.0500,45.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c873a78285554258e69572e095e2c8c5c873a78285554258e69572e095e2c8c
66,EDC000066,15,143,1,46.3000,100.4200,46.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1be2b356a43c5c8ca69ffff717c6c01c1be2b356a43c5c8ca69ffff717c6c01c
67,EDC000067,388,401,5,47.0000,101.7900,47.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e8d32e80adb58f2aaa5d320791a424d5e8d32e80adb58f2aaa5d320791a424d
68,EDC000068,301,191,1,47.7000,103.1600,47.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,943403169509556da78aa519ad647536943403169509556da78aa519ad647536
69,EDC000069,77,396,5,48.4000,104.5300,48.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24a96df145175b2d96f5fcdc4754f00c24a96df145175b2d96f5fcdc4754f00c
70,EDC000070,108,287,2,49.1000,105.9000,49.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e75dc67652752d8b424ced2935f9e6e6e75dc67652752d8b424ced2935f9e6e
71,EDC000071,100,276,5,49.8000,107.2700,49.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff9a542b1edd58e6af5a0fb3b9e68e0aff9a542b1edd58e6af5a0fb3b9e68e0a
72,EDC000072,326,133,5,50.5000,108.6400,50.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da0b6eb7413851739cb19046d9f034f6da0b6eb7413851739cb19046d9f034f6
73,EDC000073,325,137,6,51.2000,110.0100,51.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f21797445e4d5f02927d625349d32a5ff21797445e4d5f02927d625349d32a5f
74,EDC000074,245,347,5,51.9000,111.3800,51.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a0acea4ff33540e9f9acbdfbb4e3cbb5a0acea4ff33540e9f9acbdfbb4e3cbb
75,EDC000075,263,346,3,52.6000,112.7500,52.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2286480e95f85f21a4cd0ffbeb2d75432286480e95f85f21a4cd0ffbeb2d7543
76,EDC000076,145,37,2,53.3000,114.1200,53.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1bf98312b3a9585a98a13fcf1cafd02d1bf98312b3a9585a98a13fcf1cafd02d
77,EDC000077,460,296,3,54.0000,115.4900,54.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a2151d6342e51529c07da144f86edb44a2151d6342e51529c07da144f86edb4
78,EDC000078,147,323,5,54.7000,116.8600,54.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b52b0ee0b5d55437bdb05978c4fe33abb52b0ee0b5d55437bdb05978c4fe33ab
79,EDC000079,404,442,5,55.4000,118.2300,55.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dff3b88b9ca55af9a6cbad7b1fcce1e5dff3b88b9ca55af9a6cbad7b1fcce1e5
80,EDC000080,82,65,5,56.1000,119.6000,56.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53eae58279665e25ba7dcd6509becb0d53eae58279665e25ba7dcd6509becb0d
81,EDC000081,273,369,1,56.8000,120.9700,56.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df53ba6e24eb55bbb8d5afe0812966f4df53ba6e24eb55bbb8d5afe0812966f4
82,EDC000082,179,86,5,57.5000,122.3400,57.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fc54a2360c95703b2c3c67da018e8de1fc54a2360c95703b2c3c67da018e8de
83,EDC000083,31,481,7,58.2000,123.7100,58.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c76c5a963ef5c93b0020179703a9f6e2c76c5a963ef5c93b0020179703a9f6e
84,EDC000084,332,380,3,58.9000,125.0800,58.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7ba1d23066151c2a5ba1d86a8cf98dba7ba1d23066151c2a5ba1d86a8cf98db
85,EDC000085,92,420,1,59.6000,126.4500,59.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7325ec39080f5bb2af465b55d3df00567325ec39080f5bb2af465b55d3df0056
86,EDC000086,104,258,6,60.3000,127.8200,60.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03f7ef8ba0ae5cf8a7df6a62b4e17cae03f7ef8ba0ae5cf8a7df6a62b4e17cae
87,EDC000087,338,475,2,61.0000,129.1900,61.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b03e8c2530ba52d18060be75b090461bb03e8c2530ba52d18060be75b090461b
88,EDC000088,491,171,4,61.7000,130.5600,61.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7469336a22a55363a1e25e5648023db67469336a22a55363a1e25e5648023db6
89,EDC000089,346,450,6,62.4000,131.9300,62.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b808880c4f8c58099396afe777d3a074b808880c4f8c58099396afe777d3a074
90,EDC000090,473,401,1,63.1000,133.3000,63.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2ed154c73bf548e819b30a1efb69d36b2ed154c73bf548e819b30a1efb69d36
91,EDC000091,172,212,5,63.8000,134.6700,63.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85af4e1f638f570b80dd55730fc00e2485af4e1f638f570b80dd55730fc00e24
92,EDC000092,98,423,5,64.5000,136.0400,64.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e29a4ad4cbee59a4938704e3b51c15c4e29a4ad4cbee59a4938704e3b51c15c4
93,EDC000093,380,278,5,65.2000,137.4100,65.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,186137bbf57b59a5beb943d05d8f4735186137bbf57b59a5beb943d05d8f4735
94,EDC000094,284,186,7,65.9000,138.7800,65.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9909de2db7425f279d0436f8635594ce9909de2db7425f279d0436f8635594ce
95,EDC000095,491,484,7,66.6000,140.1500,66.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79b484c9d6625615ba3f9a084c2885b979b484c9d6625615ba3f9a084c2885b9
96,EDC000096,50,353,1,67.3000,141.5200,67.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9762192d4ad504e91f2fd9570157982b9762192d4ad504e91f2fd9570157982
97,EDC000097,283,92,5,68.0000,142.8900,68.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6c31641b17a54dabbd30759f11a3a6dc6c31641b17a54dabbd30759f11a3a6d
98,EDC000098,315,73,3,68.7000,144.2600,68.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f464c2d4e555517ba40e77a9e560f11cf464c2d4e555517ba40e77a9e560f11c
99,EDC000099,462,475,1,69.4000,145.6300,69.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8649fe932535f1f8e16ab7dcd39922aa8649fe932535f1f8e16ab7dcd39922a
100,EDC000100,431,117,4,70.1000,147.0000,70.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22fab0fb03c65b19bbe9cdd586c64b5b22fab0fb03c65b19bbe9cdd586c64b5b
101,EDC000101,61,292,2,70.8000,148.3700,70.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c4808ffa94550f494a32caa4c4c432b2c4808ffa94550f494a32caa4c4c432b
102,EDC000102,470,219,1,71.5000,149.7400,71.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f6315a07bb4584abdba4f491d97753b5f6315a07bb4584abdba4f491d97753b
103,EDC000103,228,320,4,72.2000,151.1100,72.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0236edc62d7f5dec98d76bb6c96885970236edc62d7f5dec98d76bb6c9688597
104,EDC000104,21,363,5,72.9000,152.4800,72.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0d8ae71b51651d3a1c52787c7458d21b0d8ae71b51651d3a1c52787c7458d21
105,EDC000105,35,252,6,73.6000,153.8500,73.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ed8c71b2fe954efbef4e366cdf352137ed8c71b2fe954efbef4e366cdf35213
106,EDC000106,276,132,5,74.3000,155.2200,74.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5ae390eb7f1586f83cdec98f80a5fdee5ae390eb7f1586f83cdec98f80a5fde
107,EDC000107,300,433,2,75.0000,156.5900,75.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59fbb2cff8165a8b82e85905ab405d8e59fbb2cff8165a8b82e85905ab405d8e
108,EDC000108,317,132,2,75.7000,157.9600,75.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9fae72bd08ca53c5ae825dc07eb73cd89fae72bd08ca53c5ae825dc07eb73cd8
109,EDC000109,373,376,3,76.4000,159.3300,76.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bba209f6d7305e7689b6425d77a26962bba209f6d7305e7689b6425d77a26962
110,EDC000110,263,288,4,77.1000,160.7000,77.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e10cbd6714705cbb81064eba2af75dcae10cbd6714705cbb81064eba2af75dca
