PurchaseOrderLineKey,PurchaseOrderLineCode,PurchaseOrderHeaderKey,ProductKey,PurchaseCommodityKey,PurchaseOrderLifecycleStatusKey,UnitOfMeasureKey,LineSequenceNumber,LineDescription,PromisedDeliveryDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
15,POL000015,402,281,459,5,2,15,PurchaseOrderLine starter record 15,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f30f402a99d053149cc71537e827c59ef30f402a99d053149cc71537e827c59e
16,POL000016,96,496,375,3,1,16,PurchaseOrderLine starter record 16,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba17e04ddec052a4b98c182f416198a0ba17e04ddec052a4b98c182f416198a0
17,POL000017,432,-1,186,6,5,17,PurchaseOrderLine starter record 17,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aa9419e51845bbcba4a8e3ad1738fab8aa9419e51845bbcba4a8e3ad1738fab
18,POL000018,43,61,396,9,6,18,PurchaseOrderLine starter record 18,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77f69b07e97753bfbd38255939988eeb77f69b07e97753bfbd38255939988eeb
19,POL000019,188,215,266,7,6,19,PurchaseOrderLine starter record 19,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7409bfe6d3af5f659469ba54382579e07409bfe6d3af5f659469ba54382579e0
20,POL000020,89,245,235,12,4,20,PurchaseOrderLine starter record 20,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,281e78f0100e584ab343cb52949765b6281e78f0100e584ab343cb52949765b6
21,POL000021,80,305,261,9,5,21,PurchaseOrderLine starter record 21,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed96a16f050159c1a1555de448544d3aed96a16f050159c1a1555de448544d3a
22,POL000022,284,217,151,1,5,22,PurchaseOrderLine starter record 22,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c21e611b0b659edb08e3eb074495df99c21e611b0b659edb08e3eb074495df9
23,POL000023,344,121,346,8,7,23,PurchaseOrderLine starter record 23,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25bb439884a350c0adb1c0ac7135c69a25bb439884a350c0adb1c0ac7135c69a
24,POL000024,244,445,324,9,5,24,PurchaseOrderLine starter record 24,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4f95b987a295e55ae8eb0f59d1f4566c4f95b987a295e55ae8eb0f59d1f4566
25,POL000025,207,375,16,4,5,25,PurchaseOrderLine starter record 25,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d61d9cc47f805462a4d78c45f75697c0d61d9cc47f805462a4d78c45f75697c0
26,POL000026,32,256,403,6,2,26,PurchaseOrderLine starter record 26,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd14af8fc26b5e76a51f932250281497dd14af8fc26b5e76a51f932250281497
27,POL000027,460,355,441,12,1,27,PurchaseOrderLine starter record 27,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca7024b33a8651abbdea2e8dc2aaa3efca7024b33a8651abbdea2e8dc2aaa3ef
28,POL000028,131,488,254,2,3,28,PurchaseOrderLine starter record 28,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe32ad53e7455ee39b8e279f385bd670fe32ad53e7455ee39b8e279f385bd670
29,POL000029,191,175,493,3,5,29,PurchaseOrderLine starter record 29,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a27267f79995e6cb74e6af648930dd40a27267f79995e6cb74e6af648930dd4
30,POL000030,447,356,369,1,6,30,PurchaseOrderLine starter record 30,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99303a22065f5c43bc824a085ae80cfe99303a22065f5c43bc824a085ae80cfe
31,POL000031,127,124,262,4,3,31,PurchaseOrderLine starter record 31,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,053df4536a6253c8ab8837aa68932a9e053df4536a6253c8ab8837aa68932a9e
32,POL000032,474,213,362,12,2,32,PurchaseOrderLine starter record 32,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14f09c89b90356d79bb4baf9a63c11cb14f09c89b90356d79bb4baf9a63c11cb
33,POL000033,478,458,164,1,6,33,PurchaseOrderLine starter record 33,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6ef973e912f58ed876acf0ce2d34e07a6ef973e912f58ed876acf0ce2d34e07
34,POL000034,279,-1,162,11,6,34,PurchaseOrderLine starter record 34,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89a07bcc9ab45920a105076302107bd589a07bcc9ab45920a105076302107bd5
35,POL000035,325,171,319,6,2,35,PurchaseOrderLine starter record 35,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a3883fa1fe65ea7a1bb4192fdf9729c6a3883fa1fe65ea7a1bb4192fdf9729c
36,POL000036,364,192,404,5,1,36,PurchaseOrderLine starter record 36,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6602b10f5d4551d0b1a6fec085fe716d6602b10f5d4551d0b1a6fec085fe716d
37,POL000037,446,178,397,11,2,37,PurchaseOrderLine starter record 37,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cf7e19c7ccf570b8b6abfb48c3ac5925cf7e19c7ccf570b8b6abfb48c3ac592
38,POL000038,456,287,432,2,4,38,PurchaseOrderLine starter record 38,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2872c09851a05ed2a39be46c1886c0972872c09851a05ed2a39be46c1886c097
39,POL000039,90,436,300,4,3,39,PurchaseOrderLine starter record 39,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9ce72e51b3853d99bc51a783306cb12c9ce72e51b3853d99bc51a783306cb12
40,POL000040,406,323,418,5,1,40,PurchaseOrderLine starter record 40,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,904b14f07a115b51abb88522cc1bd73d904b14f07a115b51abb88522cc1bd73d
41,POL000041,310,388,421,1,7,41,PurchaseOrderLine starter record 41,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80a358cb8d615d7c87e3e684769e3cb180a358cb8d615d7c87e3e684769e3cb1
42,POL000042,60,103,144,2,5,42,PurchaseOrderLine starter record 42,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c70365cc9f855bb89545796686b9de2fc70365cc9f855bb89545796686b9de2f
43,POL000043,144,274,279,3,4,43,PurchaseOrderLine starter record 43,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8079782fc9a549390c4138ae8cc0c81e8079782fc9a549390c4138ae8cc0c81
44,POL000044,438,407,16,1,1,44,PurchaseOrderLine starter record 44,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3789f71775845979854a940006be935c3789f71775845979854a940006be935c
45,POL000045,307,442,227,4,6,45,PurchaseOrderLine starter record 45,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebf649a995865fb5ab3192fa744fa087ebf649a995865fb5ab3192fa744fa087
46,POL000046,98,74,417,1,2,46,PurchaseOrderLine starter record 46,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73b7b518513151b0bfede570283e2a6e73b7b518513151b0bfede570283e2a6e
47,POL000047,315,79,7,1,4,47,PurchaseOrderLine starter record 47,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc8e578de9d55eaabf4c6d064098690afc8e578de9d55eaabf4c6d064098690a
48,POL000048,269,74,45,3,6,48,PurchaseOrderLine starter record 48,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d34fa0f8182545b81c5033696f8fe061d34fa0f8182545b81c5033696f8fe06
49,POL000049,439,371,150,6,7,49,PurchaseOrderLine starter record 49,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa74a1d4345559a580d831a54e612277fa74a1d4345559a580d831a54e612277
50,POL000050,93,299,197,5,1,50,PurchaseOrderLine starter record 50,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56ecfddf1daf51d78d91d7de44715d5356ecfddf1daf51d78d91d7de44715d53
51,POL000051,33,-1,23,1,3,51,PurchaseOrderLine starter record 51,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0712f09a2bb55618a7140f26a7ec04800712f09a2bb55618a7140f26a7ec0480
52,POL000052,369,99,31,9,3,52,PurchaseOrderLine starter record 52,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec919fdcbd175b6296d8b6955d0eef88ec919fdcbd175b6296d8b6955d0eef88
53,POL000053,338,37,47,5,3,53,PurchaseOrderLine starter record 53,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a66b1f4965ee5445abb71fd8c68a409ea66b1f4965ee5445abb71fd8c68a409e
54,POL000054,416,68,355,12,2,54,PurchaseOrderLine starter record 54,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b86ccc98c895772a293f1ee56ab4df47b86ccc98c895772a293f1ee56ab4df4
55,POL000055,308,93,62,12,5,55,PurchaseOrderLine starter record 55,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bd2232c095a5e8db1c122ccd4f507198bd2232c095a5e8db1c122ccd4f50719
56,POL000056,500,355,374,11,4,56,PurchaseOrderLine starter record 56,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3da6c115e4d534b83f5bbe8f5889061e3da6c115e4d534b83f5bbe8f5889061
57,POL000057,179,96,368,10,4,57,PurchaseOrderLine starter record 57,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a71a575143c750aa8f128ec7e6668933a71a575143c750aa8f128ec7e6668933
58,POL000058,240,260,344,8,6,58,PurchaseOrderLine starter record 58,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d9e2114120954b2b016ffca9447e1d39d9e2114120954b2b016ffca9447e1d3
59,POL000059,332,27,79,4,5,59,PurchaseOrderLine starter record 59,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69690017c41c5cecbdebecfb459ec66e69690017c41c5cecbdebecfb459ec66e
60,POL000060,343,436,423,3,1,60,PurchaseOrderLine starter record 60,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d49fd43f2265cd58bc616c959cf1bac8d49fd43f2265cd58bc616c959cf1bac
61,POL000061,253,165,193,11,1,61,PurchaseOrderLine starter record 61,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e7f3548909e554f93669ccbdfb5ed7b1e7f3548909e554f93669ccbdfb5ed7b
62,POL000062,43,291,393,6,4,62,PurchaseOrderLine starter record 62,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2059c2d30165669868043b5eb2e56b9e2059c2d30165669868043b5eb2e56b9
63,POL000063,83,293,375,7,5,63,PurchaseOrderLine starter record 63,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83ddfbe9411558d288af25da651cb92f83ddfbe9411558d288af25da651cb92f
64,POL000064,86,459,135,2,4,64,PurchaseOrderLine starter record 64,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e2acf82b9735d4ea4d6d8421e12436a5e2acf82b9735d4ea4d6d8421e12436a
65,POL000065,467,52,348,11,7,65,PurchaseOrderLine starter record 65,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce6e1665dbc55ec29aeb42c79f2d607fce6e1665dbc55ec29aeb42c79f2d607f
66,POL000066,451,57,328,4,5,66,PurchaseOrderLine starter record 66,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d120f92c170159e2ae05e079376c9a43d120f92c170159e2ae05e079376c9a43
67,POL000067,28,488,151,9,1,67,PurchaseOrderLine starter record 67,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5ea5ea3edd05614942a1ffe5e2ec4b2e5ea5ea3edd05614942a1ffe5e2ec4b2
68,POL000068,149,-1,85,12,4,68,PurchaseOrderLine starter record 68,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4650baccd0c756fea47809d79c6815444650baccd0c756fea47809d79c681544
69,POL000069,306,81,392,10,4,69,PurchaseOrderLine starter record 69,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70eb175da4f05b7eb247e302965568e470eb175da4f05b7eb247e302965568e4
70,POL000070,399,466,255,10,7,70,PurchaseOrderLine starter record 70,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b0011eda52257fd82d756b938c1a0884b0011eda52257fd82d756b938c1a088
71,POL000071,224,55,24,1,5,71,PurchaseOrderLine starter record 71,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9813df955ad521493ecd4d5f9827907b9813df955ad521493ecd4d5f9827907
72,POL000072,314,466,492,1,4,72,PurchaseOrderLine starter record 72,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e49fdeba73a55ce8a6a0db6e94361808e49fdeba73a55ce8a6a0db6e94361808
73,POL000073,398,468,321,4,6,73,PurchaseOrderLine starter record 73,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1f8ab437f0f55fabb442fafa6254afff1f8ab437f0f55fabb442fafa6254aff
74,POL000074,315,121,428,4,7,74,PurchaseOrderLine starter record 74,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f69d70ff1ae5903a3a30d3b11f3fe9b4f69d70ff1ae5903a3a30d3b11f3fe9b
75,POL000075,459,23,258,11,5,75,PurchaseOrderLine starter record 75,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f8e7b26be4855f79f2b19349811739d3f8e7b26be4855f79f2b19349811739d
76,POL000076,332,78,314,4,4,76,PurchaseOrderLine starter record 76,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7d2c925a6bd53419830bedee650d42db7d2c925a6bd53419830bedee650d42d
77,POL000077,93,202,18,9,3,77,PurchaseOrderLine starter record 77,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,511b8b25467751aba0340058453a0711511b8b25467751aba0340058453a0711
78,POL000078,90,139,385,9,3,78,PurchaseOrderLine starter record 78,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f87e06c61635c91a9c081b5c6fb71eb8f87e06c61635c91a9c081b5c6fb71eb
79,POL000079,314,130,248,1,4,79,PurchaseOrderLine starter record 79,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,558583ae3b2c55089e72640708256152558583ae3b2c55089e72640708256152
80,POL000080,213,279,57,10,4,80,PurchaseOrderLine starter record 80,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c5f69ab0c835c9a90c10cbb0e9a3e4d6c5f69ab0c835c9a90c10cbb0e9a3e4d
81,POL000081,26,397,277,3,5,81,PurchaseOrderLine starter record 81,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c7013d8403158a6aecb1a7deb5102a34c7013d8403158a6aecb1a7deb5102a3
82,POL000082,142,278,263,6,3,82,PurchaseOrderLine starter record 82,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92dc2bfe755e5591b616722d3de7205492dc2bfe755e5591b616722d3de72054
83,POL000083,378,43,143,1,5,83,PurchaseOrderLine starter record 83,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,679a4dec79535e58a7ca459df96ee376679a4dec79535e58a7ca459df96ee376
84,POL000084,466,160,286,3,4,84,PurchaseOrderLine starter record 84,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af9a7e68cdc051258d1c852cbb57746faf9a7e68cdc051258d1c852cbb57746f
85,POL000085,87,-1,68,11,5,85,PurchaseOrderLine starter record 85,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,639947262dc354348e8c75656ca330fe639947262dc354348e8c75656ca330fe
86,POL000086,450,209,48,1,4,86,PurchaseOrderLine starter record 86,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b836e1b4c6b5e33b4a9f029f177d73a2b836e1b4c6b5e33b4a9f029f177d73a
87,POL000087,91,262,393,1,7,87,PurchaseOrderLine starter record 87,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fcdec0704c25b5383a83dd39f362aa98fcdec0704c25b5383a83dd39f362aa9
88,POL000088,389,346,248,1,3,88,PurchaseOrderLine starter record 88,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c32cf17c1c32571fbd4aeee44a873e1bc32cf17c1c32571fbd4aeee44a873e1b
89,POL000089,483,441,362,8,6,89,PurchaseOrderLine starter record 89,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fbb2108f4e05766b9585f0ad93347c01fbb2108f4e05766b9585f0ad93347c0
90,POL000090,120,216,481,5,5,90,PurchaseOrderLine starter record 90,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,885243cecf4053ad8c3923a94a168f3c885243cecf4053ad8c3923a94a168f3c
91,POL000091,356,495,178,6,3,91,PurchaseOrderLine starter record 91,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fba266f375a5914a589f0a6fa2863906fba266f375a5914a589f0a6fa286390
92,POL000092,115,435,286,11,3,92,PurchaseOrderLine starter record 92,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79fe7d9d81895e30bc93e8a80719bd2479fe7d9d81895e30bc93e8a80719bd24
93,POL000093,337,479,479,9,3,93,PurchaseOrderLine starter record 93,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3377fff18f55f6da479e131623888b4e3377fff18f55f6da479e131623888b4
94,POL000094,194,255,170,8,2,94,PurchaseOrderLine starter record 94,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc938ffcb6875ade966c213cc0553ee1cc938ffcb6875ade966c213cc0553ee1
95,POL000095,444,48,142,8,5,95,PurchaseOrderLine starter record 95,2020-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,531e584ffee15ea485c1c13133ca5b31531e584ffee15ea485c1c13133ca5b31
96,POL000096,235,424,324,4,2,96,PurchaseOrderLine starter record 96,2020-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6060d81102750ee995e629f74daf193b6060d81102750ee995e629f74daf193
97,POL000097,228,15,35,6,6,97,PurchaseOrderLine starter record 97,2020-04-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbf4e2df147f520e83bc97fae8bc6c90dbf4e2df147f520e83bc97fae8bc6c90
98,POL000098,186,280,140,7,2,98,PurchaseOrderLine starter record 98,2020-04-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b0f23e6fe455bb9b3f50796b14ed5a02b0f23e6fe455bb9b3f50796b14ed5a0
99,POL000099,69,169,36,5,3,99,PurchaseOrderLine starter record 99,2020-04-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,897cf24bf08c54d1b89789b7fda27255897cf24bf08c54d1b89789b7fda27255
