ProductionScheduleSegmentKey,ProductionScheduleSegmentCode,ProductionScheduleFamilyKey,ProductionScheduleSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
60,PSS000060,71,Delta ProductionScheduleSegment 60,1,1,2026-08-24T00:00:00.000
61,PSS000061,86,Junction ProductionScheduleSegment 61,1,1,2026-08-24T00:00:00.000
62,PSS000062,1,Quartz ProductionScheduleSegment 62,1,1,2026-08-24T00:00:00.000
63,PSS000063,71,Granite ProductionScheduleSegment 63,1,1,2026-08-24T00:00:00.000
64,PSS000064,84,Titan ProductionScheduleSegment 64,1,1,2026-08-24T00:00:00.000
65,PSS000065,55,Willow ProductionScheduleSegment 65,1,1,2026-08-24T00:00:00.000
66,PSS000066,50,Titan ProductionScheduleSegment 66,1,1,2026-08-24T00:00:00.000
67,PSS000067,81,Zenith ProductionScheduleSegment 67,1,1,2026-08-24T00:00:00.000
68,PSS000068,58,Cedar ProductionScheduleSegment 68,1,1,2026-08-24T00:00:00.000
69,PSS000069,9,Beacon ProductionScheduleSegment 69,1,1,2026-08-24T00:00:00.000
70,PSS000070,73,Forge ProductionScheduleSegment 70,1,1,2026-08-24T00:00:00.000
71,PSS000071,69,Vertex ProductionScheduleSegment 71,1,1,2026-08-24T00:00:00.000
72,PSS000072,47,Liberty ProductionScheduleSegment 72,1,1,2026-08-24T00:00:00.000
73,PSS000073,52,Delta ProductionScheduleSegment 73,1,1,2026-08-24T00:00:00.000
74,PSS000074,42,Beacon ProductionScheduleSegment 74,1,1,2026-08-24T00:00:00.000
75,PSS000075,3,Liberty ProductionScheduleSegment 75,1,1,2026-08-24T00:00:00.000
76,PSS000076,40,Granite ProductionScheduleSegment 76,1,1,2026-08-24T00:00:00.000
77,PSS000077,24,Beacon ProductionScheduleSegment 77,1,1,2026-08-24T00:00:00.000
78,PSS000078,52,Junction ProductionScheduleSegment 78,1,1,2026-08-24T00:00:00.000
79,PSS000079,55,Keystone ProductionScheduleSegment 79,1,1,2026-08-24T00:00:00.000
80,PSS000080,12,Cedar ProductionScheduleSegment 80,1,1,2026-08-24T00:00:00.000
81,PSS000081,10,Forge ProductionScheduleSegment 81,1,1,2026-08-24T00:00:00.000
82,PSS000082,86,Meridian ProductionScheduleSegment 82,1,1,2026-08-24T00:00:00.000
83,PSS000083,15,Beacon ProductionScheduleSegment 83,1,1,2026-08-24T00:00:00.000
84,PSS000084,83,Unity ProductionScheduleSegment 84,1,1,2026-08-24T00:00:00.000
85,PSS000085,86,Evergreen ProductionScheduleSegment 85,1,1,2026-08-24T00:00:00.000
86,PSS000086,82,Cedar ProductionScheduleSegment 86,1,1,2026-08-24T00:00:00.000
87,PSS000087,36,Orion ProductionScheduleSegment 87,1,1,2026-08-24T00:00:00.000
88,PSS000088,82,Pioneer ProductionScheduleSegment 88,1,1,2026-08-24T00:00:00.000
89,PSS000089,43,Evergreen ProductionScheduleSegment 89,1,1,2026-08-24T00:00:00.000
90,PSS000090,37,Keystone ProductionScheduleSegment 90,1,1,2026-08-24T00:00:00.000
91,PSS000091,26,Atlas ProductionScheduleSegment 91,1,1,2026-08-24T00:00:00.000
92,PSS000092,44,Willow ProductionScheduleSegment 92,1,1,2026-08-24T00:00:00.000
93,PSS000093,59,Vertex ProductionScheduleSegment 93,1,1,2026-08-24T00:00:00.000
94,PSS000094,18,Liberty ProductionScheduleSegment 94,1,1,2026-08-24T00:00:00.000
95,PSS000095,90,Quartz ProductionScheduleSegment 95,1,1,2026-08-24T00:00:00.000
96,PSS000096,38,Willow ProductionScheduleSegment 96,1,1,2026-08-24T00:00:00.000
97,PSS000097,37,Summit ProductionScheduleSegment 97,1,1,2026-08-24T00:00:00.000
98,PSS000098,71,Liberty ProductionScheduleSegment 98,1,1,2026-08-24T00:00:00.000
99,PSS000099,22,Summit ProductionScheduleSegment 99,1,1,2026-08-24T00:00:00.000
100,PSS000100,43,Willow ProductionScheduleSegment 100,1,1,2026-08-24T00:00:00.000
101,PSS000101,33,Zenith ProductionScheduleSegment 101,1,1,2026-08-24T00:00:00.000
102,PSS000102,18,Willow ProductionScheduleSegment 102,1,1,2026-08-24T00:00:00.000
103,PSS000103,30,Unity ProductionScheduleSegment 103,1,1,2026-08-24T00:00:00.000
104,PSS000104,11,Atlas ProductionScheduleSegment 104,1,1,2026-08-24T00:00:00.000
105,PSS000105,36,Beacon ProductionScheduleSegment 105,1,1,2026-08-24T00:00:00.000
106,PSS000106,89,Keystone ProductionScheduleSegment 106,1,1,2026-08-24T00:00:00.000
107,PSS000107,26,Harbor ProductionScheduleSegment 107,1,1,2026-08-24T00:00:00.000
108,PSS000108,87,Ion ProductionScheduleSegment 108,1,1,2026-08-24T00:00:00.000
109,PSS000109,13,Cedar ProductionScheduleSegment 109,1,1,2026-08-24T00:00:00.000
110,PSS000110,14,Harbor ProductionScheduleSegment 110,1,1,2026-08-24T00:00:00.000
111,PSS000111,58,Zenith ProductionScheduleSegment 111,1,1,2026-08-24T00:00:00.000
112,PSS000112,85,Harbor ProductionScheduleSegment 112,1,1,2026-08-24T00:00:00.000
113,PSS000113,74,Cedar ProductionScheduleSegment 113,1,1,2026-08-24T00:00:00.000
114,PSS000114,61,Forge ProductionScheduleSegment 114,1,1,2026-08-24T00:00:00.000
115,PSS000115,39,Keystone ProductionScheduleSegment 115,1,1,2026-08-24T00:00:00.000
116,PSS000116,43,Evergreen ProductionScheduleSegment 116,1,1,2026-08-24T00:00:00.000
117,PSS000117,29,Vertex ProductionScheduleSegment 117,1,1,2026-08-24T00:00:00.000
118,PSS000118,26,Forge ProductionScheduleSegment 118,1,1,2026-08-24T00:00:00.000
119,PSS000119,25,Titan ProductionScheduleSegment 119,1,1,2026-08-24T00:00:00.000
120,PSS000120,50,Harbor ProductionScheduleSegment 120,1,1,2026-08-24T00:00:00.000
121,PSS000121,58,Quartz ProductionScheduleSegment 121,1,1,2026-08-24T00:00:00.000
122,PSS000122,9,Orion ProductionScheduleSegment 122,1,1,2026-08-24T00:00:00.000
123,PSS000123,27,Evergreen ProductionScheduleSegment 123,1,1,2026-08-24T00:00:00.000
124,PSS000124,40,Quartz ProductionScheduleSegment 124,1,1,2026-08-24T00:00:00.000
125,PSS000125,86,Willow ProductionScheduleSegment 125,1,1,2026-08-24T00:00:00.000
126,PSS000126,49,Meridian ProductionScheduleSegment 126,1,1,2026-08-24T00:00:00.000
127,PSS000127,60,Ion ProductionScheduleSegment 127,1,1,2026-08-24T00:00:00.000
128,PSS000128,78,Atlas ProductionScheduleSegment 128,1,1,2026-08-24T00:00:00.000
129,PSS000129,55,Unity ProductionScheduleSegment 129,1,1,2026-08-24T00:00:00.000
130,PSS000130,37,Liberty ProductionScheduleSegment 130,1,1,2026-08-24T00:00:00.000
131,PSS000131,68,Orion ProductionScheduleSegment 131,1,1,2026-08-24T00:00:00.000
132,PSS000132,69,Northstar ProductionScheduleSegment 132,1,1,2026-08-24T00:00:00.000
133,PSS000133,59,Titan ProductionScheduleSegment 133,1,1,2026-08-24T00:00:00.000
134,PSS000134,12,Evergreen ProductionScheduleSegment 134,1,1,2026-08-24T00:00:00.000
135,PSS000135,75,Quartz ProductionScheduleSegment 135,1,1,2026-08-24T00:00:00.000
136,PSS000136,60,Summit ProductionScheduleSegment 136,1,1,2026-08-24T00:00:00.000
137,PSS000137,38,Cedar ProductionScheduleSegment 137,1,1,2026-08-24T00:00:00.000
138,PSS000138,87,Atlas ProductionScheduleSegment 138,1,1,2026-08-24T00:00:00.000
139,PSS000139,4,Evergreen ProductionScheduleSegment 139,1,1,2026-08-24T00:00:00.000
140,PSS000140,74,Pioneer ProductionScheduleSegment 140,1,1,2026-08-24T00:00:00.000
141,PSS000141,22,Quartz ProductionScheduleSegment 141,1,1,2026-08-24T00:00:00.000
142,PSS000142,61,Evergreen ProductionScheduleSegment 142,1,1,2026-08-24T00:00:00.000
143,PSS000143,81,Forge ProductionScheduleSegment 143,1,1,2026-08-24T00:00:00.000
144,PSS000144,62,Northstar ProductionScheduleSegment 144,1,1,2026-08-24T00:00:00.000
145,PSS000145,25,Summit ProductionScheduleSegment 145,1,1,2026-08-24T00:00:00.000
146,PSS000146,75,Willow ProductionScheduleSegment 146,1,1,2026-08-24T00:00:00.000
147,PSS000147,20,Northstar ProductionScheduleSegment 147,1,1,2026-08-24T00:00:00.000
148,PSS000148,55,Orion ProductionScheduleSegment 148,1,1,2026-08-24T00:00:00.000
149,PSS000149,37,Beacon ProductionScheduleSegment 149,1,1,2026-08-24T00:00:00.000
150,PSS000150,62,Keystone ProductionScheduleSegment 150,1,1,2026-08-24T00:00:00.000
151,PSS000151,6,Harbor ProductionScheduleSegment 151,1,1,2026-08-24T00:00:00.000
152,PSS000152,39,Vertex ProductionScheduleSegment 152,1,1,2026-08-24T00:00:00.000
153,PSS000153,27,Northstar ProductionScheduleSegment 153,1,1,2026-08-24T00:00:00.000
154,PSS000154,87,Delta ProductionScheduleSegment 154,1,1,2026-08-24T00:00:00.000
155,PSS000155,76,Orion ProductionScheduleSegment 155,1,1,2026-08-24T00:00:00.000
156,PSS000156,7,Evergreen ProductionScheduleSegment 156,1,1,2026-08-24T00:00:00.000
157,PSS000157,47,Liberty ProductionScheduleSegment 157,1,1,2026-08-24T00:00:00.000
158,PSS000158,58,Northstar ProductionScheduleSegment 158,1,1,2026-08-24T00:00:00.000
159,PSS000159,19,Atlas ProductionScheduleSegment 159,1,1,2026-08-24T00:00:00.000
160,PSS000160,85,Summit ProductionScheduleSegment 160,1,1,2026-08-24T00:00:00.000
161,PSS000161,2,Keystone ProductionScheduleSegment 161,1,1,2026-08-24T00:00:00.000
162,PSS000162,5,Meridian ProductionScheduleSegment 162,1,1,2026-08-24T00:00:00.000
163,PSS000163,39,Keystone ProductionScheduleSegment 163,1,1,2026-08-24T00:00:00.000
164,PSS000164,47,Zenith ProductionScheduleSegment 164,1,1,2026-08-24T00:00:00.000
165,PSS000165,82,Orion ProductionScheduleSegment 165,1,1,2026-08-24T00:00:00.000
166,PSS000166,48,Delta ProductionScheduleSegment 166,1,1,2026-08-24T00:00:00.000
167,PSS000167,90,Pioneer ProductionScheduleSegment 167,1,1,2026-08-24T00:00:00.000
168,PSS000168,18,Cedar ProductionScheduleSegment 168,1,1,2026-08-24T00:00:00.000
169,PSS000169,38,Cedar ProductionScheduleSegment 169,1,1,2026-08-24T00:00:00.000
170,PSS000170,8,Unity ProductionScheduleSegment 170,1,1,2026-08-24T00:00:00.000
171,PSS000171,42,Quartz ProductionScheduleSegment 171,1,1,2026-08-24T00:00:00.000
172,PSS000172,15,Willow ProductionScheduleSegment 172,1,1,2026-08-24T00:00:00.000
173,PSS000173,30,Unity ProductionScheduleSegment 173,1,1,2026-08-24T00:00:00.000
174,PSS000174,24,Northstar ProductionScheduleSegment 174,1,1,2026-08-24T00:00:00.000
175,PSS000175,58,Granite ProductionScheduleSegment 175,1,1,2026-08-24T00:00:00.000
176,PSS000176,61,Zenith ProductionScheduleSegment 176,1,1,2026-08-24T00:00:00.000
177,PSS000177,17,Pioneer ProductionScheduleSegment 177,1,1,2026-08-24T00:00:00.000
178,PSS000178,1,Evergreen ProductionScheduleSegment 178,1,1,2026-08-24T00:00:00.000
179,PSS000179,9,Junction ProductionScheduleSegment 179,1,1,2026-08-24T00:00:00.000
180,PSS000180,30,Pioneer ProductionScheduleSegment 180,1,1,2026-08-24T00:00:00.000
181,PSS000181,27,Riverton ProductionScheduleSegment 181,1,1,2026-08-24T00:00:00.000
182,PSS000182,28,Keystone ProductionScheduleSegment 182,1,1,2026-08-24T00:00:00.000
183,PSS000183,24,Granite ProductionScheduleSegment 183,1,1,2026-08-24T00:00:00.000
184,PSS000184,45,Evergreen ProductionScheduleSegment 184,1,1,2026-08-24T00:00:00.000
185,PSS000185,17,Unity ProductionScheduleSegment 185,1,1,2026-08-24T00:00:00.000
186,PSS000186,79,Quartz ProductionScheduleSegment 186,1,1,2026-08-24T00:00:00.000
187,PSS000187,46,Zenith ProductionScheduleSegment 187,1,1,2026-08-24T00:00:00.000
188,PSS000188,34,Liberty ProductionScheduleSegment 188,1,1,2026-08-24T00:00:00.000
189,PSS000189,20,Atlas ProductionScheduleSegment 189,1,1,2026-08-24T00:00:00.000
190,PSS000190,38,Zenith ProductionScheduleSegment 190,1,1,2026-08-24T00:00:00.000
191,PSS000191,4,Meridian ProductionScheduleSegment 191,1,1,2026-08-24T00:00:00.000
192,PSS000192,78,Atlas ProductionScheduleSegment 192,1,1,2026-08-24T00:00:00.000
193,PSS000193,12,Vertex ProductionScheduleSegment 193,1,1,2026-08-24T00:00:00.000
194,PSS000194,35,Cedar ProductionScheduleSegment 194,1,1,2026-08-24T00:00:00.000
195,PSS000195,70,Beacon ProductionScheduleSegment 195,1,1,2026-08-24T00:00:00.000
196,PSS000196,7,Ion ProductionScheduleSegment 196,1,1,2026-08-24T00:00:00.000
197,PSS000197,67,Forge ProductionScheduleSegment 197,1,1,2026-08-24T00:00:00.000
198,PSS000198,25,Harbor ProductionScheduleSegment 198,1,1,2026-08-24T00:00:00.000
199,PSS000199,42,Titan ProductionScheduleSegment 199,1,1,2026-08-24T00:00:00.000
200,PSS000200,9,Zenith ProductionScheduleSegment 200,1,1,2026-08-24T00:00:00.000
201,PSS000201,61,Harbor ProductionScheduleSegment 201,1,1,2026-08-24T00:00:00.000
202,PSS000202,55,Junction ProductionScheduleSegment 202,1,1,2026-08-24T00:00:00.000
203,PSS000203,43,Unity ProductionScheduleSegment 203,1,1,2026-08-24T00:00:00.000
204,PSS000204,60,Forge ProductionScheduleSegment 204,1,1,2026-08-24T00:00:00.000
205,PSS000205,2,Orion ProductionScheduleSegment 205,1,1,2026-08-24T00:00:00.000
206,PSS000206,16,Keystone ProductionScheduleSegment 206,1,1,2026-08-24T00:00:00.000
207,PSS000207,19,Riverton ProductionScheduleSegment 207,1,1,2026-08-24T00:00:00.000
208,PSS000208,65,Zenith ProductionScheduleSegment 208,1,1,2026-08-24T00:00:00.000
209,PSS000209,59,Ion ProductionScheduleSegment 209,1,1,2026-08-24T00:00:00.000
210,PSS000210,1,Zenith ProductionScheduleSegment 210,1,1,2026-08-24T00:00:00.000
211,PSS000211,12,Delta ProductionScheduleSegment 211,1,1,2026-08-24T00:00:00.000
212,PSS000212,48,Orion ProductionScheduleSegment 212,1,1,2026-08-24T00:00:00.000
213,PSS000213,18,Granite ProductionScheduleSegment 213,1,1,2026-08-24T00:00:00.000
214,PSS000214,75,Junction ProductionScheduleSegment 214,1,1,2026-08-24T00:00:00.000
215,PSS000215,7,Willow ProductionScheduleSegment 215,1,1,2026-08-24T00:00:00.000
216,PSS000216,67,Pioneer ProductionScheduleSegment 216,1,1,2026-08-24T00:00:00.000
217,PSS000217,35,Pioneer ProductionScheduleSegment 217,1,1,2026-08-24T00:00:00.000
218,PSS000218,63,Titan ProductionScheduleSegment 218,1,1,2026-08-24T00:00:00.000
219,PSS000219,30,Evergreen ProductionScheduleSegment 219,1,1,2026-08-24T00:00:00.000
220,PSS000220,1,Keystone ProductionScheduleSegment 220,1,1,2026-08-24T00:00:00.000
221,PSS000221,78,Cedar ProductionScheduleSegment 221,1,1,2026-08-24T00:00:00.000
222,PSS000222,37,Granite ProductionScheduleSegment 222,1,1,2026-08-24T00:00:00.000
223,PSS000223,45,Orion ProductionScheduleSegment 223,1,1,2026-08-24T00:00:00.000
224,PSS000224,75,Harbor ProductionScheduleSegment 224,1,1,2026-08-24T00:00:00.000
225,PSS000225,33,Evergreen ProductionScheduleSegment 225,1,1,2026-08-24T00:00:00.000
226,PSS000226,72,Liberty ProductionScheduleSegment 226,1,1,2026-08-24T00:00:00.000
227,PSS000227,42,Zenith ProductionScheduleSegment 227,1,1,2026-08-24T00:00:00.000
228,PSS000228,27,Evergreen ProductionScheduleSegment 228,1,1,2026-08-24T00:00:00.000
229,PSS000229,37,Cedar ProductionScheduleSegment 229,1,1,2026-08-24T00:00:00.000
230,PSS000230,78,Ion ProductionScheduleSegment 230,1,1,2026-08-24T00:00:00.000
231,PSS000231,31,Junction ProductionScheduleSegment 231,1,1,2026-08-24T00:00:00.000
232,PSS000232,12,Pioneer ProductionScheduleSegment 232,1,1,2026-08-24T00:00:00.000
233,PSS000233,55,Quartz ProductionScheduleSegment 233,1,1,2026-08-24T00:00:00.000
234,PSS000234,62,Harbor ProductionScheduleSegment 234,1,1,2026-08-24T00:00:00.000
235,PSS000235,28,Evergreen ProductionScheduleSegment 235,1,1,2026-08-24T00:00:00.000
236,PSS000236,81,Junction ProductionScheduleSegment 236,1,1,2026-08-24T00:00:00.000
237,PSS000237,3,Quartz ProductionScheduleSegment 237,1,1,2026-08-24T00:00:00.000
238,PSS000238,46,Vertex ProductionScheduleSegment 238,1,1,2026-08-24T00:00:00.000
239,PSS000239,88,Beacon ProductionScheduleSegment 239,1,1,2026-08-24T00:00:00.000
240,PSS000240,76,Junction ProductionScheduleSegment 240,1,1,2026-08-24T00:00:00.000
241,PSS000241,62,Harbor ProductionScheduleSegment 241,1,1,2026-08-24T00:00:00.000
242,PSS000242,87,Evergreen ProductionScheduleSegment 242,1,1,2026-08-24T00:00:00.000
243,PSS000243,48,Harbor ProductionScheduleSegment 243,1,1,2026-08-24T00:00:00.000
244,PSS000244,64,Meridian ProductionScheduleSegment 244,1,1,2026-08-24T00:00:00.000
245,PSS000245,74,Riverton ProductionScheduleSegment 245,1,1,2026-08-24T00:00:00.000
246,PSS000246,7,Beacon ProductionScheduleSegment 246,1,1,2026-08-24T00:00:00.000
247,PSS000247,3,Granite ProductionScheduleSegment 247,1,1,2026-08-24T00:00:00.000
248,PSS000248,72,Quartz ProductionScheduleSegment 248,1,1,2026-08-24T00:00:00.000
249,PSS000249,57,Riverton ProductionScheduleSegment 249,1,1,2026-08-24T00:00:00.000
250,PSS000250,31,Riverton ProductionScheduleSegment 250,1,1,2026-08-24T00:00:00.000
251,PSS000251,35,Cedar ProductionScheduleSegment 251,1,1,2026-08-24T00:00:00.000
252,PSS000252,42,Quartz ProductionScheduleSegment 252,1,1,2026-08-24T00:00:00.000
253,PSS000253,55,Beacon ProductionScheduleSegment 253,1,1,2026-08-24T00:00:00.000
254,PSS000254,79,Evergreen ProductionScheduleSegment 254,1,1,2026-08-24T00:00:00.000
255,PSS000255,24,Zenith ProductionScheduleSegment 255,1,1,2026-08-24T00:00:00.000
256,PSS000256,22,Zenith ProductionScheduleSegment 256,1,1,2026-08-24T00:00:00.000
257,PSS000257,21,Evergreen ProductionScheduleSegment 257,1,1,2026-08-24T00:00:00.000
258,PSS000258,27,Meridian ProductionScheduleSegment 258,1,1,2026-08-24T00:00:00.000
259,PSS000259,24,Pioneer ProductionScheduleSegment 259,1,1,2026-08-24T00:00:00.000
260,PSS000260,31,Keystone ProductionScheduleSegment 260,1,1,2026-08-24T00:00:00.000
261,PSS000261,85,Liberty ProductionScheduleSegment 261,1,1,2026-08-24T00:00:00.000
262,PSS000262,62,Delta ProductionScheduleSegment 262,1,1,2026-08-24T00:00:00.000
263,PSS000263,67,Harbor ProductionScheduleSegment 263,1,1,2026-08-24T00:00:00.000
264,PSS000264,66,Ion ProductionScheduleSegment 264,1,1,2026-08-24T00:00:00.000
265,PSS000265,63,Granite ProductionScheduleSegment 265,1,1,2026-08-24T00:00:00.000
266,PSS000266,61,Pioneer ProductionScheduleSegment 266,1,1,2026-08-24T00:00:00.000
267,PSS000267,2,Vertex ProductionScheduleSegment 267,1,1,2026-08-24T00:00:00.000
268,PSS000268,25,Willow ProductionScheduleSegment 268,1,1,2026-08-24T00:00:00.000
269,PSS000269,52,Pioneer ProductionScheduleSegment 269,1,1,2026-08-24T00:00:00.000
270,PSS000270,43,Ion ProductionScheduleSegment 270,1,1,2026-08-24T00:00:00.000
271,PSS000271,65,Harbor ProductionScheduleSegment 271,1,1,2026-08-24T00:00:00.000
272,PSS000272,78,Forge ProductionScheduleSegment 272,1,1,2026-08-24T00:00:00.000
273,PSS000273,88,Unity ProductionScheduleSegment 273,1,1,2026-08-24T00:00:00.000
274,PSS000274,65,Liberty ProductionScheduleSegment 274,1,1,2026-08-24T00:00:00.000
275,PSS000275,35,Beacon ProductionScheduleSegment 275,1,1,2026-08-24T00:00:00.000
276,PSS000276,52,Willow ProductionScheduleSegment 276,1,1,2026-08-24T00:00:00.000
277,PSS000277,48,Quartz ProductionScheduleSegment 277,1,1,2026-08-24T00:00:00.000
278,PSS000278,79,Harbor ProductionScheduleSegment 278,1,1,2026-08-24T00:00:00.000
279,PSS000279,36,Delta ProductionScheduleSegment 279,1,1,2026-08-24T00:00:00.000
280,PSS000280,23,Willow ProductionScheduleSegment 280,1,1,2026-08-24T00:00:00.000
281,PSS000281,35,Forge ProductionScheduleSegment 281,1,1,2026-08-24T00:00:00.000
282,PSS000282,55,Granite ProductionScheduleSegment 282,1,1,2026-08-24T00:00:00.000
283,PSS000283,60,Summit ProductionScheduleSegment 283,1,1,2026-08-24T00:00:00.000
284,PSS000284,60,Vertex ProductionScheduleSegment 284,1,1,2026-08-24T00:00:00.000
285,PSS000285,7,Junction ProductionScheduleSegment 285,1,1,2026-08-24T00:00:00.000
286,PSS000286,39,Cedar ProductionScheduleSegment 286,1,1,2026-08-24T00:00:00.000
287,PSS000287,4,Beacon ProductionScheduleSegment 287,1,1,2026-08-24T00:00:00.000
288,PSS000288,55,Riverton ProductionScheduleSegment 288,1,1,2026-08-24T00:00:00.000
289,PSS000289,53,Beacon ProductionScheduleSegment 289,1,1,2026-08-24T00:00:00.000
290,PSS000290,79,Vertex ProductionScheduleSegment 290,1,1,2026-08-24T00:00:00.000
291,PSS000291,16,Evergreen ProductionScheduleSegment 291,1,1,2026-08-24T00:00:00.000
292,PSS000292,58,Titan ProductionScheduleSegment 292,1,1,2026-08-24T00:00:00.000
293,PSS000293,74,Willow ProductionScheduleSegment 293,1,1,2026-08-24T00:00:00.000
294,PSS000294,43,Beacon ProductionScheduleSegment 294,1,1,2026-08-24T00:00:00.000
295,PSS000295,88,Harbor ProductionScheduleSegment 295,1,1,2026-08-24T00:00:00.000
