ServiceRepairCodeKey,ServiceRepairCodeCode,ServiceRepairActionKey,ServiceRepairCodeName,StandardRepairMinutes,SourceSystemKey,BatchId,LoadedAtUtc
34,SRC000034,106,SRC000034,39.00,1,1,2026-08-24T00:00:00.000
35,SRC000035,48,SRC000035,40.00,1,1,2026-08-24T00:00:00.000
36,SRC000036,471,SRC000036,41.00,1,1,2026-08-24T00:00:00.000
37,SRC000037,438,SRC000037,42.00,1,1,2026-08-24T00:00:00.000
38,SRC000038,124,SRC000038,43.00,1,1,2026-08-24T00:00:00.000
39,SRC000039,176,SRC000039,44.00,1,1,2026-08-24T00:00:00.000
40,SRC000040,65,SRC000040,45.00,1,1,2026-08-24T00:00:00.000
41,SRC000041,130,SRC000041,46.00,1,1,2026-08-24T00:00:00.000
42,SRC000042,354,SRC000042,47.00,1,1,2026-08-24T00:00:00.000
43,SRC000043,37,SRC000043,48.00,1,1,2026-08-24T00:00:00.000
44,SRC000044,329,SRC000044,49.00,1,1,2026-08-24T00:00:00.000
45,SRC000045,312,SRC000045,50.00,1,1,2026-08-24T00:00:00.000
46,SRC000046,252,SRC000046,51.00,1,1,2026-08-24T00:00:00.000
47,SRC000047,292,SRC000047,52.00,1,1,2026-08-24T00:00:00.000
48,SRC000048,337,SRC000048,53.00,1,1,2026-08-24T00:00:00.000
49,SRC000049,289,SRC000049,54.00,1,1,2026-08-24T00:00:00.000
50,SRC000050,147,SRC000050,55.00,1,1,2026-08-24T00:00:00.000
51,SRC000051,257,SRC000051,56.00,1,1,2026-08-24T00:00:00.000
52,SRC000052,369,SRC000052,57.00,1,1,2026-08-24T00:00:00.000
53,SRC000053,1,SRC000053,58.00,1,1,2026-08-24T00:00:00.000
54,SRC000054,264,SRC000054,59.00,1,1,2026-08-24T00:00:00.000
55,SRC000055,108,SRC000055,60.00,1,1,2026-08-24T00:00:00.000
56,SRC000056,423,SRC000056,61.00,1,1,2026-08-24T00:00:00.000
57,SRC000057,192,SRC000057,62.00,1,1,2026-08-24T00:00:00.000
58,SRC000058,333,SRC000058,63.00,1,1,2026-08-24T00:00:00.000
59,SRC000059,203,SRC000059,64.00,1,1,2026-08-24T00:00:00.000
60,SRC000060,117,SRC000060,65.00,1,1,2026-08-24T00:00:00.000
61,SRC000061,186,SRC000061,66.00,1,1,2026-08-24T00:00:00.000
62,SRC000062,93,SRC000062,67.00,1,1,2026-08-24T00:00:00.000
63,SRC000063,54,SRC000063,68.00,1,1,2026-08-24T00:00:00.000
64,SRC000064,440,SRC000064,69.00,1,1,2026-08-24T00:00:00.000
65,SRC000065,237,SRC000065,70.00,1,1,2026-08-24T00:00:00.000
66,SRC000066,43,SRC000066,71.00,1,1,2026-08-24T00:00:00.000
67,SRC000067,53,SRC000067,72.00,1,1,2026-08-24T00:00:00.000
68,SRC000068,494,SRC000068,73.00,1,1,2026-08-24T00:00:00.000
69,SRC000069,227,SRC000069,74.00,1,1,2026-08-24T00:00:00.000
70,SRC000070,444,SRC000070,75.00,1,1,2026-08-24T00:00:00.000
71,SRC000071,25,SRC000071,76.00,1,1,2026-08-24T00:00:00.000
72,SRC000072,470,SRC000072,77.00,1,1,2026-08-24T00:00:00.000
73,SRC000073,252,SRC000073,78.00,1,1,2026-08-24T00:00:00.000
74,SRC000074,362,SRC000074,79.00,1,1,2026-08-24T00:00:00.000
75,SRC000075,261,SRC000075,80.00,1,1,2026-08-24T00:00:00.000
76,SRC000076,429,SRC000076,81.00,1,1,2026-08-24T00:00:00.000
77,SRC000077,177,SRC000077,82.00,1,1,2026-08-24T00:00:00.000
78,SRC000078,205,SRC000078,83.00,1,1,2026-08-24T00:00:00.000
79,SRC000079,383,SRC000079,84.00,1,1,2026-08-24T00:00:00.000
80,SRC000080,294,SRC000080,85.00,1,1,2026-08-24T00:00:00.000
81,SRC000081,260,SRC000081,86.00,1,1,2026-08-24T00:00:00.000
82,SRC000082,278,SRC000082,87.00,1,1,2026-08-24T00:00:00.000
83,SRC000083,115,SRC000083,88.00,1,1,2026-08-24T00:00:00.000
84,SRC000084,214,SRC000084,89.00,1,1,2026-08-24T00:00:00.000
85,SRC000085,412,SRC000085,90.00,1,1,2026-08-24T00:00:00.000
86,SRC000086,97,SRC000086,91.00,1,1,2026-08-24T00:00:00.000
87,SRC000087,118,SRC000087,92.00,1,1,2026-08-24T00:00:00.000
88,SRC000088,203,SRC000088,93.00,1,1,2026-08-24T00:00:00.000
89,SRC000089,385,SRC000089,94.00,1,1,2026-08-24T00:00:00.000
90,SRC000090,411,SRC000090,95.00,1,1,2026-08-24T00:00:00.000
91,SRC000091,422,SRC000091,96.00,1,1,2026-08-24T00:00:00.000
92,SRC000092,197,SRC000092,97.00,1,1,2026-08-24T00:00:00.000
93,SRC000093,5,SRC000093,98.00,1,1,2026-08-24T00:00:00.000
94,SRC000094,436,SRC000094,99.00,1,1,2026-08-24T00:00:00.000
95,SRC000095,353,SRC000095,100.00,1,1,2026-08-24T00:00:00.000
96,SRC000096,137,SRC000096,101.00,1,1,2026-08-24T00:00:00.000
97,SRC000097,176,SRC000097,102.00,1,1,2026-08-24T00:00:00.000
98,SRC000098,385,SRC000098,103.00,1,1,2026-08-24T00:00:00.000
99,SRC000099,52,SRC000099,104.00,1,1,2026-08-24T00:00:00.000
100,SRC000100,246,SRC000100,105.00,1,1,2026-08-24T00:00:00.000
101,SRC000101,31,SRC000101,106.00,1,1,2026-08-24T00:00:00.000
102,SRC000102,87,SRC000102,107.00,1,1,2026-08-24T00:00:00.000
103,SRC000103,43,SRC000103,108.00,1,1,2026-08-24T00:00:00.000
104,SRC000104,388,SRC000104,109.00,1,1,2026-08-24T00:00:00.000
105,SRC000105,121,SRC000105,110.00,1,1,2026-08-24T00:00:00.000
106,SRC000106,59,SRC000106,111.00,1,1,2026-08-24T00:00:00.000
107,SRC000107,293,SRC000107,112.00,1,1,2026-08-24T00:00:00.000
108,SRC000108,428,SRC000108,113.00,1,1,2026-08-24T00:00:00.000
109,SRC000109,176,SRC000109,114.00,1,1,2026-08-24T00:00:00.000
110,SRC000110,357,SRC000110,115.00,1,1,2026-08-24T00:00:00.000
111,SRC000111,239,SRC000111,116.00,1,1,2026-08-24T00:00:00.000
112,SRC000112,476,SRC000112,117.00,1,1,2026-08-24T00:00:00.000
113,SRC000113,420,SRC000113,118.00,1,1,2026-08-24T00:00:00.000
114,SRC000114,454,SRC000114,119.00,1,1,2026-08-24T00:00:00.000
115,SRC000115,375,SRC000115,120.00,1,1,2026-08-24T00:00:00.000
116,SRC000116,405,SRC000116,121.00,1,1,2026-08-24T00:00:00.000
117,SRC000117,342,SRC000117,122.00,1,1,2026-08-24T00:00:00.000
118,SRC000118,442,SRC000118,123.00,1,1,2026-08-24T00:00:00.000
119,SRC000119,477,SRC000119,124.00,1,1,2026-08-24T00:00:00.000
120,SRC000120,48,SRC000120,125.00,1,1,2026-08-24T00:00:00.000
121,SRC000121,477,SRC000121,126.00,1,1,2026-08-24T00:00:00.000
122,SRC000122,59,SRC000122,127.00,1,1,2026-08-24T00:00:00.000
123,SRC000123,395,SRC000123,128.00,1,1,2026-08-24T00:00:00.000
124,SRC000124,409,SRC000124,129.00,1,1,2026-08-24T00:00:00.000
125,SRC000125,406,SRC000125,130.00,1,1,2026-08-24T00:00:00.000
126,SRC000126,410,SRC000126,131.00,1,1,2026-08-24T00:00:00.000
127,SRC000127,415,SRC000127,132.00,1,1,2026-08-24T00:00:00.000
128,SRC000128,180,SRC000128,133.00,1,1,2026-08-24T00:00:00.000
129,SRC000129,347,SRC000129,134.00,1,1,2026-08-24T00:00:00.000
130,SRC000130,10,SRC000130,135.00,1,1,2026-08-24T00:00:00.000
131,SRC000131,331,SRC000131,136.00,1,1,2026-08-24T00:00:00.000
132,SRC000132,125,SRC000132,137.00,1,1,2026-08-24T00:00:00.000
133,SRC000133,273,SRC000133,138.00,1,1,2026-08-24T00:00:00.000
134,SRC000134,206,SRC000134,139.00,1,1,2026-08-24T00:00:00.000
135,SRC000135,386,SRC000135,140.00,1,1,2026-08-24T00:00:00.000
136,SRC000136,369,SRC000136,141.00,1,1,2026-08-24T00:00:00.000
137,SRC000137,153,SRC000137,142.00,1,1,2026-08-24T00:00:00.000
138,SRC000138,355,SRC000138,143.00,1,1,2026-08-24T00:00:00.000
139,SRC000139,33,SRC000139,144.00,1,1,2026-08-24T00:00:00.000
140,SRC000140,305,SRC000140,145.00,1,1,2026-08-24T00:00:00.000
141,SRC000141,457,SRC000141,146.00,1,1,2026-08-24T00:00:00.000
142,SRC000142,321,SRC000142,147.00,1,1,2026-08-24T00:00:00.000
143,SRC000143,391,SRC000143,148.00,1,1,2026-08-24T00:00:00.000
144,SRC000144,473,SRC000144,149.00,1,1,2026-08-24T00:00:00.000
145,SRC000145,239,SRC000145,150.00,1,1,2026-08-24T00:00:00.000
146,SRC000146,11,SRC000146,151.00,1,1,2026-08-24T00:00:00.000
147,SRC000147,490,SRC000147,152.00,1,1,2026-08-24T00:00:00.000
148,SRC000148,90,SRC000148,153.00,1,1,2026-08-24T00:00:00.000
149,SRC000149,95,SRC000149,154.00,1,1,2026-08-24T00:00:00.000
150,SRC000150,28,SRC000150,155.00,1,1,2026-08-24T00:00:00.000
151,SRC000151,348,SRC000151,156.00,1,1,2026-08-24T00:00:00.000
152,SRC000152,384,SRC000152,157.00,1,1,2026-08-24T00:00:00.000
153,SRC000153,110,SRC000153,158.00,1,1,2026-08-24T00:00:00.000
154,SRC000154,100,SRC000154,159.00,1,1,2026-08-24T00:00:00.000
155,SRC000155,281,SRC000155,160.00,1,1,2026-08-24T00:00:00.000
156,SRC000156,2,SRC000156,161.00,1,1,2026-08-24T00:00:00.000
157,SRC000157,176,SRC000157,162.00,1,1,2026-08-24T00:00:00.000
158,SRC000158,135,SRC000158,163.00,1,1,2026-08-24T00:00:00.000
159,SRC000159,381,SRC000159,164.00,1,1,2026-08-24T00:00:00.000
160,SRC000160,309,SRC000160,165.00,1,1,2026-08-24T00:00:00.000
161,SRC000161,262,SRC000161,166.00,1,1,2026-08-24T00:00:00.000
162,SRC000162,465,SRC000162,167.00,1,1,2026-08-24T00:00:00.000
163,SRC000163,163,SRC000163,168.00,1,1,2026-08-24T00:00:00.000
164,SRC000164,432,SRC000164,169.00,1,1,2026-08-24T00:00:00.000
165,SRC000165,199,SRC000165,170.00,1,1,2026-08-24T00:00:00.000
166,SRC000166,145,SRC000166,171.00,1,1,2026-08-24T00:00:00.000
167,SRC000167,401,SRC000167,172.00,1,1,2026-08-24T00:00:00.000
168,SRC000168,262,SRC000168,173.00,1,1,2026-08-24T00:00:00.000
169,SRC000169,386,SRC000169,174.00,1,1,2026-08-24T00:00:00.000
170,SRC000170,102,SRC000170,175.00,1,1,2026-08-24T00:00:00.000
171,SRC000171,371,SRC000171,176.00,1,1,2026-08-24T00:00:00.000
172,SRC000172,465,SRC000172,177.00,1,1,2026-08-24T00:00:00.000
173,SRC000173,78,SRC000173,178.00,1,1,2026-08-24T00:00:00.000
174,SRC000174,269,SRC000174,179.00,1,1,2026-08-24T00:00:00.000
175,SRC000175,80,SRC000175,180.00,1,1,2026-08-24T00:00:00.000
176,SRC000176,455,SRC000176,181.00,1,1,2026-08-24T00:00:00.000
177,SRC000177,211,SRC000177,182.00,1,1,2026-08-24T00:00:00.000
178,SRC000178,484,SRC000178,183.00,1,1,2026-08-24T00:00:00.000
179,SRC000179,191,SRC000179,184.00,1,1,2026-08-24T00:00:00.000
180,SRC000180,410,SRC000180,185.00,1,1,2026-08-24T00:00:00.000
181,SRC000181,51,SRC000181,186.00,1,1,2026-08-24T00:00:00.000
182,SRC000182,221,SRC000182,187.00,1,1,2026-08-24T00:00:00.000
183,SRC000183,294,SRC000183,188.00,1,1,2026-08-24T00:00:00.000
184,SRC000184,95,SRC000184,189.00,1,1,2026-08-24T00:00:00.000
185,SRC000185,139,SRC000185,190.00,1,1,2026-08-24T00:00:00.000
186,SRC000186,242,SRC000186,191.00,1,1,2026-08-24T00:00:00.000
187,SRC000187,236,SRC000187,192.00,1,1,2026-08-24T00:00:00.000
188,SRC000188,372,SRC000188,193.00,1,1,2026-08-24T00:00:00.000
189,SRC000189,196,SRC000189,194.00,1,1,2026-08-24T00:00:00.000
190,SRC000190,42,SRC000190,195.00,1,1,2026-08-24T00:00:00.000
191,SRC000191,56,SRC000191,196.00,1,1,2026-08-24T00:00:00.000
192,SRC000192,464,SRC000192,197.00,1,1,2026-08-24T00:00:00.000
193,SRC000193,257,SRC000193,198.00,1,1,2026-08-24T00:00:00.000
194,SRC000194,59,SRC000194,199.00,1,1,2026-08-24T00:00:00.000
195,SRC000195,348,SRC000195,200.00,1,1,2026-08-24T00:00:00.000
196,SRC000196,138,SRC000196,201.00,1,1,2026-08-24T00:00:00.000
197,SRC000197,63,SRC000197,202.00,1,1,2026-08-24T00:00:00.000
198,SRC000198,441,SRC000198,203.00,1,1,2026-08-24T00:00:00.000
199,SRC000199,104,SRC000199,204.00,1,1,2026-08-24T00:00:00.000
200,SRC000200,338,SRC000200,205.00,1,1,2026-08-24T00:00:00.000
201,SRC000201,493,SRC000201,206.00,1,1,2026-08-24T00:00:00.000
202,SRC000202,466,SRC000202,207.00,1,1,2026-08-24T00:00:00.000
203,SRC000203,106,SRC000203,208.00,1,1,2026-08-24T00:00:00.000
204,SRC000204,313,SRC000204,209.00,1,1,2026-08-24T00:00:00.000
205,SRC000205,454,SRC000205,210.00,1,1,2026-08-24T00:00:00.000
206,SRC000206,364,SRC000206,211.00,1,1,2026-08-24T00:00:00.000
207,SRC000207,240,SRC000207,212.00,1,1,2026-08-24T00:00:00.000
208,SRC000208,16,SRC000208,213.00,1,1,2026-08-24T00:00:00.000
209,SRC000209,346,SRC000209,214.00,1,1,2026-08-24T00:00:00.000
210,SRC000210,402,SRC000210,215.00,1,1,2026-08-24T00:00:00.000
211,SRC000211,249,SRC000211,216.00,1,1,2026-08-24T00:00:00.000
212,SRC000212,116,SRC000212,217.00,1,1,2026-08-24T00:00:00.000
213,SRC000213,214,SRC000213,218.00,1,1,2026-08-24T00:00:00.000
214,SRC000214,478,SRC000214,219.00,1,1,2026-08-24T00:00:00.000
215,SRC000215,321,SRC000215,220.00,1,1,2026-08-24T00:00:00.000
216,SRC000216,500,SRC000216,221.00,1,1,2026-08-24T00:00:00.000
217,SRC000217,62,SRC000217,222.00,1,1,2026-08-24T00:00:00.000
218,SRC000218,2,SRC000218,223.00,1,1,2026-08-24T00:00:00.000
219,SRC000219,133,SRC000219,224.00,1,1,2026-08-24T00:00:00.000
220,SRC000220,170,SRC000220,225.00,1,1,2026-08-24T00:00:00.000
221,SRC000221,137,SRC000221,226.00,1,1,2026-08-24T00:00:00.000
222,SRC000222,251,SRC000222,227.00,1,1,2026-08-24T00:00:00.000
223,SRC000223,211,SRC000223,228.00,1,1,2026-08-24T00:00:00.000
224,SRC000224,492,SRC000224,229.00,1,1,2026-08-24T00:00:00.000
225,SRC000225,123,SRC000225,230.00,1,1,2026-08-24T00:00:00.000
226,SRC000226,426,SRC000226,231.00,1,1,2026-08-24T00:00:00.000
227,SRC000227,19,SRC000227,232.00,1,1,2026-08-24T00:00:00.000
228,SRC000228,82,SRC000228,233.00,1,1,2026-08-24T00:00:00.000
229,SRC000229,382,SRC000229,234.00,1,1,2026-08-24T00:00:00.000
230,SRC000230,208,SRC000230,235.00,1,1,2026-08-24T00:00:00.000
231,SRC000231,99,SRC000231,236.00,1,1,2026-08-24T00:00:00.000
232,SRC000232,35,SRC000232,237.00,1,1,2026-08-24T00:00:00.000
233,SRC000233,146,SRC000233,238.00,1,1,2026-08-24T00:00:00.000
234,SRC000234,489,SRC000234,239.00,1,1,2026-08-24T00:00:00.000
235,SRC000235,175,SRC000235,240.00,1,1,2026-08-24T00:00:00.000
236,SRC000236,10,SRC000236,241.00,1,1,2026-08-24T00:00:00.000
237,SRC000237,109,SRC000237,242.00,1,1,2026-08-24T00:00:00.000
238,SRC000238,435,SRC000238,243.00,1,1,2026-08-24T00:00:00.000
239,SRC000239,327,SRC000239,244.00,1,1,2026-08-24T00:00:00.000
240,SRC000240,139,SRC000240,245.00,1,1,2026-08-24T00:00:00.000
241,SRC000241,271,SRC000241,246.00,1,1,2026-08-24T00:00:00.000
242,SRC000242,380,SRC000242,247.00,1,1,2026-08-24T00:00:00.000
243,SRC000243,425,SRC000243,248.00,1,1,2026-08-24T00:00:00.000
244,SRC000244,353,SRC000244,249.00,1,1,2026-08-24T00:00:00.000
245,SRC000245,360,SRC000245,250.00,1,1,2026-08-24T00:00:00.000
246,SRC000246,199,SRC000246,251.00,1,1,2026-08-24T00:00:00.000
247,SRC000247,55,SRC000247,252.00,1,1,2026-08-24T00:00:00.000
248,SRC000248,264,SRC000248,253.00,1,1,2026-08-24T00:00:00.000
249,SRC000249,356,SRC000249,254.00,1,1,2026-08-24T00:00:00.000
250,SRC000250,197,SRC000250,255.00,1,1,2026-08-24T00:00:00.000
251,SRC000251,449,SRC000251,256.00,1,1,2026-08-24T00:00:00.000
252,SRC000252,361,SRC000252,257.00,1,1,2026-08-24T00:00:00.000
253,SRC000253,490,SRC000253,258.00,1,1,2026-08-24T00:00:00.000
254,SRC000254,135,SRC000254,259.00,1,1,2026-08-24T00:00:00.000
255,SRC000255,490,SRC000255,260.00,1,1,2026-08-24T00:00:00.000
256,SRC000256,50,SRC000256,261.00,1,1,2026-08-24T00:00:00.000
257,SRC000257,418,SRC000257,262.00,1,1,2026-08-24T00:00:00.000
258,SRC000258,52,SRC000258,263.00,1,1,2026-08-24T00:00:00.000
259,SRC000259,300,SRC000259,264.00,1,1,2026-08-24T00:00:00.000
260,SRC000260,318,SRC000260,265.00,1,1,2026-08-24T00:00:00.000
261,SRC000261,293,SRC000261,266.00,1,1,2026-08-24T00:00:00.000
262,SRC000262,86,SRC000262,267.00,1,1,2026-08-24T00:00:00.000
263,SRC000263,155,SRC000263,268.00,1,1,2026-08-24T00:00:00.000
264,SRC000264,254,SRC000264,269.00,1,1,2026-08-24T00:00:00.000
265,SRC000265,241,SRC000265,270.00,1,1,2026-08-24T00:00:00.000
266,SRC000266,440,SRC000266,271.00,1,1,2026-08-24T00:00:00.000
267,SRC000267,69,SRC000267,272.00,1,1,2026-08-24T00:00:00.000
268,SRC000268,147,SRC000268,273.00,1,1,2026-08-24T00:00:00.000
269,SRC000269,315,SRC000269,274.00,1,1,2026-08-24T00:00:00.000
270,SRC000270,179,SRC000270,275.00,1,1,2026-08-24T00:00:00.000
271,SRC000271,331,SRC000271,276.00,1,1,2026-08-24T00:00:00.000
272,SRC000272,74,SRC000272,277.00,1,1,2026-08-24T00:00:00.000
273,SRC000273,176,SRC000273,278.00,1,1,2026-08-24T00:00:00.000
274,SRC000274,215,SRC000274,279.00,1,1,2026-08-24T00:00:00.000
275,SRC000275,358,SRC000275,280.00,1,1,2026-08-24T00:00:00.000
276,SRC000276,63,SRC000276,281.00,1,1,2026-08-24T00:00:00.000
277,SRC000277,449,SRC000277,282.00,1,1,2026-08-24T00:00:00.000
278,SRC000278,34,SRC000278,283.00,1,1,2026-08-24T00:00:00.000
279,SRC000279,111,SRC000279,284.00,1,1,2026-08-24T00:00:00.000
280,SRC000280,185,SRC000280,285.00,1,1,2026-08-24T00:00:00.000
281,SRC000281,346,SRC000281,286.00,1,1,2026-08-24T00:00:00.000
282,SRC000282,351,SRC000282,287.00,1,1,2026-08-24T00:00:00.000
283,SRC000283,283,SRC000283,288.00,1,1,2026-08-24T00:00:00.000
284,SRC000284,286,SRC000284,289.00,1,1,2026-08-24T00:00:00.000
285,SRC000285,175,SRC000285,290.00,1,1,2026-08-24T00:00:00.000
286,SRC000286,357,SRC000286,291.00,1,1,2026-08-24T00:00:00.000
287,SRC000287,200,SRC000287,292.00,1,1,2026-08-24T00:00:00.000
288,SRC000288,424,SRC000288,293.00,1,1,2026-08-24T00:00:00.000
289,SRC000289,110,SRC000289,294.00,1,1,2026-08-24T00:00:00.000
290,SRC000290,62,SRC000290,295.00,1,1,2026-08-24T00:00:00.000
291,SRC000291,346,SRC000291,296.00,1,1,2026-08-24T00:00:00.000
292,SRC000292,143,SRC000292,297.00,1,1,2026-08-24T00:00:00.000
293,SRC000293,176,SRC000293,298.00,1,1,2026-08-24T00:00:00.000
294,SRC000294,231,SRC000294,299.00,1,1,2026-08-24T00:00:00.000
295,SRC000295,383,SRC000295,300.00,1,1,2026-08-24T00:00:00.000
296,SRC000296,245,SRC000296,301.00,1,1,2026-08-24T00:00:00.000
297,SRC000297,140,SRC000297,302.00,1,1,2026-08-24T00:00:00.000
298,SRC000298,262,SRC000298,303.00,1,1,2026-08-24T00:00:00.000
299,SRC000299,180,SRC000299,304.00,1,1,2026-08-24T00:00:00.000
300,SRC000300,211,SRC000300,305.00,1,1,2026-08-24T00:00:00.000
301,SRC000301,226,SRC000301,306.00,1,1,2026-08-24T00:00:00.000
302,SRC000302,55,SRC000302,307.00,1,1,2026-08-24T00:00:00.000
303,SRC000303,25,SRC000303,308.00,1,1,2026-08-24T00:00:00.000
304,SRC000304,339,SRC000304,309.00,1,1,2026-08-24T00:00:00.000
305,SRC000305,337,SRC000305,310.00,1,1,2026-08-24T00:00:00.000
306,SRC000306,144,SRC000306,311.00,1,1,2026-08-24T00:00:00.000
307,SRC000307,112,SRC000307,312.00,1,1,2026-08-24T00:00:00.000
308,SRC000308,322,SRC000308,313.00,1,1,2026-08-24T00:00:00.000
309,SRC000309,348,SRC000309,314.00,1,1,2026-08-24T00:00:00.000
310,SRC000310,456,SRC000310,315.00,1,1,2026-08-24T00:00:00.000
311,SRC000311,240,SRC000311,316.00,1,1,2026-08-24T00:00:00.000
312,SRC000312,100,SRC000312,317.00,1,1,2026-08-24T00:00:00.000
313,SRC000313,154,SRC000313,318.00,1,1,2026-08-24T00:00:00.000
314,SRC000314,28,SRC000314,319.00,1,1,2026-08-24T00:00:00.000
315,SRC000315,319,SRC000315,320.00,1,1,2026-08-24T00:00:00.000
316,SRC000316,201,SRC000316,321.00,1,1,2026-08-24T00:00:00.000
317,SRC000317,18,SRC000317,322.00,1,1,2026-08-24T00:00:00.000
318,SRC000318,237,SRC000318,323.00,1,1,2026-08-24T00:00:00.000
319,SRC000319,466,SRC000319,324.00,1,1,2026-08-24T00:00:00.000
320,SRC000320,312,SRC000320,325.00,1,1,2026-08-24T00:00:00.000
321,SRC000321,497,SRC000321,326.00,1,1,2026-08-24T00:00:00.000
322,SRC000322,384,SRC000322,327.00,1,1,2026-08-24T00:00:00.000
323,SRC000323,351,SRC000323,328.00,1,1,2026-08-24T00:00:00.000
324,SRC000324,64,SRC000324,329.00,1,1,2026-08-24T00:00:00.000
325,SRC000325,88,SRC000325,330.00,1,1,2026-08-24T00:00:00.000
326,SRC000326,370,SRC000326,331.00,1,1,2026-08-24T00:00:00.000
327,SRC000327,141,SRC000327,332.00,1,1,2026-08-24T00:00:00.000
328,SRC000328,25,SRC000328,333.00,1,1,2026-08-24T00:00:00.000
329,SRC000329,97,SRC000329,334.00,1,1,2026-08-24T00:00:00.000
330,SRC000330,146,SRC000330,335.00,1,1,2026-08-24T00:00:00.000
331,SRC000331,208,SRC000331,336.00,1,1,2026-08-24T00:00:00.000
332,SRC000332,36,SRC000332,337.00,1,1,2026-08-24T00:00:00.000
333,SRC000333,111,SRC000333,338.00,1,1,2026-08-24T00:00:00.000
334,SRC000334,261,SRC000334,339.00,1,1,2026-08-24T00:00:00.000
335,SRC000335,169,SRC000335,340.00,1,1,2026-08-24T00:00:00.000
336,SRC000336,57,SRC000336,341.00,1,1,2026-08-24T00:00:00.000
337,SRC000337,201,SRC000337,342.00,1,1,2026-08-24T00:00:00.000
338,SRC000338,409,SRC000338,343.00,1,1,2026-08-24T00:00:00.000
339,SRC000339,466,SRC000339,344.00,1,1,2026-08-24T00:00:00.000
340,SRC000340,249,SRC000340,345.00,1,1,2026-08-24T00:00:00.000
341,SRC000341,374,SRC000341,346.00,1,1,2026-08-24T00:00:00.000
342,SRC000342,138,SRC000342,347.00,1,1,2026-08-24T00:00:00.000
343,SRC000343,298,SRC000343,348.00,1,1,2026-08-24T00:00:00.000
344,SRC000344,281,SRC000344,349.00,1,1,2026-08-24T00:00:00.000
345,SRC000345,149,SRC000345,350.00,1,1,2026-08-24T00:00:00.000
346,SRC000346,398,SRC000346,351.00,1,1,2026-08-24T00:00:00.000
347,SRC000347,353,SRC000347,352.00,1,1,2026-08-24T00:00:00.000
348,SRC000348,411,SRC000348,353.00,1,1,2026-08-24T00:00:00.000
349,SRC000349,484,SRC000349,354.00,1,1,2026-08-24T00:00:00.000
350,SRC000350,484,SRC000350,355.00,1,1,2026-08-24T00:00:00.000
351,SRC000351,436,SRC000351,356.00,1,1,2026-08-24T00:00:00.000
352,SRC000352,409,SRC000352,357.00,1,1,2026-08-24T00:00:00.000
353,SRC000353,324,SRC000353,358.00,1,1,2026-08-24T00:00:00.000
