FiscalQuarterKey,FiscalQuarterCode,FiscalYearKey,FiscalQuarterName,SourceSystemKey,BatchId,LoadedAtUtc
63,FQ000063,3,Beacon FiscalQuarter 63,1,1,2026-08-24T00:00:00.000
64,FQ000064,15,Titan FiscalQuarter 64,1,1,2026-08-24T00:00:00.000
65,FQ000065,2,Forge FiscalQuarter 65,1,1,2026-08-24T00:00:00.000
66,FQ000066,8,Forge FiscalQuarter 66,1,1,2026-08-24T00:00:00.000
67,FQ000067,19,Quartz FiscalQuarter 67,1,1,2026-08-24T00:00:00.000
68,FQ000068,14,Northstar FiscalQuarter 68,1,1,2026-08-24T00:00:00.000
69,FQ000069,17,Meridian FiscalQuarter 69,1,1,2026-08-24T00:00:00.000
70,FQ000070,6,Evergreen FiscalQuarter 70,1,1,2026-08-24T00:00:00.000
71,FQ000071,12,Forge FiscalQuarter 71,1,1,2026-08-24T00:00:00.000
72,FQ000072,8,Evergreen FiscalQuarter 72,1,1,2026-08-24T00:00:00.000
73,FQ000073,5,Delta FiscalQuarter 73,1,1,2026-08-24T00:00:00.000
74,FQ000074,10,Liberty FiscalQuarter 74,1,1,2026-08-24T00:00:00.000
75,FQ000075,11,Northstar FiscalQuarter 75,1,1,2026-08-24T00:00:00.000
76,FQ000076,16,Riverton FiscalQuarter 76,1,1,2026-08-24T00:00:00.000
77,FQ000077,20,Orion FiscalQuarter 77,1,1,2026-08-24T00:00:00.000
78,FQ000078,19,Summit FiscalQuarter 78,1,1,2026-08-24T00:00:00.000
79,FQ000079,11,Zenith FiscalQuarter 79,1,1,2026-08-24T00:00:00.000
80,FQ000080,2,Liberty FiscalQuarter 80,1,1,2026-08-24T00:00:00.000
