SafetyHazardCategoryKey,SafetyHazardCategoryCode,SafetyHazardFamilyKey,SafetyHazardCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
53,SHC000053,4,Orion SafetyHazardCategory 53,1,1,2026-08-24T00:00:00.000
54,SHC000054,5,Liberty SafetyHazardCategory 54,1,1,2026-08-24T00:00:00.000
55,SHC000055,4,Cedar SafetyHazardCategory 55,1,1,2026-08-24T00:00:00.000
56,SHC000056,11,Northstar SafetyHazardCategory 56,1,1,2026-08-24T00:00:00.000
57,SHC000057,4,Titan SafetyHazardCategory 57,1,1,2026-08-24T00:00:00.000
58,SHC000058,9,Evergreen SafetyHazardCategory 58,1,1,2026-08-24T00:00:00.000
59,SHC000059,9,Quartz SafetyHazardCategory 59,1,1,2026-08-24T00:00:00.000
60,SHC000060,2,Keystone SafetyHazardCategory 60,1,1,2026-08-24T00:00:00.000
61,SHC000061,11,Delta SafetyHazardCategory 61,1,1,2026-08-24T00:00:00.000
62,SHC000062,11,Beacon SafetyHazardCategory 62,1,1,2026-08-24T00:00:00.000
63,SHC000063,5,Willow SafetyHazardCategory 63,1,1,2026-08-24T00:00:00.000
64,SHC000064,11,Evergreen SafetyHazardCategory 64,1,1,2026-08-24T00:00:00.000
65,SHC000065,11,Keystone SafetyHazardCategory 65,1,1,2026-08-24T00:00:00.000
66,SHC000066,12,Willow SafetyHazardCategory 66,1,1,2026-08-24T00:00:00.000
67,SHC000067,6,Beacon SafetyHazardCategory 67,1,1,2026-08-24T00:00:00.000
68,SHC000068,1,Titan SafetyHazardCategory 68,1,1,2026-08-24T00:00:00.000
69,SHC000069,9,Zenith SafetyHazardCategory 69,1,1,2026-08-24T00:00:00.000
70,SHC000070,9,Liberty SafetyHazardCategory 70,1,1,2026-08-24T00:00:00.000
71,SHC000071,8,Riverton SafetyHazardCategory 71,1,1,2026-08-24T00:00:00.000
72,SHC000072,10,Cedar SafetyHazardCategory 72,1,1,2026-08-24T00:00:00.000
