LaborShiftKey,LaborShiftCode,LaborShiftRotationKey,LaborShiftName,SourceSystemKey,BatchId,LoadedAtUtc
41,LS000041,53,Atlas LaborShift 41,1,1,2026-08-24T00:00:00.000
42,LS000042,41,Quartz LaborShift 42,1,1,2026-08-24T00:00:00.000
43,LS000043,58,Titan LaborShift 43,1,1,2026-08-24T00:00:00.000
44,LS000044,41,Northstar LaborShift 44,1,1,2026-08-24T00:00:00.000
45,LS000045,36,Cedar LaborShift 45,1,1,2026-08-24T00:00:00.000
46,LS000046,38,Pioneer LaborShift 46,1,1,2026-08-24T00:00:00.000
47,LS000047,1,Pioneer LaborShift 47,1,1,2026-08-24T00:00:00.000
48,LS000048,1,Riverton LaborShift 48,1,1,2026-08-24T00:00:00.000
49,LS000049,1,Willow LaborShift 49,1,1,2026-08-24T00:00:00.000
50,LS000050,58,Vertex LaborShift 50,1,1,2026-08-24T00:00:00.000
51,LS000051,19,Beacon LaborShift 51,1,1,2026-08-24T00:00:00.000
52,LS000052,39,Riverton LaborShift 52,1,1,2026-08-24T00:00:00.000
53,LS000053,55,Cedar LaborShift 53,1,1,2026-08-24T00:00:00.000
54,LS000054,53,Quartz LaborShift 54,1,1,2026-08-24T00:00:00.000
55,LS000055,28,Meridian LaborShift 55,1,1,2026-08-24T00:00:00.000
56,LS000056,40,Evergreen LaborShift 56,1,1,2026-08-24T00:00:00.000
57,LS000057,29,Atlas LaborShift 57,1,1,2026-08-24T00:00:00.000
58,LS000058,33,Summit LaborShift 58,1,1,2026-08-24T00:00:00.000
59,LS000059,44,Junction LaborShift 59,1,1,2026-08-24T00:00:00.000
60,LS000060,50,Liberty LaborShift 60,1,1,2026-08-24T00:00:00.000
61,LS000061,40,Ion LaborShift 61,1,1,2026-08-24T00:00:00.000
62,LS000062,55,Evergreen LaborShift 62,1,1,2026-08-24T00:00:00.000
63,LS000063,18,Cedar LaborShift 63,1,1,2026-08-24T00:00:00.000
64,LS000064,18,Unity LaborShift 64,1,1,2026-08-24T00:00:00.000
65,LS000065,31,Titan LaborShift 65,1,1,2026-08-24T00:00:00.000
66,LS000066,40,Granite LaborShift 66,1,1,2026-08-24T00:00:00.000
67,LS000067,29,Delta LaborShift 67,1,1,2026-08-24T00:00:00.000
68,LS000068,59,Junction LaborShift 68,1,1,2026-08-24T00:00:00.000
69,LS000069,42,Orion LaborShift 69,1,1,2026-08-24T00:00:00.000
70,LS000070,20,Summit LaborShift 70,1,1,2026-08-24T00:00:00.000
71,LS000071,32,Delta LaborShift 71,1,1,2026-08-24T00:00:00.000
72,LS000072,48,Junction LaborShift 72,1,1,2026-08-24T00:00:00.000
73,LS000073,36,Granite LaborShift 73,1,1,2026-08-24T00:00:00.000
74,LS000074,44,Vertex LaborShift 74,1,1,2026-08-24T00:00:00.000
75,LS000075,1,Riverton LaborShift 75,1,1,2026-08-24T00:00:00.000
76,LS000076,15,Summit LaborShift 76,1,1,2026-08-24T00:00:00.000
77,LS000077,9,Vertex LaborShift 77,1,1,2026-08-24T00:00:00.000
78,LS000078,20,Quartz LaborShift 78,1,1,2026-08-24T00:00:00.000
79,LS000079,44,Orion LaborShift 79,1,1,2026-08-24T00:00:00.000
80,LS000080,29,Vertex LaborShift 80,1,1,2026-08-24T00:00:00.000
81,LS000081,8,Granite LaborShift 81,1,1,2026-08-24T00:00:00.000
82,LS000082,58,Northstar LaborShift 82,1,1,2026-08-24T00:00:00.000
83,LS000083,27,Zenith LaborShift 83,1,1,2026-08-24T00:00:00.000
84,LS000084,11,Cedar LaborShift 84,1,1,2026-08-24T00:00:00.000
85,LS000085,19,Zenith LaborShift 85,1,1,2026-08-24T00:00:00.000
86,LS000086,33,Liberty LaborShift 86,1,1,2026-08-24T00:00:00.000
87,LS000087,25,Liberty LaborShift 87,1,1,2026-08-24T00:00:00.000
88,LS000088,60,Willow LaborShift 88,1,1,2026-08-24T00:00:00.000
89,LS000089,13,Pioneer LaborShift 89,1,1,2026-08-24T00:00:00.000
90,LS000090,40,Vertex LaborShift 90,1,1,2026-08-24T00:00:00.000
91,LS000091,28,Harbor LaborShift 91,1,1,2026-08-24T00:00:00.000
92,LS000092,52,Meridian LaborShift 92,1,1,2026-08-24T00:00:00.000
93,LS000093,7,Delta LaborShift 93,1,1,2026-08-24T00:00:00.000
94,LS000094,48,Ion LaborShift 94,1,1,2026-08-24T00:00:00.000
95,LS000095,55,Titan LaborShift 95,1,1,2026-08-24T00:00:00.000
96,LS000096,4,Atlas LaborShift 96,1,1,2026-08-24T00:00:00.000
97,LS000097,21,Unity LaborShift 97,1,1,2026-08-24T00:00:00.000
98,LS000098,28,Summit LaborShift 98,1,1,2026-08-24T00:00:00.000
99,LS000099,31,Ion LaborShift 99,1,1,2026-08-24T00:00:00.000
100,LS000100,49,Pioneer LaborShift 100,1,1,2026-08-24T00:00:00.000
101,LS000101,56,Titan LaborShift 101,1,1,2026-08-24T00:00:00.000
102,LS000102,31,Forge LaborShift 102,1,1,2026-08-24T00:00:00.000
103,LS000103,39,Willow LaborShift 103,1,1,2026-08-24T00:00:00.000
104,LS000104,52,Keystone LaborShift 104,1,1,2026-08-24T00:00:00.000
105,LS000105,26,Meridian LaborShift 105,1,1,2026-08-24T00:00:00.000
106,LS000106,6,Forge LaborShift 106,1,1,2026-08-24T00:00:00.000
107,LS000107,28,Zenith LaborShift 107,1,1,2026-08-24T00:00:00.000
108,LS000108,43,Delta LaborShift 108,1,1,2026-08-24T00:00:00.000
109,LS000109,27,Ion LaborShift 109,1,1,2026-08-24T00:00:00.000
110,LS000110,54,Willow LaborShift 110,1,1,2026-08-24T00:00:00.000
111,LS000111,57,Beacon LaborShift 111,1,1,2026-08-24T00:00:00.000
112,LS000112,20,Junction LaborShift 112,1,1,2026-08-24T00:00:00.000
113,LS000113,47,Willow LaborShift 113,1,1,2026-08-24T00:00:00.000
114,LS000114,20,Keystone LaborShift 114,1,1,2026-08-24T00:00:00.000
115,LS000115,3,Evergreen LaborShift 115,1,1,2026-08-24T00:00:00.000
116,LS000116,49,Atlas LaborShift 116,1,1,2026-08-24T00:00:00.000
117,LS000117,18,Willow LaborShift 117,1,1,2026-08-24T00:00:00.000
118,LS000118,18,Beacon LaborShift 118,1,1,2026-08-24T00:00:00.000
119,LS000119,17,Summit LaborShift 119,1,1,2026-08-24T00:00:00.000
120,LS000120,60,Forge LaborShift 120,1,1,2026-08-24T00:00:00.000
121,LS000121,52,Unity LaborShift 121,1,1,2026-08-24T00:00:00.000
122,LS000122,41,Delta LaborShift 122,1,1,2026-08-24T00:00:00.000
123,LS000123,15,Meridian LaborShift 123,1,1,2026-08-24T00:00:00.000
124,LS000124,48,Zenith LaborShift 124,1,1,2026-08-24T00:00:00.000
125,LS000125,29,Beacon LaborShift 125,1,1,2026-08-24T00:00:00.000
126,LS000126,18,Orion LaborShift 126,1,1,2026-08-24T00:00:00.000
127,LS000127,26,Northstar LaborShift 127,1,1,2026-08-24T00:00:00.000
128,LS000128,27,Pioneer LaborShift 128,1,1,2026-08-24T00:00:00.000
129,LS000129,14,Delta LaborShift 129,1,1,2026-08-24T00:00:00.000
130,LS000130,37,Delta LaborShift 130,1,1,2026-08-24T00:00:00.000
131,LS000131,9,Junction LaborShift 131,1,1,2026-08-24T00:00:00.000
132,LS000132,34,Unity LaborShift 132,1,1,2026-08-24T00:00:00.000
133,LS000133,31,Pioneer LaborShift 133,1,1,2026-08-24T00:00:00.000
134,LS000134,58,Titan LaborShift 134,1,1,2026-08-24T00:00:00.000
135,LS000135,49,Willow LaborShift 135,1,1,2026-08-24T00:00:00.000
136,LS000136,4,Vertex LaborShift 136,1,1,2026-08-24T00:00:00.000
137,LS000137,59,Northstar LaborShift 137,1,1,2026-08-24T00:00:00.000
138,LS000138,43,Atlas LaborShift 138,1,1,2026-08-24T00:00:00.000
139,LS000139,9,Ion LaborShift 139,1,1,2026-08-24T00:00:00.000
140,LS000140,57,Quartz LaborShift 140,1,1,2026-08-24T00:00:00.000
141,LS000141,23,Orion LaborShift 141,1,1,2026-08-24T00:00:00.000
142,LS000142,6,Quartz LaborShift 142,1,1,2026-08-24T00:00:00.000
143,LS000143,52,Summit LaborShift 143,1,1,2026-08-24T00:00:00.000
144,LS000144,34,Cedar LaborShift 144,1,1,2026-08-24T00:00:00.000
145,LS000145,24,Forge LaborShift 145,1,1,2026-08-24T00:00:00.000
146,LS000146,36,Granite LaborShift 146,1,1,2026-08-24T00:00:00.000
147,LS000147,34,Zenith LaborShift 147,1,1,2026-08-24T00:00:00.000
148,LS000148,23,Harbor LaborShift 148,1,1,2026-08-24T00:00:00.000
149,LS000149,35,Northstar LaborShift 149,1,1,2026-08-24T00:00:00.000
150,LS000150,32,Vertex LaborShift 150,1,1,2026-08-24T00:00:00.000
151,LS000151,60,Junction LaborShift 151,1,1,2026-08-24T00:00:00.000
152,LS000152,38,Granite LaborShift 152,1,1,2026-08-24T00:00:00.000
153,LS000153,10,Zenith LaborShift 153,1,1,2026-08-24T00:00:00.000
154,LS000154,58,Quartz LaborShift 154,1,1,2026-08-24T00:00:00.000
155,LS000155,9,Zenith LaborShift 155,1,1,2026-08-24T00:00:00.000
156,LS000156,32,Keystone LaborShift 156,1,1,2026-08-24T00:00:00.000
157,LS000157,30,Zenith LaborShift 157,1,1,2026-08-24T00:00:00.000
158,LS000158,24,Delta LaborShift 158,1,1,2026-08-24T00:00:00.000
159,LS000159,14,Liberty LaborShift 159,1,1,2026-08-24T00:00:00.000
160,LS000160,55,Keystone LaborShift 160,1,1,2026-08-24T00:00:00.000
161,LS000161,24,Junction LaborShift 161,1,1,2026-08-24T00:00:00.000
162,LS000162,51,Pioneer LaborShift 162,1,1,2026-08-24T00:00:00.000
163,LS000163,37,Meridian LaborShift 163,1,1,2026-08-24T00:00:00.000
164,LS000164,21,Junction LaborShift 164,1,1,2026-08-24T00:00:00.000
165,LS000165,57,Liberty LaborShift 165,1,1,2026-08-24T00:00:00.000
166,LS000166,52,Beacon LaborShift 166,1,1,2026-08-24T00:00:00.000
167,LS000167,57,Willow LaborShift 167,1,1,2026-08-24T00:00:00.000
168,LS000168,16,Forge LaborShift 168,1,1,2026-08-24T00:00:00.000
169,LS000169,56,Zenith LaborShift 169,1,1,2026-08-24T00:00:00.000
170,LS000170,15,Beacon LaborShift 170,1,1,2026-08-24T00:00:00.000
171,LS000171,26,Beacon LaborShift 171,1,1,2026-08-24T00:00:00.000
172,LS000172,43,Orion LaborShift 172,1,1,2026-08-24T00:00:00.000
173,LS000173,25,Zenith LaborShift 173,1,1,2026-08-24T00:00:00.000
174,LS000174,35,Summit LaborShift 174,1,1,2026-08-24T00:00:00.000
175,LS000175,15,Pioneer LaborShift 175,1,1,2026-08-24T00:00:00.000
176,LS000176,7,Keystone LaborShift 176,1,1,2026-08-24T00:00:00.000
177,LS000177,45,Beacon LaborShift 177,1,1,2026-08-24T00:00:00.000
178,LS000178,17,Atlas LaborShift 178,1,1,2026-08-24T00:00:00.000
179,LS000179,8,Unity LaborShift 179,1,1,2026-08-24T00:00:00.000
180,LS000180,41,Unity LaborShift 180,1,1,2026-08-24T00:00:00.000
181,LS000181,39,Willow LaborShift 181,1,1,2026-08-24T00:00:00.000
182,LS000182,44,Beacon LaborShift 182,1,1,2026-08-24T00:00:00.000
183,LS000183,1,Meridian LaborShift 183,1,1,2026-08-24T00:00:00.000
184,LS000184,4,Atlas LaborShift 184,1,1,2026-08-24T00:00:00.000
185,LS000185,18,Evergreen LaborShift 185,1,1,2026-08-24T00:00:00.000
186,LS000186,56,Riverton LaborShift 186,1,1,2026-08-24T00:00:00.000
187,LS000187,37,Willow LaborShift 187,1,1,2026-08-24T00:00:00.000
188,LS000188,48,Ion LaborShift 188,1,1,2026-08-24T00:00:00.000
189,LS000189,29,Keystone LaborShift 189,1,1,2026-08-24T00:00:00.000
190,LS000190,56,Forge LaborShift 190,1,1,2026-08-24T00:00:00.000
191,LS000191,17,Meridian LaborShift 191,1,1,2026-08-24T00:00:00.000
192,LS000192,46,Ion LaborShift 192,1,1,2026-08-24T00:00:00.000
193,LS000193,31,Willow LaborShift 193,1,1,2026-08-24T00:00:00.000
194,LS000194,29,Liberty LaborShift 194,1,1,2026-08-24T00:00:00.000
195,LS000195,34,Northstar LaborShift 195,1,1,2026-08-24T00:00:00.000
196,LS000196,7,Granite LaborShift 196,1,1,2026-08-24T00:00:00.000
197,LS000197,28,Quartz LaborShift 197,1,1,2026-08-24T00:00:00.000
198,LS000198,22,Northstar LaborShift 198,1,1,2026-08-24T00:00:00.000
199,LS000199,38,Zenith LaborShift 199,1,1,2026-08-24T00:00:00.000
200,LS000200,34,Pioneer LaborShift 200,1,1,2026-08-24T00:00:00.000
201,LS000201,38,Ion LaborShift 201,1,1,2026-08-24T00:00:00.000
202,LS000202,44,Beacon LaborShift 202,1,1,2026-08-24T00:00:00.000
203,LS000203,12,Granite LaborShift 203,1,1,2026-08-24T00:00:00.000
204,LS000204,41,Northstar LaborShift 204,1,1,2026-08-24T00:00:00.000
205,LS000205,58,Forge LaborShift 205,1,1,2026-08-24T00:00:00.000
206,LS000206,15,Harbor LaborShift 206,1,1,2026-08-24T00:00:00.000
207,LS000207,58,Quartz LaborShift 207,1,1,2026-08-24T00:00:00.000
208,LS000208,59,Meridian LaborShift 208,1,1,2026-08-24T00:00:00.000
209,LS000209,18,Liberty LaborShift 209,1,1,2026-08-24T00:00:00.000
210,LS000210,38,Granite LaborShift 210,1,1,2026-08-24T00:00:00.000
211,LS000211,47,Granite LaborShift 211,1,1,2026-08-24T00:00:00.000
212,LS000212,1,Unity LaborShift 212,1,1,2026-08-24T00:00:00.000
213,LS000213,18,Willow LaborShift 213,1,1,2026-08-24T00:00:00.000
214,LS000214,47,Summit LaborShift 214,1,1,2026-08-24T00:00:00.000
215,LS000215,58,Ion LaborShift 215,1,1,2026-08-24T00:00:00.000
216,LS000216,28,Harbor LaborShift 216,1,1,2026-08-24T00:00:00.000
217,LS000217,41,Atlas LaborShift 217,1,1,2026-08-24T00:00:00.000
218,LS000218,31,Forge LaborShift 218,1,1,2026-08-24T00:00:00.000
219,LS000219,17,Zenith LaborShift 219,1,1,2026-08-24T00:00:00.000
220,LS000220,49,Meridian LaborShift 220,1,1,2026-08-24T00:00:00.000
