InventorySafetyStockPolicyKey,SafetyStockPolicyCode,ProductKey,PlantKey,InventoryPolicySegmentKey,InventoryAbcClassKey,UnitOfMeasureKey,MinimumQuantity,MaximumQuantity,ReorderPointQuantity,ReviewCycleDays,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,ISSP000010,306,291,198,1,1,7.1000,7.1000,7.1000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06cadabcaa4852749cfe0f86e8d6428706cadabcaa4852749cfe0f86e8d64287
11,ISSP000011,437,94,178,5,4,7.8000,7.8000,7.8000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdbce842a73557bb9375b9487a1db40ffdbce842a73557bb9375b9487a1db40f
12,ISSP000012,49,272,157,5,1,8.5000,8.5000,8.5000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdc7b47905075cde8c93c59805cf19d7bdc7b47905075cde8c93c59805cf19d7
13,ISSP000013,294,280,277,4,3,9.2000,9.2000,9.2000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,077f38edd4d55a58aea2737ba7369923077f38edd4d55a58aea2737ba7369923
14,ISSP000014,399,140,400,5,5,9.9000,9.9000,9.9000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd704520a6da5680b5965276733629bfbd704520a6da5680b5965276733629bf
15,ISSP000015,409,316,159,5,6,10.6000,10.6000,10.6000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27132be03f095930b2542e17a13fe48527132be03f095930b2542e17a13fe485
16,ISSP000016,304,332,446,4,1,11.3000,11.3000,11.3000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc654e065f305dcaafc853b557277616cc654e065f305dcaafc853b557277616
17,ISSP000017,246,327,294,3,2,12.0000,12.0000,12.0000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b55f818753f957949603560668cba387b55f818753f957949603560668cba387
18,ISSP000018,295,245,212,1,5,12.7000,12.7000,12.7000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cc707b848c75dfd8a22d34e8d58c6610cc707b848c75dfd8a22d34e8d58c661
19,ISSP000019,277,332,327,1,5,13.4000,13.4000,13.4000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7cbe720b2dd584f867534aac662751ad7cbe720b2dd584f867534aac662751a
20,ISSP000020,352,21,222,2,2,14.1000,14.1000,14.1000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,742e85a290105f868c8cd27eadda01c9742e85a290105f868c8cd27eadda01c9
21,ISSP000021,9,79,118,5,5,14.8000,14.8000,14.8000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5480bed428385edb87f451a57628fd965480bed428385edb87f451a57628fd96
22,ISSP000022,372,1,386,1,7,15.5000,15.5000,15.5000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad7b094dc6f257aa8dd094d44668e183ad7b094dc6f257aa8dd094d44668e183
23,ISSP000023,65,197,164,1,4,16.2000,16.2000,16.2000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ca8c2b5a3f953369cc6348c0efc80a18ca8c2b5a3f953369cc6348c0efc80a1
24,ISSP000024,74,172,425,3,7,16.9000,16.9000,16.9000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bdbd9cb1277594ba4147fb291065cf08bdbd9cb1277594ba4147fb291065cf0
25,ISSP000025,351,55,274,1,1,17.6000,17.6000,17.6000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b234e8e7883d581da6182b30aacae83cb234e8e7883d581da6182b30aacae83c
26,ISSP000026,497,149,193,2,3,18.3000,18.3000,18.3000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4a5c56e186255ddb99e0aa0661dad25c4a5c56e186255ddb99e0aa0661dad25
27,ISSP000027,156,273,267,3,1,19.0000,19.0000,19.0000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e415011ac1065b26a3e286c19ca5066fe415011ac1065b26a3e286c19ca5066f
28,ISSP000028,132,106,290,4,6,19.7000,19.7000,19.7000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ddd6c6c30c335f94a61d01bc204ffcc5ddd6c6c30c335f94a61d01bc204ffcc5
29,ISSP000029,457,180,190,1,3,20.4000,20.4000,20.4000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a85ebd406c2582b863d2e18802706f75a85ebd406c2582b863d2e18802706f7
30,ISSP000030,399,210,231,5,4,21.1000,21.1000,21.1000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,897845dddfa65fd687e7752679db0dd3897845dddfa65fd687e7752679db0dd3
31,ISSP000031,403,97,164,5,4,21.8000,21.8000,21.8000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22b758d6a218502a87eaea617547afc022b758d6a218502a87eaea617547afc0
32,ISSP000032,372,53,313,1,6,22.5000,22.5000,22.5000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e0222f0c5fd5b0f98900aa4965c24893e0222f0c5fd5b0f98900aa4965c2489
33,ISSP000033,299,269,436,2,6,23.2000,23.2000,23.2000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4c189dc4ec75459a9e693018ba55922e4c189dc4ec75459a9e693018ba55922
34,ISSP000034,152,12,117,2,4,23.9000,23.9000,23.9000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5b7e1a9ca115204adb04e73d00833d7e5b7e1a9ca115204adb04e73d00833d7
35,ISSP000035,284,63,289,5,1,24.6000,24.6000,24.6000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dc242887a855529850124d1c13173577dc242887a855529850124d1c1317357
36,ISSP000036,179,191,30,3,1,25.3000,25.3000,25.3000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b126a44b10a5d1abcb6601d75569c651b126a44b10a5d1abcb6601d75569c65
37,ISSP000037,182,234,153,1,2,26.0000,26.0000,26.0000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,716937254b4a5d028f34fb1610c5b9ed716937254b4a5d028f34fb1610c5b9ed
38,ISSP000038,207,195,254,5,1,26.7000,26.7000,26.7000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7c3e46c71ef5d3a945c36969dee794fd7c3e46c71ef5d3a945c36969dee794f
39,ISSP000039,168,227,358,1,3,27.4000,27.4000,27.4000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,850298b6246e528c8042e15e6774d2b9850298b6246e528c8042e15e6774d2b9
40,ISSP000040,370,258,500,1,4,28.1000,28.1000,28.1000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f4e2b5392aa5bfb8d7a613f8b2d8c928f4e2b5392aa5bfb8d7a613f8b2d8c92
41,ISSP000041,204,329,50,5,5,28.8000,28.8000,28.8000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc6d5ef4841353c4bf729bbdb1764e7bbc6d5ef4841353c4bf729bbdb1764e7b
42,ISSP000042,473,190,153,3,1,29.5000,29.5000,29.5000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ddb8974e3665097bb758e37ce68304c2ddb8974e3665097bb758e37ce68304c
43,ISSP000043,455,305,134,1,1,30.2000,30.2000,30.2000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d05fe7af149a5d0fb98d71a327cab32fd05fe7af149a5d0fb98d71a327cab32f
44,ISSP000044,108,209,338,2,5,30.9000,30.9000,30.9000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d437e64dc575964a057e369954043765d437e64dc575964a057e36995404376
45,ISSP000045,361,301,329,5,6,31.6000,31.6000,31.6000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01592f2d48da5281bb94d1735d7a339301592f2d48da5281bb94d1735d7a3393
46,ISSP000046,353,194,446,5,3,32.3000,32.3000,32.3000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,223007476d4b5583a8d9d4f904ca0b7d223007476d4b5583a8d9d4f904ca0b7d
47,ISSP000047,231,119,303,1,3,33.0000,33.0000,33.0000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c33af55e6eb95355a5c72e23bd7a1042c33af55e6eb95355a5c72e23bd7a1042
48,ISSP000048,125,269,57,3,2,33.7000,33.7000,33.7000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ac10ac85ecb506a99b0d919c48b73d55ac10ac85ecb506a99b0d919c48b73d5
49,ISSP000049,307,140,68,1,1,34.4000,34.4000,34.4000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,767af6db98315bd6b1a3051dd290f8cd767af6db98315bd6b1a3051dd290f8cd
50,ISSP000050,45,346,1,2,7,35.1000,35.1000,35.1000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9687dc662c915cea9159c68854b0379d9687dc662c915cea9159c68854b0379d
51,ISSP000051,412,197,210,4,3,35.8000,35.8000,35.8000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7b7a1b421b1530e99b5bd40bdb3f0cda7b7a1b421b1530e99b5bd40bdb3f0cd
52,ISSP000052,369,321,100,3,6,36.5000,36.5000,36.5000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bea78eaa8d46572681b3d212f191d72abea78eaa8d46572681b3d212f191d72a
53,ISSP000053,97,11,370,2,4,37.2000,37.2000,37.2000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21c0095aedab5420b37c68f23834d26421c0095aedab5420b37c68f23834d264
54,ISSP000054,261,129,237,3,4,37.9000,37.9000,37.9000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9a7eeb138785edc982c1249121c2b5aa9a7eeb138785edc982c1249121c2b5a
55,ISSP000055,439,149,152,5,4,38.6000,38.6000,38.6000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5d47ab1f8115972a0b5f203a779df9ea5d47ab1f8115972a0b5f203a779df9e
56,ISSP000056,35,81,389,3,2,39.3000,39.3000,39.3000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0baaa0402246598e8776e878256307d50baaa0402246598e8776e878256307d5
57,ISSP000057,426,52,298,1,3,40.0000,40.0000,40.0000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef0f3ddf4fa1504eaa38bfe0b3e14799ef0f3ddf4fa1504eaa38bfe0b3e14799
58,ISSP000058,70,284,108,4,2,40.7000,40.7000,40.7000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f99b7bf8e41f53ddb57df94d5d345494f99b7bf8e41f53ddb57df94d5d345494
59,ISSP000059,355,260,195,3,7,41.4000,41.4000,41.4000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,211e575c18885b28ae7116d4357d2f6a211e575c18885b28ae7116d4357d2f6a
60,ISSP000060,88,85,343,3,2,42.1000,42.1000,42.1000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,568e8d30f6f05eda8eff69fb207b6225568e8d30f6f05eda8eff69fb207b6225
61,ISSP000061,326,272,254,2,1,42.8000,42.8000,42.8000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e7d230f16535384b675c868a084cd519e7d230f16535384b675c868a084cd51
62,ISSP000062,221,202,483,5,7,43.5000,43.5000,43.5000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1167e83c34f4582fade573691e85e5421167e83c34f4582fade573691e85e542
63,ISSP000063,80,55,402,5,4,44.2000,44.2000,44.2000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,828b30caf00c5518b32dbc05e1ab1518828b30caf00c5518b32dbc05e1ab1518
64,ISSP000064,453,14,137,4,2,44.9000,44.9000,44.9000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a20fa3451e3c50fd94970bb4b1d73834a20fa3451e3c50fd94970bb4b1d73834
65,ISSP000065,271,330,395,1,4,45.6000,45.6000,45.6000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45bf25da31e65abdb0faf1cb2c28c39945bf25da31e65abdb0faf1cb2c28c399
66,ISSP000066,107,183,159,3,2,46.3000,46.3000,46.3000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,537ea85329635bd3abd06f2693041517537ea85329635bd3abd06f2693041517
67,ISSP000067,494,220,206,2,4,47.0000,47.0000,47.0000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ce0dbaf1d5555118e1270bc0003c4588ce0dbaf1d5555118e1270bc0003c458
68,ISSP000068,15,200,280,2,2,47.7000,47.7000,47.7000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0ea8d23c82d5464affa8ba5af6199aff0ea8d23c82d5464affa8ba5af6199af
69,ISSP000069,67,201,241,4,2,48.4000,48.4000,48.4000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92eb99fe479d58478ac68b64bf09c7d492eb99fe479d58478ac68b64bf09c7d4
70,ISSP000070,234,267,355,5,6,49.1000,49.1000,49.1000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,681844ae3ee05796b58a8c4080900e4f681844ae3ee05796b58a8c4080900e4f
71,ISSP000071,374,135,284,3,3,49.8000,49.8000,49.8000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6837910d0a405510af1bd47ba6c66a3d6837910d0a405510af1bd47ba6c66a3d
72,ISSP000072,76,240,286,5,3,50.5000,50.5000,50.5000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f965d09af795f629bf7fa1802e47e5b0f965d09af795f629bf7fa1802e47e5b
73,ISSP000073,292,123,426,1,5,51.2000,51.2000,51.2000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfecfd94895c545893a184e6a8230d75cfecfd94895c545893a184e6a8230d75
74,ISSP000074,384,164,205,2,5,51.9000,51.9000,51.9000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41ec36d2e89c5601b933b77bad15fb0041ec36d2e89c5601b933b77bad15fb00
75,ISSP000075,444,28,497,1,4,52.6000,52.6000,52.6000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03c7ca8c72d05e5dae02009f5157c46203c7ca8c72d05e5dae02009f5157c462
76,ISSP000076,419,297,413,4,7,53.3000,53.3000,53.3000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bb74a836fc55b43ade7beb4d9365f3d2bb74a836fc55b43ade7beb4d9365f3d
77,ISSP000077,463,77,116,2,1,54.0000,54.0000,54.0000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfcf6352d99356b49efc1fcb1da034e7cfcf6352d99356b49efc1fcb1da034e7
78,ISSP000078,126,20,224,4,1,54.7000,54.7000,54.7000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,332d6b0d1cd65e3594a6cf2b1564150a332d6b0d1cd65e3594a6cf2b1564150a
79,ISSP000079,367,343,92,1,6,55.4000,55.4000,55.4000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f10160a045645228b711717b4a508b3df10160a045645228b711717b4a508b3d
80,ISSP000080,347,301,339,4,4,56.1000,56.1000,56.1000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e0a9566996553ba8fa2e978eecd52bb9e0a9566996553ba8fa2e978eecd52bb
81,ISSP000081,495,287,72,5,7,56.8000,56.8000,56.8000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8925a6a1959352df9316789e2044ec128925a6a1959352df9316789e2044ec12
82,ISSP000082,266,94,390,5,5,57.5000,57.5000,57.5000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,713b61898544506982b2acf9df3ba33c713b61898544506982b2acf9df3ba33c
83,ISSP000083,421,251,108,5,5,58.2000,58.2000,58.2000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a726b2465e905a58aa7e6b98411e1f1ca726b2465e905a58aa7e6b98411e1f1c
84,ISSP000084,139,245,258,1,3,58.9000,58.9000,58.9000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbf773a49cdc5f94a451c687cc51ec1afbf773a49cdc5f94a451c687cc51ec1a
85,ISSP000085,355,324,47,3,6,59.6000,59.6000,59.6000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1cb8a8a366052bca3298e8fb0ddffcee1cb8a8a366052bca3298e8fb0ddffce
86,ISSP000086,93,254,190,4,1,60.3000,60.3000,60.3000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44529d6dbeca59b695bded2d4a459b2f44529d6dbeca59b695bded2d4a459b2f
87,ISSP000087,303,124,476,5,5,61.0000,61.0000,61.0000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbba719fd502517aa2842613a9bd1fabbbba719fd502517aa2842613a9bd1fab
88,ISSP000088,418,153,73,1,3,61.7000,61.7000,61.7000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef12b3f012e15f538ee33fdc4020584aef12b3f012e15f538ee33fdc4020584a
89,ISSP000089,402,269,244,3,6,62.4000,62.4000,62.4000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d8ed4ee510c521093ea870bd83972237d8ed4ee510c521093ea870bd8397223
90,ISSP000090,349,90,494,4,3,63.1000,63.1000,63.1000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,812c8cfdec1b58f291b1cd0516f27c10812c8cfdec1b58f291b1cd0516f27c10
91,ISSP000091,313,85,380,2,2,63.8000,63.8000,63.8000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70c5eb11d1bd5b458c58a324684ffa9770c5eb11d1bd5b458c58a324684ffa97
92,ISSP000092,203,28,277,5,5,64.5000,64.5000,64.5000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a14159f5560a5f619a8a38510f79b9eaa14159f5560a5f619a8a38510f79b9ea
93,ISSP000093,260,103,215,5,2,65.2000,65.2000,65.2000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,093720f44dd3577a884603b45cf68945093720f44dd3577a884603b45cf68945
94,ISSP000094,184,264,26,5,5,65.9000,65.9000,65.9000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a8038aa2c935f31a0678d7f988cf29e5a8038aa2c935f31a0678d7f988cf29e
95,ISSP000095,308,117,263,3,3,66.6000,66.6000,66.6000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fc68cde6f51593e8f45129eebef1c042fc68cde6f51593e8f45129eebef1c04
96,ISSP000096,33,104,216,1,4,67.3000,67.3000,67.3000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f293e7a87694542289427b513ca8b4f5f293e7a87694542289427b513ca8b4f5
97,ISSP000097,292,36,413,3,6,68.0000,68.0000,68.0000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,575535a8d0235e62a5a45753a7e6ce1b575535a8d0235e62a5a45753a7e6ce1b
98,ISSP000098,288,153,305,3,4,68.7000,68.7000,68.7000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73187d60be635c34b90021e58891425273187d60be635c34b90021e588914252
99,ISSP000099,110,200,236,3,3,69.4000,69.4000,69.4000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28aef51196585adf8f054155c460dae228aef51196585adf8f054155c460dae2
100,ISSP000100,496,244,396,2,2,70.1000,70.1000,70.1000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76bffbd6ae415743ac97e9011b14a9f176bffbd6ae415743ac97e9011b14a9f1
101,ISSP000101,361,83,335,4,5,70.8000,70.8000,70.8000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64aa5ea3441b5283917b78bd524aff7164aa5ea3441b5283917b78bd524aff71
102,ISSP000102,69,50,163,1,6,71.5000,71.5000,71.5000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d80e666a7c3c5a48a4ac7c7af81a1670d80e666a7c3c5a48a4ac7c7af81a1670
103,ISSP000103,8,339,270,5,5,72.2000,72.2000,72.2000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2088d10c669a5f51862762eab7961d0a2088d10c669a5f51862762eab7961d0a
104,ISSP000104,350,89,150,4,1,72.9000,72.9000,72.9000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffa947e9b7025645b3df056f936ef84affa947e9b7025645b3df056f936ef84a
105,ISSP000105,138,142,345,2,3,73.6000,73.6000,73.6000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7815a9c141a5c7caade4cce77cd51fda7815a9c141a5c7caade4cce77cd51fd
