MaintenanceAssetClassKey,MaintenanceAssetClassCode,MaintenanceAssetSystemKey,MaintenanceAssetClassName,SourceSystemKey,BatchId,LoadedAtUtc
44,MAC000044,20,Riverton MaintenanceAssetClass 44,1,1,2026-08-24T00:00:00.000
45,MAC000045,9,Unity MaintenanceAssetClass 45,1,1,2026-08-24T00:00:00.000
46,MAC000046,11,Unity MaintenanceAssetClass 46,1,1,2026-08-24T00:00:00.000
47,MAC000047,7,Evergreen MaintenanceAssetClass 47,1,1,2026-08-24T00:00:00.000
48,MAC000048,20,Meridian MaintenanceAssetClass 48,1,1,2026-08-24T00:00:00.000
49,MAC000049,13,Vertex MaintenanceAssetClass 49,1,1,2026-08-24T00:00:00.000
50,MAC000050,7,Forge MaintenanceAssetClass 50,1,1,2026-08-24T00:00:00.000
51,MAC000051,3,Unity MaintenanceAssetClass 51,1,1,2026-08-24T00:00:00.000
52,MAC000052,17,Forge MaintenanceAssetClass 52,1,1,2026-08-24T00:00:00.000
53,MAC000053,17,Willow MaintenanceAssetClass 53,1,1,2026-08-24T00:00:00.000
54,MAC000054,20,Willow MaintenanceAssetClass 54,1,1,2026-08-24T00:00:00.000
55,MAC000055,2,Summit MaintenanceAssetClass 55,1,1,2026-08-24T00:00:00.000
56,MAC000056,15,Evergreen MaintenanceAssetClass 56,1,1,2026-08-24T00:00:00.000
57,MAC000057,19,Orion MaintenanceAssetClass 57,1,1,2026-08-24T00:00:00.000
58,MAC000058,10,Vertex MaintenanceAssetClass 58,1,1,2026-08-24T00:00:00.000
59,MAC000059,20,Keystone MaintenanceAssetClass 59,1,1,2026-08-24T00:00:00.000
60,MAC000060,8,Cedar MaintenanceAssetClass 60,1,1,2026-08-24T00:00:00.000
61,MAC000061,18,Vertex MaintenanceAssetClass 61,1,1,2026-08-24T00:00:00.000
62,MAC000062,5,Riverton MaintenanceAssetClass 62,1,1,2026-08-24T00:00:00.000
63,MAC000063,17,Harbor MaintenanceAssetClass 63,1,1,2026-08-24T00:00:00.000
64,MAC000064,17,Beacon MaintenanceAssetClass 64,1,1,2026-08-24T00:00:00.000
65,MAC000065,11,Beacon MaintenanceAssetClass 65,1,1,2026-08-24T00:00:00.000
66,MAC000066,9,Forge MaintenanceAssetClass 66,1,1,2026-08-24T00:00:00.000
67,MAC000067,16,Zenith MaintenanceAssetClass 67,1,1,2026-08-24T00:00:00.000
68,MAC000068,4,Atlas MaintenanceAssetClass 68,1,1,2026-08-24T00:00:00.000
69,MAC000069,3,Beacon MaintenanceAssetClass 69,1,1,2026-08-24T00:00:00.000
70,MAC000070,12,Pioneer MaintenanceAssetClass 70,1,1,2026-08-24T00:00:00.000
71,MAC000071,4,Atlas MaintenanceAssetClass 71,1,1,2026-08-24T00:00:00.000
72,MAC000072,19,Vertex MaintenanceAssetClass 72,1,1,2026-08-24T00:00:00.000
73,MAC000073,8,Liberty MaintenanceAssetClass 73,1,1,2026-08-24T00:00:00.000
74,MAC000074,13,Atlas MaintenanceAssetClass 74,1,1,2026-08-24T00:00:00.000
75,MAC000075,8,Orion MaintenanceAssetClass 75,1,1,2026-08-24T00:00:00.000
76,MAC000076,13,Quartz MaintenanceAssetClass 76,1,1,2026-08-24T00:00:00.000
77,MAC000077,16,Meridian MaintenanceAssetClass 77,1,1,2026-08-24T00:00:00.000
78,MAC000078,16,Atlas MaintenanceAssetClass 78,1,1,2026-08-24T00:00:00.000
79,MAC000079,5,Delta MaintenanceAssetClass 79,1,1,2026-08-24T00:00:00.000
80,MAC000080,7,Cedar MaintenanceAssetClass 80,1,1,2026-08-24T00:00:00.000
81,MAC000081,20,Summit MaintenanceAssetClass 81,1,1,2026-08-24T00:00:00.000
82,MAC000082,20,Zenith MaintenanceAssetClass 82,1,1,2026-08-24T00:00:00.000
83,MAC000083,7,Junction MaintenanceAssetClass 83,1,1,2026-08-24T00:00:00.000
84,MAC000084,4,Beacon MaintenanceAssetClass 84,1,1,2026-08-24T00:00:00.000
85,MAC000085,2,Forge MaintenanceAssetClass 85,1,1,2026-08-24T00:00:00.000
86,MAC000086,18,Northstar MaintenanceAssetClass 86,1,1,2026-08-24T00:00:00.000
87,MAC000087,12,Summit MaintenanceAssetClass 87,1,1,2026-08-24T00:00:00.000
88,MAC000088,12,Junction MaintenanceAssetClass 88,1,1,2026-08-24T00:00:00.000
89,MAC000089,8,Ion MaintenanceAssetClass 89,1,1,2026-08-24T00:00:00.000
90,MAC000090,8,Willow MaintenanceAssetClass 90,1,1,2026-08-24T00:00:00.000
91,MAC000091,17,Atlas MaintenanceAssetClass 91,1,1,2026-08-24T00:00:00.000
92,MAC000092,12,Junction MaintenanceAssetClass 92,1,1,2026-08-24T00:00:00.000
93,MAC000093,4,Meridian MaintenanceAssetClass 93,1,1,2026-08-24T00:00:00.000
94,MAC000094,9,Titan MaintenanceAssetClass 94,1,1,2026-08-24T00:00:00.000
95,MAC000095,15,Quartz MaintenanceAssetClass 95,1,1,2026-08-24T00:00:00.000
96,MAC000096,9,Titan MaintenanceAssetClass 96,1,1,2026-08-24T00:00:00.000
97,MAC000097,2,Evergreen MaintenanceAssetClass 97,1,1,2026-08-24T00:00:00.000
98,MAC000098,17,Northstar MaintenanceAssetClass 98,1,1,2026-08-24T00:00:00.000
99,MAC000099,6,Keystone MaintenanceAssetClass 99,1,1,2026-08-24T00:00:00.000
100,MAC000100,2,Atlas MaintenanceAssetClass 100,1,1,2026-08-24T00:00:00.000
