PurchaseApprovalLevelKey,PurchaseApprovalLevelCode,PurchaseApprovalPolicyKey,PurchaseApprovalLevelName,SourceSystemKey,BatchId,LoadedAtUtc
65,PAL000065,14,Vertex PurchaseApprovalLevel 65,1,1,2026-08-24T00:00:00.000
66,PAL000066,19,Vertex PurchaseApprovalLevel 66,1,1,2026-08-24T00:00:00.000
67,PAL000067,8,Atlas PurchaseApprovalLevel 67,1,1,2026-08-24T00:00:00.000
68,PAL000068,9,Zenith PurchaseApprovalLevel 68,1,1,2026-08-24T00:00:00.000
69,PAL000069,15,Ion PurchaseApprovalLevel 69,1,1,2026-08-24T00:00:00.000
70,PAL000070,21,Riverton PurchaseApprovalLevel 70,1,1,2026-08-24T00:00:00.000
71,PAL000071,1,Pioneer PurchaseApprovalLevel 71,1,1,2026-08-24T00:00:00.000
72,PAL000072,20,Vertex PurchaseApprovalLevel 72,1,1,2026-08-24T00:00:00.000
73,PAL000073,12,Evergreen PurchaseApprovalLevel 73,1,1,2026-08-24T00:00:00.000
74,PAL000074,4,Junction PurchaseApprovalLevel 74,1,1,2026-08-24T00:00:00.000
75,PAL000075,13,Keystone PurchaseApprovalLevel 75,1,1,2026-08-24T00:00:00.000
76,PAL000076,21,Junction PurchaseApprovalLevel 76,1,1,2026-08-24T00:00:00.000
77,PAL000077,8,Forge PurchaseApprovalLevel 77,1,1,2026-08-24T00:00:00.000
78,PAL000078,2,Ion PurchaseApprovalLevel 78,1,1,2026-08-24T00:00:00.000
79,PAL000079,22,Meridian PurchaseApprovalLevel 79,1,1,2026-08-24T00:00:00.000
80,PAL000080,23,Forge PurchaseApprovalLevel 80,1,1,2026-08-24T00:00:00.000
81,PAL000081,17,Atlas PurchaseApprovalLevel 81,1,1,2026-08-24T00:00:00.000
82,PAL000082,20,Meridian PurchaseApprovalLevel 82,1,1,2026-08-24T00:00:00.000
83,PAL000083,2,Forge PurchaseApprovalLevel 83,1,1,2026-08-24T00:00:00.000
84,PAL000084,7,Titan PurchaseApprovalLevel 84,1,1,2026-08-24T00:00:00.000
85,PAL000085,24,Titan PurchaseApprovalLevel 85,1,1,2026-08-24T00:00:00.000
86,PAL000086,7,Granite PurchaseApprovalLevel 86,1,1,2026-08-24T00:00:00.000
87,PAL000087,25,Zenith PurchaseApprovalLevel 87,1,1,2026-08-24T00:00:00.000
88,PAL000088,21,Delta PurchaseApprovalLevel 88,1,1,2026-08-24T00:00:00.000
89,PAL000089,12,Willow PurchaseApprovalLevel 89,1,1,2026-08-24T00:00:00.000
90,PAL000090,6,Summit PurchaseApprovalLevel 90,1,1,2026-08-24T00:00:00.000
91,PAL000091,25,Forge PurchaseApprovalLevel 91,1,1,2026-08-24T00:00:00.000
92,PAL000092,11,Orion PurchaseApprovalLevel 92,1,1,2026-08-24T00:00:00.000
93,PAL000093,17,Liberty PurchaseApprovalLevel 93,1,1,2026-08-24T00:00:00.000
94,PAL000094,11,Pioneer PurchaseApprovalLevel 94,1,1,2026-08-24T00:00:00.000
95,PAL000095,20,Unity PurchaseApprovalLevel 95,1,1,2026-08-24T00:00:00.000
96,PAL000096,24,Harbor PurchaseApprovalLevel 96,1,1,2026-08-24T00:00:00.000
97,PAL000097,2,Unity PurchaseApprovalLevel 97,1,1,2026-08-24T00:00:00.000
98,PAL000098,10,Liberty PurchaseApprovalLevel 98,1,1,2026-08-24T00:00:00.000
99,PAL000099,20,Titan PurchaseApprovalLevel 99,1,1,2026-08-24T00:00:00.000
100,PAL000100,13,Forge PurchaseApprovalLevel 100,1,1,2026-08-24T00:00:00.000
101,PAL000101,18,Willow PurchaseApprovalLevel 101,1,1,2026-08-24T00:00:00.000
102,PAL000102,19,Unity PurchaseApprovalLevel 102,1,1,2026-08-24T00:00:00.000
103,PAL000103,4,Beacon PurchaseApprovalLevel 103,1,1,2026-08-24T00:00:00.000
104,PAL000104,6,Granite PurchaseApprovalLevel 104,1,1,2026-08-24T00:00:00.000
105,PAL000105,11,Meridian PurchaseApprovalLevel 105,1,1,2026-08-24T00:00:00.000
106,PAL000106,15,Orion PurchaseApprovalLevel 106,1,1,2026-08-24T00:00:00.000
107,PAL000107,24,Summit PurchaseApprovalLevel 107,1,1,2026-08-24T00:00:00.000
108,PAL000108,6,Quartz PurchaseApprovalLevel 108,1,1,2026-08-24T00:00:00.000
109,PAL000109,12,Unity PurchaseApprovalLevel 109,1,1,2026-08-24T00:00:00.000
110,PAL000110,16,Orion PurchaseApprovalLevel 110,1,1,2026-08-24T00:00:00.000
111,PAL000111,5,Willow PurchaseApprovalLevel 111,1,1,2026-08-24T00:00:00.000
112,PAL000112,24,Delta PurchaseApprovalLevel 112,1,1,2026-08-24T00:00:00.000
113,PAL000113,14,Beacon PurchaseApprovalLevel 113,1,1,2026-08-24T00:00:00.000
114,PAL000114,6,Northstar PurchaseApprovalLevel 114,1,1,2026-08-24T00:00:00.000
115,PAL000115,12,Meridian PurchaseApprovalLevel 115,1,1,2026-08-24T00:00:00.000
116,PAL000116,8,Delta PurchaseApprovalLevel 116,1,1,2026-08-24T00:00:00.000
117,PAL000117,22,Orion PurchaseApprovalLevel 117,1,1,2026-08-24T00:00:00.000
118,PAL000118,5,Unity PurchaseApprovalLevel 118,1,1,2026-08-24T00:00:00.000
119,PAL000119,22,Harbor PurchaseApprovalLevel 119,1,1,2026-08-24T00:00:00.000
120,PAL000120,3,Granite PurchaseApprovalLevel 120,1,1,2026-08-24T00:00:00.000
