InventoryLotKey,LotNumber,ProductKey,PlantKey,InventoryStockStatusKey,LotDescription,ManufactureDate,ExpirationDate,IsRestricted,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,IL000011,331,80,8,InventoryLot starter record 11,2020-01-12,2020-01-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edc14854d6ab5cc9ad8bb9fa6a40a8b7edc14854d6ab5cc9ad8bb9fa6a40a8b7
12,IL000012,232,200,8,InventoryLot starter record 12,2020-01-13,2020-01-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1a34332cce95ca0a4054bef93353714f1a34332cce95ca0a4054bef93353714
13,IL000013,391,50,10,InventoryLot starter record 13,2020-01-14,2020-01-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a857d85b3515bf382859e5f636b262c1a857d85b3515bf382859e5f636b262c
14,IL000014,19,243,6,InventoryLot starter record 14,2020-01-15,2020-01-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84ebd0a409a151b49ed84d0425e3472e84ebd0a409a151b49ed84d0425e3472e
15,IL000015,384,228,3,InventoryLot starter record 15,2020-01-16,2020-01-16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92efda3332045516ab77c8df1650247e92efda3332045516ab77c8df1650247e
16,IL000016,409,4,3,InventoryLot starter record 16,2020-01-17,2020-01-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1ead00b7504544ea2428ffcdcd7ab74e1ead00b7504544ea2428ffcdcd7ab74
17,IL000017,426,157,9,InventoryLot starter record 17,2020-01-18,2020-01-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2745c6735b7b55a7b3e2b47a8856cc932745c6735b7b55a7b3e2b47a8856cc93
18,IL000018,321,312,2,InventoryLot starter record 18,2020-01-19,2020-01-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80a5d30a0ca15e678ed42cc5d78d822b80a5d30a0ca15e678ed42cc5d78d822b
19,IL000019,20,198,9,InventoryLot starter record 19,2020-01-20,2020-01-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7a25db6d84c53ca9c25872a0e5a050db7a25db6d84c53ca9c25872a0e5a050d
20,IL000020,31,57,5,InventoryLot starter record 20,2020-01-21,2020-01-21,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45ef7aafaf935359be6dd7d7543e591d45ef7aafaf935359be6dd7d7543e591d
21,IL000021,153,307,3,InventoryLot starter record 21,2020-01-22,2020-01-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b8b65a824bb51c7a8c8d518d515bb5b4b8b65a824bb51c7a8c8d518d515bb5b
22,IL000022,253,291,3,InventoryLot starter record 22,2020-01-23,2020-01-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4eef795156af59ea9c8923cd5601dd654eef795156af59ea9c8923cd5601dd65
23,IL000023,141,32,10,InventoryLot starter record 23,2020-01-24,2020-01-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d1e2ab8b88e5e71ac205bc4e3aa35928d1e2ab8b88e5e71ac205bc4e3aa3592
24,IL000024,418,350,1,InventoryLot starter record 24,2020-01-25,2020-01-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9285c10a3a4589d83211285a9f43bb4a9285c10a3a4589d83211285a9f43bb4
25,IL000025,159,48,3,InventoryLot starter record 25,2020-01-26,2020-01-26,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76950e5c3b905762a3f825b43abfc91676950e5c3b905762a3f825b43abfc916
26,IL000026,133,221,2,InventoryLot starter record 26,2020-01-27,2020-01-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7c792bf99a85e5c8f42b5c142c26fcec7c792bf99a85e5c8f42b5c142c26fce
27,IL000027,290,111,8,InventoryLot starter record 27,2020-01-28,2020-01-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69b95d2dadaa5efc85fd583a7b7eb84169b95d2dadaa5efc85fd583a7b7eb841
28,IL000028,118,55,7,InventoryLot starter record 28,2020-01-29,2020-01-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2720482826d5e809f4b84a204b4b9b2c2720482826d5e809f4b84a204b4b9b2
29,IL000029,482,231,3,InventoryLot starter record 29,2020-01-30,2020-01-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2bf40619005f54f18286577ea8d639fb2bf40619005f54f18286577ea8d639fb
30,IL000030,177,243,2,InventoryLot starter record 30,2020-01-31,2020-01-31,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f43b3774a2a559b48f04f3ef9003cabcf43b3774a2a559b48f04f3ef9003cabc
31,IL000031,225,55,2,InventoryLot starter record 31,2020-02-01,2020-02-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1166280e201d51b797d6c2bbb96085a31166280e201d51b797d6c2bbb96085a3
32,IL000032,146,197,9,InventoryLot starter record 32,2020-02-02,2020-02-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be083362d8f55e119cbcedbcafe4520cbe083362d8f55e119cbcedbcafe4520c
33,IL000033,256,153,7,InventoryLot starter record 33,2020-02-03,2020-02-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d199d144e0c0576ca2a52f5abc9eeae4d199d144e0c0576ca2a52f5abc9eeae4
34,IL000034,13,136,10,InventoryLot starter record 34,2020-02-04,2020-02-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7998aeaba45454cd919d4a56fae75ddf7998aeaba45454cd919d4a56fae75ddf
35,IL000035,177,191,9,InventoryLot starter record 35,2020-02-05,2020-02-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e424859426ca5c658649dd14b15457e8e424859426ca5c658649dd14b15457e8
36,IL000036,151,119,5,InventoryLot starter record 36,2020-02-06,2020-02-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44b01763cbc051c7b44a3a8281de1d6944b01763cbc051c7b44a3a8281de1d69
37,IL000037,409,239,10,InventoryLot starter record 37,2020-02-07,2020-02-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,122f7705aaa75b2080e0e1a482eff409122f7705aaa75b2080e0e1a482eff409
38,IL000038,177,15,10,InventoryLot starter record 38,2020-02-08,2020-02-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,768ad45cb03f550cb86eadb4d7db61ac768ad45cb03f550cb86eadb4d7db61ac
39,IL000039,6,164,10,InventoryLot starter record 39,2020-02-09,2020-02-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a0965ec50625870ad65d1821ad2a2b83a0965ec50625870ad65d1821ad2a2b8
40,IL000040,222,63,8,InventoryLot starter record 40,2020-02-10,2020-02-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fceba1d5ba1053a5a507910766b860abfceba1d5ba1053a5a507910766b860ab
41,IL000041,384,315,9,InventoryLot starter record 41,2020-02-11,2020-02-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9020de3c51965438861f38c50f7b70869020de3c51965438861f38c50f7b7086
42,IL000042,448,136,4,InventoryLot starter record 42,2020-02-12,2020-02-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ef66645f1d25567ac52e2def962c4aa5ef66645f1d25567ac52e2def962c4aa
43,IL000043,11,241,5,InventoryLot starter record 43,2020-02-13,2020-02-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d62e735b9f0e539e9cd40b564cde5836d62e735b9f0e539e9cd40b564cde5836
44,IL000044,76,138,10,InventoryLot starter record 44,2020-02-14,2020-02-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e46f8085efa457459ef076209a4935ebe46f8085efa457459ef076209a4935eb
45,IL000045,480,271,6,InventoryLot starter record 45,2020-02-15,2020-02-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22c9c645089b53358cbd15c58523596822c9c645089b53358cbd15c585235968
46,IL000046,180,12,4,InventoryLot starter record 46,2020-02-16,2020-02-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a109d27f3da523d838502e527dadf074a109d27f3da523d838502e527dadf07
47,IL000047,403,147,3,InventoryLot starter record 47,2020-02-17,2020-02-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d3dc926655c543ea7c853842f6edd761d3dc926655c543ea7c853842f6edd76
48,IL000048,200,275,7,InventoryLot starter record 48,2020-02-18,2020-02-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4504f7111be51cf96df53b072e8d432d4504f7111be51cf96df53b072e8d432
49,IL000049,92,16,2,InventoryLot starter record 49,2020-02-19,2020-02-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c0f77e0f3af528580b945dff4f98b772c0f77e0f3af528580b945dff4f98b77
50,IL000050,370,69,8,InventoryLot starter record 50,2020-02-20,2020-02-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d126c963a4f58a4b71c5099bbea46229d126c963a4f58a4b71c5099bbea4622
51,IL000051,175,91,7,InventoryLot starter record 51,2020-02-21,2020-02-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69a90782680f58ddb1627368f528b80a69a90782680f58ddb1627368f528b80a
52,IL000052,85,234,9,InventoryLot starter record 52,2020-02-22,2020-02-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc41e807e45f53a0b072406f4fdb60d4cc41e807e45f53a0b072406f4fdb60d4
53,IL000053,433,228,1,InventoryLot starter record 53,2020-02-23,2020-02-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82d5183cc4a35639b0414503339b412282d5183cc4a35639b0414503339b4122
54,IL000054,450,343,10,InventoryLot starter record 54,2020-02-24,2020-02-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b99b182db9aa5402b3f23a964584d9dbb99b182db9aa5402b3f23a964584d9db
55,IL000055,348,9,2,InventoryLot starter record 55,2020-02-25,2020-02-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32b9b583cc6e5ba6bb044973c4f5872032b9b583cc6e5ba6bb044973c4f58720
56,IL000056,485,337,8,InventoryLot starter record 56,2020-02-26,2020-02-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbfb3cb61e895982b219566805991bfedbfb3cb61e895982b219566805991bfe
57,IL000057,351,50,8,InventoryLot starter record 57,2020-02-27,2020-02-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc6dc869cd58559280cfffac55724d7dbc6dc869cd58559280cfffac55724d7d
58,IL000058,62,340,8,InventoryLot starter record 58,2020-02-28,2020-02-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9ebf0bbd62c564da123155d68e1c3a3a9ebf0bbd62c564da123155d68e1c3a3
59,IL000059,460,8,6,InventoryLot starter record 59,2020-02-29,2020-02-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ebd3b5b1b8a5015be30873ba02add204ebd3b5b1b8a5015be30873ba02add20
60,IL000060,277,277,10,InventoryLot starter record 60,2020-03-01,2020-03-01,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cccc4e5d8e60575c8ad57b64db9634a5cccc4e5d8e60575c8ad57b64db9634a5
61,IL000061,164,237,10,InventoryLot starter record 61,2020-03-02,2020-03-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f5b4f38f04356b8a36b89ee975fb6ce3f5b4f38f04356b8a36b89ee975fb6ce
62,IL000062,446,27,6,InventoryLot starter record 62,2020-03-03,2020-03-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2dc5c230e49a575c8c1142c73a0ca7d42dc5c230e49a575c8c1142c73a0ca7d4
63,IL000063,178,157,1,InventoryLot starter record 63,2020-03-04,2020-03-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81a3b8bf6dd859fa8ceb78290cd52b7b81a3b8bf6dd859fa8ceb78290cd52b7b
64,IL000064,12,294,6,InventoryLot starter record 64,2020-03-05,2020-03-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42eda09d7d91554a86ad2509d4d468d442eda09d7d91554a86ad2509d4d468d4
65,IL000065,142,54,3,InventoryLot starter record 65,2020-03-06,2020-03-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,110cacdbe37a59beac641a21721be805110cacdbe37a59beac641a21721be805
66,IL000066,108,133,1,InventoryLot starter record 66,2020-03-07,2020-03-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a1e173c48f2566f8a0e928e4083a5621a1e173c48f2566f8a0e928e4083a562
67,IL000067,4,88,10,InventoryLot starter record 67,2020-03-08,2020-03-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd856977a92958a7998f1cc0458ffec9cd856977a92958a7998f1cc0458ffec9
68,IL000068,184,324,4,InventoryLot starter record 68,2020-03-09,2020-03-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3744a2821ef05017bc6ecc5574999aa53744a2821ef05017bc6ecc5574999aa5
69,IL000069,407,212,8,InventoryLot starter record 69,2020-03-10,2020-03-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,077be44244e8559798de27f77bd4c4ea077be44244e8559798de27f77bd4c4ea
70,IL000070,493,303,3,InventoryLot starter record 70,2020-03-11,2020-03-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9431fcf1271d522db959b45be6dc83199431fcf1271d522db959b45be6dc8319
71,IL000071,373,220,3,InventoryLot starter record 71,2020-03-12,2020-03-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6273858e287d524880c1ed9f8c5a2e1e6273858e287d524880c1ed9f8c5a2e1e
72,IL000072,319,136,4,InventoryLot starter record 72,2020-03-13,2020-03-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,572e861fda41548ea3488fb38b4e451b572e861fda41548ea3488fb38b4e451b
73,IL000073,39,73,4,InventoryLot starter record 73,2020-03-14,2020-03-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,929c1476b0565c0991cb6f3117c96aae929c1476b0565c0991cb6f3117c96aae
74,IL000074,126,18,3,InventoryLot starter record 74,2020-03-15,2020-03-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f0b190dfe4e50d082da82ca81696c2a7f0b190dfe4e50d082da82ca81696c2a
75,IL000075,193,97,10,InventoryLot starter record 75,2020-03-16,2020-03-16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19e508205e435c6683ba927186cd062019e508205e435c6683ba927186cd0620
76,IL000076,114,332,7,InventoryLot starter record 76,2020-03-17,2020-03-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ac3dd253ed8527a943397379f5f39539ac3dd253ed8527a943397379f5f3953
77,IL000077,22,54,3,InventoryLot starter record 77,2020-03-18,2020-03-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fdeb6e8175f57e0ba69ca66a0565f6b0fdeb6e8175f57e0ba69ca66a0565f6b
78,IL000078,231,82,5,InventoryLot starter record 78,2020-03-19,2020-03-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c2e5d10589557dd9f87dd3eef326b1a7c2e5d10589557dd9f87dd3eef326b1a
79,IL000079,425,238,1,InventoryLot starter record 79,2020-03-20,2020-03-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,630902c7a16652ec91e45ab7311b4fcf630902c7a16652ec91e45ab7311b4fcf
80,IL000080,214,213,8,InventoryLot starter record 80,2020-03-21,2020-03-21,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b530e80e46b750d5bab3747e75fb54f4b530e80e46b750d5bab3747e75fb54f4
81,IL000081,412,117,3,InventoryLot starter record 81,2020-03-22,2020-03-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07fbf2bb7fb65e15993f438c1025daa707fbf2bb7fb65e15993f438c1025daa7
82,IL000082,303,9,5,InventoryLot starter record 82,2020-03-23,2020-03-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d23fa3a23e25b87bc1e1dd435a33bba8d23fa3a23e25b87bc1e1dd435a33bba
83,IL000083,257,287,2,InventoryLot starter record 83,2020-03-24,2020-03-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcc9ea4691985702ab2e236d9f910e38fcc9ea4691985702ab2e236d9f910e38
84,IL000084,33,162,2,InventoryLot starter record 84,2020-03-25,2020-03-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93881935617b5696b92eb1b8219260f293881935617b5696b92eb1b8219260f2
85,IL000085,86,296,1,InventoryLot starter record 85,2020-03-26,2020-03-26,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92623c502e66597183ea1ca54de96b5892623c502e66597183ea1ca54de96b58
86,IL000086,218,177,5,InventoryLot starter record 86,2020-03-27,2020-03-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6103d5b2ddc528ca533a1e038b4908ba6103d5b2ddc528ca533a1e038b4908b
87,IL000087,131,316,1,InventoryLot starter record 87,2020-03-28,2020-03-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97540ebc86795de1b737dfa157d93c7d97540ebc86795de1b737dfa157d93c7d
88,IL000088,373,163,1,InventoryLot starter record 88,2020-03-29,2020-03-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97429340ac4959e88865db51241a0bf297429340ac4959e88865db51241a0bf2
89,IL000089,22,340,10,InventoryLot starter record 89,2020-03-30,2020-03-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83118d64064956868573b62fb239a18f83118d64064956868573b62fb239a18f
90,IL000090,83,112,5,InventoryLot starter record 90,2020-03-31,2020-03-31,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3647f0127a6c5976bcc69598f445ebbb3647f0127a6c5976bcc69598f445ebbb
91,IL000091,99,74,7,InventoryLot starter record 91,2020-04-01,2020-04-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23647e953d175941a87c5effadd6621b23647e953d175941a87c5effadd6621b
92,IL000092,371,239,4,InventoryLot starter record 92,2020-04-02,2020-04-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d89301919cc259b99830c72a8fe53fbed89301919cc259b99830c72a8fe53fbe
93,IL000093,130,209,9,InventoryLot starter record 93,2020-04-03,2020-04-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59b80a8c94d45db8bbcf7be087c3aaf959b80a8c94d45db8bbcf7be087c3aaf9
94,IL000094,17,154,8,InventoryLot starter record 94,2020-04-04,2020-04-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4bffd31aad75ecda1d20c6e7aed6f62e4bffd31aad75ecda1d20c6e7aed6f62
95,IL000095,464,59,2,InventoryLot starter record 95,2020-04-05,2020-04-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b5a27b6a730585a9dd3122c9840428e4b5a27b6a730585a9dd3122c9840428e
96,IL000096,469,154,8,InventoryLot starter record 96,2020-04-06,2020-04-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf87987ccdaf545f81cdbde815b36071bf87987ccdaf545f81cdbde815b36071
97,IL000097,257,24,7,InventoryLot starter record 97,2020-04-07,2020-04-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d219597f50f05cb39a24e9a2267edde3d219597f50f05cb39a24e9a2267edde3
98,IL000098,499,172,8,InventoryLot starter record 98,2020-04-08,2020-04-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b1bc49a47059cab5f5ebb971656bab56b1bc49a47059cab5f5ebb971656bab
99,IL000099,246,149,9,InventoryLot starter record 99,2020-04-09,2020-04-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f45c926ce1cf5c738d9fe8cc6e1006b8f45c926ce1cf5c738d9fe8cc6e1006b8
100,IL000100,351,68,7,InventoryLot starter record 100,2020-04-10,2020-04-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67a81b13d7b45afea0ba857fdbaf983567a81b13d7b45afea0ba857fdbaf9835
101,IL000101,81,77,2,InventoryLot starter record 101,2020-04-11,2020-04-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b733ef6a34385b3b825696ca0a65630fb733ef6a34385b3b825696ca0a65630f
