InventoryDispositionKey,DispositionCode,ApprovalStatusKey,InventoryStockStatusKey,DispositionName,AllowsShipment,RequiresApproval,SourceSystemKey,BatchId,LoadedAtUtc
23,ID000023,3,8,Zenith InventoryDisposition 23,1,1,1,1,2026-08-24T00:00:00.000
24,ID000024,5,1,Harbor InventoryDisposition 24,0,0,1,1,2026-08-24T00:00:00.000
25,ID000025,4,8,Summit InventoryDisposition 25,1,1,1,1,2026-08-24T00:00:00.000
26,ID000026,2,3,Quartz InventoryDisposition 26,0,0,1,1,2026-08-24T00:00:00.000
27,ID000027,2,8,Cedar InventoryDisposition 27,1,1,1,1,2026-08-24T00:00:00.000
28,ID000028,2,10,Pioneer InventoryDisposition 28,0,0,1,1,2026-08-24T00:00:00.000
29,ID000029,2,5,Cedar InventoryDisposition 29,1,1,1,1,2026-08-24T00:00:00.000
30,ID000030,4,10,Northstar InventoryDisposition 30,0,0,1,1,2026-08-24T00:00:00.000
31,ID000031,4,4,Harbor InventoryDisposition 31,1,1,1,1,2026-08-24T00:00:00.000
32,ID000032,5,4,Liberty InventoryDisposition 32,0,0,1,1,2026-08-24T00:00:00.000
33,ID000033,3,6,Junction InventoryDisposition 33,1,1,1,1,2026-08-24T00:00:00.000
34,ID000034,5,5,Cedar InventoryDisposition 34,0,0,1,1,2026-08-24T00:00:00.000
35,ID000035,4,2,Orion InventoryDisposition 35,1,1,1,1,2026-08-24T00:00:00.000
36,ID000036,3,2,Harbor InventoryDisposition 36,0,0,1,1,2026-08-24T00:00:00.000
37,ID000037,2,7,Riverton InventoryDisposition 37,1,1,1,1,2026-08-24T00:00:00.000
38,ID000038,5,7,Junction InventoryDisposition 38,0,0,1,1,2026-08-24T00:00:00.000
39,ID000039,5,1,Forge InventoryDisposition 39,1,1,1,1,2026-08-24T00:00:00.000
40,ID000040,1,7,Harbor InventoryDisposition 40,0,0,1,1,2026-08-24T00:00:00.000
41,ID000041,1,6,Cedar InventoryDisposition 41,1,1,1,1,2026-08-24T00:00:00.000
42,ID000042,1,5,Meridian InventoryDisposition 42,0,0,1,1,2026-08-24T00:00:00.000
43,ID000043,4,2,Willow InventoryDisposition 43,1,1,1,1,2026-08-24T00:00:00.000
44,ID000044,1,2,Quartz InventoryDisposition 44,0,0,1,1,2026-08-24T00:00:00.000
45,ID000045,2,8,Quartz InventoryDisposition 45,1,1,1,1,2026-08-24T00:00:00.000
46,ID000046,4,2,Forge InventoryDisposition 46,0,0,1,1,2026-08-24T00:00:00.000
47,ID000047,3,2,Keystone InventoryDisposition 47,1,1,1,1,2026-08-24T00:00:00.000
48,ID000048,5,6,Forge InventoryDisposition 48,0,0,1,1,2026-08-24T00:00:00.000
49,ID000049,5,9,Zenith InventoryDisposition 49,1,1,1,1,2026-08-24T00:00:00.000
50,ID000050,4,4,Summit InventoryDisposition 50,0,0,1,1,2026-08-24T00:00:00.000
51,ID000051,5,4,Willow InventoryDisposition 51,1,1,1,1,2026-08-24T00:00:00.000
52,ID000052,1,10,Liberty InventoryDisposition 52,0,0,1,1,2026-08-24T00:00:00.000
53,ID000053,3,8,Riverton InventoryDisposition 53,1,1,1,1,2026-08-24T00:00:00.000
54,ID000054,5,10,Quartz InventoryDisposition 54,0,0,1,1,2026-08-24T00:00:00.000
55,ID000055,1,6,Granite InventoryDisposition 55,1,1,1,1,2026-08-24T00:00:00.000
56,ID000056,3,1,Orion InventoryDisposition 56,0,0,1,1,2026-08-24T00:00:00.000
57,ID000057,3,7,Zenith InventoryDisposition 57,1,1,1,1,2026-08-24T00:00:00.000
58,ID000058,3,3,Keystone InventoryDisposition 58,0,0,1,1,2026-08-24T00:00:00.000
59,ID000059,1,4,Vertex InventoryDisposition 59,1,1,1,1,2026-08-24T00:00:00.000
60,ID000060,4,1,Pioneer InventoryDisposition 60,0,0,1,1,2026-08-24T00:00:00.000
61,ID000061,4,10,Vertex InventoryDisposition 61,1,1,1,1,2026-08-24T00:00:00.000
62,ID000062,3,5,Zenith InventoryDisposition 62,0,0,1,1,2026-08-24T00:00:00.000
63,ID000063,4,8,Titan InventoryDisposition 63,1,1,1,1,2026-08-24T00:00:00.000
64,ID000064,2,3,Zenith InventoryDisposition 64,0,0,1,1,2026-08-24T00:00:00.000
65,ID000065,2,4,Zenith InventoryDisposition 65,1,1,1,1,2026-08-24T00:00:00.000
66,ID000066,2,2,Ion InventoryDisposition 66,0,0,1,1,2026-08-24T00:00:00.000
67,ID000067,4,5,Orion InventoryDisposition 67,1,1,1,1,2026-08-24T00:00:00.000
68,ID000068,4,2,Willow InventoryDisposition 68,0,0,1,1,2026-08-24T00:00:00.000
69,ID000069,1,7,Ion InventoryDisposition 69,1,1,1,1,2026-08-24T00:00:00.000
70,ID000070,1,3,Quartz InventoryDisposition 70,0,0,1,1,2026-08-24T00:00:00.000
71,ID000071,3,2,Pioneer InventoryDisposition 71,1,1,1,1,2026-08-24T00:00:00.000
72,ID000072,3,3,Quartz InventoryDisposition 72,0,0,1,1,2026-08-24T00:00:00.000
73,ID000073,5,8,Vertex InventoryDisposition 73,1,1,1,1,2026-08-24T00:00:00.000
74,ID000074,1,8,Forge InventoryDisposition 74,0,0,1,1,2026-08-24T00:00:00.000
75,ID000075,2,4,Meridian InventoryDisposition 75,1,1,1,1,2026-08-24T00:00:00.000
76,ID000076,3,1,Northstar InventoryDisposition 76,0,0,1,1,2026-08-24T00:00:00.000
77,ID000077,2,2,Forge InventoryDisposition 77,1,1,1,1,2026-08-24T00:00:00.000
78,ID000078,1,10,Unity InventoryDisposition 78,0,0,1,1,2026-08-24T00:00:00.000
79,ID000079,1,2,Northstar InventoryDisposition 79,1,1,1,1,2026-08-24T00:00:00.000
80,ID000080,4,4,Liberty InventoryDisposition 80,0,0,1,1,2026-08-24T00:00:00.000
81,ID000081,3,10,Riverton InventoryDisposition 81,1,1,1,1,2026-08-24T00:00:00.000
82,ID000082,1,3,Evergreen InventoryDisposition 82,0,0,1,1,2026-08-24T00:00:00.000
83,ID000083,1,1,Evergreen InventoryDisposition 83,1,1,1,1,2026-08-24T00:00:00.000
84,ID000084,4,2,Beacon InventoryDisposition 84,0,0,1,1,2026-08-24T00:00:00.000
85,ID000085,4,2,Forge InventoryDisposition 85,1,1,1,1,2026-08-24T00:00:00.000
86,ID000086,3,5,Beacon InventoryDisposition 86,0,0,1,1,2026-08-24T00:00:00.000
87,ID000087,4,6,Atlas InventoryDisposition 87,1,1,1,1,2026-08-24T00:00:00.000
88,ID000088,1,2,Orion InventoryDisposition 88,0,0,1,1,2026-08-24T00:00:00.000
89,ID000089,3,9,Harbor InventoryDisposition 89,1,1,1,1,2026-08-24T00:00:00.000
90,ID000090,3,6,Atlas InventoryDisposition 90,0,0,1,1,2026-08-24T00:00:00.000
91,ID000091,2,8,Junction InventoryDisposition 91,1,1,1,1,2026-08-24T00:00:00.000
92,ID000092,1,9,Delta InventoryDisposition 92,0,0,1,1,2026-08-24T00:00:00.000
93,ID000093,2,7,Unity InventoryDisposition 93,1,1,1,1,2026-08-24T00:00:00.000
94,ID000094,4,2,Vertex InventoryDisposition 94,0,0,1,1,2026-08-24T00:00:00.000
95,ID000095,2,4,Cedar InventoryDisposition 95,1,1,1,1,2026-08-24T00:00:00.000
96,ID000096,2,2,Liberty InventoryDisposition 96,0,0,1,1,2026-08-24T00:00:00.000
97,ID000097,2,6,Riverton InventoryDisposition 97,1,1,1,1,2026-08-24T00:00:00.000
98,ID000098,4,3,Willow InventoryDisposition 98,0,0,1,1,2026-08-24T00:00:00.000
99,ID000099,1,10,Pioneer InventoryDisposition 99,1,1,1,1,2026-08-24T00:00:00.000
100,ID000100,2,6,Summit InventoryDisposition 100,0,0,1,1,2026-08-24T00:00:00.000
101,ID000101,3,1,Granite InventoryDisposition 101,1,1,1,1,2026-08-24T00:00:00.000
102,ID000102,2,9,Vertex InventoryDisposition 102,0,0,1,1,2026-08-24T00:00:00.000
103,ID000103,1,5,Vertex InventoryDisposition 103,1,1,1,1,2026-08-24T00:00:00.000
104,ID000104,4,8,Atlas InventoryDisposition 104,0,0,1,1,2026-08-24T00:00:00.000
105,ID000105,4,7,Northstar InventoryDisposition 105,1,1,1,1,2026-08-24T00:00:00.000
106,ID000106,5,8,Unity InventoryDisposition 106,0,0,1,1,2026-08-24T00:00:00.000
107,ID000107,3,7,Vertex InventoryDisposition 107,1,1,1,1,2026-08-24T00:00:00.000
108,ID000108,3,10,Beacon InventoryDisposition 108,0,0,1,1,2026-08-24T00:00:00.000
109,ID000109,2,6,Delta InventoryDisposition 109,1,1,1,1,2026-08-24T00:00:00.000
110,ID000110,5,3,Junction InventoryDisposition 110,0,0,1,1,2026-08-24T00:00:00.000
111,ID000111,2,3,Vertex InventoryDisposition 111,1,1,1,1,2026-08-24T00:00:00.000
112,ID000112,1,6,Granite InventoryDisposition 112,0,0,1,1,2026-08-24T00:00:00.000
113,ID000113,5,4,Zenith InventoryDisposition 113,1,1,1,1,2026-08-24T00:00:00.000
114,ID000114,3,2,Harbor InventoryDisposition 114,0,0,1,1,2026-08-24T00:00:00.000
115,ID000115,2,5,Quartz InventoryDisposition 115,1,1,1,1,2026-08-24T00:00:00.000
116,ID000116,1,6,Quartz InventoryDisposition 116,0,0,1,1,2026-08-24T00:00:00.000
117,ID000117,5,3,Forge InventoryDisposition 117,1,1,1,1,2026-08-24T00:00:00.000
118,ID000118,3,7,Zenith InventoryDisposition 118,0,0,1,1,2026-08-24T00:00:00.000
119,ID000119,2,3,Zenith InventoryDisposition 119,1,1,1,1,2026-08-24T00:00:00.000
120,ID000120,2,5,Ion InventoryDisposition 120,0,0,1,1,2026-08-24T00:00:00.000
121,ID000121,1,3,Atlas InventoryDisposition 121,1,1,1,1,2026-08-24T00:00:00.000
122,ID000122,4,8,Zenith InventoryDisposition 122,0,0,1,1,2026-08-24T00:00:00.000
123,ID000123,3,7,Quartz InventoryDisposition 123,1,1,1,1,2026-08-24T00:00:00.000
124,ID000124,1,10,Ion InventoryDisposition 124,0,0,1,1,2026-08-24T00:00:00.000
125,ID000125,3,9,Atlas InventoryDisposition 125,1,1,1,1,2026-08-24T00:00:00.000
126,ID000126,1,10,Junction InventoryDisposition 126,0,0,1,1,2026-08-24T00:00:00.000
127,ID000127,3,5,Junction InventoryDisposition 127,1,1,1,1,2026-08-24T00:00:00.000
128,ID000128,4,6,Orion InventoryDisposition 128,0,0,1,1,2026-08-24T00:00:00.000
129,ID000129,2,6,Vertex InventoryDisposition 129,1,1,1,1,2026-08-24T00:00:00.000
130,ID000130,5,8,Granite InventoryDisposition 130,0,0,1,1,2026-08-24T00:00:00.000
131,ID000131,3,3,Vertex InventoryDisposition 131,1,1,1,1,2026-08-24T00:00:00.000
132,ID000132,5,3,Willow InventoryDisposition 132,0,0,1,1,2026-08-24T00:00:00.000
133,ID000133,5,3,Evergreen InventoryDisposition 133,1,1,1,1,2026-08-24T00:00:00.000
134,ID000134,5,3,Summit InventoryDisposition 134,0,0,1,1,2026-08-24T00:00:00.000
135,ID000135,3,9,Quartz InventoryDisposition 135,1,1,1,1,2026-08-24T00:00:00.000
136,ID000136,1,9,Northstar InventoryDisposition 136,0,0,1,1,2026-08-24T00:00:00.000
137,ID000137,4,7,Riverton InventoryDisposition 137,1,1,1,1,2026-08-24T00:00:00.000
138,ID000138,2,8,Junction InventoryDisposition 138,0,0,1,1,2026-08-24T00:00:00.000
139,ID000139,5,5,Cedar InventoryDisposition 139,1,1,1,1,2026-08-24T00:00:00.000
140,ID000140,5,8,Pioneer InventoryDisposition 140,0,0,1,1,2026-08-24T00:00:00.000
141,ID000141,4,5,Forge InventoryDisposition 141,1,1,1,1,2026-08-24T00:00:00.000
142,ID000142,2,3,Keystone InventoryDisposition 142,0,0,1,1,2026-08-24T00:00:00.000
143,ID000143,4,4,Quartz InventoryDisposition 143,1,1,1,1,2026-08-24T00:00:00.000
144,ID000144,4,9,Junction InventoryDisposition 144,0,0,1,1,2026-08-24T00:00:00.000
145,ID000145,1,8,Ion InventoryDisposition 145,1,1,1,1,2026-08-24T00:00:00.000
146,ID000146,3,2,Orion InventoryDisposition 146,0,0,1,1,2026-08-24T00:00:00.000
147,ID000147,3,7,Riverton InventoryDisposition 147,1,1,1,1,2026-08-24T00:00:00.000
148,ID000148,4,4,Forge InventoryDisposition 148,0,0,1,1,2026-08-24T00:00:00.000
149,ID000149,4,9,Titan InventoryDisposition 149,1,1,1,1,2026-08-24T00:00:00.000
150,ID000150,2,6,Willow InventoryDisposition 150,0,0,1,1,2026-08-24T00:00:00.000
151,ID000151,3,5,Ion InventoryDisposition 151,1,1,1,1,2026-08-24T00:00:00.000
152,ID000152,3,4,Northstar InventoryDisposition 152,0,0,1,1,2026-08-24T00:00:00.000
153,ID000153,2,10,Granite InventoryDisposition 153,1,1,1,1,2026-08-24T00:00:00.000
154,ID000154,5,4,Liberty InventoryDisposition 154,0,0,1,1,2026-08-24T00:00:00.000
155,ID000155,4,3,Harbor InventoryDisposition 155,1,1,1,1,2026-08-24T00:00:00.000
156,ID000156,1,1,Forge InventoryDisposition 156,0,0,1,1,2026-08-24T00:00:00.000
157,ID000157,3,8,Cedar InventoryDisposition 157,1,1,1,1,2026-08-24T00:00:00.000
158,ID000158,4,3,Forge InventoryDisposition 158,0,0,1,1,2026-08-24T00:00:00.000
159,ID000159,5,8,Titan InventoryDisposition 159,1,1,1,1,2026-08-24T00:00:00.000
160,ID000160,4,8,Titan InventoryDisposition 160,0,0,1,1,2026-08-24T00:00:00.000
161,ID000161,5,2,Unity InventoryDisposition 161,1,1,1,1,2026-08-24T00:00:00.000
162,ID000162,5,3,Willow InventoryDisposition 162,0,0,1,1,2026-08-24T00:00:00.000
163,ID000163,1,9,Granite InventoryDisposition 163,1,1,1,1,2026-08-24T00:00:00.000
164,ID000164,5,9,Beacon InventoryDisposition 164,0,0,1,1,2026-08-24T00:00:00.000
165,ID000165,4,7,Vertex InventoryDisposition 165,1,1,1,1,2026-08-24T00:00:00.000
166,ID000166,2,3,Ion InventoryDisposition 166,0,0,1,1,2026-08-24T00:00:00.000
167,ID000167,2,6,Vertex InventoryDisposition 167,1,1,1,1,2026-08-24T00:00:00.000
168,ID000168,5,3,Vertex InventoryDisposition 168,0,0,1,1,2026-08-24T00:00:00.000
169,ID000169,1,3,Delta InventoryDisposition 169,1,1,1,1,2026-08-24T00:00:00.000
170,ID000170,2,9,Orion InventoryDisposition 170,0,0,1,1,2026-08-24T00:00:00.000
171,ID000171,2,2,Liberty InventoryDisposition 171,1,1,1,1,2026-08-24T00:00:00.000
172,ID000172,3,5,Cedar InventoryDisposition 172,0,0,1,1,2026-08-24T00:00:00.000
173,ID000173,2,3,Junction InventoryDisposition 173,1,1,1,1,2026-08-24T00:00:00.000
174,ID000174,2,9,Willow InventoryDisposition 174,0,0,1,1,2026-08-24T00:00:00.000
175,ID000175,4,8,Delta InventoryDisposition 175,1,1,1,1,2026-08-24T00:00:00.000
176,ID000176,5,10,Junction InventoryDisposition 176,0,0,1,1,2026-08-24T00:00:00.000
177,ID000177,1,2,Evergreen InventoryDisposition 177,1,1,1,1,2026-08-24T00:00:00.000
178,ID000178,3,9,Beacon InventoryDisposition 178,0,0,1,1,2026-08-24T00:00:00.000
179,ID000179,4,3,Unity InventoryDisposition 179,1,1,1,1,2026-08-24T00:00:00.000
180,ID000180,5,8,Granite InventoryDisposition 180,0,0,1,1,2026-08-24T00:00:00.000
181,ID000181,4,2,Unity InventoryDisposition 181,1,1,1,1,2026-08-24T00:00:00.000
182,ID000182,3,1,Meridian InventoryDisposition 182,0,0,1,1,2026-08-24T00:00:00.000
183,ID000183,1,9,Vertex InventoryDisposition 183,1,1,1,1,2026-08-24T00:00:00.000
184,ID000184,2,2,Cedar InventoryDisposition 184,0,0,1,1,2026-08-24T00:00:00.000
185,ID000185,2,6,Titan InventoryDisposition 185,1,1,1,1,2026-08-24T00:00:00.000
186,ID000186,4,1,Unity InventoryDisposition 186,0,0,1,1,2026-08-24T00:00:00.000
187,ID000187,4,10,Unity InventoryDisposition 187,1,1,1,1,2026-08-24T00:00:00.000
188,ID000188,2,1,Riverton InventoryDisposition 188,0,0,1,1,2026-08-24T00:00:00.000
189,ID000189,4,10,Vertex InventoryDisposition 189,1,1,1,1,2026-08-24T00:00:00.000
190,ID000190,3,4,Summit InventoryDisposition 190,0,0,1,1,2026-08-24T00:00:00.000
191,ID000191,3,7,Beacon InventoryDisposition 191,1,1,1,1,2026-08-24T00:00:00.000
192,ID000192,5,8,Harbor InventoryDisposition 192,0,0,1,1,2026-08-24T00:00:00.000
193,ID000193,1,7,Harbor InventoryDisposition 193,1,1,1,1,2026-08-24T00:00:00.000
194,ID000194,2,3,Delta InventoryDisposition 194,0,0,1,1,2026-08-24T00:00:00.000
195,ID000195,4,8,Titan InventoryDisposition 195,1,1,1,1,2026-08-24T00:00:00.000
196,ID000196,4,4,Harbor InventoryDisposition 196,0,0,1,1,2026-08-24T00:00:00.000
197,ID000197,3,5,Ion InventoryDisposition 197,1,1,1,1,2026-08-24T00:00:00.000
198,ID000198,1,3,Liberty InventoryDisposition 198,0,0,1,1,2026-08-24T00:00:00.000
199,ID000199,2,3,Forge InventoryDisposition 199,1,1,1,1,2026-08-24T00:00:00.000
200,ID000200,1,9,Vertex InventoryDisposition 200,0,0,1,1,2026-08-24T00:00:00.000
201,ID000201,4,4,Ion InventoryDisposition 201,1,1,1,1,2026-08-24T00:00:00.000
202,ID000202,1,10,Atlas InventoryDisposition 202,0,0,1,1,2026-08-24T00:00:00.000
203,ID000203,3,1,Delta InventoryDisposition 203,1,1,1,1,2026-08-24T00:00:00.000
204,ID000204,2,7,Keystone InventoryDisposition 204,0,0,1,1,2026-08-24T00:00:00.000
205,ID000205,5,5,Quartz InventoryDisposition 205,1,1,1,1,2026-08-24T00:00:00.000
206,ID000206,1,8,Evergreen InventoryDisposition 206,0,0,1,1,2026-08-24T00:00:00.000
207,ID000207,5,3,Granite InventoryDisposition 207,1,1,1,1,2026-08-24T00:00:00.000
208,ID000208,2,8,Harbor InventoryDisposition 208,0,0,1,1,2026-08-24T00:00:00.000
209,ID000209,1,10,Pioneer InventoryDisposition 209,1,1,1,1,2026-08-24T00:00:00.000
210,ID000210,4,4,Zenith InventoryDisposition 210,0,0,1,1,2026-08-24T00:00:00.000
211,ID000211,4,6,Junction InventoryDisposition 211,1,1,1,1,2026-08-24T00:00:00.000
212,ID000212,2,1,Quartz InventoryDisposition 212,0,0,1,1,2026-08-24T00:00:00.000
213,ID000213,2,8,Cedar InventoryDisposition 213,1,1,1,1,2026-08-24T00:00:00.000
214,ID000214,5,5,Willow InventoryDisposition 214,0,0,1,1,2026-08-24T00:00:00.000
215,ID000215,2,8,Meridian InventoryDisposition 215,1,1,1,1,2026-08-24T00:00:00.000
216,ID000216,2,1,Northstar InventoryDisposition 216,0,0,1,1,2026-08-24T00:00:00.000
217,ID000217,4,6,Keystone InventoryDisposition 217,1,1,1,1,2026-08-24T00:00:00.000
218,ID000218,1,4,Unity InventoryDisposition 218,0,0,1,1,2026-08-24T00:00:00.000
219,ID000219,4,2,Granite InventoryDisposition 219,1,1,1,1,2026-08-24T00:00:00.000
220,ID000220,3,6,Harbor InventoryDisposition 220,0,0,1,1,2026-08-24T00:00:00.000
221,ID000221,5,1,Zenith InventoryDisposition 221,1,1,1,1,2026-08-24T00:00:00.000
222,ID000222,4,5,Vertex InventoryDisposition 222,0,0,1,1,2026-08-24T00:00:00.000
223,ID000223,3,10,Unity InventoryDisposition 223,1,1,1,1,2026-08-24T00:00:00.000
224,ID000224,5,1,Northstar InventoryDisposition 224,0,0,1,1,2026-08-24T00:00:00.000
225,ID000225,5,4,Evergreen InventoryDisposition 225,1,1,1,1,2026-08-24T00:00:00.000
226,ID000226,4,5,Northstar InventoryDisposition 226,0,0,1,1,2026-08-24T00:00:00.000
227,ID000227,5,2,Liberty InventoryDisposition 227,1,1,1,1,2026-08-24T00:00:00.000
228,ID000228,1,10,Keystone InventoryDisposition 228,0,0,1,1,2026-08-24T00:00:00.000
229,ID000229,4,2,Pioneer InventoryDisposition 229,1,1,1,1,2026-08-24T00:00:00.000
230,ID000230,1,10,Summit InventoryDisposition 230,0,0,1,1,2026-08-24T00:00:00.000
231,ID000231,1,4,Unity InventoryDisposition 231,1,1,1,1,2026-08-24T00:00:00.000
232,ID000232,1,5,Vertex InventoryDisposition 232,0,0,1,1,2026-08-24T00:00:00.000
233,ID000233,2,2,Unity InventoryDisposition 233,1,1,1,1,2026-08-24T00:00:00.000
234,ID000234,5,8,Unity InventoryDisposition 234,0,0,1,1,2026-08-24T00:00:00.000
235,ID000235,2,3,Orion InventoryDisposition 235,1,1,1,1,2026-08-24T00:00:00.000
236,ID000236,4,6,Vertex InventoryDisposition 236,0,0,1,1,2026-08-24T00:00:00.000
237,ID000237,1,9,Zenith InventoryDisposition 237,1,1,1,1,2026-08-24T00:00:00.000
238,ID000238,2,1,Cedar InventoryDisposition 238,0,0,1,1,2026-08-24T00:00:00.000
239,ID000239,4,4,Zenith InventoryDisposition 239,1,1,1,1,2026-08-24T00:00:00.000
240,ID000240,2,4,Riverton InventoryDisposition 240,0,0,1,1,2026-08-24T00:00:00.000
241,ID000241,3,1,Cedar InventoryDisposition 241,1,1,1,1,2026-08-24T00:00:00.000
242,ID000242,5,1,Granite InventoryDisposition 242,0,0,1,1,2026-08-24T00:00:00.000
243,ID000243,5,10,Unity InventoryDisposition 243,1,1,1,1,2026-08-24T00:00:00.000
244,ID000244,2,2,Unity InventoryDisposition 244,0,0,1,1,2026-08-24T00:00:00.000
245,ID000245,3,2,Beacon InventoryDisposition 245,1,1,1,1,2026-08-24T00:00:00.000
246,ID000246,1,2,Keystone InventoryDisposition 246,0,0,1,1,2026-08-24T00:00:00.000
247,ID000247,5,10,Quartz InventoryDisposition 247,1,1,1,1,2026-08-24T00:00:00.000
248,ID000248,1,6,Zenith InventoryDisposition 248,0,0,1,1,2026-08-24T00:00:00.000
249,ID000249,3,1,Granite InventoryDisposition 249,1,1,1,1,2026-08-24T00:00:00.000
250,ID000250,1,3,Northstar InventoryDisposition 250,0,0,1,1,2026-08-24T00:00:00.000
251,ID000251,3,9,Harbor InventoryDisposition 251,1,1,1,1,2026-08-24T00:00:00.000
252,ID000252,3,5,Atlas InventoryDisposition 252,0,0,1,1,2026-08-24T00:00:00.000
253,ID000253,3,8,Harbor InventoryDisposition 253,1,1,1,1,2026-08-24T00:00:00.000
254,ID000254,1,1,Titan InventoryDisposition 254,0,0,1,1,2026-08-24T00:00:00.000
255,ID000255,4,1,Quartz InventoryDisposition 255,1,1,1,1,2026-08-24T00:00:00.000
256,ID000256,1,5,Summit InventoryDisposition 256,0,0,1,1,2026-08-24T00:00:00.000
257,ID000257,3,7,Unity InventoryDisposition 257,1,1,1,1,2026-08-24T00:00:00.000
258,ID000258,4,9,Atlas InventoryDisposition 258,0,0,1,1,2026-08-24T00:00:00.000
259,ID000259,5,3,Meridian InventoryDisposition 259,1,1,1,1,2026-08-24T00:00:00.000
260,ID000260,5,9,Forge InventoryDisposition 260,0,0,1,1,2026-08-24T00:00:00.000
261,ID000261,1,7,Cedar InventoryDisposition 261,1,1,1,1,2026-08-24T00:00:00.000
262,ID000262,2,10,Summit InventoryDisposition 262,0,0,1,1,2026-08-24T00:00:00.000
263,ID000263,4,2,Zenith InventoryDisposition 263,1,1,1,1,2026-08-24T00:00:00.000
264,ID000264,1,10,Granite InventoryDisposition 264,0,0,1,1,2026-08-24T00:00:00.000
265,ID000265,3,5,Titan InventoryDisposition 265,1,1,1,1,2026-08-24T00:00:00.000
266,ID000266,3,4,Riverton InventoryDisposition 266,0,0,1,1,2026-08-24T00:00:00.000
267,ID000267,4,8,Beacon InventoryDisposition 267,1,1,1,1,2026-08-24T00:00:00.000
268,ID000268,4,3,Forge InventoryDisposition 268,0,0,1,1,2026-08-24T00:00:00.000
269,ID000269,1,1,Keystone InventoryDisposition 269,1,1,1,1,2026-08-24T00:00:00.000
270,ID000270,3,2,Zenith InventoryDisposition 270,0,0,1,1,2026-08-24T00:00:00.000
271,ID000271,4,4,Ion InventoryDisposition 271,1,1,1,1,2026-08-24T00:00:00.000
272,ID000272,4,4,Harbor InventoryDisposition 272,0,0,1,1,2026-08-24T00:00:00.000
273,ID000273,4,4,Ion InventoryDisposition 273,1,1,1,1,2026-08-24T00:00:00.000
274,ID000274,2,8,Beacon InventoryDisposition 274,0,0,1,1,2026-08-24T00:00:00.000
275,ID000275,4,10,Quartz InventoryDisposition 275,1,1,1,1,2026-08-24T00:00:00.000
276,ID000276,4,1,Cedar InventoryDisposition 276,0,0,1,1,2026-08-24T00:00:00.000
277,ID000277,2,8,Unity InventoryDisposition 277,1,1,1,1,2026-08-24T00:00:00.000
278,ID000278,5,10,Vertex InventoryDisposition 278,0,0,1,1,2026-08-24T00:00:00.000
279,ID000279,2,6,Atlas InventoryDisposition 279,1,1,1,1,2026-08-24T00:00:00.000
280,ID000280,1,7,Delta InventoryDisposition 280,0,0,1,1,2026-08-24T00:00:00.000
281,ID000281,1,10,Titan InventoryDisposition 281,1,1,1,1,2026-08-24T00:00:00.000
282,ID000282,4,6,Delta InventoryDisposition 282,0,0,1,1,2026-08-24T00:00:00.000
283,ID000283,3,4,Meridian InventoryDisposition 283,1,1,1,1,2026-08-24T00:00:00.000
