MachineStateReasonGroupKey,MachineStateReasonGroupCode,MachineStateClassKey,MachineStateReasonGroupName,SourceSystemKey,BatchId,LoadedAtUtc
92,MSRG000092,9,Evergreen MachineStateReasonGroup 92,1,1,2026-08-24T00:00:00.000
93,MSRG000093,14,Ion MachineStateReasonGroup 93,1,1,2026-08-24T00:00:00.000
94,MSRG000094,11,Titan MachineStateReasonGroup 94,1,1,2026-08-24T00:00:00.000
95,MSRG000095,36,Vertex MachineStateReasonGroup 95,1,1,2026-08-24T00:00:00.000
96,MSRG000096,17,Cedar MachineStateReasonGroup 96,1,1,2026-08-24T00:00:00.000
97,MSRG000097,21,Orion MachineStateReasonGroup 97,1,1,2026-08-24T00:00:00.000
98,MSRG000098,10,Liberty MachineStateReasonGroup 98,1,1,2026-08-24T00:00:00.000
99,MSRG000099,21,Ion MachineStateReasonGroup 99,1,1,2026-08-24T00:00:00.000
100,MSRG000100,33,Liberty MachineStateReasonGroup 100,1,1,2026-08-24T00:00:00.000
101,MSRG000101,23,Ion MachineStateReasonGroup 101,1,1,2026-08-24T00:00:00.000
102,MSRG000102,27,Beacon MachineStateReasonGroup 102,1,1,2026-08-24T00:00:00.000
103,MSRG000103,14,Zenith MachineStateReasonGroup 103,1,1,2026-08-24T00:00:00.000
104,MSRG000104,31,Pioneer MachineStateReasonGroup 104,1,1,2026-08-24T00:00:00.000
105,MSRG000105,34,Vertex MachineStateReasonGroup 105,1,1,2026-08-24T00:00:00.000
106,MSRG000106,6,Evergreen MachineStateReasonGroup 106,1,1,2026-08-24T00:00:00.000
107,MSRG000107,9,Unity MachineStateReasonGroup 107,1,1,2026-08-24T00:00:00.000
108,MSRG000108,8,Vertex MachineStateReasonGroup 108,1,1,2026-08-24T00:00:00.000
109,MSRG000109,10,Forge MachineStateReasonGroup 109,1,1,2026-08-24T00:00:00.000
110,MSRG000110,27,Delta MachineStateReasonGroup 110,1,1,2026-08-24T00:00:00.000
111,MSRG000111,29,Riverton MachineStateReasonGroup 111,1,1,2026-08-24T00:00:00.000
112,MSRG000112,32,Cedar MachineStateReasonGroup 112,1,1,2026-08-24T00:00:00.000
113,MSRG000113,25,Titan MachineStateReasonGroup 113,1,1,2026-08-24T00:00:00.000
114,MSRG000114,17,Forge MachineStateReasonGroup 114,1,1,2026-08-24T00:00:00.000
115,MSRG000115,16,Atlas MachineStateReasonGroup 115,1,1,2026-08-24T00:00:00.000
116,MSRG000116,13,Cedar MachineStateReasonGroup 116,1,1,2026-08-24T00:00:00.000
117,MSRG000117,14,Willow MachineStateReasonGroup 117,1,1,2026-08-24T00:00:00.000
118,MSRG000118,32,Pioneer MachineStateReasonGroup 118,1,1,2026-08-24T00:00:00.000
119,MSRG000119,29,Granite MachineStateReasonGroup 119,1,1,2026-08-24T00:00:00.000
120,MSRG000120,29,Evergreen MachineStateReasonGroup 120,1,1,2026-08-24T00:00:00.000
121,MSRG000121,7,Harbor MachineStateReasonGroup 121,1,1,2026-08-24T00:00:00.000
122,MSRG000122,6,Keystone MachineStateReasonGroup 122,1,1,2026-08-24T00:00:00.000
123,MSRG000123,35,Evergreen MachineStateReasonGroup 123,1,1,2026-08-24T00:00:00.000
124,MSRG000124,11,Riverton MachineStateReasonGroup 124,1,1,2026-08-24T00:00:00.000
125,MSRG000125,28,Unity MachineStateReasonGroup 125,1,1,2026-08-24T00:00:00.000
126,MSRG000126,13,Riverton MachineStateReasonGroup 126,1,1,2026-08-24T00:00:00.000
127,MSRG000127,10,Evergreen MachineStateReasonGroup 127,1,1,2026-08-24T00:00:00.000
128,MSRG000128,9,Harbor MachineStateReasonGroup 128,1,1,2026-08-24T00:00:00.000
129,MSRG000129,11,Zenith MachineStateReasonGroup 129,1,1,2026-08-24T00:00:00.000
130,MSRG000130,20,Pioneer MachineStateReasonGroup 130,1,1,2026-08-24T00:00:00.000
131,MSRG000131,8,Pioneer MachineStateReasonGroup 131,1,1,2026-08-24T00:00:00.000
132,MSRG000132,34,Summit MachineStateReasonGroup 132,1,1,2026-08-24T00:00:00.000
133,MSRG000133,14,Riverton MachineStateReasonGroup 133,1,1,2026-08-24T00:00:00.000
134,MSRG000134,21,Riverton MachineStateReasonGroup 134,1,1,2026-08-24T00:00:00.000
135,MSRG000135,4,Granite MachineStateReasonGroup 135,1,1,2026-08-24T00:00:00.000
136,MSRG000136,14,Pioneer MachineStateReasonGroup 136,1,1,2026-08-24T00:00:00.000
137,MSRG000137,16,Delta MachineStateReasonGroup 137,1,1,2026-08-24T00:00:00.000
138,MSRG000138,32,Unity MachineStateReasonGroup 138,1,1,2026-08-24T00:00:00.000
139,MSRG000139,22,Willow MachineStateReasonGroup 139,1,1,2026-08-24T00:00:00.000
140,MSRG000140,33,Beacon MachineStateReasonGroup 140,1,1,2026-08-24T00:00:00.000
141,MSRG000141,6,Titan MachineStateReasonGroup 141,1,1,2026-08-24T00:00:00.000
142,MSRG000142,22,Titan MachineStateReasonGroup 142,1,1,2026-08-24T00:00:00.000
143,MSRG000143,19,Junction MachineStateReasonGroup 143,1,1,2026-08-24T00:00:00.000
144,MSRG000144,3,Granite MachineStateReasonGroup 144,1,1,2026-08-24T00:00:00.000
145,MSRG000145,1,Beacon MachineStateReasonGroup 145,1,1,2026-08-24T00:00:00.000
146,MSRG000146,9,Atlas MachineStateReasonGroup 146,1,1,2026-08-24T00:00:00.000
147,MSRG000147,18,Vertex MachineStateReasonGroup 147,1,1,2026-08-24T00:00:00.000
148,MSRG000148,14,Zenith MachineStateReasonGroup 148,1,1,2026-08-24T00:00:00.000
149,MSRG000149,20,Evergreen MachineStateReasonGroup 149,1,1,2026-08-24T00:00:00.000
150,MSRG000150,21,Liberty MachineStateReasonGroup 150,1,1,2026-08-24T00:00:00.000
151,MSRG000151,5,Granite MachineStateReasonGroup 151,1,1,2026-08-24T00:00:00.000
152,MSRG000152,6,Summit MachineStateReasonGroup 152,1,1,2026-08-24T00:00:00.000
153,MSRG000153,32,Willow MachineStateReasonGroup 153,1,1,2026-08-24T00:00:00.000
154,MSRG000154,19,Orion MachineStateReasonGroup 154,1,1,2026-08-24T00:00:00.000
155,MSRG000155,15,Quartz MachineStateReasonGroup 155,1,1,2026-08-24T00:00:00.000
156,MSRG000156,36,Orion MachineStateReasonGroup 156,1,1,2026-08-24T00:00:00.000
157,MSRG000157,26,Summit MachineStateReasonGroup 157,1,1,2026-08-24T00:00:00.000
158,MSRG000158,5,Liberty MachineStateReasonGroup 158,1,1,2026-08-24T00:00:00.000
159,MSRG000159,33,Beacon MachineStateReasonGroup 159,1,1,2026-08-24T00:00:00.000
160,MSRG000160,12,Delta MachineStateReasonGroup 160,1,1,2026-08-24T00:00:00.000
