ProductionProcessLineKey,ProductionProcessLineCode,ProductionProcessAreaKey,ProductionProcessLineName,SourceSystemKey,BatchId,LoadedAtUtc
43,PPL000043,10,Atlas ProductionProcessLine 43,1,1,2026-08-24T00:00:00.000
44,PPL000044,13,Northstar ProductionProcessLine 44,1,1,2026-08-24T00:00:00.000
45,PPL000045,7,Riverton ProductionProcessLine 45,1,1,2026-08-24T00:00:00.000
46,PPL000046,2,Liberty ProductionProcessLine 46,1,1,2026-08-24T00:00:00.000
47,PPL000047,8,Meridian ProductionProcessLine 47,1,1,2026-08-24T00:00:00.000
48,PPL000048,8,Forge ProductionProcessLine 48,1,1,2026-08-24T00:00:00.000
49,PPL000049,1,Quartz ProductionProcessLine 49,1,1,2026-08-24T00:00:00.000
50,PPL000050,13,Orion ProductionProcessLine 50,1,1,2026-08-24T00:00:00.000
51,PPL000051,2,Titan ProductionProcessLine 51,1,1,2026-08-24T00:00:00.000
52,PPL000052,11,Orion ProductionProcessLine 52,1,1,2026-08-24T00:00:00.000
53,PPL000053,12,Ion ProductionProcessLine 53,1,1,2026-08-24T00:00:00.000
54,PPL000054,4,Junction ProductionProcessLine 54,1,1,2026-08-24T00:00:00.000
55,PPL000055,3,Harbor ProductionProcessLine 55,1,1,2026-08-24T00:00:00.000
56,PPL000056,11,Beacon ProductionProcessLine 56,1,1,2026-08-24T00:00:00.000
57,PPL000057,6,Delta ProductionProcessLine 57,1,1,2026-08-24T00:00:00.000
58,PPL000058,12,Riverton ProductionProcessLine 58,1,1,2026-08-24T00:00:00.000
59,PPL000059,13,Keystone ProductionProcessLine 59,1,1,2026-08-24T00:00:00.000
60,PPL000060,4,Delta ProductionProcessLine 60,1,1,2026-08-24T00:00:00.000
61,PPL000061,14,Quartz ProductionProcessLine 61,1,1,2026-08-24T00:00:00.000
62,PPL000062,2,Keystone ProductionProcessLine 62,1,1,2026-08-24T00:00:00.000
63,PPL000063,5,Harbor ProductionProcessLine 63,1,1,2026-08-24T00:00:00.000
64,PPL000064,13,Zenith ProductionProcessLine 64,1,1,2026-08-24T00:00:00.000
65,PPL000065,12,Orion ProductionProcessLine 65,1,1,2026-08-24T00:00:00.000
66,PPL000066,10,Ion ProductionProcessLine 66,1,1,2026-08-24T00:00:00.000
67,PPL000067,4,Granite ProductionProcessLine 67,1,1,2026-08-24T00:00:00.000
68,PPL000068,7,Liberty ProductionProcessLine 68,1,1,2026-08-24T00:00:00.000
69,PPL000069,11,Forge ProductionProcessLine 69,1,1,2026-08-24T00:00:00.000
70,PPL000070,8,Atlas ProductionProcessLine 70,1,1,2026-08-24T00:00:00.000
