QualityGaugeKey,GaugeNumber,AssetKey,QualityLabCellKey,QualityCalibrationStatusKey,UnitOfMeasureKey,QualityGaugeName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
26,QG000026,243,364,6,2,Pioneer QualityGauge 26,QG000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61291b46b5115bce82a25a7d00d2264761291b46b5115bce82a25a7d00d22647
27,QG000027,293,321,1,7,Orion QualityGauge 27,QG000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5960cb6205b58fab80acd41fc063280e5960cb6205b58fab80acd41fc063280
28,QG000028,101,295,3,6,Beacon QualityGauge 28,QG000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4980d362f69e58928c1583a3d09e66474980d362f69e58928c1583a3d09e6647
29,QG000029,317,303,9,5,Granite QualityGauge 29,QG000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5676ba435a5a5b2d8504fd183cc4a14e5676ba435a5a5b2d8504fd183cc4a14e
30,QG000030,255,267,12,2,Delta QualityGauge 30,QG000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7f8dc8474a35820ab1883cd70235982e7f8dc8474a35820ab1883cd70235982
31,QG000031,112,212,12,4,Ion QualityGauge 31,QG000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0da2b52b9cf55b41bdf5eb92de379a160da2b52b9cf55b41bdf5eb92de379a16
32,QG000032,212,335,12,2,Ion QualityGauge 32,QG000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1c5b398c982590e8efda5f8a077493ec1c5b398c982590e8efda5f8a077493e
33,QG000033,135,417,3,7,Forge QualityGauge 33,QG000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d4ad62f4c7c5bab873aba198998a0436d4ad62f4c7c5bab873aba198998a043
34,QG000034,-1,388,8,1,Orion QualityGauge 34,QG000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2327f3add49a5845b59ab8c52b6ef5b22327f3add49a5845b59ab8c52b6ef5b2
35,QG000035,340,419,10,4,Vertex QualityGauge 35,QG000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d70f4af8dff5baa909105649bfadd3f7d70f4af8dff5baa909105649bfadd3f
36,QG000036,467,91,6,1,Orion QualityGauge 36,QG000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a6cecf3097f56868ca285d6ef4ffb952a6cecf3097f56868ca285d6ef4ffb95
37,QG000037,34,246,3,7,Ion QualityGauge 37,QG000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e08e9324ed75f0993ddd4ff449d66e89e08e9324ed75f0993ddd4ff449d66e8
38,QG000038,283,388,12,1,Quartz QualityGauge 38,QG000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11e6c6156e9b5007b7f15aa2e2bf0d7f11e6c6156e9b5007b7f15aa2e2bf0d7f
39,QG000039,260,434,4,2,Titan QualityGauge 39,QG000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8a1b27834cf5e2e956aa6a44c29b361c8a1b27834cf5e2e956aa6a44c29b361
40,QG000040,233,189,2,5,Granite QualityGauge 40,QG000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a34bf323a8c75471b797e3a0d58cf2b3a34bf323a8c75471b797e3a0d58cf2b3
41,QG000041,485,482,7,6,Northstar QualityGauge 41,QG000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb54bd1ed6925f24bf4d6f47ccfdcc6feb54bd1ed6925f24bf4d6f47ccfdcc6f
42,QG000042,270,408,9,5,Willow QualityGauge 42,QG000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a91ada6682fc5280b5150c8226e8d407a91ada6682fc5280b5150c8226e8d407
43,QG000043,267,200,9,1,Harbor QualityGauge 43,QG000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c123f4ab5d755d9a9089f67840c1b00cc123f4ab5d755d9a9089f67840c1b00c
44,QG000044,372,269,3,2,Riverton QualityGauge 44,QG000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84dfd72f67745ec285c0445e2555a82384dfd72f67745ec285c0445e2555a823
45,QG000045,368,211,5,6,Forge QualityGauge 45,QG000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af1888273d905f4b9eeddf391cbc4b2faf1888273d905f4b9eeddf391cbc4b2f
46,QG000046,100,340,9,3,Orion QualityGauge 46,QG000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fda7bbf4ff4f5ca1b29bc36b16626602fda7bbf4ff4f5ca1b29bc36b16626602
47,QG000047,122,39,8,5,Titan QualityGauge 47,QG000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1eb0db23b97a51b0b253d58cec0460f71eb0db23b97a51b0b253d58cec0460f7
48,QG000048,500,378,12,4,Summit QualityGauge 48,QG000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99041778d6dc514abebf3178eb33b87e99041778d6dc514abebf3178eb33b87e
49,QG000049,91,405,10,2,Northstar QualityGauge 49,QG000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c5648406f335cb285b970435ee56b107c5648406f335cb285b970435ee56b10
50,QG000050,188,321,8,7,Keystone QualityGauge 50,QG000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6402e5f6b77e509a805b12c0d15c46796402e5f6b77e509a805b12c0d15c4679
51,QG000051,-1,383,2,3,Ion QualityGauge 51,QG000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d51824d7c788595eb796c3bef81b0377d51824d7c788595eb796c3bef81b0377
52,QG000052,306,354,9,7,Pioneer QualityGauge 52,QG000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17b49ca58cf158a8baa7fea5a5f5329017b49ca58cf158a8baa7fea5a5f53290
53,QG000053,302,102,7,4,Forge QualityGauge 53,QG000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6dca68c9121a5e69bfd79cc7b6c3d5c86dca68c9121a5e69bfd79cc7b6c3d5c8
54,QG000054,316,361,11,4,Ion QualityGauge 54,QG000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbd766e852b15e7382a656ff0da9fe64fbd766e852b15e7382a656ff0da9fe64
55,QG000055,314,102,1,7,Unity QualityGauge 55,QG000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,979a9d7d688150d79733765cdc10a472979a9d7d688150d79733765cdc10a472
56,QG000056,115,460,9,7,Quartz QualityGauge 56,QG000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf4d4956fdb6551a82b19a83e0e8b549bf4d4956fdb6551a82b19a83e0e8b549
57,QG000057,309,445,12,1,Delta QualityGauge 57,QG000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f594f7faa9305f5a9cad8a8c97199b23f594f7faa9305f5a9cad8a8c97199b23
58,QG000058,97,123,2,1,Evergreen QualityGauge 58,QG000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a4b4e316ee55660b3bb37e1761f12a74a4b4e316ee55660b3bb37e1761f12a7
59,QG000059,266,272,5,1,Forge QualityGauge 59,QG000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bd71baa2c7055b794d54aea3f8ff7b68bd71baa2c7055b794d54aea3f8ff7b6
60,QG000060,279,18,5,1,Northstar QualityGauge 60,QG000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,044e42476fd058779700df6435125143044e42476fd058779700df6435125143
61,QG000061,450,257,1,5,Liberty QualityGauge 61,QG000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d23ce3a379385293866b8bf90264f1dad23ce3a379385293866b8bf90264f1da
62,QG000062,27,170,7,4,Forge QualityGauge 62,QG000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,094510e12029519e9d22bf5431ebb62f094510e12029519e9d22bf5431ebb62f
63,QG000063,141,335,12,5,Atlas QualityGauge 63,QG000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b83982424555e61bdf9ecb0274712be2b83982424555e61bdf9ecb0274712be
64,QG000064,98,299,6,4,Beacon QualityGauge 64,QG000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,552126f9adce5e34bb7a499bcbbc4d05552126f9adce5e34bb7a499bcbbc4d05
65,QG000065,259,63,8,7,Junction QualityGauge 65,QG000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e4e06a41a095dd68c9f16dfb7fc67e20e4e06a41a095dd68c9f16dfb7fc67e2
66,QG000066,440,211,9,2,Atlas QualityGauge 66,QG000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91a77536473b576d8f644b4945356fd691a77536473b576d8f644b4945356fd6
67,QG000067,405,349,10,5,Orion QualityGauge 67,QG000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,907e5c2de32f5be0ba0b5a404b87ecda907e5c2de32f5be0ba0b5a404b87ecda
68,QG000068,-1,274,6,4,Junction QualityGauge 68,QG000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1dfe101397156a6ba842f310fbe050fd1dfe101397156a6ba842f310fbe050f
69,QG000069,447,456,3,3,Cedar QualityGauge 69,QG000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfe6d4e103c15fef889187b7a9d77f5cdfe6d4e103c15fef889187b7a9d77f5c
70,QG000070,473,253,8,3,Liberty QualityGauge 70,QG000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,392ed736e0ed5ee1b2360740274aac63392ed736e0ed5ee1b2360740274aac63
71,QG000071,13,124,12,4,Orion QualityGauge 71,QG000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f264123be3855379be5c07f52b530649f264123be3855379be5c07f52b530649
72,QG000072,355,328,4,7,Zenith QualityGauge 72,QG000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1b26114752b51b78d083a4146a90596c1b26114752b51b78d083a4146a90596
73,QG000073,403,68,1,3,Cedar QualityGauge 73,QG000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,631caf65ede55e6694e00a15cd2653d4631caf65ede55e6694e00a15cd2653d4
74,QG000074,15,391,8,5,Zenith QualityGauge 74,QG000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7cdef9277cf7579eb18fba0c962f4d847cdef9277cf7579eb18fba0c962f4d84
75,QG000075,407,216,7,1,Northstar QualityGauge 75,QG000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c57c2555bfc5224b048b493f1acc1d76c57c2555bfc5224b048b493f1acc1d7
76,QG000076,332,345,7,3,Harbor QualityGauge 76,QG000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,847b11cb82315e36997f31e21e6d8903847b11cb82315e36997f31e21e6d8903
77,QG000077,451,437,11,5,Zenith QualityGauge 77,QG000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8a4a02e744e5974a6621dbc5dd01c1fe8a4a02e744e5974a6621dbc5dd01c1f
78,QG000078,100,219,11,4,Atlas QualityGauge 78,QG000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e931c5ba3c375758970be652ba57efaae931c5ba3c375758970be652ba57efaa
79,QG000079,241,53,2,2,Orion QualityGauge 79,QG000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bb1a2a390ab52d5baa43fb4963844f46bb1a2a390ab52d5baa43fb4963844f4
80,QG000080,17,13,7,7,Atlas QualityGauge 80,QG000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b54ad866966e53d3a4bf701fa19e259fb54ad866966e53d3a4bf701fa19e259f
81,QG000081,342,207,3,4,Titan QualityGauge 81,QG000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c57f3ca160d952f3a39e0fb7e90f2d15c57f3ca160d952f3a39e0fb7e90f2d15
82,QG000082,160,201,5,6,Cedar QualityGauge 82,QG000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a1d762361145169a97b316989f79af39a1d762361145169a97b316989f79af3
83,QG000083,239,12,10,1,Atlas QualityGauge 83,QG000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f863942ba7515bcf9f756e6489100245f863942ba7515bcf9f756e6489100245
84,QG000084,119,164,9,7,Evergreen QualityGauge 84,QG000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16853a3ae96255aaaa83945dc2faac8f16853a3ae96255aaaa83945dc2faac8f
85,QG000085,-1,292,2,5,Ion QualityGauge 85,QG000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1205d27479cd539f9d526f874b0a342f1205d27479cd539f9d526f874b0a342f
86,QG000086,12,36,10,2,Vertex QualityGauge 86,QG000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb039342638c5c4fb5d45a1abf892c97cb039342638c5c4fb5d45a1abf892c97
87,QG000087,466,211,3,3,Ion QualityGauge 87,QG000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,047d60f2bb425e27bd6976ca52818981047d60f2bb425e27bd6976ca52818981
88,QG000088,151,45,12,4,Vertex QualityGauge 88,QG000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f45fe94cdcd55842a728369dcd44a41cf45fe94cdcd55842a728369dcd44a41c
89,QG000089,387,400,1,2,Unity QualityGauge 89,QG000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dee67aa63ff05d08af8540f9655d8939dee67aa63ff05d08af8540f9655d8939
90,QG000090,431,461,7,5,Zenith QualityGauge 90,QG000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9454902176fd5e7082368afb6df938909454902176fd5e7082368afb6df93890
91,QG000091,290,477,5,6,Northstar QualityGauge 91,QG000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb3024b2d0455b0bbcdb1d00a2ba050cbb3024b2d0455b0bbcdb1d00a2ba050c
92,QG000092,203,284,2,1,Forge QualityGauge 92,QG000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7050b0d797b15186bb707779c66337067050b0d797b15186bb707779c6633706
93,QG000093,7,338,6,2,Zenith QualityGauge 93,QG000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c55f1aa60f7d5fe7973aad8d16723d83c55f1aa60f7d5fe7973aad8d16723d83
94,QG000094,302,406,7,1,Riverton QualityGauge 94,QG000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939e39bd276d510d90c58171ce0a0965939e39bd276d510d90c58171ce0a0965
95,QG000095,145,498,4,3,Junction QualityGauge 95,QG000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a55a198bbdb5b1e88a2acbd0da83c7c8a55a198bbdb5b1e88a2acbd0da83c7c
96,QG000096,402,152,4,3,Cedar QualityGauge 96,QG000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ec98e884dfa520098d2c7bcaa90e1ab4ec98e884dfa520098d2c7bcaa90e1ab
97,QG000097,148,80,1,1,Pioneer QualityGauge 97,QG000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0407c051c3ab5c468e52ba0796f723870407c051c3ab5c468e52ba0796f72387
98,QG000098,449,18,5,2,Forge QualityGauge 98,QG000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6906a99a5945d469402664863aa999dd6906a99a5945d469402664863aa999d
99,QG000099,468,100,2,4,Quartz QualityGauge 99,QG000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df85dc240b945515b0c62526286cf43cdf85dc240b945515b0c62526286cf43c
100,QG000100,426,343,10,7,Zenith QualityGauge 100,QG000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,000989612a1b5b298939a3c5984e485a000989612a1b5b298939a3c5984e485a
101,QG000101,109,104,5,6,Summit QualityGauge 101,QG000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4eb5d0b8f4d51a092dcf313604e7a7bc4eb5d0b8f4d51a092dcf313604e7a7b
102,QG000102,-1,432,6,6,Keystone QualityGauge 102,QG000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a63add3be5455a29ba7e6bc535424ce5a63add3be5455a29ba7e6bc535424ce
