ProductionOperationKey,ProductionOperationNumber,ProductionWorkOrderKey,WorkCenterKey,ProductionProcessStepKey,ProductionOrderStatusKey,ProductionOperationName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,PO000010,232,109,251,7,Harbor ProductionOperation 10,PO000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bba32f8c6e1e5289a298738b49300e4cbba32f8c6e1e5289a298738b49300e4c
11,PO000011,170,303,499,10,Junction ProductionOperation 11,PO000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8047ef779315fc684463e63679197caf8047ef779315fc684463e63679197ca
12,PO000012,208,260,177,12,Evergreen ProductionOperation 12,PO000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55b7f159e204597dad52d2985c38056f55b7f159e204597dad52d2985c38056f
13,PO000013,69,381,158,7,Titan ProductionOperation 13,PO000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38268042c0cb53179a4bfe5cf55bcb8838268042c0cb53179a4bfe5cf55bcb88
14,PO000014,421,489,494,9,Delta ProductionOperation 14,PO000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7397a071b1665dc084bb0fb7485248597397a071b1665dc084bb0fb748524859
15,PO000015,394,342,410,7,Orion ProductionOperation 15,PO000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,156aca3d52e45cb99d15533281aed817156aca3d52e45cb99d15533281aed817
16,PO000016,488,220,382,4,Pioneer ProductionOperation 16,PO000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34a8a4c3b95059e1836fe7c0100018bf34a8a4c3b95059e1836fe7c0100018bf
17,PO000017,387,95,204,9,Atlas ProductionOperation 17,PO000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,867acbabcd05515f8476a428376ff0e9867acbabcd05515f8476a428376ff0e9
18,PO000018,178,438,108,2,Liberty ProductionOperation 18,PO000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,791537620649552f8cdd7b439f624a1d791537620649552f8cdd7b439f624a1d
19,PO000019,282,57,250,3,Granite ProductionOperation 19,PO000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f1f62e111e15593bb3145a60bbf9fda2f1f62e111e15593bb3145a60bbf9fda
20,PO000020,267,54,37,7,Evergreen ProductionOperation 20,PO000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bb013b69d2a52348b107eae6f88755b9bb013b69d2a52348b107eae6f88755b
21,PO000021,489,449,338,10,Cedar ProductionOperation 21,PO000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,542d914e0412581d9beef29aa3a24276542d914e0412581d9beef29aa3a24276
22,PO000022,286,91,181,10,Unity ProductionOperation 22,PO000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adf0f4594a505f7281f0ca92ad44f407adf0f4594a505f7281f0ca92ad44f407
23,PO000023,393,126,80,1,Cedar ProductionOperation 23,PO000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cce9c5ac373855829e29b8ef10c760a4cce9c5ac373855829e29b8ef10c760a4
24,PO000024,280,25,305,9,Beacon ProductionOperation 24,PO000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a89bc776b9af53e5af0ca98eb443989ca89bc776b9af53e5af0ca98eb443989c
25,PO000025,112,237,121,5,Northstar ProductionOperation 25,PO000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6501284619e85d109b8d3522d5dc86246501284619e85d109b8d3522d5dc8624
26,PO000026,77,125,420,5,Harbor ProductionOperation 26,PO000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b4b7326802543d9f2e4df0539ee28b56b4b7326802543d9f2e4df0539ee28b
27,PO000027,468,282,461,6,Willow ProductionOperation 27,PO000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,294314ff5f695b4dbf9be46163303356294314ff5f695b4dbf9be46163303356
28,PO000028,113,428,370,1,Vertex ProductionOperation 28,PO000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26cb1ca9f8645083830a30dd89659bd826cb1ca9f8645083830a30dd89659bd8
29,PO000029,117,140,323,9,Forge ProductionOperation 29,PO000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f09b9fef00275e6baa42f29a3fd2543ff09b9fef00275e6baa42f29a3fd2543f
30,PO000030,118,43,269,12,Summit ProductionOperation 30,PO000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aa0c718e6b85d8db2420355a4edbffa8aa0c718e6b85d8db2420355a4edbffa
31,PO000031,60,234,165,3,Keystone ProductionOperation 31,PO000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bfe34b0f1225c21bea1fc54ea260b8f4bfe34b0f1225c21bea1fc54ea260b8f
32,PO000032,24,431,322,1,Pioneer ProductionOperation 32,PO000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8eccd82a8e15517d8d66ff121151a80d8eccd82a8e15517d8d66ff121151a80d
33,PO000033,439,237,336,4,Beacon ProductionOperation 33,PO000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef7f202c18335643a50bb7621b83fee8ef7f202c18335643a50bb7621b83fee8
34,PO000034,439,420,29,9,Junction ProductionOperation 34,PO000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2762d0d15eef581ca0a06ef4f18823fe2762d0d15eef581ca0a06ef4f18823fe
35,PO000035,455,180,362,10,Orion ProductionOperation 35,PO000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f043501eaca85678b40c86ccf3f539b9f043501eaca85678b40c86ccf3f539b9
36,PO000036,421,121,305,12,Summit ProductionOperation 36,PO000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,270951ee0bde5916a6ed0d426eedbb9b270951ee0bde5916a6ed0d426eedbb9b
37,PO000037,369,83,245,6,Beacon ProductionOperation 37,PO000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,178f671867545afe91753fa5da25b9d9178f671867545afe91753fa5da25b9d9
38,PO000038,255,373,94,12,Delta ProductionOperation 38,PO000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aaf59661d4515709a6d9cd849aa8c807aaf59661d4515709a6d9cd849aa8c807
39,PO000039,311,124,314,6,Granite ProductionOperation 39,PO000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63f1c98eeee05ddd955f92100e976b5f63f1c98eeee05ddd955f92100e976b5f
40,PO000040,356,453,371,6,Titan ProductionOperation 40,PO000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d72e60b94785f2e8dba3d46993b7bc11d72e60b94785f2e8dba3d46993b7bc1
41,PO000041,57,500,56,8,Atlas ProductionOperation 41,PO000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d14c3cdda1725534af1ee52e36a1b778d14c3cdda1725534af1ee52e36a1b778
42,PO000042,126,436,13,5,Forge ProductionOperation 42,PO000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b840137230e55e7fb0bd0d3f28735424b840137230e55e7fb0bd0d3f28735424
43,PO000043,182,379,314,3,Granite ProductionOperation 43,PO000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6f05033706f5d2b9146a520d90c6e0eb6f05033706f5d2b9146a520d90c6e0e
44,PO000044,213,465,328,11,Northstar ProductionOperation 44,PO000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db6227c5e6b9546992d8fc85c19345dfdb6227c5e6b9546992d8fc85c19345df
45,PO000045,135,333,414,1,Keystone ProductionOperation 45,PO000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1882eecccbbe5d769375b2d0ec28e6441882eecccbbe5d769375b2d0ec28e644
46,PO000046,420,88,465,12,Titan ProductionOperation 46,PO000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e26c820a250c53748505c842a1bc78e0e26c820a250c53748505c842a1bc78e0
47,PO000047,151,263,231,8,Beacon ProductionOperation 47,PO000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35ea6f11c08e5eb293299754df554a2b35ea6f11c08e5eb293299754df554a2b
48,PO000048,242,134,470,10,Beacon ProductionOperation 48,PO000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e69c42957a9539d9df0641af27d12a15e69c42957a9539d9df0641af27d12a1
49,PO000049,298,362,237,9,Unity ProductionOperation 49,PO000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2c870b4d21652bb9333dcd6aab79bddf2c870b4d21652bb9333dcd6aab79bdd
50,PO000050,322,280,100,2,Delta ProductionOperation 50,PO000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7660bcea21dd55029ede515031ebb6377660bcea21dd55029ede515031ebb637
51,PO000051,453,99,52,3,Beacon ProductionOperation 51,PO000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c93d834685d5718b9722b91c8b7c6122c93d834685d5718b9722b91c8b7c612
52,PO000052,37,373,429,11,Quartz ProductionOperation 52,PO000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ac01092e60455c2a2a048c9038083005ac01092e60455c2a2a048c903808300
53,PO000053,433,226,74,5,Titan ProductionOperation 53,PO000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51f2d34962b1577a907506147fcf78e551f2d34962b1577a907506147fcf78e5
54,PO000054,279,398,9,9,Granite ProductionOperation 54,PO000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,746be3b5b80257f8b26a8d4c42237f27746be3b5b80257f8b26a8d4c42237f27
55,PO000055,430,455,386,1,Junction ProductionOperation 55,PO000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93071682b3c559c99b6319f97218637393071682b3c559c99b6319f972186373
56,PO000056,418,331,458,1,Evergreen ProductionOperation 56,PO000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ca5f6a760885ca192ed11d2cdcb75f07ca5f6a760885ca192ed11d2cdcb75f0
57,PO000057,406,69,324,10,Granite ProductionOperation 57,PO000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca41ba6f8e98512eb6a520912fb5ef13ca41ba6f8e98512eb6a520912fb5ef13
58,PO000058,310,30,310,3,Meridian ProductionOperation 58,PO000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f0ab292dcff547a88712b0efcc6b12c8f0ab292dcff547a88712b0efcc6b12c
59,PO000059,1,83,239,3,Granite ProductionOperation 59,PO000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c9a5e11c3db5fa2a22b1b42ab532e8c2c9a5e11c3db5fa2a22b1b42ab532e8c
60,PO000060,164,259,355,6,Northstar ProductionOperation 60,PO000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93a268a1fb515d598982e4593e6621b993a268a1fb515d598982e4593e6621b9
61,PO000061,404,207,184,9,Forge ProductionOperation 61,PO000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61da3364c6f45e509bd2a183b58c849d61da3364c6f45e509bd2a183b58c849d
62,PO000062,196,465,14,3,Titan ProductionOperation 62,PO000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12dd00e16e04598c81009bc32b48023e12dd00e16e04598c81009bc32b48023e
63,PO000063,245,183,462,12,Delta ProductionOperation 63,PO000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59dfd173021a5b1896f0ef12f5b6595559dfd173021a5b1896f0ef12f5b65955
64,PO000064,236,86,434,1,Delta ProductionOperation 64,PO000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c7952e16acf5da5a1fcf3ee24cc333e6c7952e16acf5da5a1fcf3ee24cc333e
65,PO000065,188,304,370,11,Ion ProductionOperation 65,PO000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,696c6fbc958e58fca404d8452c5e833c696c6fbc958e58fca404d8452c5e833c
66,PO000066,396,208,73,11,Atlas ProductionOperation 66,PO000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,778f920d77815ac396b4c93ad4340d9c778f920d77815ac396b4c93ad4340d9c
67,PO000067,89,289,182,9,Atlas ProductionOperation 67,PO000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dc6e567bc415195aa4c59207aa347df0dc6e567bc415195aa4c59207aa347df
68,PO000068,325,139,365,4,Unity ProductionOperation 68,PO000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,653ca1a089c55a048140ab71a8c985f7653ca1a089c55a048140ab71a8c985f7
69,PO000069,308,466,56,9,Quartz ProductionOperation 69,PO000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95496a72b0e45e07bc6ae4c8f706783c95496a72b0e45e07bc6ae4c8f706783c
70,PO000070,58,412,421,12,Summit ProductionOperation 70,PO000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35424cfb5e065aa188873f7f1f189eb335424cfb5e065aa188873f7f1f189eb3
71,PO000071,117,403,58,2,Summit ProductionOperation 71,PO000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,477d643d00e2566c87cf8a206744ad71477d643d00e2566c87cf8a206744ad71
72,PO000072,399,1,99,2,Junction ProductionOperation 72,PO000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8adff3ae9100535ca6a29b5952f042798adff3ae9100535ca6a29b5952f04279
73,PO000073,265,17,342,7,Liberty ProductionOperation 73,PO000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e1b3f99384a55f786a42654a20bd8cd4e1b3f99384a55f786a42654a20bd8cd
74,PO000074,56,147,476,8,Forge ProductionOperation 74,PO000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,249066a029be5e91a888d48b08cf4232249066a029be5e91a888d48b08cf4232
75,PO000075,459,328,30,8,Beacon ProductionOperation 75,PO000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e821f09aadc95dd5a4306eacca301d39e821f09aadc95dd5a4306eacca301d39
76,PO000076,44,108,30,4,Delta ProductionOperation 76,PO000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43e0e871a050567db2e1e3b0625febd443e0e871a050567db2e1e3b0625febd4
77,PO000077,454,160,382,11,Junction ProductionOperation 77,PO000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49b9f4ae6e7f54f99fdab6117d428ee349b9f4ae6e7f54f99fdab6117d428ee3
78,PO000078,464,99,62,1,Northstar ProductionOperation 78,PO000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2087e9bdc1053eaa182207d7be6eaafa2087e9bdc1053eaa182207d7be6eaaf
79,PO000079,279,436,100,7,Pioneer ProductionOperation 79,PO000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a7b3c935e1a5f38b8e7b87bf919975e6a7b3c935e1a5f38b8e7b87bf919975e
80,PO000080,97,130,138,3,Titan ProductionOperation 80,PO000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1db48c00a4c9534e9675d4d444163e861db48c00a4c9534e9675d4d444163e86
81,PO000081,481,396,96,3,Northstar ProductionOperation 81,PO000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60a62cc925e45cf9beacc0e1439d068960a62cc925e45cf9beacc0e1439d0689
82,PO000082,363,362,123,1,Harbor ProductionOperation 82,PO000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b611a0a858f557bdb3d646fa19a0082fb611a0a858f557bdb3d646fa19a0082f
83,PO000083,79,257,130,11,Pioneer ProductionOperation 83,PO000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b63dc9bbc9f2503286fdc34d0fd3ce93b63dc9bbc9f2503286fdc34d0fd3ce93
84,PO000084,83,76,105,12,Beacon ProductionOperation 84,PO000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,546856dc40dc5f3f8340c1a06eaf5998546856dc40dc5f3f8340c1a06eaf5998
85,PO000085,135,419,108,8,Meridian ProductionOperation 85,PO000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9dd5251c9a625a24abc82b659991c6459dd5251c9a625a24abc82b659991c645
86,PO000086,44,102,17,9,Ion ProductionOperation 86,PO000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,584cae0abfbd5370b7687d36bbb2e294584cae0abfbd5370b7687d36bbb2e294
87,PO000087,352,433,490,3,Willow ProductionOperation 87,PO000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d73ba8d9de755bc498011ff4b2abe26ad73ba8d9de755bc498011ff4b2abe26a
88,PO000088,194,355,126,9,Riverton ProductionOperation 88,PO000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ae173de2d7250d5a742c0f702d93f1e2ae173de2d7250d5a742c0f702d93f1e
89,PO000089,176,263,466,4,Northstar ProductionOperation 89,PO000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e551715ef0ba58059ad6eca3d60cbde1e551715ef0ba58059ad6eca3d60cbde1
90,PO000090,88,174,53,8,Titan ProductionOperation 90,PO000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3e8d7b571715479967c66e7a6c04a9ad3e8d7b571715479967c66e7a6c04a9a
91,PO000091,299,475,24,9,Riverton ProductionOperation 91,PO000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,157b3e22e035531d8cf17592fd5bee7d157b3e22e035531d8cf17592fd5bee7d
92,PO000092,53,37,316,5,Titan ProductionOperation 92,PO000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b93e64a6502f50d0aa905052cafde7b5b93e64a6502f50d0aa905052cafde7b5
93,PO000093,415,118,154,3,Atlas ProductionOperation 93,PO000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60e47c153b31517d8d2c3dfba1ea45c960e47c153b31517d8d2c3dfba1ea45c9
94,PO000094,237,401,209,9,Beacon ProductionOperation 94,PO000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1f2dffc8a0d5b56a9c2aeafb5b1ae52d1f2dffc8a0d5b56a9c2aeafb5b1ae52
95,PO000095,193,134,303,11,Unity ProductionOperation 95,PO000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c0b7fbdf3c551b8ae2c6ddb0bebef7a2c0b7fbdf3c551b8ae2c6ddb0bebef7a
96,PO000096,68,304,241,7,Liberty ProductionOperation 96,PO000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22eeaf8384bc5a6eae316b890cd41deb22eeaf8384bc5a6eae316b890cd41deb
97,PO000097,176,230,21,5,Zenith ProductionOperation 97,PO000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,965d0382ba765bb1831de895f3a8c877965d0382ba765bb1831de895f3a8c877
98,PO000098,14,477,339,10,Zenith ProductionOperation 98,PO000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a901a24d56c500bb300e651090f7e9e0a901a24d56c500bb300e651090f7e9e
99,PO000099,60,78,157,1,Forge ProductionOperation 99,PO000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52bf019bb9d65fa5ba469039c429519952bf019bb9d65fa5ba469039c4295199
100,PO000100,500,494,221,1,Keystone ProductionOperation 100,PO000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3a191d7a4b151ed888fefc93d7436a2f3a191d7a4b151ed888fefc93d7436a2
101,PO000101,246,141,63,2,Keystone ProductionOperation 101,PO000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92e7a172c6495c6fbdd2ab1ff9237e3492e7a172c6495c6fbdd2ab1ff9237e34
