EnergyProjectProgramKey,EnergyProjectProgramCode,EnergyProjectPortfolioKey,EnergyProjectProgramName,SourceSystemKey,BatchId,LoadedAtUtc
57,EPP000057,9,Riverton EnergyProjectProgram 57,1,1,2026-08-24T00:00:00.000
58,EPP000058,6,Atlas EnergyProjectProgram 58,1,1,2026-08-24T00:00:00.000
59,EPP000059,5,Pioneer EnergyProjectProgram 59,1,1,2026-08-24T00:00:00.000
60,EPP000060,6,Delta EnergyProjectProgram 60,1,1,2026-08-24T00:00:00.000
61,EPP000061,10,Summit EnergyProjectProgram 61,1,1,2026-08-24T00:00:00.000
62,EPP000062,12,Meridian EnergyProjectProgram 62,1,1,2026-08-24T00:00:00.000
63,EPP000063,8,Unity EnergyProjectProgram 63,1,1,2026-08-24T00:00:00.000
64,EPP000064,18,Meridian EnergyProjectProgram 64,1,1,2026-08-24T00:00:00.000
65,EPP000065,2,Evergreen EnergyProjectProgram 65,1,1,2026-08-24T00:00:00.000
66,EPP000066,10,Cedar EnergyProjectProgram 66,1,1,2026-08-24T00:00:00.000
67,EPP000067,16,Beacon EnergyProjectProgram 67,1,1,2026-08-24T00:00:00.000
68,EPP000068,14,Willow EnergyProjectProgram 68,1,1,2026-08-24T00:00:00.000
69,EPP000069,3,Quartz EnergyProjectProgram 69,1,1,2026-08-24T00:00:00.000
70,EPP000070,14,Zenith EnergyProjectProgram 70,1,1,2026-08-24T00:00:00.000
71,EPP000071,1,Delta EnergyProjectProgram 71,1,1,2026-08-24T00:00:00.000
72,EPP000072,13,Keystone EnergyProjectProgram 72,1,1,2026-08-24T00:00:00.000
73,EPP000073,12,Liberty EnergyProjectProgram 73,1,1,2026-08-24T00:00:00.000
74,EPP000074,8,Keystone EnergyProjectProgram 74,1,1,2026-08-24T00:00:00.000
75,EPP000075,13,Orion EnergyProjectProgram 75,1,1,2026-08-24T00:00:00.000
76,EPP000076,12,Unity EnergyProjectProgram 76,1,1,2026-08-24T00:00:00.000
77,EPP000077,11,Ion EnergyProjectProgram 77,1,1,2026-08-24T00:00:00.000
78,EPP000078,18,Northstar EnergyProjectProgram 78,1,1,2026-08-24T00:00:00.000
79,EPP000079,7,Vertex EnergyProjectProgram 79,1,1,2026-08-24T00:00:00.000
80,EPP000080,10,Summit EnergyProjectProgram 80,1,1,2026-08-24T00:00:00.000
81,EPP000081,4,Northstar EnergyProjectProgram 81,1,1,2026-08-24T00:00:00.000
82,EPP000082,10,Evergreen EnergyProjectProgram 82,1,1,2026-08-24T00:00:00.000
83,EPP000083,15,Granite EnergyProjectProgram 83,1,1,2026-08-24T00:00:00.000
84,EPP000084,15,Evergreen EnergyProjectProgram 84,1,1,2026-08-24T00:00:00.000
85,EPP000085,8,Delta EnergyProjectProgram 85,1,1,2026-08-24T00:00:00.000
86,EPP000086,7,Evergreen EnergyProjectProgram 86,1,1,2026-08-24T00:00:00.000
87,EPP000087,16,Zenith EnergyProjectProgram 87,1,1,2026-08-24T00:00:00.000
88,EPP000088,10,Ion EnergyProjectProgram 88,1,1,2026-08-24T00:00:00.000
89,EPP000089,4,Zenith EnergyProjectProgram 89,1,1,2026-08-24T00:00:00.000
90,EPP000090,2,Pioneer EnergyProjectProgram 90,1,1,2026-08-24T00:00:00.000
