PurchaseSupplierScorecardKey,SupplierScorecardCode,SupplierKey,PurchaseCommodityKey,SupplierScorecardName,QualityWeight,DeliveryWeight,CostWeight,SourceSystemKey,BatchId,LoadedAtUtc
39,PSS000039,222,28,Meridian PurchaseSupplierScorecard 39,40.000000,40.000000,63.430000,1,1,2026-08-24T00:00:00.000
40,PSS000040,100,290,Liberty PurchaseSupplierScorecard 40,41.000000,41.000000,64.800000,1,1,2026-08-24T00:00:00.000
41,PSS000041,236,333,Unity PurchaseSupplierScorecard 41,42.000000,42.000000,66.170000,1,1,2026-08-24T00:00:00.000
42,PSS000042,118,127,Ion PurchaseSupplierScorecard 42,43.000000,43.000000,67.540000,1,1,2026-08-24T00:00:00.000
43,PSS000043,47,274,Ion PurchaseSupplierScorecard 43,44.000000,44.000000,68.910000,1,1,2026-08-24T00:00:00.000
44,PSS000044,255,453,Liberty PurchaseSupplierScorecard 44,45.000000,45.000000,70.280000,1,1,2026-08-24T00:00:00.000
45,PSS000045,268,60,Meridian PurchaseSupplierScorecard 45,46.000000,46.000000,71.650000,1,1,2026-08-24T00:00:00.000
46,PSS000046,475,179,Cedar PurchaseSupplierScorecard 46,47.000000,47.000000,73.020000,1,1,2026-08-24T00:00:00.000
47,PSS000047,114,226,Junction PurchaseSupplierScorecard 47,48.000000,48.000000,74.390000,1,1,2026-08-24T00:00:00.000
48,PSS000048,411,245,Delta PurchaseSupplierScorecard 48,49.000000,49.000000,75.760000,1,1,2026-08-24T00:00:00.000
49,PSS000049,228,250,Unity PurchaseSupplierScorecard 49,50.000000,50.000000,77.130000,1,1,2026-08-24T00:00:00.000
50,PSS000050,480,6,Junction PurchaseSupplierScorecard 50,51.000000,51.000000,78.500000,1,1,2026-08-24T00:00:00.000
51,PSS000051,240,361,Zenith PurchaseSupplierScorecard 51,52.000000,52.000000,79.870000,1,1,2026-08-24T00:00:00.000
52,PSS000052,112,192,Harbor PurchaseSupplierScorecard 52,53.000000,53.000000,81.240000,1,1,2026-08-24T00:00:00.000
53,PSS000053,255,29,Unity PurchaseSupplierScorecard 53,54.000000,54.000000,82.610000,1,1,2026-08-24T00:00:00.000
54,PSS000054,116,246,Riverton PurchaseSupplierScorecard 54,55.000000,55.000000,83.980000,1,1,2026-08-24T00:00:00.000
55,PSS000055,135,165,Quartz PurchaseSupplierScorecard 55,56.000000,56.000000,85.350000,1,1,2026-08-24T00:00:00.000
56,PSS000056,361,430,Delta PurchaseSupplierScorecard 56,57.000000,57.000000,86.720000,1,1,2026-08-24T00:00:00.000
57,PSS000057,222,497,Granite PurchaseSupplierScorecard 57,58.000000,58.000000,88.090000,1,1,2026-08-24T00:00:00.000
58,PSS000058,30,317,Titan PurchaseSupplierScorecard 58,59.000000,59.000000,89.460000,1,1,2026-08-24T00:00:00.000
59,PSS000059,100,12,Summit PurchaseSupplierScorecard 59,60.000000,60.000000,90.830000,1,1,2026-08-24T00:00:00.000
60,PSS000060,448,432,Pioneer PurchaseSupplierScorecard 60,61.000000,61.000000,92.200000,1,1,2026-08-24T00:00:00.000
61,PSS000061,365,345,Quartz PurchaseSupplierScorecard 61,62.000000,62.000000,93.570000,1,1,2026-08-24T00:00:00.000
62,PSS000062,174,355,Unity PurchaseSupplierScorecard 62,63.000000,63.000000,94.940000,1,1,2026-08-24T00:00:00.000
63,PSS000063,67,261,Meridian PurchaseSupplierScorecard 63,64.000000,64.000000,96.310000,1,1,2026-08-24T00:00:00.000
64,PSS000064,481,154,Cedar PurchaseSupplierScorecard 64,65.000000,65.000000,97.680000,1,1,2026-08-24T00:00:00.000
65,PSS000065,183,13,Granite PurchaseSupplierScorecard 65,66.000000,66.000000,99.050000,1,1,2026-08-24T00:00:00.000
66,PSS000066,342,55,Evergreen PurchaseSupplierScorecard 66,67.000000,67.000000,100.420000,1,1,2026-08-24T00:00:00.000
67,PSS000067,235,364,Northstar PurchaseSupplierScorecard 67,68.000000,68.000000,101.790000,1,1,2026-08-24T00:00:00.000
68,PSS000068,338,327,Northstar PurchaseSupplierScorecard 68,69.000000,69.000000,103.160000,1,1,2026-08-24T00:00:00.000
69,PSS000069,64,414,Junction PurchaseSupplierScorecard 69,70.000000,70.000000,104.530000,1,1,2026-08-24T00:00:00.000
70,PSS000070,486,120,Liberty PurchaseSupplierScorecard 70,71.000000,71.000000,105.900000,1,1,2026-08-24T00:00:00.000
71,PSS000071,180,185,Junction PurchaseSupplierScorecard 71,72.000000,72.000000,107.270000,1,1,2026-08-24T00:00:00.000
72,PSS000072,69,392,Junction PurchaseSupplierScorecard 72,73.000000,73.000000,108.640000,1,1,2026-08-24T00:00:00.000
73,PSS000073,329,273,Liberty PurchaseSupplierScorecard 73,74.000000,74.000000,110.010000,1,1,2026-08-24T00:00:00.000
74,PSS000074,150,187,Cedar PurchaseSupplierScorecard 74,75.000000,75.000000,111.380000,1,1,2026-08-24T00:00:00.000
75,PSS000075,421,279,Junction PurchaseSupplierScorecard 75,76.000000,76.000000,112.750000,1,1,2026-08-24T00:00:00.000
76,PSS000076,303,350,Ion PurchaseSupplierScorecard 76,77.000000,77.000000,114.120000,1,1,2026-08-24T00:00:00.000
77,PSS000077,319,129,Keystone PurchaseSupplierScorecard 77,78.000000,78.000000,115.490000,1,1,2026-08-24T00:00:00.000
78,PSS000078,457,222,Vertex PurchaseSupplierScorecard 78,79.000000,79.000000,116.860000,1,1,2026-08-24T00:00:00.000
79,PSS000079,104,124,Granite PurchaseSupplierScorecard 79,80.000000,80.000000,118.230000,1,1,2026-08-24T00:00:00.000
80,PSS000080,202,23,Harbor PurchaseSupplierScorecard 80,81.000000,81.000000,119.600000,1,1,2026-08-24T00:00:00.000
81,PSS000081,54,477,Forge PurchaseSupplierScorecard 81,82.000000,82.000000,120.970000,1,1,2026-08-24T00:00:00.000
82,PSS000082,361,305,Forge PurchaseSupplierScorecard 82,83.000000,83.000000,122.340000,1,1,2026-08-24T00:00:00.000
83,PSS000083,409,101,Pioneer PurchaseSupplierScorecard 83,84.000000,84.000000,123.710000,1,1,2026-08-24T00:00:00.000
84,PSS000084,190,433,Unity PurchaseSupplierScorecard 84,85.000000,85.000000,125.080000,1,1,2026-08-24T00:00:00.000
85,PSS000085,268,318,Riverton PurchaseSupplierScorecard 85,86.000000,86.000000,126.450000,1,1,2026-08-24T00:00:00.000
86,PSS000086,182,179,Liberty PurchaseSupplierScorecard 86,87.000000,87.000000,127.820000,1,1,2026-08-24T00:00:00.000
87,PSS000087,268,287,Zenith PurchaseSupplierScorecard 87,88.000000,88.000000,129.190000,1,1,2026-08-24T00:00:00.000
88,PSS000088,39,227,Cedar PurchaseSupplierScorecard 88,89.000000,89.000000,130.560000,1,1,2026-08-24T00:00:00.000
89,PSS000089,352,275,Evergreen PurchaseSupplierScorecard 89,90.000000,90.000000,131.930000,1,1,2026-08-24T00:00:00.000
90,PSS000090,457,61,Evergreen PurchaseSupplierScorecard 90,91.000000,91.000000,133.300000,1,1,2026-08-24T00:00:00.000
91,PSS000091,422,187,Zenith PurchaseSupplierScorecard 91,92.000000,92.000000,134.670000,1,1,2026-08-24T00:00:00.000
92,PSS000092,476,403,Delta PurchaseSupplierScorecard 92,93.000000,93.000000,136.040000,1,1,2026-08-24T00:00:00.000
93,PSS000093,133,134,Granite PurchaseSupplierScorecard 93,94.000000,94.000000,137.410000,1,1,2026-08-24T00:00:00.000
94,PSS000094,357,77,Evergreen PurchaseSupplierScorecard 94,95.000000,95.000000,138.780000,1,1,2026-08-24T00:00:00.000
95,PSS000095,278,132,Ion PurchaseSupplierScorecard 95,96.000000,96.000000,140.150000,1,1,2026-08-24T00:00:00.000
96,PSS000096,54,350,Keystone PurchaseSupplierScorecard 96,97.000000,97.000000,141.520000,1,1,2026-08-24T00:00:00.000
97,PSS000097,97,364,Granite PurchaseSupplierScorecard 97,98.000000,98.000000,142.890000,1,1,2026-08-24T00:00:00.000
98,PSS000098,287,203,Pioneer PurchaseSupplierScorecard 98,99.000000,99.000000,144.260000,1,1,2026-08-24T00:00:00.000
99,PSS000099,366,288,Northstar PurchaseSupplierScorecard 99,100.000000,100.000000,145.630000,1,1,2026-08-24T00:00:00.000
100,PSS000100,487,263,Pioneer PurchaseSupplierScorecard 100,101.000000,101.000000,147.000000,1,1,2026-08-24T00:00:00.000
101,PSS000101,208,1,Quartz PurchaseSupplierScorecard 101,102.000000,102.000000,148.370000,1,1,2026-08-24T00:00:00.000
102,PSS000102,220,185,Willow PurchaseSupplierScorecard 102,103.000000,103.000000,149.740000,1,1,2026-08-24T00:00:00.000
103,PSS000103,228,296,Harbor PurchaseSupplierScorecard 103,104.000000,104.000000,151.110000,1,1,2026-08-24T00:00:00.000
104,PSS000104,453,188,Pioneer PurchaseSupplierScorecard 104,105.000000,105.000000,152.480000,1,1,2026-08-24T00:00:00.000
105,PSS000105,26,212,Liberty PurchaseSupplierScorecard 105,106.000000,106.000000,153.850000,1,1,2026-08-24T00:00:00.000
106,PSS000106,136,465,Unity PurchaseSupplierScorecard 106,107.000000,107.000000,155.220000,1,1,2026-08-24T00:00:00.000
107,PSS000107,412,164,Delta PurchaseSupplierScorecard 107,108.000000,108.000000,156.590000,1,1,2026-08-24T00:00:00.000
108,PSS000108,414,464,Meridian PurchaseSupplierScorecard 108,109.000000,109.000000,157.960000,1,1,2026-08-24T00:00:00.000
109,PSS000109,226,90,Titan PurchaseSupplierScorecard 109,110.000000,110.000000,159.330000,1,1,2026-08-24T00:00:00.000
110,PSS000110,51,393,Cedar PurchaseSupplierScorecard 110,111.000000,111.000000,160.700000,1,1,2026-08-24T00:00:00.000
111,PSS000111,469,75,Quartz PurchaseSupplierScorecard 111,112.000000,112.000000,162.070000,1,1,2026-08-24T00:00:00.000
112,PSS000112,71,32,Liberty PurchaseSupplierScorecard 112,113.000000,113.000000,163.440000,1,1,2026-08-24T00:00:00.000
113,PSS000113,341,34,Harbor PurchaseSupplierScorecard 113,114.000000,114.000000,164.810000,1,1,2026-08-24T00:00:00.000
114,PSS000114,365,405,Northstar PurchaseSupplierScorecard 114,115.000000,115.000000,166.180000,1,1,2026-08-24T00:00:00.000
115,PSS000115,397,488,Zenith PurchaseSupplierScorecard 115,116.000000,116.000000,167.550000,1,1,2026-08-24T00:00:00.000
116,PSS000116,20,109,Delta PurchaseSupplierScorecard 116,117.000000,117.000000,168.920000,1,1,2026-08-24T00:00:00.000
117,PSS000117,310,159,Pioneer PurchaseSupplierScorecard 117,118.000000,118.000000,170.290000,1,1,2026-08-24T00:00:00.000
118,PSS000118,231,60,Willow PurchaseSupplierScorecard 118,119.000000,119.000000,171.660000,1,1,2026-08-24T00:00:00.000
119,PSS000119,57,34,Liberty PurchaseSupplierScorecard 119,120.000000,120.000000,173.030000,1,1,2026-08-24T00:00:00.000
120,PSS000120,182,156,Titan PurchaseSupplierScorecard 120,121.000000,121.000000,174.400000,1,1,2026-08-24T00:00:00.000
121,PSS000121,438,150,Atlas PurchaseSupplierScorecard 121,122.000000,122.000000,175.770000,1,1,2026-08-24T00:00:00.000
122,PSS000122,347,294,Delta PurchaseSupplierScorecard 122,123.000000,123.000000,177.140000,1,1,2026-08-24T00:00:00.000
123,PSS000123,166,408,Junction PurchaseSupplierScorecard 123,124.000000,124.000000,178.510000,1,1,2026-08-24T00:00:00.000
124,PSS000124,207,432,Orion PurchaseSupplierScorecard 124,125.000000,125.000000,179.880000,1,1,2026-08-24T00:00:00.000
125,PSS000125,168,120,Keystone PurchaseSupplierScorecard 125,126.000000,126.000000,181.250000,1,1,2026-08-24T00:00:00.000
126,PSS000126,447,491,Junction PurchaseSupplierScorecard 126,127.000000,127.000000,182.620000,1,1,2026-08-24T00:00:00.000
127,PSS000127,276,323,Riverton PurchaseSupplierScorecard 127,128.000000,128.000000,183.990000,1,1,2026-08-24T00:00:00.000
128,PSS000128,312,345,Pioneer PurchaseSupplierScorecard 128,129.000000,129.000000,185.360000,1,1,2026-08-24T00:00:00.000
129,PSS000129,455,215,Northstar PurchaseSupplierScorecard 129,130.000000,130.000000,186.730000,1,1,2026-08-24T00:00:00.000
130,PSS000130,378,231,Vertex PurchaseSupplierScorecard 130,131.000000,131.000000,188.100000,1,1,2026-08-24T00:00:00.000
131,PSS000131,318,290,Cedar PurchaseSupplierScorecard 131,132.000000,132.000000,189.470000,1,1,2026-08-24T00:00:00.000
132,PSS000132,199,179,Granite PurchaseSupplierScorecard 132,133.000000,133.000000,190.840000,1,1,2026-08-24T00:00:00.000
133,PSS000133,180,208,Harbor PurchaseSupplierScorecard 133,134.000000,134.000000,192.210000,1,1,2026-08-24T00:00:00.000
134,PSS000134,463,450,Atlas PurchaseSupplierScorecard 134,135.000000,135.000000,193.580000,1,1,2026-08-24T00:00:00.000
135,PSS000135,60,300,Pioneer PurchaseSupplierScorecard 135,136.000000,136.000000,194.950000,1,1,2026-08-24T00:00:00.000
136,PSS000136,452,117,Orion PurchaseSupplierScorecard 136,137.000000,137.000000,196.320000,1,1,2026-08-24T00:00:00.000
137,PSS000137,279,498,Granite PurchaseSupplierScorecard 137,138.000000,138.000000,197.690000,1,1,2026-08-24T00:00:00.000
138,PSS000138,467,234,Pioneer PurchaseSupplierScorecard 138,139.000000,139.000000,199.060000,1,1,2026-08-24T00:00:00.000
139,PSS000139,122,303,Beacon PurchaseSupplierScorecard 139,140.000000,140.000000,200.430000,1,1,2026-08-24T00:00:00.000
140,PSS000140,266,237,Riverton PurchaseSupplierScorecard 140,141.000000,141.000000,201.800000,1,1,2026-08-24T00:00:00.000
141,PSS000141,60,137,Vertex PurchaseSupplierScorecard 141,142.000000,142.000000,203.170000,1,1,2026-08-24T00:00:00.000
142,PSS000142,232,243,Vertex PurchaseSupplierScorecard 142,143.000000,143.000000,204.540000,1,1,2026-08-24T00:00:00.000
143,PSS000143,498,291,Summit PurchaseSupplierScorecard 143,144.000000,144.000000,205.910000,1,1,2026-08-24T00:00:00.000
144,PSS000144,345,474,Ion PurchaseSupplierScorecard 144,145.000000,145.000000,207.280000,1,1,2026-08-24T00:00:00.000
145,PSS000145,319,269,Granite PurchaseSupplierScorecard 145,146.000000,146.000000,208.650000,1,1,2026-08-24T00:00:00.000
146,PSS000146,374,87,Zenith PurchaseSupplierScorecard 146,147.000000,147.000000,210.020000,1,1,2026-08-24T00:00:00.000
147,PSS000147,133,239,Atlas PurchaseSupplierScorecard 147,148.000000,148.000000,211.390000,1,1,2026-08-24T00:00:00.000
148,PSS000148,34,323,Meridian PurchaseSupplierScorecard 148,149.000000,149.000000,212.760000,1,1,2026-08-24T00:00:00.000
149,PSS000149,405,275,Pioneer PurchaseSupplierScorecard 149,150.000000,150.000000,214.130000,1,1,2026-08-24T00:00:00.000
150,PSS000150,15,489,Evergreen PurchaseSupplierScorecard 150,151.000000,151.000000,215.500000,1,1,2026-08-24T00:00:00.000
151,PSS000151,358,123,Quartz PurchaseSupplierScorecard 151,152.000000,152.000000,216.870000,1,1,2026-08-24T00:00:00.000
152,PSS000152,280,303,Keystone PurchaseSupplierScorecard 152,153.000000,153.000000,218.240000,1,1,2026-08-24T00:00:00.000
153,PSS000153,288,383,Riverton PurchaseSupplierScorecard 153,154.000000,154.000000,219.610000,1,1,2026-08-24T00:00:00.000
154,PSS000154,468,409,Vertex PurchaseSupplierScorecard 154,155.000000,155.000000,220.980000,1,1,2026-08-24T00:00:00.000
155,PSS000155,296,141,Cedar PurchaseSupplierScorecard 155,156.000000,156.000000,222.350000,1,1,2026-08-24T00:00:00.000
156,PSS000156,331,7,Riverton PurchaseSupplierScorecard 156,157.000000,157.000000,223.720000,1,1,2026-08-24T00:00:00.000
157,PSS000157,479,326,Meridian PurchaseSupplierScorecard 157,158.000000,158.000000,225.090000,1,1,2026-08-24T00:00:00.000
158,PSS000158,213,182,Titan PurchaseSupplierScorecard 158,159.000000,159.000000,226.460000,1,1,2026-08-24T00:00:00.000
159,PSS000159,200,377,Willow PurchaseSupplierScorecard 159,160.000000,160.000000,227.830000,1,1,2026-08-24T00:00:00.000
160,PSS000160,333,169,Pioneer PurchaseSupplierScorecard 160,161.000000,161.000000,229.200000,1,1,2026-08-24T00:00:00.000
161,PSS000161,343,179,Forge PurchaseSupplierScorecard 161,162.000000,162.000000,230.570000,1,1,2026-08-24T00:00:00.000
162,PSS000162,136,72,Junction PurchaseSupplierScorecard 162,163.000000,163.000000,231.940000,1,1,2026-08-24T00:00:00.000
163,PSS000163,104,329,Unity PurchaseSupplierScorecard 163,164.000000,164.000000,233.310000,1,1,2026-08-24T00:00:00.000
164,PSS000164,4,250,Junction PurchaseSupplierScorecard 164,165.000000,165.000000,234.680000,1,1,2026-08-24T00:00:00.000
165,PSS000165,479,194,Pioneer PurchaseSupplierScorecard 165,166.000000,166.000000,236.050000,1,1,2026-08-24T00:00:00.000
166,PSS000166,102,176,Northstar PurchaseSupplierScorecard 166,167.000000,167.000000,237.420000,1,1,2026-08-24T00:00:00.000
167,PSS000167,344,382,Pioneer PurchaseSupplierScorecard 167,168.000000,168.000000,238.790000,1,1,2026-08-24T00:00:00.000
168,PSS000168,456,339,Unity PurchaseSupplierScorecard 168,169.000000,169.000000,240.160000,1,1,2026-08-24T00:00:00.000
169,PSS000169,500,458,Meridian PurchaseSupplierScorecard 169,170.000000,170.000000,241.530000,1,1,2026-08-24T00:00:00.000
170,PSS000170,104,80,Summit PurchaseSupplierScorecard 170,171.000000,171.000000,242.900000,1,1,2026-08-24T00:00:00.000
171,PSS000171,454,477,Pioneer PurchaseSupplierScorecard 171,172.000000,172.000000,244.270000,1,1,2026-08-24T00:00:00.000
172,PSS000172,85,467,Summit PurchaseSupplierScorecard 172,173.000000,173.000000,245.640000,1,1,2026-08-24T00:00:00.000
173,PSS000173,182,255,Willow PurchaseSupplierScorecard 173,174.000000,174.000000,247.010000,1,1,2026-08-24T00:00:00.000
174,PSS000174,346,422,Willow PurchaseSupplierScorecard 174,175.000000,175.000000,248.380000,1,1,2026-08-24T00:00:00.000
175,PSS000175,62,246,Liberty PurchaseSupplierScorecard 175,176.000000,176.000000,249.750000,1,1,2026-08-24T00:00:00.000
176,PSS000176,52,389,Granite PurchaseSupplierScorecard 176,177.000000,177.000000,251.120000,1,1,2026-08-24T00:00:00.000
177,PSS000177,354,70,Meridian PurchaseSupplierScorecard 177,178.000000,178.000000,252.490000,1,1,2026-08-24T00:00:00.000
178,PSS000178,323,233,Liberty PurchaseSupplierScorecard 178,179.000000,179.000000,253.860000,1,1,2026-08-24T00:00:00.000
179,PSS000179,303,453,Riverton PurchaseSupplierScorecard 179,180.000000,180.000000,255.230000,1,1,2026-08-24T00:00:00.000
180,PSS000180,205,54,Quartz PurchaseSupplierScorecard 180,181.000000,181.000000,256.600000,1,1,2026-08-24T00:00:00.000
181,PSS000181,484,482,Harbor PurchaseSupplierScorecard 181,182.000000,182.000000,257.970000,1,1,2026-08-24T00:00:00.000
182,PSS000182,412,168,Forge PurchaseSupplierScorecard 182,183.000000,183.000000,259.340000,1,1,2026-08-24T00:00:00.000
183,PSS000183,37,478,Summit PurchaseSupplierScorecard 183,184.000000,184.000000,260.710000,1,1,2026-08-24T00:00:00.000
184,PSS000184,175,311,Orion PurchaseSupplierScorecard 184,185.000000,185.000000,262.080000,1,1,2026-08-24T00:00:00.000
185,PSS000185,61,235,Granite PurchaseSupplierScorecard 185,186.000000,186.000000,263.450000,1,1,2026-08-24T00:00:00.000
186,PSS000186,192,288,Unity PurchaseSupplierScorecard 186,187.000000,187.000000,264.820000,1,1,2026-08-24T00:00:00.000
187,PSS000187,248,132,Liberty PurchaseSupplierScorecard 187,188.000000,188.000000,266.190000,1,1,2026-08-24T00:00:00.000
188,PSS000188,475,388,Riverton PurchaseSupplierScorecard 188,189.000000,189.000000,267.560000,1,1,2026-08-24T00:00:00.000
189,PSS000189,376,56,Zenith PurchaseSupplierScorecard 189,190.000000,190.000000,268.930000,1,1,2026-08-24T00:00:00.000
190,PSS000190,303,9,Meridian PurchaseSupplierScorecard 190,191.000000,191.000000,270.300000,1,1,2026-08-24T00:00:00.000
191,PSS000191,269,487,Granite PurchaseSupplierScorecard 191,192.000000,192.000000,271.670000,1,1,2026-08-24T00:00:00.000
192,PSS000192,227,423,Pioneer PurchaseSupplierScorecard 192,193.000000,193.000000,273.040000,1,1,2026-08-24T00:00:00.000
193,PSS000193,203,493,Meridian PurchaseSupplierScorecard 193,194.000000,194.000000,274.410000,1,1,2026-08-24T00:00:00.000
194,PSS000194,354,181,Pioneer PurchaseSupplierScorecard 194,195.000000,195.000000,275.780000,1,1,2026-08-24T00:00:00.000
195,PSS000195,72,162,Northstar PurchaseSupplierScorecard 195,196.000000,196.000000,277.150000,1,1,2026-08-24T00:00:00.000
196,PSS000196,11,369,Liberty PurchaseSupplierScorecard 196,197.000000,197.000000,278.520000,1,1,2026-08-24T00:00:00.000
197,PSS000197,393,244,Titan PurchaseSupplierScorecard 197,198.000000,198.000000,279.890000,1,1,2026-08-24T00:00:00.000
198,PSS000198,13,289,Zenith PurchaseSupplierScorecard 198,199.000000,199.000000,281.260000,1,1,2026-08-24T00:00:00.000
199,PSS000199,91,50,Zenith PurchaseSupplierScorecard 199,200.000000,200.000000,282.630000,1,1,2026-08-24T00:00:00.000
200,PSS000200,76,28,Cedar PurchaseSupplierScorecard 200,201.000000,201.000000,284.000000,1,1,2026-08-24T00:00:00.000
201,PSS000201,443,381,Atlas PurchaseSupplierScorecard 201,202.000000,202.000000,285.370000,1,1,2026-08-24T00:00:00.000
202,PSS000202,11,248,Forge PurchaseSupplierScorecard 202,203.000000,203.000000,286.740000,1,1,2026-08-24T00:00:00.000
203,PSS000203,142,134,Vertex PurchaseSupplierScorecard 203,204.000000,204.000000,288.110000,1,1,2026-08-24T00:00:00.000
204,PSS000204,41,136,Delta PurchaseSupplierScorecard 204,205.000000,205.000000,289.480000,1,1,2026-08-24T00:00:00.000
205,PSS000205,182,452,Forge PurchaseSupplierScorecard 205,206.000000,206.000000,290.850000,1,1,2026-08-24T00:00:00.000
206,PSS000206,476,397,Delta PurchaseSupplierScorecard 206,207.000000,207.000000,292.220000,1,1,2026-08-24T00:00:00.000
207,PSS000207,386,95,Meridian PurchaseSupplierScorecard 207,208.000000,208.000000,293.590000,1,1,2026-08-24T00:00:00.000
208,PSS000208,354,278,Willow PurchaseSupplierScorecard 208,209.000000,209.000000,294.960000,1,1,2026-08-24T00:00:00.000
209,PSS000209,169,468,Willow PurchaseSupplierScorecard 209,210.000000,210.000000,296.330000,1,1,2026-08-24T00:00:00.000
