MaintenanceCrewRoleKey,MaintenanceCrewRoleCode,MaintenanceSkillGroupKey,MaintenanceCrewRoleName,SourceSystemKey,BatchId,LoadedAtUtc
33,MCR000033,114,Titan MaintenanceCrewRole 33,1,1,2026-08-24T00:00:00.000
34,MCR000034,65,Keystone MaintenanceCrewRole 34,1,1,2026-08-24T00:00:00.000
35,MCR000035,137,Harbor MaintenanceCrewRole 35,1,1,2026-08-24T00:00:00.000
36,MCR000036,88,Titan MaintenanceCrewRole 36,1,1,2026-08-24T00:00:00.000
37,MCR000037,112,Orion MaintenanceCrewRole 37,1,1,2026-08-24T00:00:00.000
38,MCR000038,163,Riverton MaintenanceCrewRole 38,1,1,2026-08-24T00:00:00.000
39,MCR000039,40,Ion MaintenanceCrewRole 39,1,1,2026-08-24T00:00:00.000
40,MCR000040,143,Junction MaintenanceCrewRole 40,1,1,2026-08-24T00:00:00.000
41,MCR000041,143,Willow MaintenanceCrewRole 41,1,1,2026-08-24T00:00:00.000
42,MCR000042,105,Quartz MaintenanceCrewRole 42,1,1,2026-08-24T00:00:00.000
43,MCR000043,145,Cedar MaintenanceCrewRole 43,1,1,2026-08-24T00:00:00.000
44,MCR000044,15,Pioneer MaintenanceCrewRole 44,1,1,2026-08-24T00:00:00.000
45,MCR000045,108,Granite MaintenanceCrewRole 45,1,1,2026-08-24T00:00:00.000
46,MCR000046,39,Titan MaintenanceCrewRole 46,1,1,2026-08-24T00:00:00.000
47,MCR000047,111,Meridian MaintenanceCrewRole 47,1,1,2026-08-24T00:00:00.000
48,MCR000048,11,Orion MaintenanceCrewRole 48,1,1,2026-08-24T00:00:00.000
49,MCR000049,36,Pioneer MaintenanceCrewRole 49,1,1,2026-08-24T00:00:00.000
50,MCR000050,67,Zenith MaintenanceCrewRole 50,1,1,2026-08-24T00:00:00.000
51,MCR000051,14,Summit MaintenanceCrewRole 51,1,1,2026-08-24T00:00:00.000
52,MCR000052,151,Atlas MaintenanceCrewRole 52,1,1,2026-08-24T00:00:00.000
53,MCR000053,48,Pioneer MaintenanceCrewRole 53,1,1,2026-08-24T00:00:00.000
54,MCR000054,93,Willow MaintenanceCrewRole 54,1,1,2026-08-24T00:00:00.000
55,MCR000055,144,Atlas MaintenanceCrewRole 55,1,1,2026-08-24T00:00:00.000
56,MCR000056,15,Evergreen MaintenanceCrewRole 56,1,1,2026-08-24T00:00:00.000
57,MCR000057,28,Beacon MaintenanceCrewRole 57,1,1,2026-08-24T00:00:00.000
58,MCR000058,180,Riverton MaintenanceCrewRole 58,1,1,2026-08-24T00:00:00.000
59,MCR000059,130,Atlas MaintenanceCrewRole 59,1,1,2026-08-24T00:00:00.000
60,MCR000060,52,Zenith MaintenanceCrewRole 60,1,1,2026-08-24T00:00:00.000
61,MCR000061,140,Willow MaintenanceCrewRole 61,1,1,2026-08-24T00:00:00.000
62,MCR000062,123,Orion MaintenanceCrewRole 62,1,1,2026-08-24T00:00:00.000
63,MCR000063,91,Evergreen MaintenanceCrewRole 63,1,1,2026-08-24T00:00:00.000
64,MCR000064,116,Delta MaintenanceCrewRole 64,1,1,2026-08-24T00:00:00.000
65,MCR000065,167,Summit MaintenanceCrewRole 65,1,1,2026-08-24T00:00:00.000
66,MCR000066,127,Titan MaintenanceCrewRole 66,1,1,2026-08-24T00:00:00.000
67,MCR000067,4,Junction MaintenanceCrewRole 67,1,1,2026-08-24T00:00:00.000
68,MCR000068,77,Quartz MaintenanceCrewRole 68,1,1,2026-08-24T00:00:00.000
69,MCR000069,28,Zenith MaintenanceCrewRole 69,1,1,2026-08-24T00:00:00.000
70,MCR000070,46,Evergreen MaintenanceCrewRole 70,1,1,2026-08-24T00:00:00.000
71,MCR000071,90,Harbor MaintenanceCrewRole 71,1,1,2026-08-24T00:00:00.000
72,MCR000072,86,Northstar MaintenanceCrewRole 72,1,1,2026-08-24T00:00:00.000
73,MCR000073,155,Cedar MaintenanceCrewRole 73,1,1,2026-08-24T00:00:00.000
74,MCR000074,27,Pioneer MaintenanceCrewRole 74,1,1,2026-08-24T00:00:00.000
75,MCR000075,164,Cedar MaintenanceCrewRole 75,1,1,2026-08-24T00:00:00.000
76,MCR000076,71,Quartz MaintenanceCrewRole 76,1,1,2026-08-24T00:00:00.000
77,MCR000077,18,Junction MaintenanceCrewRole 77,1,1,2026-08-24T00:00:00.000
78,MCR000078,101,Zenith MaintenanceCrewRole 78,1,1,2026-08-24T00:00:00.000
79,MCR000079,45,Quartz MaintenanceCrewRole 79,1,1,2026-08-24T00:00:00.000
80,MCR000080,157,Meridian MaintenanceCrewRole 80,1,1,2026-08-24T00:00:00.000
81,MCR000081,92,Forge MaintenanceCrewRole 81,1,1,2026-08-24T00:00:00.000
82,MCR000082,166,Zenith MaintenanceCrewRole 82,1,1,2026-08-24T00:00:00.000
83,MCR000083,146,Orion MaintenanceCrewRole 83,1,1,2026-08-24T00:00:00.000
84,MCR000084,20,Keystone MaintenanceCrewRole 84,1,1,2026-08-24T00:00:00.000
85,MCR000085,92,Liberty MaintenanceCrewRole 85,1,1,2026-08-24T00:00:00.000
86,MCR000086,151,Junction MaintenanceCrewRole 86,1,1,2026-08-24T00:00:00.000
87,MCR000087,123,Unity MaintenanceCrewRole 87,1,1,2026-08-24T00:00:00.000
88,MCR000088,139,Harbor MaintenanceCrewRole 88,1,1,2026-08-24T00:00:00.000
89,MCR000089,176,Forge MaintenanceCrewRole 89,1,1,2026-08-24T00:00:00.000
90,MCR000090,53,Pioneer MaintenanceCrewRole 90,1,1,2026-08-24T00:00:00.000
91,MCR000091,145,Vertex MaintenanceCrewRole 91,1,1,2026-08-24T00:00:00.000
92,MCR000092,158,Keystone MaintenanceCrewRole 92,1,1,2026-08-24T00:00:00.000
93,MCR000093,28,Quartz MaintenanceCrewRole 93,1,1,2026-08-24T00:00:00.000
94,MCR000094,164,Forge MaintenanceCrewRole 94,1,1,2026-08-24T00:00:00.000
95,MCR000095,124,Granite MaintenanceCrewRole 95,1,1,2026-08-24T00:00:00.000
96,MCR000096,99,Orion MaintenanceCrewRole 96,1,1,2026-08-24T00:00:00.000
97,MCR000097,11,Zenith MaintenanceCrewRole 97,1,1,2026-08-24T00:00:00.000
98,MCR000098,168,Orion MaintenanceCrewRole 98,1,1,2026-08-24T00:00:00.000
99,MCR000099,95,Vertex MaintenanceCrewRole 99,1,1,2026-08-24T00:00:00.000
100,MCR000100,88,Zenith MaintenanceCrewRole 100,1,1,2026-08-24T00:00:00.000
101,MCR000101,12,Willow MaintenanceCrewRole 101,1,1,2026-08-24T00:00:00.000
102,MCR000102,105,Orion MaintenanceCrewRole 102,1,1,2026-08-24T00:00:00.000
103,MCR000103,64,Orion MaintenanceCrewRole 103,1,1,2026-08-24T00:00:00.000
104,MCR000104,29,Willow MaintenanceCrewRole 104,1,1,2026-08-24T00:00:00.000
105,MCR000105,1,Beacon MaintenanceCrewRole 105,1,1,2026-08-24T00:00:00.000
106,MCR000106,68,Harbor MaintenanceCrewRole 106,1,1,2026-08-24T00:00:00.000
107,MCR000107,88,Orion MaintenanceCrewRole 107,1,1,2026-08-24T00:00:00.000
108,MCR000108,128,Titan MaintenanceCrewRole 108,1,1,2026-08-24T00:00:00.000
109,MCR000109,120,Atlas MaintenanceCrewRole 109,1,1,2026-08-24T00:00:00.000
110,MCR000110,105,Granite MaintenanceCrewRole 110,1,1,2026-08-24T00:00:00.000
111,MCR000111,3,Atlas MaintenanceCrewRole 111,1,1,2026-08-24T00:00:00.000
112,MCR000112,54,Cedar MaintenanceCrewRole 112,1,1,2026-08-24T00:00:00.000
113,MCR000113,10,Delta MaintenanceCrewRole 113,1,1,2026-08-24T00:00:00.000
114,MCR000114,62,Northstar MaintenanceCrewRole 114,1,1,2026-08-24T00:00:00.000
115,MCR000115,107,Orion MaintenanceCrewRole 115,1,1,2026-08-24T00:00:00.000
116,MCR000116,143,Granite MaintenanceCrewRole 116,1,1,2026-08-24T00:00:00.000
117,MCR000117,39,Summit MaintenanceCrewRole 117,1,1,2026-08-24T00:00:00.000
118,MCR000118,33,Liberty MaintenanceCrewRole 118,1,1,2026-08-24T00:00:00.000
119,MCR000119,72,Forge MaintenanceCrewRole 119,1,1,2026-08-24T00:00:00.000
120,MCR000120,27,Titan MaintenanceCrewRole 120,1,1,2026-08-24T00:00:00.000
121,MCR000121,105,Orion MaintenanceCrewRole 121,1,1,2026-08-24T00:00:00.000
122,MCR000122,2,Beacon MaintenanceCrewRole 122,1,1,2026-08-24T00:00:00.000
123,MCR000123,84,Meridian MaintenanceCrewRole 123,1,1,2026-08-24T00:00:00.000
124,MCR000124,35,Titan MaintenanceCrewRole 124,1,1,2026-08-24T00:00:00.000
125,MCR000125,179,Pioneer MaintenanceCrewRole 125,1,1,2026-08-24T00:00:00.000
126,MCR000126,164,Willow MaintenanceCrewRole 126,1,1,2026-08-24T00:00:00.000
127,MCR000127,71,Ion MaintenanceCrewRole 127,1,1,2026-08-24T00:00:00.000
128,MCR000128,9,Vertex MaintenanceCrewRole 128,1,1,2026-08-24T00:00:00.000
129,MCR000129,121,Northstar MaintenanceCrewRole 129,1,1,2026-08-24T00:00:00.000
130,MCR000130,102,Cedar MaintenanceCrewRole 130,1,1,2026-08-24T00:00:00.000
131,MCR000131,59,Atlas MaintenanceCrewRole 131,1,1,2026-08-24T00:00:00.000
132,MCR000132,41,Liberty MaintenanceCrewRole 132,1,1,2026-08-24T00:00:00.000
133,MCR000133,147,Ion MaintenanceCrewRole 133,1,1,2026-08-24T00:00:00.000
134,MCR000134,32,Atlas MaintenanceCrewRole 134,1,1,2026-08-24T00:00:00.000
135,MCR000135,52,Meridian MaintenanceCrewRole 135,1,1,2026-08-24T00:00:00.000
136,MCR000136,48,Cedar MaintenanceCrewRole 136,1,1,2026-08-24T00:00:00.000
137,MCR000137,97,Orion MaintenanceCrewRole 137,1,1,2026-08-24T00:00:00.000
138,MCR000138,56,Granite MaintenanceCrewRole 138,1,1,2026-08-24T00:00:00.000
139,MCR000139,156,Cedar MaintenanceCrewRole 139,1,1,2026-08-24T00:00:00.000
140,MCR000140,75,Pioneer MaintenanceCrewRole 140,1,1,2026-08-24T00:00:00.000
141,MCR000141,114,Riverton MaintenanceCrewRole 141,1,1,2026-08-24T00:00:00.000
142,MCR000142,119,Ion MaintenanceCrewRole 142,1,1,2026-08-24T00:00:00.000
143,MCR000143,116,Cedar MaintenanceCrewRole 143,1,1,2026-08-24T00:00:00.000
144,MCR000144,58,Cedar MaintenanceCrewRole 144,1,1,2026-08-24T00:00:00.000
145,MCR000145,79,Delta MaintenanceCrewRole 145,1,1,2026-08-24T00:00:00.000
146,MCR000146,140,Riverton MaintenanceCrewRole 146,1,1,2026-08-24T00:00:00.000
147,MCR000147,166,Pioneer MaintenanceCrewRole 147,1,1,2026-08-24T00:00:00.000
148,MCR000148,139,Titan MaintenanceCrewRole 148,1,1,2026-08-24T00:00:00.000
149,MCR000149,104,Evergreen MaintenanceCrewRole 149,1,1,2026-08-24T00:00:00.000
150,MCR000150,119,Harbor MaintenanceCrewRole 150,1,1,2026-08-24T00:00:00.000
151,MCR000151,70,Beacon MaintenanceCrewRole 151,1,1,2026-08-24T00:00:00.000
152,MCR000152,117,Zenith MaintenanceCrewRole 152,1,1,2026-08-24T00:00:00.000
153,MCR000153,109,Cedar MaintenanceCrewRole 153,1,1,2026-08-24T00:00:00.000
154,MCR000154,153,Zenith MaintenanceCrewRole 154,1,1,2026-08-24T00:00:00.000
155,MCR000155,24,Beacon MaintenanceCrewRole 155,1,1,2026-08-24T00:00:00.000
156,MCR000156,81,Granite MaintenanceCrewRole 156,1,1,2026-08-24T00:00:00.000
157,MCR000157,162,Evergreen MaintenanceCrewRole 157,1,1,2026-08-24T00:00:00.000
158,MCR000158,128,Summit MaintenanceCrewRole 158,1,1,2026-08-24T00:00:00.000
159,MCR000159,58,Junction MaintenanceCrewRole 159,1,1,2026-08-24T00:00:00.000
160,MCR000160,76,Ion MaintenanceCrewRole 160,1,1,2026-08-24T00:00:00.000
161,MCR000161,63,Cedar MaintenanceCrewRole 161,1,1,2026-08-24T00:00:00.000
162,MCR000162,148,Summit MaintenanceCrewRole 162,1,1,2026-08-24T00:00:00.000
163,MCR000163,61,Harbor MaintenanceCrewRole 163,1,1,2026-08-24T00:00:00.000
164,MCR000164,161,Delta MaintenanceCrewRole 164,1,1,2026-08-24T00:00:00.000
165,MCR000165,149,Unity MaintenanceCrewRole 165,1,1,2026-08-24T00:00:00.000
166,MCR000166,36,Summit MaintenanceCrewRole 166,1,1,2026-08-24T00:00:00.000
167,MCR000167,75,Zenith MaintenanceCrewRole 167,1,1,2026-08-24T00:00:00.000
168,MCR000168,115,Forge MaintenanceCrewRole 168,1,1,2026-08-24T00:00:00.000
169,MCR000169,94,Northstar MaintenanceCrewRole 169,1,1,2026-08-24T00:00:00.000
170,MCR000170,129,Liberty MaintenanceCrewRole 170,1,1,2026-08-24T00:00:00.000
171,MCR000171,77,Riverton MaintenanceCrewRole 171,1,1,2026-08-24T00:00:00.000
172,MCR000172,174,Granite MaintenanceCrewRole 172,1,1,2026-08-24T00:00:00.000
173,MCR000173,141,Zenith MaintenanceCrewRole 173,1,1,2026-08-24T00:00:00.000
174,MCR000174,52,Granite MaintenanceCrewRole 174,1,1,2026-08-24T00:00:00.000
175,MCR000175,6,Liberty MaintenanceCrewRole 175,1,1,2026-08-24T00:00:00.000
176,MCR000176,40,Junction MaintenanceCrewRole 176,1,1,2026-08-24T00:00:00.000
177,MCR000177,21,Titan MaintenanceCrewRole 177,1,1,2026-08-24T00:00:00.000
178,MCR000178,166,Forge MaintenanceCrewRole 178,1,1,2026-08-24T00:00:00.000
179,MCR000179,141,Orion MaintenanceCrewRole 179,1,1,2026-08-24T00:00:00.000
180,MCR000180,163,Granite MaintenanceCrewRole 180,1,1,2026-08-24T00:00:00.000
181,MCR000181,18,Evergreen MaintenanceCrewRole 181,1,1,2026-08-24T00:00:00.000
182,MCR000182,170,Unity MaintenanceCrewRole 182,1,1,2026-08-24T00:00:00.000
183,MCR000183,61,Ion MaintenanceCrewRole 183,1,1,2026-08-24T00:00:00.000
184,MCR000184,171,Beacon MaintenanceCrewRole 184,1,1,2026-08-24T00:00:00.000
185,MCR000185,84,Liberty MaintenanceCrewRole 185,1,1,2026-08-24T00:00:00.000
186,MCR000186,110,Unity MaintenanceCrewRole 186,1,1,2026-08-24T00:00:00.000
187,MCR000187,113,Riverton MaintenanceCrewRole 187,1,1,2026-08-24T00:00:00.000
188,MCR000188,176,Willow MaintenanceCrewRole 188,1,1,2026-08-24T00:00:00.000
189,MCR000189,33,Quartz MaintenanceCrewRole 189,1,1,2026-08-24T00:00:00.000
190,MCR000190,160,Northstar MaintenanceCrewRole 190,1,1,2026-08-24T00:00:00.000
191,MCR000191,138,Junction MaintenanceCrewRole 191,1,1,2026-08-24T00:00:00.000
192,MCR000192,28,Unity MaintenanceCrewRole 192,1,1,2026-08-24T00:00:00.000
193,MCR000193,137,Summit MaintenanceCrewRole 193,1,1,2026-08-24T00:00:00.000
194,MCR000194,81,Forge MaintenanceCrewRole 194,1,1,2026-08-24T00:00:00.000
195,MCR000195,30,Quartz MaintenanceCrewRole 195,1,1,2026-08-24T00:00:00.000
196,MCR000196,159,Junction MaintenanceCrewRole 196,1,1,2026-08-24T00:00:00.000
197,MCR000197,99,Willow MaintenanceCrewRole 197,1,1,2026-08-24T00:00:00.000
198,MCR000198,106,Vertex MaintenanceCrewRole 198,1,1,2026-08-24T00:00:00.000
199,MCR000199,16,Zenith MaintenanceCrewRole 199,1,1,2026-08-24T00:00:00.000
200,MCR000200,137,Orion MaintenanceCrewRole 200,1,1,2026-08-24T00:00:00.000
201,MCR000201,165,Liberty MaintenanceCrewRole 201,1,1,2026-08-24T00:00:00.000
202,MCR000202,38,Vertex MaintenanceCrewRole 202,1,1,2026-08-24T00:00:00.000
203,MCR000203,175,Forge MaintenanceCrewRole 203,1,1,2026-08-24T00:00:00.000
204,MCR000204,150,Pioneer MaintenanceCrewRole 204,1,1,2026-08-24T00:00:00.000
205,MCR000205,34,Junction MaintenanceCrewRole 205,1,1,2026-08-24T00:00:00.000
206,MCR000206,134,Cedar MaintenanceCrewRole 206,1,1,2026-08-24T00:00:00.000
207,MCR000207,11,Forge MaintenanceCrewRole 207,1,1,2026-08-24T00:00:00.000
208,MCR000208,62,Junction MaintenanceCrewRole 208,1,1,2026-08-24T00:00:00.000
209,MCR000209,67,Ion MaintenanceCrewRole 209,1,1,2026-08-24T00:00:00.000
210,MCR000210,129,Vertex MaintenanceCrewRole 210,1,1,2026-08-24T00:00:00.000
211,MCR000211,115,Vertex MaintenanceCrewRole 211,1,1,2026-08-24T00:00:00.000
212,MCR000212,128,Evergreen MaintenanceCrewRole 212,1,1,2026-08-24T00:00:00.000
213,MCR000213,11,Granite MaintenanceCrewRole 213,1,1,2026-08-24T00:00:00.000
214,MCR000214,101,Northstar MaintenanceCrewRole 214,1,1,2026-08-24T00:00:00.000
215,MCR000215,176,Orion MaintenanceCrewRole 215,1,1,2026-08-24T00:00:00.000
216,MCR000216,68,Orion MaintenanceCrewRole 216,1,1,2026-08-24T00:00:00.000
217,MCR000217,61,Forge MaintenanceCrewRole 217,1,1,2026-08-24T00:00:00.000
218,MCR000218,145,Cedar MaintenanceCrewRole 218,1,1,2026-08-24T00:00:00.000
219,MCR000219,161,Riverton MaintenanceCrewRole 219,1,1,2026-08-24T00:00:00.000
220,MCR000220,81,Granite MaintenanceCrewRole 220,1,1,2026-08-24T00:00:00.000
221,MCR000221,171,Ion MaintenanceCrewRole 221,1,1,2026-08-24T00:00:00.000
222,MCR000222,53,Liberty MaintenanceCrewRole 222,1,1,2026-08-24T00:00:00.000
223,MCR000223,47,Summit MaintenanceCrewRole 223,1,1,2026-08-24T00:00:00.000
224,MCR000224,33,Granite MaintenanceCrewRole 224,1,1,2026-08-24T00:00:00.000
225,MCR000225,82,Summit MaintenanceCrewRole 225,1,1,2026-08-24T00:00:00.000
226,MCR000226,151,Forge MaintenanceCrewRole 226,1,1,2026-08-24T00:00:00.000
227,MCR000227,2,Vertex MaintenanceCrewRole 227,1,1,2026-08-24T00:00:00.000
228,MCR000228,162,Orion MaintenanceCrewRole 228,1,1,2026-08-24T00:00:00.000
229,MCR000229,153,Beacon MaintenanceCrewRole 229,1,1,2026-08-24T00:00:00.000
230,MCR000230,140,Evergreen MaintenanceCrewRole 230,1,1,2026-08-24T00:00:00.000
231,MCR000231,115,Atlas MaintenanceCrewRole 231,1,1,2026-08-24T00:00:00.000
232,MCR000232,70,Harbor MaintenanceCrewRole 232,1,1,2026-08-24T00:00:00.000
233,MCR000233,155,Unity MaintenanceCrewRole 233,1,1,2026-08-24T00:00:00.000
234,MCR000234,25,Orion MaintenanceCrewRole 234,1,1,2026-08-24T00:00:00.000
235,MCR000235,85,Orion MaintenanceCrewRole 235,1,1,2026-08-24T00:00:00.000
236,MCR000236,124,Evergreen MaintenanceCrewRole 236,1,1,2026-08-24T00:00:00.000
237,MCR000237,36,Meridian MaintenanceCrewRole 237,1,1,2026-08-24T00:00:00.000
238,MCR000238,141,Liberty MaintenanceCrewRole 238,1,1,2026-08-24T00:00:00.000
239,MCR000239,70,Meridian MaintenanceCrewRole 239,1,1,2026-08-24T00:00:00.000
240,MCR000240,179,Orion MaintenanceCrewRole 240,1,1,2026-08-24T00:00:00.000
241,MCR000241,91,Vertex MaintenanceCrewRole 241,1,1,2026-08-24T00:00:00.000
242,MCR000242,59,Keystone MaintenanceCrewRole 242,1,1,2026-08-24T00:00:00.000
243,MCR000243,143,Vertex MaintenanceCrewRole 243,1,1,2026-08-24T00:00:00.000
244,MCR000244,102,Northstar MaintenanceCrewRole 244,1,1,2026-08-24T00:00:00.000
245,MCR000245,140,Delta MaintenanceCrewRole 245,1,1,2026-08-24T00:00:00.000
246,MCR000246,179,Vertex MaintenanceCrewRole 246,1,1,2026-08-24T00:00:00.000
247,MCR000247,84,Riverton MaintenanceCrewRole 247,1,1,2026-08-24T00:00:00.000
248,MCR000248,92,Pioneer MaintenanceCrewRole 248,1,1,2026-08-24T00:00:00.000
249,MCR000249,149,Keystone MaintenanceCrewRole 249,1,1,2026-08-24T00:00:00.000
250,MCR000250,15,Granite MaintenanceCrewRole 250,1,1,2026-08-24T00:00:00.000
251,MCR000251,164,Granite MaintenanceCrewRole 251,1,1,2026-08-24T00:00:00.000
252,MCR000252,17,Titan MaintenanceCrewRole 252,1,1,2026-08-24T00:00:00.000
253,MCR000253,42,Forge MaintenanceCrewRole 253,1,1,2026-08-24T00:00:00.000
254,MCR000254,53,Vertex MaintenanceCrewRole 254,1,1,2026-08-24T00:00:00.000
255,MCR000255,34,Granite MaintenanceCrewRole 255,1,1,2026-08-24T00:00:00.000
256,MCR000256,149,Quartz MaintenanceCrewRole 256,1,1,2026-08-24T00:00:00.000
257,MCR000257,15,Vertex MaintenanceCrewRole 257,1,1,2026-08-24T00:00:00.000
258,MCR000258,84,Unity MaintenanceCrewRole 258,1,1,2026-08-24T00:00:00.000
259,MCR000259,25,Northstar MaintenanceCrewRole 259,1,1,2026-08-24T00:00:00.000
260,MCR000260,54,Unity MaintenanceCrewRole 260,1,1,2026-08-24T00:00:00.000
261,MCR000261,69,Orion MaintenanceCrewRole 261,1,1,2026-08-24T00:00:00.000
262,MCR000262,47,Harbor MaintenanceCrewRole 262,1,1,2026-08-24T00:00:00.000
263,MCR000263,19,Zenith MaintenanceCrewRole 263,1,1,2026-08-24T00:00:00.000
264,MCR000264,10,Forge MaintenanceCrewRole 264,1,1,2026-08-24T00:00:00.000
265,MCR000265,16,Keystone MaintenanceCrewRole 265,1,1,2026-08-24T00:00:00.000
266,MCR000266,82,Northstar MaintenanceCrewRole 266,1,1,2026-08-24T00:00:00.000
267,MCR000267,10,Unity MaintenanceCrewRole 267,1,1,2026-08-24T00:00:00.000
268,MCR000268,42,Forge MaintenanceCrewRole 268,1,1,2026-08-24T00:00:00.000
269,MCR000269,82,Liberty MaintenanceCrewRole 269,1,1,2026-08-24T00:00:00.000
270,MCR000270,125,Atlas MaintenanceCrewRole 270,1,1,2026-08-24T00:00:00.000
271,MCR000271,73,Unity MaintenanceCrewRole 271,1,1,2026-08-24T00:00:00.000
272,MCR000272,102,Quartz MaintenanceCrewRole 272,1,1,2026-08-24T00:00:00.000
273,MCR000273,89,Titan MaintenanceCrewRole 273,1,1,2026-08-24T00:00:00.000
274,MCR000274,19,Granite MaintenanceCrewRole 274,1,1,2026-08-24T00:00:00.000
275,MCR000275,152,Meridian MaintenanceCrewRole 275,1,1,2026-08-24T00:00:00.000
276,MCR000276,153,Atlas MaintenanceCrewRole 276,1,1,2026-08-24T00:00:00.000
277,MCR000277,138,Northstar MaintenanceCrewRole 277,1,1,2026-08-24T00:00:00.000
278,MCR000278,144,Riverton MaintenanceCrewRole 278,1,1,2026-08-24T00:00:00.000
279,MCR000279,37,Beacon MaintenanceCrewRole 279,1,1,2026-08-24T00:00:00.000
280,MCR000280,109,Granite MaintenanceCrewRole 280,1,1,2026-08-24T00:00:00.000
281,MCR000281,20,Delta MaintenanceCrewRole 281,1,1,2026-08-24T00:00:00.000
282,MCR000282,173,Liberty MaintenanceCrewRole 282,1,1,2026-08-24T00:00:00.000
283,MCR000283,114,Granite MaintenanceCrewRole 283,1,1,2026-08-24T00:00:00.000
284,MCR000284,175,Quartz MaintenanceCrewRole 284,1,1,2026-08-24T00:00:00.000
285,MCR000285,54,Beacon MaintenanceCrewRole 285,1,1,2026-08-24T00:00:00.000
286,MCR000286,63,Quartz MaintenanceCrewRole 286,1,1,2026-08-24T00:00:00.000
287,MCR000287,84,Meridian MaintenanceCrewRole 287,1,1,2026-08-24T00:00:00.000
288,MCR000288,164,Delta MaintenanceCrewRole 288,1,1,2026-08-24T00:00:00.000
289,MCR000289,90,Delta MaintenanceCrewRole 289,1,1,2026-08-24T00:00:00.000
290,MCR000290,67,Titan MaintenanceCrewRole 290,1,1,2026-08-24T00:00:00.000
291,MCR000291,111,Summit MaintenanceCrewRole 291,1,1,2026-08-24T00:00:00.000
292,MCR000292,85,Delta MaintenanceCrewRole 292,1,1,2026-08-24T00:00:00.000
293,MCR000293,21,Unity MaintenanceCrewRole 293,1,1,2026-08-24T00:00:00.000
294,MCR000294,36,Zenith MaintenanceCrewRole 294,1,1,2026-08-24T00:00:00.000
295,MCR000295,147,Willow MaintenanceCrewRole 295,1,1,2026-08-24T00:00:00.000
296,MCR000296,92,Unity MaintenanceCrewRole 296,1,1,2026-08-24T00:00:00.000
