SafetyChemicalSubstanceKey,SafetyChemicalSubstanceCode,SafetyChemicalCategoryKey,SafetyChemicalSubstanceName,SourceSystemKey,BatchId,LoadedAtUtc
92,SCS000092,109,Willow SafetyChemicalSubstance 92,1,1,2026-08-24T00:00:00.000
93,SCS000093,128,Forge SafetyChemicalSubstance 93,1,1,2026-08-24T00:00:00.000
94,SCS000094,88,Quartz SafetyChemicalSubstance 94,1,1,2026-08-24T00:00:00.000
95,SCS000095,147,Keystone SafetyChemicalSubstance 95,1,1,2026-08-24T00:00:00.000
96,SCS000096,34,Vertex SafetyChemicalSubstance 96,1,1,2026-08-24T00:00:00.000
97,SCS000097,36,Vertex SafetyChemicalSubstance 97,1,1,2026-08-24T00:00:00.000
98,SCS000098,68,Northstar SafetyChemicalSubstance 98,1,1,2026-08-24T00:00:00.000
99,SCS000099,124,Cedar SafetyChemicalSubstance 99,1,1,2026-08-24T00:00:00.000
100,SCS000100,51,Cedar SafetyChemicalSubstance 100,1,1,2026-08-24T00:00:00.000
101,SCS000101,126,Beacon SafetyChemicalSubstance 101,1,1,2026-08-24T00:00:00.000
102,SCS000102,100,Liberty SafetyChemicalSubstance 102,1,1,2026-08-24T00:00:00.000
103,SCS000103,173,Keystone SafetyChemicalSubstance 103,1,1,2026-08-24T00:00:00.000
104,SCS000104,177,Titan SafetyChemicalSubstance 104,1,1,2026-08-24T00:00:00.000
105,SCS000105,140,Beacon SafetyChemicalSubstance 105,1,1,2026-08-24T00:00:00.000
106,SCS000106,22,Titan SafetyChemicalSubstance 106,1,1,2026-08-24T00:00:00.000
107,SCS000107,122,Unity SafetyChemicalSubstance 107,1,1,2026-08-24T00:00:00.000
108,SCS000108,75,Quartz SafetyChemicalSubstance 108,1,1,2026-08-24T00:00:00.000
109,SCS000109,13,Summit SafetyChemicalSubstance 109,1,1,2026-08-24T00:00:00.000
110,SCS000110,128,Unity SafetyChemicalSubstance 110,1,1,2026-08-24T00:00:00.000
111,SCS000111,165,Pioneer SafetyChemicalSubstance 111,1,1,2026-08-24T00:00:00.000
112,SCS000112,45,Atlas SafetyChemicalSubstance 112,1,1,2026-08-24T00:00:00.000
113,SCS000113,166,Titan SafetyChemicalSubstance 113,1,1,2026-08-24T00:00:00.000
114,SCS000114,66,Quartz SafetyChemicalSubstance 114,1,1,2026-08-24T00:00:00.000
115,SCS000115,81,Liberty SafetyChemicalSubstance 115,1,1,2026-08-24T00:00:00.000
116,SCS000116,94,Ion SafetyChemicalSubstance 116,1,1,2026-08-24T00:00:00.000
117,SCS000117,165,Quartz SafetyChemicalSubstance 117,1,1,2026-08-24T00:00:00.000
118,SCS000118,48,Cedar SafetyChemicalSubstance 118,1,1,2026-08-24T00:00:00.000
119,SCS000119,95,Vertex SafetyChemicalSubstance 119,1,1,2026-08-24T00:00:00.000
120,SCS000120,166,Northstar SafetyChemicalSubstance 120,1,1,2026-08-24T00:00:00.000
121,SCS000121,143,Quartz SafetyChemicalSubstance 121,1,1,2026-08-24T00:00:00.000
122,SCS000122,64,Northstar SafetyChemicalSubstance 122,1,1,2026-08-24T00:00:00.000
123,SCS000123,78,Vertex SafetyChemicalSubstance 123,1,1,2026-08-24T00:00:00.000
124,SCS000124,13,Unity SafetyChemicalSubstance 124,1,1,2026-08-24T00:00:00.000
125,SCS000125,111,Summit SafetyChemicalSubstance 125,1,1,2026-08-24T00:00:00.000
126,SCS000126,81,Willow SafetyChemicalSubstance 126,1,1,2026-08-24T00:00:00.000
127,SCS000127,100,Orion SafetyChemicalSubstance 127,1,1,2026-08-24T00:00:00.000
128,SCS000128,89,Willow SafetyChemicalSubstance 128,1,1,2026-08-24T00:00:00.000
129,SCS000129,117,Beacon SafetyChemicalSubstance 129,1,1,2026-08-24T00:00:00.000
130,SCS000130,138,Quartz SafetyChemicalSubstance 130,1,1,2026-08-24T00:00:00.000
131,SCS000131,57,Unity SafetyChemicalSubstance 131,1,1,2026-08-24T00:00:00.000
132,SCS000132,28,Meridian SafetyChemicalSubstance 132,1,1,2026-08-24T00:00:00.000
133,SCS000133,175,Zenith SafetyChemicalSubstance 133,1,1,2026-08-24T00:00:00.000
134,SCS000134,75,Titan SafetyChemicalSubstance 134,1,1,2026-08-24T00:00:00.000
135,SCS000135,25,Vertex SafetyChemicalSubstance 135,1,1,2026-08-24T00:00:00.000
136,SCS000136,161,Orion SafetyChemicalSubstance 136,1,1,2026-08-24T00:00:00.000
137,SCS000137,47,Beacon SafetyChemicalSubstance 137,1,1,2026-08-24T00:00:00.000
138,SCS000138,151,Northstar SafetyChemicalSubstance 138,1,1,2026-08-24T00:00:00.000
139,SCS000139,32,Pioneer SafetyChemicalSubstance 139,1,1,2026-08-24T00:00:00.000
140,SCS000140,13,Junction SafetyChemicalSubstance 140,1,1,2026-08-24T00:00:00.000
141,SCS000141,119,Keystone SafetyChemicalSubstance 141,1,1,2026-08-24T00:00:00.000
142,SCS000142,32,Forge SafetyChemicalSubstance 142,1,1,2026-08-24T00:00:00.000
143,SCS000143,37,Orion SafetyChemicalSubstance 143,1,1,2026-08-24T00:00:00.000
144,SCS000144,167,Cedar SafetyChemicalSubstance 144,1,1,2026-08-24T00:00:00.000
145,SCS000145,26,Quartz SafetyChemicalSubstance 145,1,1,2026-08-24T00:00:00.000
146,SCS000146,9,Evergreen SafetyChemicalSubstance 146,1,1,2026-08-24T00:00:00.000
147,SCS000147,160,Liberty SafetyChemicalSubstance 147,1,1,2026-08-24T00:00:00.000
148,SCS000148,40,Riverton SafetyChemicalSubstance 148,1,1,2026-08-24T00:00:00.000
149,SCS000149,111,Delta SafetyChemicalSubstance 149,1,1,2026-08-24T00:00:00.000
150,SCS000150,138,Delta SafetyChemicalSubstance 150,1,1,2026-08-24T00:00:00.000
151,SCS000151,122,Titan SafetyChemicalSubstance 151,1,1,2026-08-24T00:00:00.000
152,SCS000152,133,Junction SafetyChemicalSubstance 152,1,1,2026-08-24T00:00:00.000
153,SCS000153,100,Junction SafetyChemicalSubstance 153,1,1,2026-08-24T00:00:00.000
154,SCS000154,53,Keystone SafetyChemicalSubstance 154,1,1,2026-08-24T00:00:00.000
155,SCS000155,125,Atlas SafetyChemicalSubstance 155,1,1,2026-08-24T00:00:00.000
156,SCS000156,49,Granite SafetyChemicalSubstance 156,1,1,2026-08-24T00:00:00.000
157,SCS000157,56,Ion SafetyChemicalSubstance 157,1,1,2026-08-24T00:00:00.000
158,SCS000158,157,Pioneer SafetyChemicalSubstance 158,1,1,2026-08-24T00:00:00.000
159,SCS000159,69,Quartz SafetyChemicalSubstance 159,1,1,2026-08-24T00:00:00.000
160,SCS000160,110,Vertex SafetyChemicalSubstance 160,1,1,2026-08-24T00:00:00.000
161,SCS000161,47,Granite SafetyChemicalSubstance 161,1,1,2026-08-24T00:00:00.000
162,SCS000162,8,Cedar SafetyChemicalSubstance 162,1,1,2026-08-24T00:00:00.000
163,SCS000163,126,Forge SafetyChemicalSubstance 163,1,1,2026-08-24T00:00:00.000
164,SCS000164,115,Cedar SafetyChemicalSubstance 164,1,1,2026-08-24T00:00:00.000
165,SCS000165,139,Forge SafetyChemicalSubstance 165,1,1,2026-08-24T00:00:00.000
166,SCS000166,131,Northstar SafetyChemicalSubstance 166,1,1,2026-08-24T00:00:00.000
167,SCS000167,178,Cedar SafetyChemicalSubstance 167,1,1,2026-08-24T00:00:00.000
168,SCS000168,36,Granite SafetyChemicalSubstance 168,1,1,2026-08-24T00:00:00.000
169,SCS000169,6,Quartz SafetyChemicalSubstance 169,1,1,2026-08-24T00:00:00.000
170,SCS000170,59,Granite SafetyChemicalSubstance 170,1,1,2026-08-24T00:00:00.000
171,SCS000171,39,Meridian SafetyChemicalSubstance 171,1,1,2026-08-24T00:00:00.000
172,SCS000172,171,Granite SafetyChemicalSubstance 172,1,1,2026-08-24T00:00:00.000
173,SCS000173,177,Forge SafetyChemicalSubstance 173,1,1,2026-08-24T00:00:00.000
174,SCS000174,131,Unity SafetyChemicalSubstance 174,1,1,2026-08-24T00:00:00.000
175,SCS000175,44,Atlas SafetyChemicalSubstance 175,1,1,2026-08-24T00:00:00.000
176,SCS000176,106,Ion SafetyChemicalSubstance 176,1,1,2026-08-24T00:00:00.000
177,SCS000177,7,Forge SafetyChemicalSubstance 177,1,1,2026-08-24T00:00:00.000
178,SCS000178,115,Beacon SafetyChemicalSubstance 178,1,1,2026-08-24T00:00:00.000
179,SCS000179,109,Cedar SafetyChemicalSubstance 179,1,1,2026-08-24T00:00:00.000
180,SCS000180,81,Northstar SafetyChemicalSubstance 180,1,1,2026-08-24T00:00:00.000
181,SCS000181,105,Meridian SafetyChemicalSubstance 181,1,1,2026-08-24T00:00:00.000
182,SCS000182,13,Forge SafetyChemicalSubstance 182,1,1,2026-08-24T00:00:00.000
183,SCS000183,144,Unity SafetyChemicalSubstance 183,1,1,2026-08-24T00:00:00.000
184,SCS000184,35,Granite SafetyChemicalSubstance 184,1,1,2026-08-24T00:00:00.000
185,SCS000185,150,Orion SafetyChemicalSubstance 185,1,1,2026-08-24T00:00:00.000
186,SCS000186,6,Pioneer SafetyChemicalSubstance 186,1,1,2026-08-24T00:00:00.000
187,SCS000187,140,Harbor SafetyChemicalSubstance 187,1,1,2026-08-24T00:00:00.000
188,SCS000188,159,Vertex SafetyChemicalSubstance 188,1,1,2026-08-24T00:00:00.000
189,SCS000189,60,Zenith SafetyChemicalSubstance 189,1,1,2026-08-24T00:00:00.000
190,SCS000190,12,Delta SafetyChemicalSubstance 190,1,1,2026-08-24T00:00:00.000
191,SCS000191,17,Evergreen SafetyChemicalSubstance 191,1,1,2026-08-24T00:00:00.000
192,SCS000192,167,Meridian SafetyChemicalSubstance 192,1,1,2026-08-24T00:00:00.000
193,SCS000193,14,Harbor SafetyChemicalSubstance 193,1,1,2026-08-24T00:00:00.000
194,SCS000194,98,Vertex SafetyChemicalSubstance 194,1,1,2026-08-24T00:00:00.000
195,SCS000195,55,Quartz SafetyChemicalSubstance 195,1,1,2026-08-24T00:00:00.000
196,SCS000196,32,Orion SafetyChemicalSubstance 196,1,1,2026-08-24T00:00:00.000
197,SCS000197,5,Granite SafetyChemicalSubstance 197,1,1,2026-08-24T00:00:00.000
198,SCS000198,150,Beacon SafetyChemicalSubstance 198,1,1,2026-08-24T00:00:00.000
199,SCS000199,146,Beacon SafetyChemicalSubstance 199,1,1,2026-08-24T00:00:00.000
200,SCS000200,73,Titan SafetyChemicalSubstance 200,1,1,2026-08-24T00:00:00.000
201,SCS000201,147,Riverton SafetyChemicalSubstance 201,1,1,2026-08-24T00:00:00.000
202,SCS000202,175,Willow SafetyChemicalSubstance 202,1,1,2026-08-24T00:00:00.000
203,SCS000203,8,Evergreen SafetyChemicalSubstance 203,1,1,2026-08-24T00:00:00.000
204,SCS000204,85,Zenith SafetyChemicalSubstance 204,1,1,2026-08-24T00:00:00.000
205,SCS000205,12,Unity SafetyChemicalSubstance 205,1,1,2026-08-24T00:00:00.000
206,SCS000206,52,Liberty SafetyChemicalSubstance 206,1,1,2026-08-24T00:00:00.000
207,SCS000207,98,Riverton SafetyChemicalSubstance 207,1,1,2026-08-24T00:00:00.000
208,SCS000208,165,Keystone SafetyChemicalSubstance 208,1,1,2026-08-24T00:00:00.000
209,SCS000209,73,Evergreen SafetyChemicalSubstance 209,1,1,2026-08-24T00:00:00.000
210,SCS000210,75,Orion SafetyChemicalSubstance 210,1,1,2026-08-24T00:00:00.000
211,SCS000211,62,Evergreen SafetyChemicalSubstance 211,1,1,2026-08-24T00:00:00.000
212,SCS000212,43,Beacon SafetyChemicalSubstance 212,1,1,2026-08-24T00:00:00.000
213,SCS000213,154,Summit SafetyChemicalSubstance 213,1,1,2026-08-24T00:00:00.000
214,SCS000214,63,Vertex SafetyChemicalSubstance 214,1,1,2026-08-24T00:00:00.000
215,SCS000215,100,Quartz SafetyChemicalSubstance 215,1,1,2026-08-24T00:00:00.000
216,SCS000216,29,Zenith SafetyChemicalSubstance 216,1,1,2026-08-24T00:00:00.000
217,SCS000217,100,Quartz SafetyChemicalSubstance 217,1,1,2026-08-24T00:00:00.000
218,SCS000218,20,Keystone SafetyChemicalSubstance 218,1,1,2026-08-24T00:00:00.000
219,SCS000219,64,Harbor SafetyChemicalSubstance 219,1,1,2026-08-24T00:00:00.000
220,SCS000220,50,Forge SafetyChemicalSubstance 220,1,1,2026-08-24T00:00:00.000
221,SCS000221,102,Beacon SafetyChemicalSubstance 221,1,1,2026-08-24T00:00:00.000
222,SCS000222,89,Forge SafetyChemicalSubstance 222,1,1,2026-08-24T00:00:00.000
223,SCS000223,28,Riverton SafetyChemicalSubstance 223,1,1,2026-08-24T00:00:00.000
224,SCS000224,170,Liberty SafetyChemicalSubstance 224,1,1,2026-08-24T00:00:00.000
225,SCS000225,127,Orion SafetyChemicalSubstance 225,1,1,2026-08-24T00:00:00.000
226,SCS000226,90,Meridian SafetyChemicalSubstance 226,1,1,2026-08-24T00:00:00.000
227,SCS000227,80,Unity SafetyChemicalSubstance 227,1,1,2026-08-24T00:00:00.000
228,SCS000228,33,Northstar SafetyChemicalSubstance 228,1,1,2026-08-24T00:00:00.000
229,SCS000229,44,Willow SafetyChemicalSubstance 229,1,1,2026-08-24T00:00:00.000
230,SCS000230,31,Vertex SafetyChemicalSubstance 230,1,1,2026-08-24T00:00:00.000
231,SCS000231,104,Keystone SafetyChemicalSubstance 231,1,1,2026-08-24T00:00:00.000
232,SCS000232,43,Forge SafetyChemicalSubstance 232,1,1,2026-08-24T00:00:00.000
233,SCS000233,36,Evergreen SafetyChemicalSubstance 233,1,1,2026-08-24T00:00:00.000
234,SCS000234,51,Forge SafetyChemicalSubstance 234,1,1,2026-08-24T00:00:00.000
235,SCS000235,161,Unity SafetyChemicalSubstance 235,1,1,2026-08-24T00:00:00.000
236,SCS000236,12,Keystone SafetyChemicalSubstance 236,1,1,2026-08-24T00:00:00.000
237,SCS000237,36,Summit SafetyChemicalSubstance 237,1,1,2026-08-24T00:00:00.000
238,SCS000238,28,Keystone SafetyChemicalSubstance 238,1,1,2026-08-24T00:00:00.000
239,SCS000239,118,Meridian SafetyChemicalSubstance 239,1,1,2026-08-24T00:00:00.000
240,SCS000240,11,Vertex SafetyChemicalSubstance 240,1,1,2026-08-24T00:00:00.000
241,SCS000241,62,Pioneer SafetyChemicalSubstance 241,1,1,2026-08-24T00:00:00.000
242,SCS000242,108,Atlas SafetyChemicalSubstance 242,1,1,2026-08-24T00:00:00.000
243,SCS000243,20,Summit SafetyChemicalSubstance 243,1,1,2026-08-24T00:00:00.000
244,SCS000244,92,Meridian SafetyChemicalSubstance 244,1,1,2026-08-24T00:00:00.000
245,SCS000245,91,Unity SafetyChemicalSubstance 245,1,1,2026-08-24T00:00:00.000
246,SCS000246,20,Liberty SafetyChemicalSubstance 246,1,1,2026-08-24T00:00:00.000
247,SCS000247,9,Junction SafetyChemicalSubstance 247,1,1,2026-08-24T00:00:00.000
248,SCS000248,61,Pioneer SafetyChemicalSubstance 248,1,1,2026-08-24T00:00:00.000
249,SCS000249,62,Junction SafetyChemicalSubstance 249,1,1,2026-08-24T00:00:00.000
250,SCS000250,158,Riverton SafetyChemicalSubstance 250,1,1,2026-08-24T00:00:00.000
251,SCS000251,28,Ion SafetyChemicalSubstance 251,1,1,2026-08-24T00:00:00.000
252,SCS000252,68,Vertex SafetyChemicalSubstance 252,1,1,2026-08-24T00:00:00.000
253,SCS000253,147,Riverton SafetyChemicalSubstance 253,1,1,2026-08-24T00:00:00.000
254,SCS000254,55,Harbor SafetyChemicalSubstance 254,1,1,2026-08-24T00:00:00.000
255,SCS000255,178,Cedar SafetyChemicalSubstance 255,1,1,2026-08-24T00:00:00.000
256,SCS000256,44,Orion SafetyChemicalSubstance 256,1,1,2026-08-24T00:00:00.000
257,SCS000257,34,Summit SafetyChemicalSubstance 257,1,1,2026-08-24T00:00:00.000
258,SCS000258,105,Vertex SafetyChemicalSubstance 258,1,1,2026-08-24T00:00:00.000
259,SCS000259,84,Forge SafetyChemicalSubstance 259,1,1,2026-08-24T00:00:00.000
260,SCS000260,34,Keystone SafetyChemicalSubstance 260,1,1,2026-08-24T00:00:00.000
261,SCS000261,132,Delta SafetyChemicalSubstance 261,1,1,2026-08-24T00:00:00.000
262,SCS000262,89,Cedar SafetyChemicalSubstance 262,1,1,2026-08-24T00:00:00.000
263,SCS000263,51,Riverton SafetyChemicalSubstance 263,1,1,2026-08-24T00:00:00.000
264,SCS000264,103,Liberty SafetyChemicalSubstance 264,1,1,2026-08-24T00:00:00.000
265,SCS000265,27,Orion SafetyChemicalSubstance 265,1,1,2026-08-24T00:00:00.000
266,SCS000266,168,Forge SafetyChemicalSubstance 266,1,1,2026-08-24T00:00:00.000
267,SCS000267,100,Vertex SafetyChemicalSubstance 267,1,1,2026-08-24T00:00:00.000
268,SCS000268,32,Cedar SafetyChemicalSubstance 268,1,1,2026-08-24T00:00:00.000
269,SCS000269,114,Delta SafetyChemicalSubstance 269,1,1,2026-08-24T00:00:00.000
270,SCS000270,119,Northstar SafetyChemicalSubstance 270,1,1,2026-08-24T00:00:00.000
271,SCS000271,45,Summit SafetyChemicalSubstance 271,1,1,2026-08-24T00:00:00.000
272,SCS000272,3,Quartz SafetyChemicalSubstance 272,1,1,2026-08-24T00:00:00.000
273,SCS000273,119,Junction SafetyChemicalSubstance 273,1,1,2026-08-24T00:00:00.000
274,SCS000274,167,Titan SafetyChemicalSubstance 274,1,1,2026-08-24T00:00:00.000
275,SCS000275,168,Northstar SafetyChemicalSubstance 275,1,1,2026-08-24T00:00:00.000
276,SCS000276,57,Summit SafetyChemicalSubstance 276,1,1,2026-08-24T00:00:00.000
277,SCS000277,22,Delta SafetyChemicalSubstance 277,1,1,2026-08-24T00:00:00.000
278,SCS000278,67,Cedar SafetyChemicalSubstance 278,1,1,2026-08-24T00:00:00.000
279,SCS000279,80,Pioneer SafetyChemicalSubstance 279,1,1,2026-08-24T00:00:00.000
280,SCS000280,63,Pioneer SafetyChemicalSubstance 280,1,1,2026-08-24T00:00:00.000
281,SCS000281,150,Summit SafetyChemicalSubstance 281,1,1,2026-08-24T00:00:00.000
282,SCS000282,120,Orion SafetyChemicalSubstance 282,1,1,2026-08-24T00:00:00.000
283,SCS000283,37,Orion SafetyChemicalSubstance 283,1,1,2026-08-24T00:00:00.000
284,SCS000284,70,Unity SafetyChemicalSubstance 284,1,1,2026-08-24T00:00:00.000
285,SCS000285,59,Cedar SafetyChemicalSubstance 285,1,1,2026-08-24T00:00:00.000
286,SCS000286,154,Riverton SafetyChemicalSubstance 286,1,1,2026-08-24T00:00:00.000
287,SCS000287,6,Liberty SafetyChemicalSubstance 287,1,1,2026-08-24T00:00:00.000
288,SCS000288,107,Unity SafetyChemicalSubstance 288,1,1,2026-08-24T00:00:00.000
289,SCS000289,145,Beacon SafetyChemicalSubstance 289,1,1,2026-08-24T00:00:00.000
