RoutingOperationClassKey,RoutingOperationClassCode,RoutingProcessGroupKey,RoutingOperationClassName,SourceSystemKey,BatchId,LoadedAtUtc
38,ROC000038,30,Evergreen RoutingOperationClass 38,1,1,2026-08-24T00:00:00.000
39,ROC000039,71,Titan RoutingOperationClass 39,1,1,2026-08-24T00:00:00.000
40,ROC000040,31,Orion RoutingOperationClass 40,1,1,2026-08-24T00:00:00.000
41,ROC000041,27,Atlas RoutingOperationClass 41,1,1,2026-08-24T00:00:00.000
42,ROC000042,3,Meridian RoutingOperationClass 42,1,1,2026-08-24T00:00:00.000
43,ROC000043,11,Beacon RoutingOperationClass 43,1,1,2026-08-24T00:00:00.000
44,ROC000044,54,Atlas RoutingOperationClass 44,1,1,2026-08-24T00:00:00.000
45,ROC000045,49,Willow RoutingOperationClass 45,1,1,2026-08-24T00:00:00.000
46,ROC000046,51,Meridian RoutingOperationClass 46,1,1,2026-08-24T00:00:00.000
47,ROC000047,44,Atlas RoutingOperationClass 47,1,1,2026-08-24T00:00:00.000
48,ROC000048,13,Riverton RoutingOperationClass 48,1,1,2026-08-24T00:00:00.000
49,ROC000049,17,Titan RoutingOperationClass 49,1,1,2026-08-24T00:00:00.000
50,ROC000050,28,Evergreen RoutingOperationClass 50,1,1,2026-08-24T00:00:00.000
51,ROC000051,33,Willow RoutingOperationClass 51,1,1,2026-08-24T00:00:00.000
52,ROC000052,50,Harbor RoutingOperationClass 52,1,1,2026-08-24T00:00:00.000
53,ROC000053,9,Pioneer RoutingOperationClass 53,1,1,2026-08-24T00:00:00.000
54,ROC000054,20,Keystone RoutingOperationClass 54,1,1,2026-08-24T00:00:00.000
55,ROC000055,74,Atlas RoutingOperationClass 55,1,1,2026-08-24T00:00:00.000
56,ROC000056,53,Titan RoutingOperationClass 56,1,1,2026-08-24T00:00:00.000
57,ROC000057,33,Unity RoutingOperationClass 57,1,1,2026-08-24T00:00:00.000
58,ROC000058,5,Granite RoutingOperationClass 58,1,1,2026-08-24T00:00:00.000
59,ROC000059,21,Ion RoutingOperationClass 59,1,1,2026-08-24T00:00:00.000
60,ROC000060,73,Harbor RoutingOperationClass 60,1,1,2026-08-24T00:00:00.000
61,ROC000061,11,Atlas RoutingOperationClass 61,1,1,2026-08-24T00:00:00.000
62,ROC000062,9,Pioneer RoutingOperationClass 62,1,1,2026-08-24T00:00:00.000
63,ROC000063,31,Summit RoutingOperationClass 63,1,1,2026-08-24T00:00:00.000
64,ROC000064,9,Summit RoutingOperationClass 64,1,1,2026-08-24T00:00:00.000
65,ROC000065,29,Granite RoutingOperationClass 65,1,1,2026-08-24T00:00:00.000
66,ROC000066,56,Meridian RoutingOperationClass 66,1,1,2026-08-24T00:00:00.000
67,ROC000067,64,Delta RoutingOperationClass 67,1,1,2026-08-24T00:00:00.000
68,ROC000068,51,Pioneer RoutingOperationClass 68,1,1,2026-08-24T00:00:00.000
69,ROC000069,61,Meridian RoutingOperationClass 69,1,1,2026-08-24T00:00:00.000
70,ROC000070,25,Unity RoutingOperationClass 70,1,1,2026-08-24T00:00:00.000
71,ROC000071,7,Pioneer RoutingOperationClass 71,1,1,2026-08-24T00:00:00.000
72,ROC000072,20,Northstar RoutingOperationClass 72,1,1,2026-08-24T00:00:00.000
73,ROC000073,55,Liberty RoutingOperationClass 73,1,1,2026-08-24T00:00:00.000
74,ROC000074,2,Meridian RoutingOperationClass 74,1,1,2026-08-24T00:00:00.000
75,ROC000075,5,Quartz RoutingOperationClass 75,1,1,2026-08-24T00:00:00.000
76,ROC000076,62,Harbor RoutingOperationClass 76,1,1,2026-08-24T00:00:00.000
77,ROC000077,11,Beacon RoutingOperationClass 77,1,1,2026-08-24T00:00:00.000
78,ROC000078,53,Northstar RoutingOperationClass 78,1,1,2026-08-24T00:00:00.000
79,ROC000079,18,Riverton RoutingOperationClass 79,1,1,2026-08-24T00:00:00.000
80,ROC000080,38,Meridian RoutingOperationClass 80,1,1,2026-08-24T00:00:00.000
81,ROC000081,71,Evergreen RoutingOperationClass 81,1,1,2026-08-24T00:00:00.000
82,ROC000082,43,Beacon RoutingOperationClass 82,1,1,2026-08-24T00:00:00.000
83,ROC000083,46,Atlas RoutingOperationClass 83,1,1,2026-08-24T00:00:00.000
84,ROC000084,61,Willow RoutingOperationClass 84,1,1,2026-08-24T00:00:00.000
85,ROC000085,11,Beacon RoutingOperationClass 85,1,1,2026-08-24T00:00:00.000
86,ROC000086,69,Willow RoutingOperationClass 86,1,1,2026-08-24T00:00:00.000
87,ROC000087,38,Delta RoutingOperationClass 87,1,1,2026-08-24T00:00:00.000
88,ROC000088,2,Riverton RoutingOperationClass 88,1,1,2026-08-24T00:00:00.000
89,ROC000089,53,Atlas RoutingOperationClass 89,1,1,2026-08-24T00:00:00.000
90,ROC000090,59,Pioneer RoutingOperationClass 90,1,1,2026-08-24T00:00:00.000
91,ROC000091,60,Liberty RoutingOperationClass 91,1,1,2026-08-24T00:00:00.000
92,ROC000092,41,Vertex RoutingOperationClass 92,1,1,2026-08-24T00:00:00.000
93,ROC000093,50,Zenith RoutingOperationClass 93,1,1,2026-08-24T00:00:00.000
94,ROC000094,73,Orion RoutingOperationClass 94,1,1,2026-08-24T00:00:00.000
95,ROC000095,35,Riverton RoutingOperationClass 95,1,1,2026-08-24T00:00:00.000
96,ROC000096,40,Willow RoutingOperationClass 96,1,1,2026-08-24T00:00:00.000
97,ROC000097,44,Willow RoutingOperationClass 97,1,1,2026-08-24T00:00:00.000
98,ROC000098,23,Cedar RoutingOperationClass 98,1,1,2026-08-24T00:00:00.000
99,ROC000099,20,Pioneer RoutingOperationClass 99,1,1,2026-08-24T00:00:00.000
100,ROC000100,7,Unity RoutingOperationClass 100,1,1,2026-08-24T00:00:00.000
101,ROC000101,25,Vertex RoutingOperationClass 101,1,1,2026-08-24T00:00:00.000
102,ROC000102,45,Summit RoutingOperationClass 102,1,1,2026-08-24T00:00:00.000
103,ROC000103,63,Granite RoutingOperationClass 103,1,1,2026-08-24T00:00:00.000
104,ROC000104,75,Liberty RoutingOperationClass 104,1,1,2026-08-24T00:00:00.000
105,ROC000105,3,Willow RoutingOperationClass 105,1,1,2026-08-24T00:00:00.000
106,ROC000106,10,Vertex RoutingOperationClass 106,1,1,2026-08-24T00:00:00.000
107,ROC000107,53,Ion RoutingOperationClass 107,1,1,2026-08-24T00:00:00.000
108,ROC000108,17,Delta RoutingOperationClass 108,1,1,2026-08-24T00:00:00.000
109,ROC000109,52,Zenith RoutingOperationClass 109,1,1,2026-08-24T00:00:00.000
110,ROC000110,7,Meridian RoutingOperationClass 110,1,1,2026-08-24T00:00:00.000
111,ROC000111,62,Riverton RoutingOperationClass 111,1,1,2026-08-24T00:00:00.000
112,ROC000112,61,Ion RoutingOperationClass 112,1,1,2026-08-24T00:00:00.000
113,ROC000113,22,Harbor RoutingOperationClass 113,1,1,2026-08-24T00:00:00.000
114,ROC000114,9,Evergreen RoutingOperationClass 114,1,1,2026-08-24T00:00:00.000
115,ROC000115,51,Orion RoutingOperationClass 115,1,1,2026-08-24T00:00:00.000
116,ROC000116,42,Meridian RoutingOperationClass 116,1,1,2026-08-24T00:00:00.000
117,ROC000117,70,Forge RoutingOperationClass 117,1,1,2026-08-24T00:00:00.000
118,ROC000118,36,Quartz RoutingOperationClass 118,1,1,2026-08-24T00:00:00.000
119,ROC000119,42,Unity RoutingOperationClass 119,1,1,2026-08-24T00:00:00.000
120,ROC000120,17,Zenith RoutingOperationClass 120,1,1,2026-08-24T00:00:00.000
121,ROC000121,21,Beacon RoutingOperationClass 121,1,1,2026-08-24T00:00:00.000
122,ROC000122,8,Titan RoutingOperationClass 122,1,1,2026-08-24T00:00:00.000
123,ROC000123,70,Northstar RoutingOperationClass 123,1,1,2026-08-24T00:00:00.000
124,ROC000124,74,Ion RoutingOperationClass 124,1,1,2026-08-24T00:00:00.000
125,ROC000125,36,Keystone RoutingOperationClass 125,1,1,2026-08-24T00:00:00.000
126,ROC000126,10,Unity RoutingOperationClass 126,1,1,2026-08-24T00:00:00.000
127,ROC000127,11,Liberty RoutingOperationClass 127,1,1,2026-08-24T00:00:00.000
128,ROC000128,5,Northstar RoutingOperationClass 128,1,1,2026-08-24T00:00:00.000
129,ROC000129,7,Pioneer RoutingOperationClass 129,1,1,2026-08-24T00:00:00.000
130,ROC000130,43,Summit RoutingOperationClass 130,1,1,2026-08-24T00:00:00.000
131,ROC000131,69,Ion RoutingOperationClass 131,1,1,2026-08-24T00:00:00.000
132,ROC000132,32,Titan RoutingOperationClass 132,1,1,2026-08-24T00:00:00.000
133,ROC000133,45,Keystone RoutingOperationClass 133,1,1,2026-08-24T00:00:00.000
134,ROC000134,24,Forge RoutingOperationClass 134,1,1,2026-08-24T00:00:00.000
135,ROC000135,44,Liberty RoutingOperationClass 135,1,1,2026-08-24T00:00:00.000
136,ROC000136,23,Junction RoutingOperationClass 136,1,1,2026-08-24T00:00:00.000
137,ROC000137,11,Orion RoutingOperationClass 137,1,1,2026-08-24T00:00:00.000
138,ROC000138,6,Willow RoutingOperationClass 138,1,1,2026-08-24T00:00:00.000
139,ROC000139,18,Vertex RoutingOperationClass 139,1,1,2026-08-24T00:00:00.000
140,ROC000140,13,Riverton RoutingOperationClass 140,1,1,2026-08-24T00:00:00.000
141,ROC000141,21,Keystone RoutingOperationClass 141,1,1,2026-08-24T00:00:00.000
142,ROC000142,70,Forge RoutingOperationClass 142,1,1,2026-08-24T00:00:00.000
143,ROC000143,25,Northstar RoutingOperationClass 143,1,1,2026-08-24T00:00:00.000
144,ROC000144,52,Atlas RoutingOperationClass 144,1,1,2026-08-24T00:00:00.000
145,ROC000145,51,Beacon RoutingOperationClass 145,1,1,2026-08-24T00:00:00.000
146,ROC000146,69,Cedar RoutingOperationClass 146,1,1,2026-08-24T00:00:00.000
147,ROC000147,43,Zenith RoutingOperationClass 147,1,1,2026-08-24T00:00:00.000
148,ROC000148,26,Junction RoutingOperationClass 148,1,1,2026-08-24T00:00:00.000
149,ROC000149,59,Riverton RoutingOperationClass 149,1,1,2026-08-24T00:00:00.000
150,ROC000150,41,Liberty RoutingOperationClass 150,1,1,2026-08-24T00:00:00.000
151,ROC000151,13,Junction RoutingOperationClass 151,1,1,2026-08-24T00:00:00.000
152,ROC000152,51,Liberty RoutingOperationClass 152,1,1,2026-08-24T00:00:00.000
153,ROC000153,66,Liberty RoutingOperationClass 153,1,1,2026-08-24T00:00:00.000
154,ROC000154,27,Delta RoutingOperationClass 154,1,1,2026-08-24T00:00:00.000
155,ROC000155,49,Meridian RoutingOperationClass 155,1,1,2026-08-24T00:00:00.000
156,ROC000156,25,Junction RoutingOperationClass 156,1,1,2026-08-24T00:00:00.000
157,ROC000157,53,Vertex RoutingOperationClass 157,1,1,2026-08-24T00:00:00.000
158,ROC000158,36,Zenith RoutingOperationClass 158,1,1,2026-08-24T00:00:00.000
159,ROC000159,6,Pioneer RoutingOperationClass 159,1,1,2026-08-24T00:00:00.000
160,ROC000160,63,Zenith RoutingOperationClass 160,1,1,2026-08-24T00:00:00.000
161,ROC000161,42,Evergreen RoutingOperationClass 161,1,1,2026-08-24T00:00:00.000
162,ROC000162,30,Titan RoutingOperationClass 162,1,1,2026-08-24T00:00:00.000
163,ROC000163,33,Granite RoutingOperationClass 163,1,1,2026-08-24T00:00:00.000
164,ROC000164,18,Unity RoutingOperationClass 164,1,1,2026-08-24T00:00:00.000
165,ROC000165,68,Keystone RoutingOperationClass 165,1,1,2026-08-24T00:00:00.000
166,ROC000166,64,Summit RoutingOperationClass 166,1,1,2026-08-24T00:00:00.000
167,ROC000167,38,Forge RoutingOperationClass 167,1,1,2026-08-24T00:00:00.000
168,ROC000168,48,Cedar RoutingOperationClass 168,1,1,2026-08-24T00:00:00.000
169,ROC000169,69,Harbor RoutingOperationClass 169,1,1,2026-08-24T00:00:00.000
170,ROC000170,61,Quartz RoutingOperationClass 170,1,1,2026-08-24T00:00:00.000
171,ROC000171,74,Zenith RoutingOperationClass 171,1,1,2026-08-24T00:00:00.000
172,ROC000172,18,Riverton RoutingOperationClass 172,1,1,2026-08-24T00:00:00.000
173,ROC000173,35,Liberty RoutingOperationClass 173,1,1,2026-08-24T00:00:00.000
174,ROC000174,35,Zenith RoutingOperationClass 174,1,1,2026-08-24T00:00:00.000
175,ROC000175,14,Liberty RoutingOperationClass 175,1,1,2026-08-24T00:00:00.000
176,ROC000176,25,Riverton RoutingOperationClass 176,1,1,2026-08-24T00:00:00.000
177,ROC000177,27,Atlas RoutingOperationClass 177,1,1,2026-08-24T00:00:00.000
178,ROC000178,24,Meridian RoutingOperationClass 178,1,1,2026-08-24T00:00:00.000
179,ROC000179,32,Forge RoutingOperationClass 179,1,1,2026-08-24T00:00:00.000
180,ROC000180,11,Evergreen RoutingOperationClass 180,1,1,2026-08-24T00:00:00.000
181,ROC000181,69,Quartz RoutingOperationClass 181,1,1,2026-08-24T00:00:00.000
182,ROC000182,48,Atlas RoutingOperationClass 182,1,1,2026-08-24T00:00:00.000
183,ROC000183,50,Cedar RoutingOperationClass 183,1,1,2026-08-24T00:00:00.000
184,ROC000184,10,Atlas RoutingOperationClass 184,1,1,2026-08-24T00:00:00.000
185,ROC000185,54,Meridian RoutingOperationClass 185,1,1,2026-08-24T00:00:00.000
186,ROC000186,69,Keystone RoutingOperationClass 186,1,1,2026-08-24T00:00:00.000
187,ROC000187,66,Riverton RoutingOperationClass 187,1,1,2026-08-24T00:00:00.000
188,ROC000188,28,Evergreen RoutingOperationClass 188,1,1,2026-08-24T00:00:00.000
189,ROC000189,50,Riverton RoutingOperationClass 189,1,1,2026-08-24T00:00:00.000
190,ROC000190,28,Forge RoutingOperationClass 190,1,1,2026-08-24T00:00:00.000
191,ROC000191,56,Harbor RoutingOperationClass 191,1,1,2026-08-24T00:00:00.000
192,ROC000192,2,Northstar RoutingOperationClass 192,1,1,2026-08-24T00:00:00.000
193,ROC000193,6,Meridian RoutingOperationClass 193,1,1,2026-08-24T00:00:00.000
194,ROC000194,49,Orion RoutingOperationClass 194,1,1,2026-08-24T00:00:00.000
195,ROC000195,8,Liberty RoutingOperationClass 195,1,1,2026-08-24T00:00:00.000
196,ROC000196,15,Keystone RoutingOperationClass 196,1,1,2026-08-24T00:00:00.000
197,ROC000197,33,Vertex RoutingOperationClass 197,1,1,2026-08-24T00:00:00.000
198,ROC000198,6,Harbor RoutingOperationClass 198,1,1,2026-08-24T00:00:00.000
199,ROC000199,45,Cedar RoutingOperationClass 199,1,1,2026-08-24T00:00:00.000
200,ROC000200,34,Zenith RoutingOperationClass 200,1,1,2026-08-24T00:00:00.000
201,ROC000201,63,Quartz RoutingOperationClass 201,1,1,2026-08-24T00:00:00.000
202,ROC000202,24,Northstar RoutingOperationClass 202,1,1,2026-08-24T00:00:00.000
203,ROC000203,64,Willow RoutingOperationClass 203,1,1,2026-08-24T00:00:00.000
204,ROC000204,48,Forge RoutingOperationClass 204,1,1,2026-08-24T00:00:00.000
205,ROC000205,8,Titan RoutingOperationClass 205,1,1,2026-08-24T00:00:00.000
206,ROC000206,21,Ion RoutingOperationClass 206,1,1,2026-08-24T00:00:00.000
207,ROC000207,64,Liberty RoutingOperationClass 207,1,1,2026-08-24T00:00:00.000
208,ROC000208,36,Willow RoutingOperationClass 208,1,1,2026-08-24T00:00:00.000
209,ROC000209,12,Unity RoutingOperationClass 209,1,1,2026-08-24T00:00:00.000
210,ROC000210,23,Orion RoutingOperationClass 210,1,1,2026-08-24T00:00:00.000
211,ROC000211,69,Riverton RoutingOperationClass 211,1,1,2026-08-24T00:00:00.000
212,ROC000212,70,Willow RoutingOperationClass 212,1,1,2026-08-24T00:00:00.000
213,ROC000213,64,Unity RoutingOperationClass 213,1,1,2026-08-24T00:00:00.000
214,ROC000214,14,Riverton RoutingOperationClass 214,1,1,2026-08-24T00:00:00.000
215,ROC000215,62,Pioneer RoutingOperationClass 215,1,1,2026-08-24T00:00:00.000
216,ROC000216,38,Riverton RoutingOperationClass 216,1,1,2026-08-24T00:00:00.000
217,ROC000217,27,Keystone RoutingOperationClass 217,1,1,2026-08-24T00:00:00.000
218,ROC000218,38,Quartz RoutingOperationClass 218,1,1,2026-08-24T00:00:00.000
219,ROC000219,14,Northstar RoutingOperationClass 219,1,1,2026-08-24T00:00:00.000
220,ROC000220,71,Ion RoutingOperationClass 220,1,1,2026-08-24T00:00:00.000
221,ROC000221,7,Northstar RoutingOperationClass 221,1,1,2026-08-24T00:00:00.000
222,ROC000222,28,Liberty RoutingOperationClass 222,1,1,2026-08-24T00:00:00.000
223,ROC000223,29,Vertex RoutingOperationClass 223,1,1,2026-08-24T00:00:00.000
224,ROC000224,62,Junction RoutingOperationClass 224,1,1,2026-08-24T00:00:00.000
225,ROC000225,22,Atlas RoutingOperationClass 225,1,1,2026-08-24T00:00:00.000
226,ROC000226,27,Forge RoutingOperationClass 226,1,1,2026-08-24T00:00:00.000
227,ROC000227,41,Beacon RoutingOperationClass 227,1,1,2026-08-24T00:00:00.000
228,ROC000228,48,Summit RoutingOperationClass 228,1,1,2026-08-24T00:00:00.000
229,ROC000229,28,Junction RoutingOperationClass 229,1,1,2026-08-24T00:00:00.000
230,ROC000230,46,Atlas RoutingOperationClass 230,1,1,2026-08-24T00:00:00.000
231,ROC000231,49,Riverton RoutingOperationClass 231,1,1,2026-08-24T00:00:00.000
232,ROC000232,30,Orion RoutingOperationClass 232,1,1,2026-08-24T00:00:00.000
233,ROC000233,62,Atlas RoutingOperationClass 233,1,1,2026-08-24T00:00:00.000
234,ROC000234,39,Atlas RoutingOperationClass 234,1,1,2026-08-24T00:00:00.000
235,ROC000235,21,Cedar RoutingOperationClass 235,1,1,2026-08-24T00:00:00.000
236,ROC000236,57,Liberty RoutingOperationClass 236,1,1,2026-08-24T00:00:00.000
237,ROC000237,21,Summit RoutingOperationClass 237,1,1,2026-08-24T00:00:00.000
238,ROC000238,7,Atlas RoutingOperationClass 238,1,1,2026-08-24T00:00:00.000
239,ROC000239,25,Riverton RoutingOperationClass 239,1,1,2026-08-24T00:00:00.000
240,ROC000240,38,Cedar RoutingOperationClass 240,1,1,2026-08-24T00:00:00.000
241,ROC000241,20,Titan RoutingOperationClass 241,1,1,2026-08-24T00:00:00.000
242,ROC000242,52,Evergreen RoutingOperationClass 242,1,1,2026-08-24T00:00:00.000
243,ROC000243,51,Ion RoutingOperationClass 243,1,1,2026-08-24T00:00:00.000
244,ROC000244,21,Cedar RoutingOperationClass 244,1,1,2026-08-24T00:00:00.000
245,ROC000245,45,Zenith RoutingOperationClass 245,1,1,2026-08-24T00:00:00.000
246,ROC000246,5,Quartz RoutingOperationClass 246,1,1,2026-08-24T00:00:00.000
247,ROC000247,33,Summit RoutingOperationClass 247,1,1,2026-08-24T00:00:00.000
248,ROC000248,34,Quartz RoutingOperationClass 248,1,1,2026-08-24T00:00:00.000
249,ROC000249,20,Forge RoutingOperationClass 249,1,1,2026-08-24T00:00:00.000
250,ROC000250,10,Titan RoutingOperationClass 250,1,1,2026-08-24T00:00:00.000
251,ROC000251,72,Beacon RoutingOperationClass 251,1,1,2026-08-24T00:00:00.000
252,ROC000252,44,Delta RoutingOperationClass 252,1,1,2026-08-24T00:00:00.000
253,ROC000253,14,Summit RoutingOperationClass 253,1,1,2026-08-24T00:00:00.000
254,ROC000254,66,Junction RoutingOperationClass 254,1,1,2026-08-24T00:00:00.000
255,ROC000255,62,Junction RoutingOperationClass 255,1,1,2026-08-24T00:00:00.000
256,ROC000256,14,Titan RoutingOperationClass 256,1,1,2026-08-24T00:00:00.000
257,ROC000257,26,Northstar RoutingOperationClass 257,1,1,2026-08-24T00:00:00.000
258,ROC000258,16,Beacon RoutingOperationClass 258,1,1,2026-08-24T00:00:00.000
259,ROC000259,17,Northstar RoutingOperationClass 259,1,1,2026-08-24T00:00:00.000
260,ROC000260,4,Riverton RoutingOperationClass 260,1,1,2026-08-24T00:00:00.000
