BusinessUnitKey,BusinessUnitCode,OrgBusinessUnitKey,BusinessUnitPortfolioKey,CurrencyKey,RecordStatusKey,BusinessUnitName,BusinessUnitDescription,PresidentName,PrimaryPlantCode,DefaultCurrencyCode,ProfitCenterCode,StrategicFlag,EffectiveStartDate,SourceSystemKey,BatchId,LoadedAtUtc
23,BU000023,61,77,3,1,Liberty BusinessUnit 23,BusinessUnit starter record 23,Quinn Patel,BU000023,JPY,BU000023,1,2020-01-24,1,1,2026-08-24T00:00:00.000
24,BU000024,14,55,3,1,Beacon BusinessUnit 24,BusinessUnit starter record 24,Emerson Hughes,BU000024,USD,BU000024,1,2020-01-25,1,1,2026-08-24T00:00:00.000
25,BU000025,36,19,1,1,Unity BusinessUnit 25,BusinessUnit starter record 25,Casey Patel,BU000025,EUR,BU000025,0,2020-01-26,1,1,2026-08-24T00:00:00.000
26,BU000026,54,21,4,2,Summit BusinessUnit 26,BusinessUnit starter record 26,Casey Khan,BU000026,GBP,BU000026,1,2020-01-27,1,1,2026-08-24T00:00:00.000
27,BU000027,58,67,1,3,Meridian BusinessUnit 27,BusinessUnit starter record 27,Emerson Khan,BU000027,CAD,BU000027,1,2020-01-28,1,1,2026-08-24T00:00:00.000
28,BU000028,19,73,3,1,Orion BusinessUnit 28,BusinessUnit starter record 28,Finley Evans,BU000028,MXN,BU000028,1,2020-01-29,1,1,2026-08-24T00:00:00.000
29,BU000029,17,78,1,2,Summit BusinessUnit 29,BusinessUnit starter record 29,Morgan Garcia,BU000029,JPY,BU000029,1,2020-01-30,1,1,2026-08-24T00:00:00.000
30,BU000030,57,47,2,3,Evergreen BusinessUnit 30,BusinessUnit starter record 30,Blair Hughes,BU000030,USD,BU000030,0,2020-01-31,1,1,2026-08-24T00:00:00.000
31,BU000031,110,32,4,2,Willow BusinessUnit 31,BusinessUnit starter record 31,Emerson Diaz,BU000031,EUR,BU000031,1,2020-02-01,1,1,2026-08-24T00:00:00.000
32,BU000032,12,47,4,1,Cedar BusinessUnit 32,BusinessUnit starter record 32,Taylor Diaz,BU000032,GBP,BU000032,1,2020-02-02,1,1,2026-08-24T00:00:00.000
33,BU000033,90,43,3,4,Pioneer BusinessUnit 33,BusinessUnit starter record 33,Casey Evans,BU000033,CAD,BU000033,1,2020-02-03,1,1,2026-08-24T00:00:00.000
34,BU000034,25,4,5,2,Orion BusinessUnit 34,BusinessUnit starter record 34,Alex Garcia,BU000034,MXN,BU000034,1,2020-02-04,1,1,2026-08-24T00:00:00.000
35,BU000035,20,49,5,3,Vertex BusinessUnit 35,BusinessUnit starter record 35,Casey Martin,BU000035,JPY,BU000035,0,2020-02-05,1,1,2026-08-24T00:00:00.000
36,BU000036,142,32,4,1,Unity BusinessUnit 36,BusinessUnit starter record 36,Alex Bennett,BU000036,USD,BU000036,1,2020-02-06,1,1,2026-08-24T00:00:00.000
37,BU000037,18,46,3,4,Vertex BusinessUnit 37,BusinessUnit starter record 37,Taylor Diaz,BU000037,EUR,BU000037,1,2020-02-07,1,1,2026-08-24T00:00:00.000
38,BU000038,42,71,5,1,Evergreen BusinessUnit 38,BusinessUnit starter record 38,Blair Diaz,BU000038,GBP,BU000038,1,2020-02-08,1,1,2026-08-24T00:00:00.000
39,BU000039,147,18,3,3,Northstar BusinessUnit 39,BusinessUnit starter record 39,Emerson Adams,BU000039,CAD,BU000039,1,2020-02-09,1,1,2026-08-24T00:00:00.000
40,BU000040,19,3,5,4,Liberty BusinessUnit 40,BusinessUnit starter record 40,Taylor Garcia,BU000040,MXN,BU000040,0,2020-02-10,1,1,2026-08-24T00:00:00.000
41,BU000041,42,46,3,1,Harbor BusinessUnit 41,BusinessUnit starter record 41,Casey Evans,BU000041,JPY,BU000041,1,2020-02-11,1,1,2026-08-24T00:00:00.000
42,BU000042,82,61,4,4,Beacon BusinessUnit 42,BusinessUnit starter record 42,Casey Patel,BU000042,USD,BU000042,1,2020-02-12,1,1,2026-08-24T00:00:00.000
43,BU000043,102,16,2,4,Atlas BusinessUnit 43,BusinessUnit starter record 43,Blair Adams,BU000043,EUR,BU000043,1,2020-02-13,1,1,2026-08-24T00:00:00.000
44,BU000044,67,76,1,3,Delta BusinessUnit 44,BusinessUnit starter record 44,Casey Garcia,BU000044,GBP,BU000044,1,2020-02-14,1,1,2026-08-24T00:00:00.000
45,BU000045,17,7,2,2,Vertex BusinessUnit 45,BusinessUnit starter record 45,Jordan Patel,BU000045,CAD,BU000045,0,2020-02-15,1,1,2026-08-24T00:00:00.000
46,BU000046,65,1,5,1,Liberty BusinessUnit 46,BusinessUnit starter record 46,Devon Evans,BU000046,MXN,BU000046,1,2020-02-16,1,1,2026-08-24T00:00:00.000
47,BU000047,9,71,3,3,Orion BusinessUnit 47,BusinessUnit starter record 47,Morgan Garcia,BU000047,JPY,BU000047,1,2020-02-17,1,1,2026-08-24T00:00:00.000
48,BU000048,23,78,4,1,Zenith BusinessUnit 48,BusinessUnit starter record 48,Jordan Singh,BU000048,USD,BU000048,1,2020-02-18,1,1,2026-08-24T00:00:00.000
49,BU000049,108,26,3,4,Willow BusinessUnit 49,BusinessUnit starter record 49,Quinn Bennett,BU000049,EUR,BU000049,1,2020-02-19,1,1,2026-08-24T00:00:00.000
50,BU000050,53,79,2,1,Titan BusinessUnit 50,BusinessUnit starter record 50,Alex Garcia,BU000050,GBP,BU000050,0,2020-02-20,1,1,2026-08-24T00:00:00.000
51,BU000051,23,27,2,4,Northstar BusinessUnit 51,BusinessUnit starter record 51,Blair Chen,BU000051,CAD,BU000051,1,2020-02-21,1,1,2026-08-24T00:00:00.000
52,BU000052,16,80,4,1,Beacon BusinessUnit 52,BusinessUnit starter record 52,Jordan Garcia,BU000052,MXN,BU000052,1,2020-02-22,1,1,2026-08-24T00:00:00.000
53,BU000053,66,64,1,2,Forge BusinessUnit 53,BusinessUnit starter record 53,Riley Evans,BU000053,JPY,BU000053,1,2020-02-23,1,1,2026-08-24T00:00:00.000
54,BU000054,79,5,1,2,Delta BusinessUnit 54,BusinessUnit starter record 54,Riley Martin,BU000054,USD,BU000054,1,2020-02-24,1,1,2026-08-24T00:00:00.000
55,BU000055,58,75,2,3,Cedar BusinessUnit 55,BusinessUnit starter record 55,Riley Evans,BU000055,EUR,BU000055,0,2020-02-25,1,1,2026-08-24T00:00:00.000
56,BU000056,16,52,1,4,Quartz BusinessUnit 56,BusinessUnit starter record 56,Harper Chen,BU000056,GBP,BU000056,1,2020-02-26,1,1,2026-08-24T00:00:00.000
57,BU000057,146,59,2,3,Delta BusinessUnit 57,BusinessUnit starter record 57,Quinn Reed,BU000057,CAD,BU000057,1,2020-02-27,1,1,2026-08-24T00:00:00.000
58,BU000058,80,18,3,3,Meridian BusinessUnit 58,BusinessUnit starter record 58,Harper Garcia,BU000058,MXN,BU000058,1,2020-02-28,1,1,2026-08-24T00:00:00.000
59,BU000059,21,14,2,1,Evergreen BusinessUnit 59,BusinessUnit starter record 59,Emerson Singh,BU000059,JPY,BU000059,1,2020-02-29,1,1,2026-08-24T00:00:00.000
60,BU000060,46,20,5,1,Quartz BusinessUnit 60,BusinessUnit starter record 60,Morgan Patel,BU000060,USD,BU000060,0,2020-03-01,1,1,2026-08-24T00:00:00.000
61,BU000061,39,29,2,1,Keystone BusinessUnit 61,BusinessUnit starter record 61,Emerson Chen,BU000061,EUR,BU000061,1,2020-03-02,1,1,2026-08-24T00:00:00.000
62,BU000062,131,73,3,1,Meridian BusinessUnit 62,BusinessUnit starter record 62,Jordan Reed,BU000062,GBP,BU000062,1,2020-03-03,1,1,2026-08-24T00:00:00.000
63,BU000063,31,26,5,1,Keystone BusinessUnit 63,BusinessUnit starter record 63,Finley Evans,BU000063,CAD,BU000063,1,2020-03-04,1,1,2026-08-24T00:00:00.000
64,BU000064,57,71,4,3,Titan BusinessUnit 64,BusinessUnit starter record 64,Harper Garcia,BU000064,MXN,BU000064,1,2020-03-05,1,1,2026-08-24T00:00:00.000
65,BU000065,68,80,1,3,Pioneer BusinessUnit 65,BusinessUnit starter record 65,Harper Adams,BU000065,JPY,BU000065,0,2020-03-06,1,1,2026-08-24T00:00:00.000
66,BU000066,74,28,4,1,Northstar BusinessUnit 66,BusinessUnit starter record 66,Quinn Garcia,BU000066,USD,BU000066,1,2020-03-07,1,1,2026-08-24T00:00:00.000
67,BU000067,105,57,2,1,Junction BusinessUnit 67,BusinessUnit starter record 67,Quinn Garcia,BU000067,EUR,BU000067,1,2020-03-08,1,1,2026-08-24T00:00:00.000
68,BU000068,20,69,5,3,Atlas BusinessUnit 68,BusinessUnit starter record 68,Blair Khan,BU000068,GBP,BU000068,1,2020-03-09,1,1,2026-08-24T00:00:00.000
69,BU000069,47,24,4,4,Cedar BusinessUnit 69,BusinessUnit starter record 69,Quinn Patel,BU000069,CAD,BU000069,1,2020-03-10,1,1,2026-08-24T00:00:00.000
70,BU000070,64,63,3,1,Ion BusinessUnit 70,BusinessUnit starter record 70,Alex Hughes,BU000070,MXN,BU000070,0,2020-03-11,1,1,2026-08-24T00:00:00.000
71,BU000071,151,51,4,2,Granite BusinessUnit 71,BusinessUnit starter record 71,Quinn Martin,BU000071,JPY,BU000071,1,2020-03-12,1,1,2026-08-24T00:00:00.000
72,BU000072,23,16,2,1,Willow BusinessUnit 72,BusinessUnit starter record 72,Blair Reed,BU000072,USD,BU000072,1,2020-03-13,1,1,2026-08-24T00:00:00.000
73,BU000073,81,76,2,2,Cedar BusinessUnit 73,BusinessUnit starter record 73,Quinn Garcia,BU000073,EUR,BU000073,1,2020-03-14,1,1,2026-08-24T00:00:00.000
74,BU000074,78,45,5,2,Evergreen BusinessUnit 74,BusinessUnit starter record 74,Harper Garcia,BU000074,GBP,BU000074,1,2020-03-15,1,1,2026-08-24T00:00:00.000
75,BU000075,94,54,2,2,Beacon BusinessUnit 75,BusinessUnit starter record 75,Devon Evans,BU000075,CAD,BU000075,0,2020-03-16,1,1,2026-08-24T00:00:00.000
76,BU000076,66,71,4,1,Riverton BusinessUnit 76,BusinessUnit starter record 76,Devon Garcia,BU000076,MXN,BU000076,1,2020-03-17,1,1,2026-08-24T00:00:00.000
77,BU000077,9,64,5,4,Titan BusinessUnit 77,BusinessUnit starter record 77,Devon Chen,BU000077,JPY,BU000077,1,2020-03-18,1,1,2026-08-24T00:00:00.000
78,BU000078,26,59,2,4,Zenith BusinessUnit 78,BusinessUnit starter record 78,Alex Garcia,BU000078,USD,BU000078,1,2020-03-19,1,1,2026-08-24T00:00:00.000
79,BU000079,3,64,3,4,Beacon BusinessUnit 79,BusinessUnit starter record 79,Riley Garcia,BU000079,EUR,BU000079,1,2020-03-20,1,1,2026-08-24T00:00:00.000
80,BU000080,98,65,2,1,Granite BusinessUnit 80,BusinessUnit starter record 80,Harper Chen,BU000080,GBP,BU000080,0,2020-03-21,1,1,2026-08-24T00:00:00.000
81,BU000081,64,66,3,2,Titan BusinessUnit 81,BusinessUnit starter record 81,Morgan Bennett,BU000081,CAD,BU000081,1,2020-03-22,1,1,2026-08-24T00:00:00.000
82,BU000082,17,48,5,2,Keystone BusinessUnit 82,BusinessUnit starter record 82,Harper Chen,BU000082,MXN,BU000082,1,2020-03-23,1,1,2026-08-24T00:00:00.000
83,BU000083,157,40,3,1,Vertex BusinessUnit 83,BusinessUnit starter record 83,Devon Martin,BU000083,JPY,BU000083,1,2020-03-24,1,1,2026-08-24T00:00:00.000
84,BU000084,51,80,4,3,Keystone BusinessUnit 84,BusinessUnit starter record 84,Finley Hughes,BU000084,USD,BU000084,1,2020-03-25,1,1,2026-08-24T00:00:00.000
85,BU000085,85,27,1,1,Northstar BusinessUnit 85,BusinessUnit starter record 85,Jordan Bennett,BU000085,EUR,BU000085,0,2020-03-26,1,1,2026-08-24T00:00:00.000
86,BU000086,157,14,3,2,Granite BusinessUnit 86,BusinessUnit starter record 86,Emerson Chen,BU000086,GBP,BU000086,1,2020-03-27,1,1,2026-08-24T00:00:00.000
87,BU000087,151,61,3,4,Vertex BusinessUnit 87,BusinessUnit starter record 87,Blair Chen,BU000087,CAD,BU000087,1,2020-03-28,1,1,2026-08-24T00:00:00.000
88,BU000088,33,64,3,3,Orion BusinessUnit 88,BusinessUnit starter record 88,Morgan Singh,BU000088,MXN,BU000088,1,2020-03-29,1,1,2026-08-24T00:00:00.000
89,BU000089,89,74,4,1,Forge BusinessUnit 89,BusinessUnit starter record 89,Riley Diaz,BU000089,JPY,BU000089,1,2020-03-30,1,1,2026-08-24T00:00:00.000
90,BU000090,2,62,1,4,Titan BusinessUnit 90,BusinessUnit starter record 90,Riley Hughes,BU000090,USD,BU000090,0,2020-03-31,1,1,2026-08-24T00:00:00.000
91,BU000091,97,36,1,2,Willow BusinessUnit 91,BusinessUnit starter record 91,Blair Khan,BU000091,EUR,BU000091,1,2020-04-01,1,1,2026-08-24T00:00:00.000
92,BU000092,82,47,4,2,Zenith BusinessUnit 92,BusinessUnit starter record 92,Devon Diaz,BU000092,GBP,BU000092,1,2020-04-02,1,1,2026-08-24T00:00:00.000
93,BU000093,64,1,2,3,Liberty BusinessUnit 93,BusinessUnit starter record 93,Finley Singh,BU000093,CAD,BU000093,1,2020-04-03,1,1,2026-08-24T00:00:00.000
94,BU000094,91,2,1,2,Zenith BusinessUnit 94,BusinessUnit starter record 94,Devon Reed,BU000094,MXN,BU000094,1,2020-04-04,1,1,2026-08-24T00:00:00.000
95,BU000095,88,73,5,2,Granite BusinessUnit 95,BusinessUnit starter record 95,Harper Diaz,BU000095,JPY,BU000095,0,2020-04-05,1,1,2026-08-24T00:00:00.000
96,BU000096,134,5,5,4,Northstar BusinessUnit 96,BusinessUnit starter record 96,Casey Singh,BU000096,USD,BU000096,1,2020-04-06,1,1,2026-08-24T00:00:00.000
97,BU000097,115,11,5,1,Ion BusinessUnit 97,BusinessUnit starter record 97,Alex Adams,BU000097,EUR,BU000097,1,2020-04-07,1,1,2026-08-24T00:00:00.000
98,BU000098,51,64,1,1,Vertex BusinessUnit 98,BusinessUnit starter record 98,Morgan Diaz,BU000098,GBP,BU000098,1,2020-04-08,1,1,2026-08-24T00:00:00.000
99,BU000099,27,33,5,2,Evergreen BusinessUnit 99,BusinessUnit starter record 99,Harper Bennett,BU000099,CAD,BU000099,1,2020-04-09,1,1,2026-08-24T00:00:00.000
100,BU000100,12,9,5,2,Pioneer BusinessUnit 100,BusinessUnit starter record 100,Emerson Bennett,BU000100,MXN,BU000100,0,2020-04-10,1,1,2026-08-24T00:00:00.000
101,BU000101,68,51,2,3,Junction BusinessUnit 101,BusinessUnit starter record 101,Riley Garcia,BU000101,JPY,BU000101,1,2020-04-11,1,1,2026-08-24T00:00:00.000
102,BU000102,151,54,3,1,Beacon BusinessUnit 102,BusinessUnit starter record 102,Casey Hughes,BU000102,USD,BU000102,1,2020-04-12,1,1,2026-08-24T00:00:00.000
103,BU000103,115,43,3,2,Summit BusinessUnit 103,BusinessUnit starter record 103,Riley Reed,BU000103,EUR,BU000103,1,2020-04-13,1,1,2026-08-24T00:00:00.000
104,BU000104,7,30,1,1,Delta BusinessUnit 104,BusinessUnit starter record 104,Casey Martin,BU000104,GBP,BU000104,1,2020-04-14,1,1,2026-08-24T00:00:00.000
105,BU000105,103,52,5,3,Beacon BusinessUnit 105,BusinessUnit starter record 105,Alex Patel,BU000105,CAD,BU000105,0,2020-04-15,1,1,2026-08-24T00:00:00.000
106,BU000106,111,75,1,2,Quartz BusinessUnit 106,BusinessUnit starter record 106,Devon Chen,BU000106,MXN,BU000106,1,2020-04-16,1,1,2026-08-24T00:00:00.000
107,BU000107,35,54,5,2,Northstar BusinessUnit 107,BusinessUnit starter record 107,Harper Khan,BU000107,JPY,BU000107,1,2020-04-17,1,1,2026-08-24T00:00:00.000
108,BU000108,41,39,1,3,Orion BusinessUnit 108,BusinessUnit starter record 108,Riley Diaz,BU000108,USD,BU000108,1,2020-04-18,1,1,2026-08-24T00:00:00.000
109,BU000109,130,64,5,1,Keystone BusinessUnit 109,BusinessUnit starter record 109,Emerson Bennett,BU000109,EUR,BU000109,1,2020-04-19,1,1,2026-08-24T00:00:00.000
110,BU000110,35,47,3,2,Meridian BusinessUnit 110,BusinessUnit starter record 110,Emerson Patel,BU000110,GBP,BU000110,0,2020-04-20,1,1,2026-08-24T00:00:00.000
111,BU000111,121,57,3,2,Vertex BusinessUnit 111,BusinessUnit starter record 111,Quinn Garcia,BU000111,CAD,BU000111,1,2020-04-21,1,1,2026-08-24T00:00:00.000
112,BU000112,149,40,4,3,Cedar BusinessUnit 112,BusinessUnit starter record 112,Harper Bennett,BU000112,MXN,BU000112,1,2020-04-22,1,1,2026-08-24T00:00:00.000
113,BU000113,134,35,2,3,Zenith BusinessUnit 113,BusinessUnit starter record 113,Riley Diaz,BU000113,JPY,BU000113,1,2020-04-23,1,1,2026-08-24T00:00:00.000
114,BU000114,84,7,1,2,Evergreen BusinessUnit 114,BusinessUnit starter record 114,Emerson Patel,BU000114,USD,BU000114,1,2020-04-24,1,1,2026-08-24T00:00:00.000
115,BU000115,54,80,5,3,Atlas BusinessUnit 115,BusinessUnit starter record 115,Alex Hughes,BU000115,EUR,BU000115,0,2020-04-25,1,1,2026-08-24T00:00:00.000
116,BU000116,97,59,1,2,Orion BusinessUnit 116,BusinessUnit starter record 116,Alex Patel,BU000116,GBP,BU000116,1,2020-04-26,1,1,2026-08-24T00:00:00.000
117,BU000117,25,36,1,2,Northstar BusinessUnit 117,BusinessUnit starter record 117,Jordan Martin,BU000117,CAD,BU000117,1,2020-04-27,1,1,2026-08-24T00:00:00.000
118,BU000118,47,55,1,3,Quartz BusinessUnit 118,BusinessUnit starter record 118,Blair Hughes,BU000118,MXN,BU000118,1,2020-04-28,1,1,2026-08-24T00:00:00.000
119,BU000119,145,36,1,2,Riverton BusinessUnit 119,BusinessUnit starter record 119,Jordan Patel,BU000119,JPY,BU000119,1,2020-04-29,1,1,2026-08-24T00:00:00.000
120,BU000120,108,63,3,4,Unity BusinessUnit 120,BusinessUnit starter record 120,Morgan Garcia,BU000120,USD,BU000120,0,2020-04-30,1,1,2026-08-24T00:00:00.000
121,BU000121,42,15,2,1,Riverton BusinessUnit 121,BusinessUnit starter record 121,Emerson Evans,BU000121,EUR,BU000121,1,2020-05-01,1,1,2026-08-24T00:00:00.000
122,BU000122,122,53,3,1,Titan BusinessUnit 122,BusinessUnit starter record 122,Riley Chen,BU000122,GBP,BU000122,1,2020-05-02,1,1,2026-08-24T00:00:00.000
123,BU000123,52,59,5,2,Northstar BusinessUnit 123,BusinessUnit starter record 123,Emerson Chen,BU000123,CAD,BU000123,1,2020-05-03,1,1,2026-08-24T00:00:00.000
124,BU000124,41,17,5,3,Summit BusinessUnit 124,BusinessUnit starter record 124,Devon Singh,BU000124,MXN,BU000124,1,2020-05-04,1,1,2026-08-24T00:00:00.000
125,BU000125,25,56,3,4,Pioneer BusinessUnit 125,BusinessUnit starter record 125,Jordan Khan,BU000125,JPY,BU000125,0,2020-05-05,1,1,2026-08-24T00:00:00.000
126,BU000126,135,5,5,1,Forge BusinessUnit 126,BusinessUnit starter record 126,Casey Adams,BU000126,USD,BU000126,1,2020-05-06,1,1,2026-08-24T00:00:00.000
127,BU000127,140,78,2,2,Orion BusinessUnit 127,BusinessUnit starter record 127,Riley Adams,BU000127,EUR,BU000127,1,2020-05-07,1,1,2026-08-24T00:00:00.000
128,BU000128,89,58,5,2,Zenith BusinessUnit 128,BusinessUnit starter record 128,Riley Reed,BU000128,GBP,BU000128,1,2020-05-08,1,1,2026-08-24T00:00:00.000
129,BU000129,116,43,3,4,Northstar BusinessUnit 129,BusinessUnit starter record 129,Quinn Garcia,BU000129,CAD,BU000129,1,2020-05-09,1,1,2026-08-24T00:00:00.000
130,BU000130,130,14,2,1,Riverton BusinessUnit 130,BusinessUnit starter record 130,Devon Chen,BU000130,MXN,BU000130,0,2020-05-10,1,1,2026-08-24T00:00:00.000
131,BU000131,22,72,5,2,Quartz BusinessUnit 131,BusinessUnit starter record 131,Alex Adams,BU000131,JPY,BU000131,1,2020-05-11,1,1,2026-08-24T00:00:00.000
132,BU000132,151,3,3,4,Harbor BusinessUnit 132,BusinessUnit starter record 132,Morgan Martin,BU000132,USD,BU000132,1,2020-05-12,1,1,2026-08-24T00:00:00.000
133,BU000133,119,22,5,4,Cedar BusinessUnit 133,BusinessUnit starter record 133,Harper Diaz,BU000133,EUR,BU000133,1,2020-05-13,1,1,2026-08-24T00:00:00.000
134,BU000134,11,52,3,4,Delta BusinessUnit 134,BusinessUnit starter record 134,Casey Garcia,BU000134,GBP,BU000134,1,2020-05-14,1,1,2026-08-24T00:00:00.000
135,BU000135,13,19,5,2,Liberty BusinessUnit 135,BusinessUnit starter record 135,Quinn Adams,BU000135,CAD,BU000135,0,2020-05-15,1,1,2026-08-24T00:00:00.000
136,BU000136,104,79,5,1,Beacon BusinessUnit 136,BusinessUnit starter record 136,Harper Khan,BU000136,MXN,BU000136,1,2020-05-16,1,1,2026-08-24T00:00:00.000
137,BU000137,97,64,2,3,Liberty BusinessUnit 137,BusinessUnit starter record 137,Quinn Hughes,BU000137,JPY,BU000137,1,2020-05-17,1,1,2026-08-24T00:00:00.000
138,BU000138,109,8,3,2,Forge BusinessUnit 138,BusinessUnit starter record 138,Devon Evans,BU000138,USD,BU000138,1,2020-05-18,1,1,2026-08-24T00:00:00.000
139,BU000139,112,55,4,1,Liberty BusinessUnit 139,BusinessUnit starter record 139,Riley Martin,BU000139,EUR,BU000139,1,2020-05-19,1,1,2026-08-24T00:00:00.000
140,BU000140,49,39,5,2,Delta BusinessUnit 140,BusinessUnit starter record 140,Taylor Garcia,BU000140,GBP,BU000140,0,2020-05-20,1,1,2026-08-24T00:00:00.000
141,BU000141,50,18,2,2,Liberty BusinessUnit 141,BusinessUnit starter record 141,Devon Chen,BU000141,CAD,BU000141,1,2020-05-21,1,1,2026-08-24T00:00:00.000
142,BU000142,53,44,3,3,Zenith BusinessUnit 142,BusinessUnit starter record 142,Alex Evans,BU000142,MXN,BU000142,1,2020-05-22,1,1,2026-08-24T00:00:00.000
143,BU000143,3,12,5,3,Riverton BusinessUnit 143,BusinessUnit starter record 143,Morgan Khan,BU000143,JPY,BU000143,1,2020-05-23,1,1,2026-08-24T00:00:00.000
144,BU000144,101,27,2,2,Liberty BusinessUnit 144,BusinessUnit starter record 144,Emerson Patel,BU000144,USD,BU000144,1,2020-05-24,1,1,2026-08-24T00:00:00.000
145,BU000145,31,66,1,1,Forge BusinessUnit 145,BusinessUnit starter record 145,Blair Chen,BU000145,EUR,BU000145,0,2020-05-25,1,1,2026-08-24T00:00:00.000
146,BU000146,155,66,3,1,Orion BusinessUnit 146,BusinessUnit starter record 146,Finley Khan,BU000146,GBP,BU000146,1,2020-05-26,1,1,2026-08-24T00:00:00.000
147,BU000147,94,24,1,2,Titan BusinessUnit 147,BusinessUnit starter record 147,Devon Khan,BU000147,CAD,BU000147,1,2020-05-27,1,1,2026-08-24T00:00:00.000
148,BU000148,74,17,2,4,Atlas BusinessUnit 148,BusinessUnit starter record 148,Morgan Evans,BU000148,MXN,BU000148,1,2020-05-28,1,1,2026-08-24T00:00:00.000
