FinanceJournalHeaderKey,JournalEntryNumber,BusinessUnitKey,PreparerEmployeeKey,ApproverEmployeeKey,FinancePostingStatusKey,FinanceJournalSourceKey,CurrencyKey,JournalEntryName,FiscalDocumentNumber,ReversalJournalEntryNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
15,FJH000015,312,75,270,6,19,2,Meridian FinanceJournalHeader 15,FJH000015,FJH000015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,253a7cb6f6a6512596660a0ae6f53d10253a7cb6f6a6512596660a0ae6f53d10
16,FJH000016,48,302,178,9,20,3,Pioneer FinanceJournalHeader 16,FJH000016,FJH000016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc09abd353ee5489adfe31daca443d80fc09abd353ee5489adfe31daca443d80
17,FJH000017,229,-1,-1,7,10,3,Ion FinanceJournalHeader 17,FJH000017,FJH000017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35d133b8ddb259b8abd14ed43b84780235d133b8ddb259b8abd14ed43b847802
18,FJH000018,94,392,281,2,18,4,Junction FinanceJournalHeader 18,FJH000018,FJH000018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a09d0c007f6d5ad082c61ab891bd86aca09d0c007f6d5ad082c61ab891bd86ac
19,FJH000019,404,303,185,3,15,4,Quartz FinanceJournalHeader 19,FJH000019,FJH000019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a55f515746c15cd79f494442df2604dfa55f515746c15cd79f494442df2604df
20,FJH000020,405,51,68,5,3,1,Meridian FinanceJournalHeader 20,FJH000020,FJH000020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0597b384b0f9577f93168b55eec643fc0597b384b0f9577f93168b55eec643fc
21,FJH000021,431,136,151,3,8,1,Keystone FinanceJournalHeader 21,FJH000021,FJH000021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87c875c8fad052c38dfbf980c7d6774787c875c8fad052c38dfbf980c7d67747
22,FJH000022,9,369,79,6,3,1,Vertex FinanceJournalHeader 22,FJH000022,FJH000022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94bc64ff2e7b506996a55483ef76fc7194bc64ff2e7b506996a55483ef76fc71
23,FJH000023,323,77,409,10,25,5,Beacon FinanceJournalHeader 23,FJH000023,FJH000023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,132b15dc548d5d4b8664fc9568036b22132b15dc548d5d4b8664fc9568036b22
24,FJH000024,432,368,437,4,7,5,Liberty FinanceJournalHeader 24,FJH000024,FJH000024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64e3e4201545505c88b2531b12fe337064e3e4201545505c88b2531b12fe3370
25,FJH000025,284,130,95,1,23,3,Beacon FinanceJournalHeader 25,FJH000025,FJH000025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3e907a25cb35567bb6f515a02588924a3e907a25cb35567bb6f515a02588924
26,FJH000026,119,393,39,6,13,3,Meridian FinanceJournalHeader 26,FJH000026,FJH000026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc29cfc381fb5eda8558bda468453036cc29cfc381fb5eda8558bda468453036
27,FJH000027,127,291,453,6,17,1,Willow FinanceJournalHeader 27,FJH000027,FJH000027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,265b112d496056bbb16af6f0ca43583d265b112d496056bbb16af6f0ca43583d
28,FJH000028,248,425,23,5,25,4,Ion FinanceJournalHeader 28,FJH000028,FJH000028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cff41c98b39c5c35a58fc4bf8875c68dcff41c98b39c5c35a58fc4bf8875c68d
29,FJH000029,403,485,429,3,12,4,Orion FinanceJournalHeader 29,FJH000029,FJH000029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2ddec434dfb55829f76da81e7133e57a2ddec434dfb55829f76da81e7133e57
30,FJH000030,423,273,347,4,12,4,Unity FinanceJournalHeader 30,FJH000030,FJH000030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,951be057e84159a6882e98cb0cf046f8951be057e84159a6882e98cb0cf046f8
31,FJH000031,368,196,417,7,18,2,Quartz FinanceJournalHeader 31,FJH000031,FJH000031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9aa5f83a3a956c581462b7400820728a9aa5f83a3a956c581462b7400820728
32,FJH000032,304,391,137,5,8,3,Evergreen FinanceJournalHeader 32,FJH000032,FJH000032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04edbd15787d59f8a026e214b4c665da04edbd15787d59f8a026e214b4c665da
33,FJH000033,457,340,458,8,16,1,Northstar FinanceJournalHeader 33,FJH000033,FJH000033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f1337794b8e56e7813be16394dc99bb1f1337794b8e56e7813be16394dc99bb
34,FJH000034,415,-1,-1,4,18,2,Keystone FinanceJournalHeader 34,FJH000034,FJH000034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb339eb1e32c5f408be6722959a2a648fb339eb1e32c5f408be6722959a2a648
35,FJH000035,268,480,298,2,19,3,Vertex FinanceJournalHeader 35,FJH000035,FJH000035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be7a978eebae59dc8866b0fc6676a396be7a978eebae59dc8866b0fc6676a396
36,FJH000036,295,361,324,5,2,5,Forge FinanceJournalHeader 36,FJH000036,FJH000036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dda945eb0855dd29033996b173cf8060dda945eb0855dd29033996b173cf806
37,FJH000037,378,371,403,8,1,4,Riverton FinanceJournalHeader 37,FJH000037,FJH000037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c456d54825f5fa4864cdf9eb75192d61c456d54825f5fa4864cdf9eb75192d6
38,FJH000038,296,203,416,10,24,1,Northstar FinanceJournalHeader 38,FJH000038,FJH000038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,580ee8d0ee545d61ae55b04701a8083b580ee8d0ee545d61ae55b04701a8083b
39,FJH000039,166,74,252,4,24,2,Evergreen FinanceJournalHeader 39,FJH000039,FJH000039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,663456483fa65b5785d38c0e261f7c9f663456483fa65b5785d38c0e261f7c9f
40,FJH000040,215,399,375,4,4,2,Atlas FinanceJournalHeader 40,FJH000040,FJH000040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b86f1b1d31c598d8074548150fff1712b86f1b1d31c598d8074548150fff171
41,FJH000041,229,437,252,10,15,5,Keystone FinanceJournalHeader 41,FJH000041,FJH000041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b5e7a283e17257608c648c1c8c83bd91b5e7a283e17257608c648c1c8c83bd91
42,FJH000042,163,43,300,6,18,4,Summit FinanceJournalHeader 42,FJH000042,FJH000042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18adb3c22d2e5186bf9b6f6deddb8c5118adb3c22d2e5186bf9b6f6deddb8c51
43,FJH000043,343,37,390,4,23,1,Orion FinanceJournalHeader 43,FJH000043,FJH000043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4beb0db49d1b5e1aa8a2c215db2147644beb0db49d1b5e1aa8a2c215db214764
44,FJH000044,137,216,198,2,19,1,Pioneer FinanceJournalHeader 44,FJH000044,FJH000044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c69807b3e665b3ab6e295e8d29447330c69807b3e665b3ab6e295e8d2944733
45,FJH000045,420,114,249,2,10,3,Ion FinanceJournalHeader 45,FJH000045,FJH000045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcf92eebc0225ee5ae19fe24b2e650c0fcf92eebc0225ee5ae19fe24b2e650c0
46,FJH000046,80,433,66,3,20,2,Granite FinanceJournalHeader 46,FJH000046,FJH000046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8947cc1335535478a8d49c13fe46be9e8947cc1335535478a8d49c13fe46be9e
47,FJH000047,280,105,253,4,7,5,Harbor FinanceJournalHeader 47,FJH000047,FJH000047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce08bfd5619454f9b8c33988052e4d64ce08bfd5619454f9b8c33988052e4d64
48,FJH000048,424,80,182,8,14,5,Pioneer FinanceJournalHeader 48,FJH000048,FJH000048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cce323af22955fd99f73a8334bb7c3eacce323af22955fd99f73a8334bb7c3ea
49,FJH000049,490,17,272,7,19,2,Ion FinanceJournalHeader 49,FJH000049,FJH000049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca61887fca965db8b692bd493c079b52ca61887fca965db8b692bd493c079b52
50,FJH000050,435,178,416,5,3,3,Riverton FinanceJournalHeader 50,FJH000050,FJH000050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3bfa0b8a6405060b3d43b90ac914412c3bfa0b8a6405060b3d43b90ac914412
51,FJH000051,266,-1,-1,9,2,2,Unity FinanceJournalHeader 51,FJH000051,FJH000051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d373aba31db15c8a9e2bae8d67340e24d373aba31db15c8a9e2bae8d67340e24
52,FJH000052,237,88,48,2,23,4,Keystone FinanceJournalHeader 52,FJH000052,FJH000052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd1c3529cd3d5a10b3d82038685e7c73fd1c3529cd3d5a10b3d82038685e7c73
53,FJH000053,298,322,106,7,23,1,Northstar FinanceJournalHeader 53,FJH000053,FJH000053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25325e9d434858f4859db19ff26a00ac25325e9d434858f4859db19ff26a00ac
54,FJH000054,221,331,422,7,16,1,Riverton FinanceJournalHeader 54,FJH000054,FJH000054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f1d2bb9df9058ae981817cba08ec21f7f1d2bb9df9058ae981817cba08ec21f
55,FJH000055,145,64,303,8,22,4,Meridian FinanceJournalHeader 55,FJH000055,FJH000055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1474f73099b85c6d83b3a243ab14a51d1474f73099b85c6d83b3a243ab14a51d
56,FJH000056,101,490,178,9,12,2,Willow FinanceJournalHeader 56,FJH000056,FJH000056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37607d1b39c15e8d8e5ab8747435de0837607d1b39c15e8d8e5ab8747435de08
57,FJH000057,249,342,436,6,9,4,Titan FinanceJournalHeader 57,FJH000057,FJH000057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8a43081fcbd5caa9136d8246cd101d0e8a43081fcbd5caa9136d8246cd101d0
58,FJH000058,23,422,116,3,3,4,Junction FinanceJournalHeader 58,FJH000058,FJH000058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6de835616945d28be63f85ee608b12ec6de835616945d28be63f85ee608b12e
59,FJH000059,460,364,77,5,10,4,Beacon FinanceJournalHeader 59,FJH000059,FJH000059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7828f6cb5076582a9455633718d99e797828f6cb5076582a9455633718d99e79
60,FJH000060,221,244,68,7,19,4,Northstar FinanceJournalHeader 60,FJH000060,FJH000060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9577d6e7334c565bbabf96e8c026fe289577d6e7334c565bbabf96e8c026fe28
61,FJH000061,374,269,4,2,23,4,Junction FinanceJournalHeader 61,FJH000061,FJH000061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbc487c85ecb568da811d0671eceefbdfbc487c85ecb568da811d0671eceefbd
62,FJH000062,276,180,173,10,14,3,Atlas FinanceJournalHeader 62,FJH000062,FJH000062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,022b863b024c5806831d26a7b77530c8022b863b024c5806831d26a7b77530c8
63,FJH000063,355,181,205,8,10,1,Beacon FinanceJournalHeader 63,FJH000063,FJH000063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5913c37d65dc5329b36de8c9b2698a505913c37d65dc5329b36de8c9b2698a50
64,FJH000064,62,103,168,4,2,4,Granite FinanceJournalHeader 64,FJH000064,FJH000064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2659d76ed2fa5a0e81d3e3269361626a2659d76ed2fa5a0e81d3e3269361626a
65,FJH000065,437,252,209,4,7,4,Meridian FinanceJournalHeader 65,FJH000065,FJH000065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84e0373c42ef5874b1fae4d88cdb527984e0373c42ef5874b1fae4d88cdb5279
66,FJH000066,194,387,482,7,1,1,Atlas FinanceJournalHeader 66,FJH000066,FJH000066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d72237855be5fe29e179d8868f53b624d72237855be5fe29e179d8868f53b62
67,FJH000067,419,476,417,1,22,2,Ion FinanceJournalHeader 67,FJH000067,FJH000067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38f66724c05f59d3901e79f9715317a638f66724c05f59d3901e79f9715317a6
68,FJH000068,403,-1,-1,5,10,4,Summit FinanceJournalHeader 68,FJH000068,FJH000068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3017d9554848518182cfdac5aa44f4503017d9554848518182cfdac5aa44f450
69,FJH000069,447,251,142,7,18,1,Evergreen FinanceJournalHeader 69,FJH000069,FJH000069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb4371ca5e1d550a82722d85f0579547bb4371ca5e1d550a82722d85f0579547
70,FJH000070,35,44,445,10,23,5,Beacon FinanceJournalHeader 70,FJH000070,FJH000070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,745a0465f6dc5a64a1de6c0c1b00e312745a0465f6dc5a64a1de6c0c1b00e312
71,FJH000071,387,361,54,10,1,5,Titan FinanceJournalHeader 71,FJH000071,FJH000071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9976a95c0f7d5c8dbb97b66b68290ca99976a95c0f7d5c8dbb97b66b68290ca9
72,FJH000072,319,402,9,4,15,5,Quartz FinanceJournalHeader 72,FJH000072,FJH000072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e712b4b6edfd5c0690481f9e658bf2c8e712b4b6edfd5c0690481f9e658bf2c8
73,FJH000073,343,486,344,5,7,1,Quartz FinanceJournalHeader 73,FJH000073,FJH000073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ebbcdb65f43537b94d2e5f2c58f46a57ebbcdb65f43537b94d2e5f2c58f46a5
74,FJH000074,478,52,197,4,3,3,Junction FinanceJournalHeader 74,FJH000074,FJH000074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56456491917e52888edb9281f03bb09c56456491917e52888edb9281f03bb09c
75,FJH000075,135,230,273,9,23,4,Meridian FinanceJournalHeader 75,FJH000075,FJH000075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5202966bf37d5757a179efcac872e6ed5202966bf37d5757a179efcac872e6ed
76,FJH000076,315,296,392,2,12,5,Liberty FinanceJournalHeader 76,FJH000076,FJH000076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7629e6394dd154739e6eb83e3fc412e07629e6394dd154739e6eb83e3fc412e0
77,FJH000077,150,190,157,7,15,1,Riverton FinanceJournalHeader 77,FJH000077,FJH000077,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8dab71b205855d8cb8e2eed6280ab9d28dab71b205855d8cb8e2eed6280ab9d2
78,FJH000078,412,37,360,10,16,2,Junction FinanceJournalHeader 78,FJH000078,FJH000078,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fb390ddfe6858fea2ec82eb7eee67788fb390ddfe6858fea2ec82eb7eee6778
79,FJH000079,352,338,116,6,19,2,Unity FinanceJournalHeader 79,FJH000079,FJH000079,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d9467f6df895089b51350ec71a4e3115d9467f6df895089b51350ec71a4e311
80,FJH000080,280,350,417,3,5,4,Pioneer FinanceJournalHeader 80,FJH000080,FJH000080,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7b80cb6785a5e20a90d3d6bee5c4ddeb7b80cb6785a5e20a90d3d6bee5c4dde
81,FJH000081,500,56,170,6,25,1,Northstar FinanceJournalHeader 81,FJH000081,FJH000081,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68132987ac905ccaae269f3d342e216468132987ac905ccaae269f3d342e2164
82,FJH000082,292,445,70,2,8,5,Zenith FinanceJournalHeader 82,FJH000082,FJH000082,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1363028546657e6928776b7f65d034cc1363028546657e6928776b7f65d034c
83,FJH000083,300,284,433,7,3,3,Zenith FinanceJournalHeader 83,FJH000083,FJH000083,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a704c024ec895c83ac2f79b4f724d777a704c024ec895c83ac2f79b4f724d777
84,FJH000084,256,286,332,3,9,2,Delta FinanceJournalHeader 84,FJH000084,FJH000084,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,540b95542a1155cf9e4c3ede9a3e85a2540b95542a1155cf9e4c3ede9a3e85a2
85,FJH000085,391,-1,-1,10,1,1,Harbor FinanceJournalHeader 85,FJH000085,FJH000085,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1744a243dde45e18b084b4e300707c611744a243dde45e18b084b4e300707c61
86,FJH000086,498,258,479,8,12,2,Meridian FinanceJournalHeader 86,FJH000086,FJH000086,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,487989871747513bb1de48ee4506a43f487989871747513bb1de48ee4506a43f
87,FJH000087,409,334,95,4,23,1,Harbor FinanceJournalHeader 87,FJH000087,FJH000087,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a826c3a9d4565ae197c92d869e6d597fa826c3a9d4565ae197c92d869e6d597f
88,FJH000088,424,484,174,4,21,2,Meridian FinanceJournalHeader 88,FJH000088,FJH000088,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbd1d4408d59503eb468c20c05cc7101bbd1d4408d59503eb468c20c05cc7101
89,FJH000089,181,459,204,7,7,4,Junction FinanceJournalHeader 89,FJH000089,FJH000089,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d342991ecf75a77839441df5feb9da26d342991ecf75a77839441df5feb9da2
90,FJH000090,270,323,336,9,1,2,Forge FinanceJournalHeader 90,FJH000090,FJH000090,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,620e50aeef6d5752b7adb1ba700c65dc620e50aeef6d5752b7adb1ba700c65dc
91,FJH000091,346,18,118,10,1,3,Evergreen FinanceJournalHeader 91,FJH000091,FJH000091,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fd9676facb85ed2b585531d4c251c633fd9676facb85ed2b585531d4c251c63
92,FJH000092,304,146,285,8,6,4,Cedar FinanceJournalHeader 92,FJH000092,FJH000092,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55e1f00952dd58609c96a34f266a6ce355e1f00952dd58609c96a34f266a6ce3
93,FJH000093,348,307,450,5,8,3,Harbor FinanceJournalHeader 93,FJH000093,FJH000093,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac2f05a5fab95b418ff85a4c821816d4ac2f05a5fab95b418ff85a4c821816d4
94,FJH000094,193,440,493,7,10,1,Granite FinanceJournalHeader 94,FJH000094,FJH000094,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94a1c13e388b5b13ae831ae19499660394a1c13e388b5b13ae831ae194996603
95,FJH000095,122,478,475,8,7,5,Pioneer FinanceJournalHeader 95,FJH000095,FJH000095,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bd46c5c5b905445bce4ee834d34a1623bd46c5c5b905445bce4ee834d34a162
