DateKey,CalendarWeekKey,FiscalPeriodKey,YesNoFlagKey,FullDate,DayName,DayOfWeekNumber,IsoDayOfWeekNumber,DayOfMonthNumber,DayOfYearNumber,WeekOfYearNumber,IsoWeekNumber,CalendarMonthNumber,CalendarMonthName,CalendarMonthShortName,CalendarQuarterNumber,CalendarYearNumber,FiscalPeriodNumber,FiscalQuarterNumber,FiscalYearNumber,IsWeekend,IsHoliday,HolidayName,JulianDayNumber,DaysFromToday,WeeksFromToday,MonthsFromToday,IsMonthEnd,IsQuarterEnd,IsYearEnd,SourceSystemKey,BatchId,LoadedAtUtc
20180203,5,8,2,2018-02-03,Saturday,7,6,3,34,5,5,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736728,-3124,-447,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180204,5,8,2,2018-02-04,Sunday,1,7,4,35,6,5,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736729,-3123,-447,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180205,6,8,1,2018-02-05,Monday,2,1,5,36,6,6,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736730,-3122,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180206,6,8,1,2018-02-06,Tuesday,3,2,6,37,6,6,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736731,-3121,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180207,6,8,1,2018-02-07,Wednesday,4,3,7,38,6,6,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736732,-3120,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180208,6,8,1,2018-02-08,Thursday,5,4,8,39,6,6,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736733,-3119,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180209,6,8,1,2018-02-09,Friday,6,5,9,40,6,6,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736734,-3118,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180210,6,8,2,2018-02-10,Saturday,7,6,10,41,6,6,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736735,-3117,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180211,6,8,2,2018-02-11,Sunday,1,7,11,42,7,6,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736736,-3116,-446,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180212,7,8,1,2018-02-12,Monday,2,1,12,43,7,7,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736737,-3115,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180213,7,8,1,2018-02-13,Tuesday,3,2,13,44,7,7,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736738,-3114,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180214,7,8,1,2018-02-14,Wednesday,4,3,14,45,7,7,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736739,-3113,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180215,7,8,1,2018-02-15,Thursday,5,4,15,46,7,7,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736740,-3112,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180216,7,8,1,2018-02-16,Friday,6,5,16,47,7,7,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736741,-3111,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180217,7,8,2,2018-02-17,Saturday,7,6,17,48,7,7,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736742,-3110,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180218,7,8,2,2018-02-18,Sunday,1,7,18,49,8,7,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736743,-3109,-445,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180219,8,8,1,2018-02-19,Monday,2,1,19,50,8,8,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736744,-3108,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180220,8,8,1,2018-02-20,Tuesday,3,2,20,51,8,8,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736745,-3107,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180221,8,8,1,2018-02-21,Wednesday,4,3,21,52,8,8,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736746,-3106,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180222,8,8,1,2018-02-22,Thursday,5,4,22,53,8,8,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736747,-3105,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180223,8,8,1,2018-02-23,Friday,6,5,23,54,8,8,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736748,-3104,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180224,8,8,2,2018-02-24,Saturday,7,6,24,55,8,8,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736749,-3103,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180225,8,8,2,2018-02-25,Sunday,1,7,25,56,9,8,2,February,Feb,1,2018,8,3,2018,1,0,N/A,736750,-3102,-444,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180226,9,8,1,2018-02-26,Monday,2,1,26,57,9,9,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736751,-3101,-443,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180227,9,8,1,2018-02-27,Tuesday,3,2,27,58,9,9,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736752,-3100,-443,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180228,9,8,1,2018-02-28,Wednesday,4,3,28,59,9,9,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736753,-3099,-443,-102,1,0,0,1,1,2026-08-24T00:00:00.000
20180301,9,9,1,2018-03-01,Thursday,5,4,1,60,9,9,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736754,-3098,-443,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180302,9,9,1,2018-03-02,Friday,6,5,2,61,9,9,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736755,-3097,-443,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180303,9,9,2,2018-03-03,Saturday,7,6,3,62,9,9,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736756,-3096,-443,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180304,9,9,2,2018-03-04,Sunday,1,7,4,63,10,9,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736757,-3095,-443,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180305,10,9,1,2018-03-05,Monday,2,1,5,64,10,10,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736758,-3094,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180306,10,9,1,2018-03-06,Tuesday,3,2,6,65,10,10,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736759,-3093,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180307,10,9,1,2018-03-07,Wednesday,4,3,7,66,10,10,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736760,-3092,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180308,10,9,1,2018-03-08,Thursday,5,4,8,67,10,10,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736761,-3091,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180309,10,9,1,2018-03-09,Friday,6,5,9,68,10,10,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736762,-3090,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180310,10,9,2,2018-03-10,Saturday,7,6,10,69,10,10,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736763,-3089,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180311,10,9,2,2018-03-11,Sunday,1,7,11,70,11,10,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736764,-3088,-442,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180312,11,9,1,2018-03-12,Monday,2,1,12,71,11,11,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736765,-3087,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180313,11,9,1,2018-03-13,Tuesday,3,2,13,72,11,11,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736766,-3086,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180314,11,9,1,2018-03-14,Wednesday,4,3,14,73,11,11,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736767,-3085,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180315,11,9,1,2018-03-15,Thursday,5,4,15,74,11,11,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736768,-3084,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180316,11,9,1,2018-03-16,Friday,6,5,16,75,11,11,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736769,-3083,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180317,11,9,2,2018-03-17,Saturday,7,6,17,76,11,11,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736770,-3082,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180318,11,9,2,2018-03-18,Sunday,1,7,18,77,12,11,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736771,-3081,-441,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180319,12,9,1,2018-03-19,Monday,2,1,19,78,12,12,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736772,-3080,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180320,12,9,1,2018-03-20,Tuesday,3,2,20,79,12,12,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736773,-3079,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180321,12,9,1,2018-03-21,Wednesday,4,3,21,80,12,12,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736774,-3078,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180322,12,9,1,2018-03-22,Thursday,5,4,22,81,12,12,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736775,-3077,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180323,12,9,1,2018-03-23,Friday,6,5,23,82,12,12,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736776,-3076,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180324,12,9,2,2018-03-24,Saturday,7,6,24,83,12,12,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736777,-3075,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180325,12,9,2,2018-03-25,Sunday,1,7,25,84,13,12,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736778,-3074,-440,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180326,13,9,1,2018-03-26,Monday,2,1,26,85,13,13,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736779,-3073,-439,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180327,13,9,1,2018-03-27,Tuesday,3,2,27,86,13,13,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736780,-3072,-439,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180328,13,9,1,2018-03-28,Wednesday,4,3,28,87,13,13,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736781,-3071,-439,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180329,13,9,1,2018-03-29,Thursday,5,4,29,88,13,13,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736782,-3070,-439,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180330,13,9,1,2018-03-30,Friday,6,5,30,89,13,13,3,March,Mar,1,2018,9,3,2018,0,0,N/A,736783,-3069,-439,-101,0,0,0,1,1,2026-08-24T00:00:00.000
20180331,13,9,2,2018-03-31,Saturday,7,6,31,90,13,13,3,March,Mar,1,2018,9,3,2018,1,0,N/A,736784,-3068,-439,-101,1,1,0,1,1,2026-08-24T00:00:00.000
20180401,13,10,2,2018-04-01,Sunday,1,7,1,91,14,13,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736785,-3067,-439,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180402,14,10,1,2018-04-02,Monday,2,1,2,92,14,14,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736786,-3066,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180403,14,10,1,2018-04-03,Tuesday,3,2,3,93,14,14,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736787,-3065,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180404,14,10,1,2018-04-04,Wednesday,4,3,4,94,14,14,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736788,-3064,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180405,14,10,1,2018-04-05,Thursday,5,4,5,95,14,14,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736789,-3063,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180406,14,10,1,2018-04-06,Friday,6,5,6,96,14,14,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736790,-3062,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180407,14,10,2,2018-04-07,Saturday,7,6,7,97,14,14,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736791,-3061,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180408,14,10,2,2018-04-08,Sunday,1,7,8,98,15,14,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736792,-3060,-438,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180409,15,10,1,2018-04-09,Monday,2,1,9,99,15,15,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736793,-3059,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180410,15,10,1,2018-04-10,Tuesday,3,2,10,100,15,15,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736794,-3058,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180411,15,10,1,2018-04-11,Wednesday,4,3,11,101,15,15,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736795,-3057,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180412,15,10,1,2018-04-12,Thursday,5,4,12,102,15,15,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736796,-3056,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180413,15,10,1,2018-04-13,Friday,6,5,13,103,15,15,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736797,-3055,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180414,15,10,2,2018-04-14,Saturday,7,6,14,104,15,15,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736798,-3054,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180415,15,10,2,2018-04-15,Sunday,1,7,15,105,16,15,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736799,-3053,-437,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180416,16,10,1,2018-04-16,Monday,2,1,16,106,16,16,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736800,-3052,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180417,16,10,1,2018-04-17,Tuesday,3,2,17,107,16,16,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736801,-3051,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180418,16,10,1,2018-04-18,Wednesday,4,3,18,108,16,16,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736802,-3050,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180419,16,10,1,2018-04-19,Thursday,5,4,19,109,16,16,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736803,-3049,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180420,16,10,1,2018-04-20,Friday,6,5,20,110,16,16,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736804,-3048,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180421,16,10,2,2018-04-21,Saturday,7,6,21,111,16,16,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736805,-3047,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180422,16,10,2,2018-04-22,Sunday,1,7,22,112,17,16,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736806,-3046,-436,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180423,17,10,1,2018-04-23,Monday,2,1,23,113,17,17,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736807,-3045,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180424,17,10,1,2018-04-24,Tuesday,3,2,24,114,17,17,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736808,-3044,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180425,17,10,1,2018-04-25,Wednesday,4,3,25,115,17,17,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736809,-3043,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180426,17,10,1,2018-04-26,Thursday,5,4,26,116,17,17,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736810,-3042,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180427,17,10,1,2018-04-27,Friday,6,5,27,117,17,17,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736811,-3041,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180428,17,10,2,2018-04-28,Saturday,7,6,28,118,17,17,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736812,-3040,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180429,17,10,2,2018-04-29,Sunday,1,7,29,119,18,17,4,April,Apr,2,2018,10,4,2018,1,0,N/A,736813,-3039,-435,-100,0,0,0,1,1,2026-08-24T00:00:00.000
20180430,18,10,1,2018-04-30,Monday,2,1,30,120,18,18,4,April,Apr,2,2018,10,4,2018,0,0,N/A,736814,-3038,-434,-100,1,0,0,1,1,2026-08-24T00:00:00.000
20180501,18,11,1,2018-05-01,Tuesday,3,2,1,121,18,18,5,May,May,2,2018,11,4,2018,0,0,N/A,736815,-3037,-434,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180502,18,11,1,2018-05-02,Wednesday,4,3,2,122,18,18,5,May,May,2,2018,11,4,2018,0,0,N/A,736816,-3036,-434,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180503,18,11,1,2018-05-03,Thursday,5,4,3,123,18,18,5,May,May,2,2018,11,4,2018,0,0,N/A,736817,-3035,-434,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180504,18,11,1,2018-05-04,Friday,6,5,4,124,18,18,5,May,May,2,2018,11,4,2018,0,0,N/A,736818,-3034,-434,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180505,18,11,2,2018-05-05,Saturday,7,6,5,125,18,18,5,May,May,2,2018,11,4,2018,1,0,N/A,736819,-3033,-434,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180506,18,11,2,2018-05-06,Sunday,1,7,6,126,19,18,5,May,May,2,2018,11,4,2018,1,0,N/A,736820,-3032,-434,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180507,19,11,1,2018-05-07,Monday,2,1,7,127,19,19,5,May,May,2,2018,11,4,2018,0,0,N/A,736821,-3031,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180508,19,11,1,2018-05-08,Tuesday,3,2,8,128,19,19,5,May,May,2,2018,11,4,2018,0,0,N/A,736822,-3030,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180509,19,11,1,2018-05-09,Wednesday,4,3,9,129,19,19,5,May,May,2,2018,11,4,2018,0,0,N/A,736823,-3029,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180510,19,11,1,2018-05-10,Thursday,5,4,10,130,19,19,5,May,May,2,2018,11,4,2018,0,0,N/A,736824,-3028,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180511,19,11,1,2018-05-11,Friday,6,5,11,131,19,19,5,May,May,2,2018,11,4,2018,0,0,N/A,736825,-3027,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180512,19,11,2,2018-05-12,Saturday,7,6,12,132,19,19,5,May,May,2,2018,11,4,2018,1,0,N/A,736826,-3026,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
20180513,19,11,2,2018-05-13,Sunday,1,7,13,133,20,19,5,May,May,2,2018,11,4,2018,1,0,N/A,736827,-3025,-433,-99,0,0,0,1,1,2026-08-24T00:00:00.000
